player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,10,41,41,4.22,39.2,46.83,9.3,0,0,2,7,1,66.0,10,65,3,0,61.0,233,25,41,173.18,1607,4,1920
Kevin Huber,5066,P,CIN,9,31,31,4.27,37.42,43.23,14.5,0,0,3,13,7,54.4,10,63,3,0,35.5,160,11,31,132.43,1160,1,1340
Thomas Morstead,5088,P,MIA,9,30,30,4.38,42.13,47.23,8.9,0,0,6,8,17,72.8,15,66,0,0,50.0,133,15,31,131.37,1264,1,1417
Bryan Anger,7072,P,DAL,9,40,40,4.53,41.98,48.58,8.5,0,0,3,13,9,72.1,15,83,1,0,42.5,144,17,40,181.36,1679,6,1943
Johnny Hekker,7252,P,CAR,10,50,50,4.37,43.44,49.06,9.6,0,0,6,15,5,77.7,21,67,3,0,46.0,221,23,50,218.49,2172,3,2453
Sam Martin,7947,P,BUF,8,18,18,4.3,43.11,48.17,4.4,0,0,1,5,4,66.7,6,63,2,0,38.9,31,7,18,77.33,776,3,867
Tress Way,8358,P,WAS,10,52,52,4.42,44.35,47.79,6.0,0,0,9,17,32,65.7,27,67,3,0,38.5,119,20,52,229.95,2306,3,2485
Pat O'Donnell,8826,P,GB,10,38,38,4.17,40.37,44.89,10.1,1,0,5,13,12,64.3,22,72,4,0,39.5,152,15,39,158.62,1534,1,1706
Bradley Pinion,9598,P,ATL,10,39,39,4.56,40.95,46.79,12.2,0,0,7,11,2,80.6,15,73,3,0,43.6,208,17,39,177.77,1597,1,1825
Riley Dixon,10862,P,LA,9,40,40,4.32,43.08,49.73,10.3,2,0,2,8,26,83.8,8,64,5,0,60.0,246,24,42,172.92,1723,1,1989
Matt Haack,12212,P,IND,10,44,44,4.5,40.77,44.11,7.1,1,0,7,13,14,68.4,21,70,7,0,34.1,107,15,45,198.0,1794,2,1941
Cameron Johnston,12255,P,HST,9,44,44,4.31,42.93,48.7,8.4,0,0,5,11,13,70.3,23,67,2,0,52.3,194,23,44,189.74,1889,3,2143
Corey Bojorquez,27626,P,CLV,9,26,26,4.33,38.58,47.04,16.0,0,0,5,1,8,73.7,12,76,7,0,38.5,160,10,26,112.48,1003,3,1223
Logan Cooke,29214,P,JAX,10,35,35,4.32,43.0,49.43,6.9,0,0,4,5,15,75.6,11,63,1,0,60.0,145,21,35,151.19,1505,4,1730
Tommy Townsend,33007,P,KC,9,27,27,4.8,46.44,51.07,6.5,0,0,5,9,16,80.8,11,74,0,0,37.0,65,10,27,129.64,1254,3,1379
Jake Bailey,33963,P,NE,9,37,37,4.14,35.14,42.05,9.8,0,0,3,8,19,57.5,13,62,5,0,43.2,156,16,37,153.15,1300,5,1556
Jack Fox,34735,P,DET,9,28,28,4.34,39.79,48.68,13.5,0,0,4,5,11,57.7,7,63,1,0,60.7,229,17,28,121.38,1114,1,1363
Michael Dickson,35381,P,SEA,9,35,35,4.33,45.09,49.37,6.5,0,0,4,8,29,67.0,16,68,4,0,48.6,110,17,35,151.52,1578,2,1728
A.J. Cole III,36038,P,LV,9,30,30,4.43,45.6,51.4,11.6,0,0,6,7,23,85.6,16,67,2,0,50.0,174,15,30,132.75,1368,0,1542
J.K. Scott,38809,P,LAC,9,37,37,4.78,41.84,43.35,3.0,0,0,6,16,27,66.6,15,54,2,0,32.4,36,12,37,176.9,1548,1,1604
Corliss Waitman,39620,P,DEN,9,54,54,4.45,40.85,45.87,8.3,0,0,8,18,10,64.4,22,58,1,0,42.6,191,23,54,240.06,2206,4,2477
Mitch Wishnowsky,44663,P,SF,9,31,31,4.33,39.13,42.9,8.1,0,0,10,6,28,72.2,17,74,5,0,22.6,57,7,31,134.18,1213,3,1330
Braden Mann,44664,P,NYJ,9,42,42,4.4,43.38,48.64,7.4,1,0,5,8,22,77.9,13,72,6,0,45.2,141,19,43,184.92,1822,4,2043
Blake Gillikin,45045,P,NO,10,41,41,4.39,42.66,48.1,10.2,0,0,2,15,20,69.2,14,63,6,0,34.1,143,14,41,180.14,1749,4,1972
Ryan Stonehouse,52045,P,TEN,9,51,51,4.35,45.25,53.16,9.8,0,0,6,8,31,68.3,21,74,1,0,60.8,303,31,51,222.04,2308,5,2711
Jordan Stout,57649,P,BLT,9,29,29,4.43,41.86,48.79,9.3,0,0,2,8,3,67.4,11,69,2,0,44.8,121,13,29,128.52,1214,4,1415
Trenton Gill,60295,P,CHI,10,36,36,4.18,41.81,47.61,8.8,1,0,3,12,6,61.2,10,62,1,0,47.2,149,17,37,150.44,1505,3,1714
Pressley Harvin III,62973,P,PIT,9,43,43,4.39,41.3,44.23,5.4,0,0,5,16,25,65.0,13,69,4,0,37.2,86,16,43,188.7,1776,2,1902
Jamie Gillan,63303,P,NYG,9,39,39,4.48,40.9,48.64,11.4,0,0,3,10,21,76.4,12,69,4,0,41.0,182,16,39,174.86,1595,6,1897
Ryan Wright,77591,P,MIN,9,41,41,4.41,43.32,46.51,6.2,0,0,4,12,18,65.3,21,73,4,0,51.2,131,21,41,180.95,1776,0,1907
Arryn Siposs,82019,P,PHI,9,34,34,4.22,41.79,46.32,6.7,0,0,7,8,24,59.8,16,59,2,0,41.2,94,14,34,143.63,1421,3,1575
Jake Camarda,82636,P,TB,10,46,46,4.6,43.8,49.02,8.0,0,0,3,13,30,79.7,18,74,9,0,32.6,120,15,46,211.69,2015,6,2255
