player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Justin Herbert,28237,QB,LAC,13,7.07,0,616,27,76.2,450,500,8.1,2.85,17,19,3.7,64.8,324,225,5.5,551,89.4,19,174,,,,,76.0,76.0,89.1,73.7,,,67.5,,14,7,573,13.3,92.0,5.4,30,21,0,19,20,10,1.7,3408,6.8,76.2,361,397,7.1,2.66,13,12,2.9,65.5,260,170,5.5,440,71.4,15,126,,,,,69.6,70.0,88.5,68.4,,,62.7,,11,6,456,13.5,85.3,5.2,23,17,0,12,11,10,2.2,2447,6.2,85.6,146,164,6.0,2.99,6,7,4.1,72.6,119,62,4.8,176,28.6,6,61,,,,,89.4,83.3,82.9,80.5,60.0,,72.3,,3,1,184,11.3,112.2,4.0,7,5,0,9,10,0,0.0,1255,7.7,0,100.0,57,61,-4.2,1.95,2,0,0.0,90.2,55,7,3.5,65,10.6,2,13,,,,,82.2,68.7,79.1,68.8,60.0,,58.3,,0,0,67,0.0,92.2,0.0,0,1,0,2,1,0,0.0,294,4.8,1.49
Tom Brady,698,QB,TB,13,-1.99,0,602,30,72.5,472,505,9.1,2.44,9,29,5.4,63.2,319,117,6.7,526,87.4,23,168,,,,,83.7,79.5,75.3,79.0,59.9,,44.8,,1,5,561,15.4,87.8,3.4,18,3,3,20,16,13,2.3,3228,6.4,74.3,459,487,7.3,2.26,8,25,4.8,66.1,322,100,5.6,510,84.7,19,144,,,,,83.0,73.0,74.9,72.8,59.9,,44.8,,1,5,542,18.0,86.3,3.5,18,3,3,16,13,12,2.2,2865,5.9,80.2,81,92,8.8,2.64,1,4,4.2,64.1,59,18,9.2,92,15.3,6,38,,,,,84.6,90.0,80.4,87.5,,,,,0,0,96,0.0,102.6,0.0,0,0,0,10,4,2,2.1,720,7.8,0,94.1,68,74,-2.9,1.44,0,0,0.0,83.8,62,1,3.1,76,12.6,2,14,,,,,83.2,61.1,79.6,60.8,,,,,0,0,77,0.0,91.3,0.0,0,0,0,6,1,1,1.3,357,4.8,1.95
Patrick Mahomes,11765,QB,KC,13,0.52,0,569,16,74.9,402,448,9.5,2.99,4,25,5.2,62.3,279,192,7.3,504,88.6,22,212,,,,,90.2,90.7,75.3,86.4,,,90.1,,9,11,543,10.9,100.1,4.2,21,34,0,33,29,15,2.8,3736,8.3,77.1,358,395,7.6,2.77,3,17,4.0,65.6,259,151,6.2,440,77.3,17,181,,,,,88.7,87.2,73.9,81.4,,,90.6,,8,10,473,11.3,98.8,3.9,17,26,0,26,23,13,2.7,3147,8.0,79.4,102,115,9.0,2.99,3,9,7.3,66.1,76,46,6.2,129,22.7,5,53,,,,,87.2,89.2,81.7,87.5,,,63.9,,1,1,137,8.7,119.3,3.1,4,9,0,9,10,2,1.5,1014,8.8,0,96.6,58,62,-3.1,1.52,2,1,1.6,90.3,56,5,0.0,65,11.4,0,22,,,,,82.2,71.0,79.0,70.9,,,58.3,,0,0,67,0.0,116.7,0.0,0,1,0,2,4,0,0.0,425,6.9,0.85
Josh Allen,46601,QB,BUF,13,6.05,0,546,4,75.0,396,431,10.1,2.94,12,34,7.5,62.9,271,178,8.8,505,92.5,26,196,,,,,59.4,90.9,74.6,82.4,,,92.9,,2,11,530,15.7,96.0,5.5,28,46,1,20,25,24,4.5,3394,7.9,74.7,320,350,9.2,2.81,9,28,7.6,62.3,218,141,8.8,414,75.8,21,153,,,,,61.2,90.0,72.6,79.8,,,92.4,,2,8,436,16.3,90.5,5.6,23,40,1,18,16,17,3.9,2590,7.4,79.5,112,120,8.8,2.88,3,6,4.8,68.3,82,40,7.9,132,24.2,7,53,,,,,63.3,81.1,81.7,76.1,,,85.2,,0,3,136,12.5,109.8,3.8,5,7,0,5,10,7,5.1,963,8.0,0,86.1,36,39,-2.4,1.42,0,0,0.0,74.4,29,3,6.5,41,7.5,2,10,,,,,79.3,62.3,77.3,59.5,,,64.4,,0,0,42,0.0,89.6,0.0,0,1,0,3,1,0,0.0,159,4.1,0.63
Joe Burrow,28022,QB,CIN,13,-12.73,0,534,7,76.2,403,435,8.4,2.59,16,20,4.3,67.6,294,139,4.2,494,92.5,13,175,,,,,75.2,89.3,62.4,86.9,56.2,,73.9,,5,9,530,24.5,103.0,6.9,34,24,0,11,26,10,1.9,3479,8.0,79.8,362,393,6.7,2.49,16,15,3.6,70.2,276,116,4.5,445,83.3,13,157,,,,,81.0,87.8,60.5,86.1,57.7,,70.5,,4,7,475,25.0,104.1,6.5,29,22,0,11,22,7,1.5,3042,7.7,64.4,73,80,11.8,2.67,3,5,5.6,57.5,46,27,2.1,89,16.7,1,26,,,,,54.6,76.6,80.5,73.0,60.0,,78.3,,1,2,98,22.2,93.9,6.7,6,2,0,3,5,3,3.1,643,8.0,0,90.6,32,38,-2.4,1.7,3,0,0.0,73.7,28,4,3.4,40,7.5,1,8,,,,,79.5,61.3,77.4,60.9,,,,,0,0,43,25.0,94.8,2.5,1,0,0,3,1,0,0.0,206,5.4,0.3
Kirk Cousins,7102,QB,MIN,13,4.88,0,532,18,75.0,396,442,9.2,2.79,5,24,5.1,63.3,280,198,5.7,484,91.0,17,167,,,,,64.1,76.8,34.8,75.7,56.6,,67.2,,10,9,518,16.7,89.9,6.8,33,9,2,29,18,19,3.7,3179,7.2,74.4,309,342,8.0,2.55,4,19,5.2,64.0,219,139,4.8,373,70.1,11,121,,,,,54.6,72.0,26.6,70.4,55.3,,75.6,,9,6,399,18.7,87.4,7.0,26,5,2,18,11,15,3.8,2340,6.8,83.2,131,148,7.8,3.03,3,5,3.2,68.9,102,64,6.4,159,29.9,7,55,,,,,88.8,80.8,82.6,81.1,56.6,,46.2,,2,3,169,10.9,100.0,4.4,7,4,0,12,9,4,2.4,1017,6.9,0,95.5,44,48,-3.4,1.74,2,0,0.0,85.4,41,5,2.4,48,9.0,1,9,,,,,80.4,68.8,78.1,68.6,55.3,,,,1,0,50,0.0,96.0,0.0,0,0,0,1,2,0,0.0,178,3.7,0.03
Trevor Lawrence,77632,QB,JAX,13,3.86,0,501,15,74.4,356,385,10.0,2.65,11,21,5.2,62.9,242,131,8.7,426,85.0,23,154,,,,,32.5,75.5,88.8,72.2,,,73.5,,3,6,452,17.6,95.6,5.4,23,18,2,13,20,17,3.8,2797,7.3,77.0,326,348,7.7,2.39,10,15,4.1,65.2,227,100,9.6,382,76.2,24,124,,,,,29.2,72.1,88.5,68.5,,,74.2,,1,4,400,17.0,94.2,4.5,17,15,2,9,17,14,3.5,2194,6.3,80.0,100,110,8.6,2.77,3,6,5.0,69.1,76,35,5.0,119,23.8,4,48,,,,,86.8,76.7,81.7,75.5,60.0,,60.8,,2,2,131,17.1,99.6,5.0,6,3,0,5,3,3,2.3,1014,9.2,0,94.3,70,73,-2.9,1.54,2,0,0.0,83.6,61,4,7.6,75,15.0,5,18,,,,,83.3,65.4,79.8,64.9,60.0,,,,0,0,79,0.0,90.1,0.0,0,0,0,1,0,0,0.0,411,5.6,2.92
Geno Smith,7820,QB,SEA,13,10.34,0,487,29,77.3,375,400,9.3,2.88,5,27,6.3,70.5,282,163,2.8,458,94.0,8,173,,,,,81.1,82.0,46.5,79.4,59.0,,76.0,,4,8,488,20.9,108.2,7.4,34,24,0,16,25,22,4.5,3344,8.4,75.1,289,305,8.7,2.71,3,20,6.1,68.5,209,123,3.7,352,72.3,8,117,,,,,75.4,78.2,40.0,75.2,,,77.4,,4,7,376,23.6,100.8,8.2,29,17,0,9,18,16,4.3,2307,7.6,86.0,114,123,7.6,3.07,2,7,5.3,78.9,97,42,1.0,135,27.7,1,59,,,,,87.5,80.9,82.0,79.9,59.0,,60.9,,0,1,145,11.9,120.4,3.7,5,7,0,7,7,6,4.1,1126,9.2,0,89.3,28,28,-3.5,1.72,0,0,0.0,85.7,24,2,4.0,29,6.0,1,3,,,,,77.9,65.3,76.5,64.7,,,,,0,0,33,0.0,79.9,0.0,0,0,0,0,0,0,0.0,89,3.2,1.59
Jared Goff,10635,QB,DET,13,4.85,0,476,11,75.0,360,394,9.3,2.82,5,13,3.1,62.4,246,147,8.9,426,89.5,24,157,,,,,68.2,67.7,89.0,66.5,58.4,,58.8,,5,7,454,12.9,97.2,4.5,19,12,1,23,22,20,4.4,3011,7.6,75.6,291,319,7.8,2.56,8,7,2.1,63.9,204,107,7.3,343,72.1,16,107,,,,,61.3,59.4,88.5,58.3,,,56.3,,4,4,366,13.1,90.6,4.1,14,10,1,15,10,16,4.4,2294,7.2,83.2,113,125,7.9,3.04,2,6,4.5,68.8,86,40,8.5,133,27.9,8,67,,,,,87.3,82.0,81.8,79.8,58.4,,66.4,,1,3,140,12.5,116.7,3.8,5,2,0,9,12,5,3.6,1058,8.5,0,100.0,44,50,-3.5,1.64,5,0,0.0,88.0,44,0,0.0,50,10.5,0,17,,,,,80.6,62.1,78.1,61.7,,,,,0,0,52,,95.1,0.0,0,0,0,1,0,1,1.9,341,6.8,1.27
Matt Ryan,4317,QB,IND,11,-15.19,0,472,14,77.7,355,395,7.3,2.66,8,6,1.4,65.8,260,156,5.8,439,93.0,16,144,,,,,26.6,62.7,58.7,61.8,,,62.8,,4,12,461,22.4,84.1,8.0,35,9,1,27,13,21,4.6,2736,6.9,80.7,326,352,6.3,2.53,5,6,1.6,70.5,248,132,5.7,388,82.2,15,124,,,,,28.6,66.2,56.5,65.5,,,60.2,,3,12,410,22.0,84.3,7.5,29,7,1,17,10,18,4.4,2382,6.8,70.5,61,76,7.0,2.84,4,0,0.0,55.3,42,24,2.3,84,17.8,1,25,,,,,27.7,50.9,80.1,50.1,,,66.4,,1,1,88,25.0,83.3,7.1,6,2,0,10,3,4,4.5,501,6.6,0,93.8,32,33,-3.8,1.62,1,0,0.0,90.9,30,0,0.0,33,7.0,0,5,,,,,78.6,65.1,76.9,64.5,,,,,0,1,37,,72.6,0.0,0,0,0,0,0,1,2.7,147,4.5,-0.18
