player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Tom Brady,698,QB,TB,9,2.26,2.23,3.02,5.1,413,30,80.7,249,257,4.8,1.82,1,10,3.7,75.1,193,26,4.0,261,63.2,8,82,,,,78.4,74.2,84.4,72.8,,,,,1,1,273,15.4,100.8,1.5,4,0,0,6,9,3,1.1,1608,6.3,62.3,122,138,13.0,3.05,4,10,6.7,48.6,67,50,11.8,150,36.3,9,43,,,,88.5,76.7,82.4,75.4,,,59.2,,0,0,164,20.0,73.3,6.7,10,2,0,12,1,5,3.0,939,6.8
Kyler Murray,38334,QB,ARZ,9,2.58,2.37,3.64,5.2,404,1,82.9,217,222,4.5,1.76,4,4,1.7,75.7,168,25,6.7,228,56.4,12,68,,,,75.5,77.2,83.9,75.7,,,,,0,1,242,24.0,101.4,2.6,6,0,0,1,9,2,0.8,1309,5.9,66.4,113,135,11.8,3.69,5,4,2.8,53.3,72,85,4.0,174,43.1,3,48,,,,27.9,50.3,83.0,46.6,,,70.9,,2,5,190,21.2,64.9,10.3,18,21,0,15,3,14,7.4,854,6.3
Joe Burrow,28022,QB,CIN,9,2.46,2.36,2.99,4.14,377,7,81.1,206,218,6.0,1.88,7,7,3.1,72.9,159,33,4.8,226,59.9,8,79,,,,58.9,82.0,83.8,80.1,,,,,1,3,237,24.2,104.8,3.5,8,0,0,4,11,3,1.3,1612,7.4,76.2,101,115,10.4,3.35,5,6,4.8,64.3,74,65,3.9,150,39.8,3,45,,,,67.5,72.9,82.4,69.9,,,72.3,,4,3,163,33.8,98.6,14.7,22,13,0,5,7,7,4.3,923,8.0
Justin Herbert,28237,QB,LAC,8,2.77,2.67,4.04,4.89,373,27,80.4,143,148,4.5,2.0,4,2,1.3,73.0,108,32,6.1,149,39.9,7,54,,,,88.0,71.5,82.1,70.4,,,,,0,2,153,3.1,107.1,0.7,1,0,0,1,11,2,1.3,889,6.0,75.6,176,203,8.6,3.3,9,7,3.3,61.6,125,94,6.0,223,59.8,8,60,,,,75.0,70.1,83.8,69.9,,,56.5,,8,3,236,9.6,78.5,4.0,9,11,0,10,2,4,1.7,1365,6.7
Patrick Mahomes,11765,QB,KC,8,2.76,2.58,3.1,5.53,370,16,81.4,183,188,4.5,1.78,1,3,1.6,74.5,140,28,6.0,188,50.8,9,79,,,,71.2,70.8,83.0,69.7,,,,,1,3,192,0.0,106.3,0.0,0,0,0,3,11,5,2.6,1322,7.0,73.9,115,143,12.6,3.81,4,14,8.2,55.2,79,104,7.1,180,48.6,6,70,,,,90.0,92.3,83.3,90.0,,,88.6,,4,3,208,15.4,100.1,8.9,16,21,0,20,10,5,2.4,1283,9.0
Josh Allen,46601,QB,BUF,8,2.77,2.6,3.46,4.25,343,4,84.6,143,155,3.9,1.78,9,5,3.2,73.5,114,19,5.8,158,46.1,7,59,,,,45.5,83.8,82.3,81.8,,,,,0,1,161,15.8,109.1,1.9,3,0,0,3,10,4,2.5,1000,6.5,64.1,128,142,15.3,3.64,2,16,10.6,54.2,77,91,6.1,184,53.6,5,75,,,,89.8,83.6,33.6,70.4,,,94.1,,2,7,193,14.3,89.0,7.1,13,29,0,10,9,13,6.7,1403,9.9
Aaron Rodgers,2241,QB,GB,9,2.54,2.43,3.59,5.78,341,12,81.3,182,187,4.3,1.63,3,6,3.1,74.3,139,15,6.1,189,55.4,9,59,,,,89.8,77.5,83.1,75.9,,,,,0,4,195,13.3,99.3,1.1,2,0,0,2,9,2,1.0,1261,6.7,66.1,109,129,13.4,3.7,1,14,9.7,51.2,66,76,8.3,151,44.3,6,39,,,,67.5,71.3,82.5,69.1,,,70.9,,3,3,168,21.1,74.8,10.6,16,6,0,16,5,5,3.0,830,6.4
Trevor Lawrence,77632,QB,JAX,9,2.51,2.42,3.24,5.14,330,15,84.6,175,179,4.2,1.82,3,3,1.6,74.9,134,25,9.5,180,54.5,14,57,,,,89.5,65.2,82.9,64.6,,,,,0,2,186,4.0,98.5,0.6,1,0,0,1,7,2,1.1,1100,6.1,61.1,113,127,14.2,3.39,3,7,5.0,50.4,64,66,7.2,148,44.8,5,56,,,,24.9,57.7,82.4,55.1,,,75.4,,2,4,163,16.7,73.6,7.4,11,10,0,9,4,10,6.1,980,7.7
Matt Ryan,4317,QB,IND,7,2.63,2.52,3.35,4.83,326,14,85.4,158,168,5.1,1.98,4,1,0.6,76.2,128,32,5.2,171,52.5,7,59,,,,69.2,71.4,33.2,70.9,,,,,2,4,179,9.4,93.8,1.8,3,0,0,4,5,5,2.8,1140,6.8,71.6,109,128,8.1,3.34,4,1,0.7,58.6,75,78,3.8,155,47.5,3,46,,,,22.9,45.3,82.4,46.3,,,55.5,,1,5,164,26.9,73.4,13.5,21,6,0,14,4,9,5.5,871,6.8
Kirk Cousins,7102,QB,MIN,8,2.66,2.6,2.84,5.32,324,18,75.6,123,133,4.7,1.97,4,4,2.8,65.4,87,39,6.5,137,42.3,6,40,,,,87.6,64.9,81.9,64.3,,,,,3,2,145,10.3,86.5,2.9,4,0,0,3,5,3,2.1,753,5.7,80.4,143,169,9.3,3.18,1,8,4.4,65.1,110,76,4.3,187,57.7,5,68,,,,54.3,81.8,83.2,79.2,,,70.1,,5,4,201,15.8,92.9,6.4,12,6,0,20,8,6,3.0,1245,7.4
