cfbd,PFF,pff_team_id
Air Force,AIR FORCE,101
Akron,AKRON,102
Alabama,ALABAMA,103
Appalachian State,APP STATE,108
Arizona,ARIZONA,109
Arizona State,ARIZONA ST,110
Arkansas,ARKANSAS,111
Arkansas State,ARK STATE,113
Army,ARMY,114
Auburn,AUBURN,115
Ball State,BALL ST,117
Baylor,BAYLOR,118
Boise State,BOISE ST,120
Boston College,BOSTON COL,121
Bowling Green,BOWL GREEN,122
Buffalo,BUFFALO,126
BYU,BYU,128
California,CAL,130
Central Michigan,C MICHIGAN,134
Charlotte,CHARLOTTE,136
Cincinnati,CINCINNATI,138
Clemson,CLEMSON,140
Colorado State,COLO STATE,144
Connecticut,UCONN,146
Duke,DUKE,154
East Carolina,E CAROLINA,156
Eastern Michigan,E MICHIGAN,160
Florida,FLORIDA,163
Florida Atlantic,FAU,165
Florida International,FIU,166
Florida State,FLORIDA ST,167
Fresno State,FRESNO ST,169
Georgia,GEORGIA,173
Georgia Southern,GA SOUTHRN,174
Georgia State,GA STATE,175
Georgia Tech,GA TECH,176
Houston,HOUSTON,182
Illinois,ILLINOIS,187
Indiana,INDIANA,190
Iowa,IOWA,192
Iowa State,IOWA STATE,193
Kansas,KANSAS,198
Kansas State,KANSAS ST,199
Kent State,KENT STATE,201
Kentucky,KENTUCKY,202
Louisiana,LA LAFAYET,207
Louisiana Monroe,LA MONROE,209
Louisiana Tech,LA TECH,208
Louisville,LOUISVILLE,210
Marshall,MARSHALL,214
Maryland,MARYLAND,215
Memphis,MEMPHIS,218
Miami,MIAMI FL,220
Miami (OH),MIAMI OH,221
Michigan,MICHIGAN,222
Michigan State,MICH STATE,223
Middle Tennessee,MIDDLE TN,224
Minnesota,MINNESOTA,225
Mississippi State,MISS STATE,227
Missouri,MISSOURI,229
Navy,NAVY,237
NC State,NC STATE,248
Nebraska,NEBRASKA,238
Nevada,NEVADA,239
New Mexico,NEW MEXICO,241
New Mexico State,NEW MEX ST,242
North Carolina,N CAROLINA,245
Northern Illinois,N ILLINOIS,254
Northwestern,NWESTERN,256
Notre Dame,NOTRE DAME,258
Ohio,OHIO,259
Ohio State,OHIO STATE,260
Oklahoma,OKLAHOMA,261
Oklahoma State,OKLA STATE,262
Old Dominion,DOMINION,263
Ole Miss,OLE MISS,226
Oregon,OREGON,264
Oregon State,OREGON ST,265
Penn State,PENN STATE,266
Pittsburgh,PITTSBURGH,268
Purdue,PURDUE,273
Rice,RICE,275
Rutgers,RUTGERS,278
Sam Houston State,SM HOUSTON,281
San Diego State,S DIEGO ST,284
San José State,S JOSE ST,285
SMU,SMU,287
South Alabama,S ALABAMA,288
South Carolina,S CAROLINA,289
Southern Mississippi,SO MISS,296
South Florida,USF,327
Stanford,STANFORD,300
Syracuse,SYRACUSE,304
TCU,TCU,305
Temple,TEMPLE,306
Tennessee,TENNESSEE,307
Texas,TEXAS,311
Texas A&M,TEXAS A&M,312
Texas State,TEXAS ST,314
Texas Tech,TEXAS TECH,315
Troy,TROY,318
Tulane,TULANE,319
Tulsa,TULSA,320
UCF,UCF,323
UCLA,UCLA,324
UNLV,UNLV,325
USC,USC,326
Utah,UTAH,328
Utah State,UTAH ST,329
UTEP,UTEP,330
UT San Antonio,UTSA,331
Vanderbilt,VANDERBILT,333
Virginia,VIRGINIA,335
Virginia Tech,VA TECH,337
Wake Forest,WAKE,339
Washington,WASHINGTON,340
Washington State,WASH STATE,341
Western Kentucky,W KENTUCKY,346
Western Michigan,W MICHIGAN,347
West Virginia,W VIRGINIA,343
Wisconsin,WISCONSIN,349
Wyoming,WYOMING,351
Colorado,COLORADO,143
Hawai'i,HAWAII,180
Jacksonville State,JVILLE ST,196
Liberty,LIBERTY,206
LSU,LSU,211
North Texas,N TEXAS,251
Toledo,TOLEDO,316
UMass,UMASS,216
James Madison,JAMES MAD,197
Coastal Carolina,COAST CAR,141
UAB,UAB,321
