School,Abbrev,Conf,Rotowire,draftkings,dk_abbrev
ABILENE CH,ACU,Southland,Abilene Christian,Abilene Christian,ACU
AIR FORCE,AFA,MWC,Air Force,Air Force,AF
AKRON,AKR,MAC,Akron,Akron,AKR
ALABAMA,BAMA,SEC,Alabama,Alabama,BAMA
ALAB A&M,AAMU,SWAC,Alabama A&M,Alabama A&M,AAMU
ALABAMA ST,ALST,SWAC,Alabama State,Alabama State,ALST
ALBANY,ALBY,CAA,Albany,Albany,ALBY
ALCORN ST,ALCN,SWAC,Alcorn State,Alcorn State,ALCN
APP STATE,APPST,SBC,Appalachian State,Appalachian State,APPST
ARIZONA,ARIZ,P12,Arizona,Arizona,ARIZ
ARIZONA ST,ASU,P12,Arizona State,Arizona State,ASU
ARKANSAS,ARK,SEC,Arkansas,Arkansas,ARK
ARK STATE,ARST,SBC,Arkansas State,Arkansas State,ARST
ARKAPB,ARPB,SWAC,Arkansas-Pine Bluff,Arkansas-Pine Bluff,ARPB
ARMY,ARMY,IND,Army,Army West Point,ARMY
AUBURN,AUB,SEC,Auburn,Auburn,AUB
AUSTINPEAY,PEAY,OVC,Austin Peay,Austin Peay,PEAY
BALL ST,BALL,MAC,Ball State,Ball State,BALL
BAYLOR,BAY,B12,Baylor,Baylor,BAY
BETHUNE-COOKMAN,COOK,MEAC,Bethune-Cookman,Bethune-Cookman,COOK
BOISE ST,BSU,MWC,Boise State,Boise State,BSU
BOSTON COL,BC,ACC,Boston College,Boston College,BC
BOWL GREEN,BGSU,MAC,Bowling Green,Bowling Green,BGSU
BROWN,BRWN,Ivy,Brown,Brown,BRWN
BRYANT,BRY,NEC,Bryant,Bryant,BRY
BUCKNELL,BUCK,Patriot,Bucknell,Bucknell,BUCK
BUFFALO,BUFF,MAC,Buffalo,Buffalo,BUFF
BUTLER,BUT,Pioneer,Butler,Butler,BUT
BYU,BYU,IND,BYU,BYU,BYU
CAL,CAL,P12,CAL,California,CAL
CAL POLY,CP,Big Sky,Cal Poly,Cal Poly,CP
CAMPBELL,CAMP,Pioneer,Campbell,Campbell,CAMP
CENT ARK,UCA,Southland,Central Arkansas,Central Arkansas,UCA
CENTRAL CONNECTICUT,CCSU,NEC,Central Connecticut,Central Connecticut,CCSU
C MICHIGAN,CMU,MAC,Central Michigan,Central Michigan,CMU
CHARLES SO,CHSO,Big South,Charleston Southern,Charleston Southern,CHSO
CHARLOTTE,CHAR,CUSA,Charlotte,Charlotte,CHAR
CHATTNOOGA,CHAT,SoCon,Chattanooga,Chattanooga,CHAT
CINCINNATI,CINCY,AAC,Cincinnati,Cincinnati,CINCY
CLEMSON,CLEM,ACC,Clemson,Clemson,CLEM
COAST CAR,CCAR,Big South,Coastal Carolina,Coastal Carolina,CCAR
COLGATE,COLG,Patriot,Colgate,Colgate,COLG
COLORADO,COL,P12,Colorado,Colorado,COL
COLO STATE,CSU,MWC,Colorado State,Colorado State,CSU
COLUMBIA,CLMB,Ivy,Columbia,Columbia,CLMB
CORNELL,COR,Ivy,Cornell,Cornell,COR
DARTMOUTH,DART,Ivy,Dartmouth,Dartmouth,DART
