player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Rahm, Jon",150,pga,1,0,1,0,null
"Cantlay, Patrick",150,pga,2,0,4,-1,null
"Thomas, Justin",150,pga,3,0,7,-1,null
"Berger, Daniel",150,pga,4,1,16,4,null
"Hovland, Viktor",150,pga,5,1,3,2,null
"Smith, Cameron",150,pga,6,-2,11,0,null
"McIlroy, Rory",150,pga,7,3,6,2,null
"Johnson, Dustin",150,pga,8,7,5,-1,null
"Im, Sungjae",150,pga,9,2,23,1,null
"Schauffele, Xander",150,pga,10,-1,8,-1,null
"DeChambeau, Bryson",150,pga,11,-3,9,0,null
"Scheffler, Scottie",150,pga,12,0,14,1,null
"Burns, Sam",150,pga,13,-6,13,0,null
"Matsuyama, Hideki",150,pga,14,-1,10,0,null
"Morikawa, Collin",150,pga,15,-1,2,0,null
"Henley, Russell",150,pga,16,0,40,-1,null
"Hatton, Tyrrell",150,pga,17,3,21,1,null
"Gooch, Talor",150,pga,18,1,33,-1,null
"Oosthuizen, Louis",150,pga,19,-2,12,0,null
"Garcia, Sergio",150,pga,20,9,45,-3,null
"Simpson, Webb",150,pga,21,-3,30,-1,null
"Casey, Paul",150,pga,22,2,27,0,null
"Tringale, Cameron",150,pga,23,7,49,9,null
"Scott, Adam",150,pga,24,3,43,7,null
"Rose, Justin",150,pga,25,8,39,9,null
"Na, Kevin",150,pga,26,-3,28,0,null
"Lowry, Shane",150,pga,27,-1,47,2,null
"Zalatoris, Will",150,pga,28,10,29,7,null
"Power, Seamus",150,pga,29,-4,50,-3,null
"Conners, Corey",150,pga,30,-9,42,-2,null
"Leishman, Marc",150,pga,31,4,35,-1,null
"Finau, Tony",150,pga,32,-10,17,-1,null
"List, Luke",150,pga,33,13,56,95,null
"McNealy, Maverick",150,pga,34,2,72,0,null
"Niemann, Joaquin",150,pga,35,20,32,1,null
"Wise, Aaron",150,pga,36,3,76,-6,null
"Fitzpatrick, Matthew",150,pga,37,-5,25,0,null
"Horschel, Billy",150,pga,38,11,24,-1,null
"Pieters, Thomas",150,euro,39,1,31,0,null
"Hughes, Mackenzie",150,pga,40,2,48,-3,null
"Ancer, Abraham",150,pga,41,-7,20,-1,null
"Kokrak, Jason",150,pga,42,-5,22,-1,null
"Fleetwood, Tommy",150,pga,43,2,46,-3,null
"Spieth, Jordan",150,pga,44,-13,15,-1,null
"Griffin, Lanto",150,pga,45,3,86,0,null
"Palmer, Ryan",150,pga,46,11,52,-1,null
"English, Harris",150,pga,47,-4,19,-1,null
"Varner III, Harold",150,pga,48,-4,99,-5,null
"Koepka, Brooks",150,pga,49,-8,18,-1,null
"Poulter, Ian",150,pga,50,-22,59,-6,null
"Van Rooyen, Erik",150,pga,51,8,60,3,null
"Vegas, Jhonattan",150,pga,52,-2,91,-4,null
"Reed, Patrick",150,pga,53,-6,26,0,null
"Bezuidenhout, Christiaan",150,pga,54,-2,55,-3,null
"Wiesberger, Bernd",150,euro,55,1,62,-3,null
"McCarthy, Denny",150,pga,56,-3,159,-4,null
"Hoge, Tom",150,pga,57,-6,68,-4,null
"Howell III, Charles",150,pga,58,-4,189,-1,null
"Day, Jason",150,pga,59,16,83,46,null
"Noren, Alex",150,pga,60,0,74,4,null
"Pereira, Mito",150,kft,61,18,95,4,null
"Kim, Si Woo",150,pga,62,11,54,0,null
"Harman, Brian",150,pga,63,-2,58,-2,null
"Moore, Taylor",150,kft,64,-6,135,-3,null
"Bland, Richard",150,euro,65,31,53,27,null
"Homa, Max",150,pga,66,-1,37,-2,null
"Kuchar, Matt",150,pga,67,-3,117,-4,null
"Rai, Aaron",150,euro,68,25,92,22,null
"Wolff, Matthew",150,pga,69,-7,34,-4,null
"Hoffman, Charley",150,pga,70,-1,85,-4,null
"Woodland, Gary",150,pga,71,3,131,-4,null
"Jones, Matt",150,pga,72,-5,75,-1,null
"Perez, Pat",150,pga,73,29,223,66,null
"Bradley, Keegan",150,pga,74,-8,89,-7,null
"Merritt, Troy",150,pga,75,-4,119,-4,null
"Rodgers, Patrick",150,pga,76,-4,212,-4,null
"Dahmen, Joel",150,pga,77,-14,106,-9,null
"Mitchell, Keith",150,pga,78,-10,87,-3,null
"Lee, Kyounghoon",150,pga,79,-2,70,-2,null
"Johnson, Zach",150,pga,80,-2,184,-4,null
"Streelman, Kevin",150,pga,81,7,88,-3,null
"Davis, Cameron",150,pga,82,3,80,-7,null
"Burmester, Dean",150,euro,83,-13,71,-2,null
"Kirk, Chris",150,pga,84,-3,111,-4,null
"Thompson, Michael",150,pga,85,38,146,15,null
"Kizzire, Patton",150,pga,86,-2,152,-7,null
"Putnam, Andrew",150,pga,87,-4,151,-4,null
"Todd, Brendon",150,pga,88,-2,148,-4,null
"Kisner, Kevin",150,pga,89,-2,36,1,null
"Pendrith, Taylor",150,kft,90,37,215,32,null
"Ghim, Doug",150,pga,91,14,226,8,null
"Meronk, Adrian",150,euro,92,38,137,35,null
"Smalley, Alex",150,pga,93,1,300,1,null
"Horsfield, Sam",150,euro,94,38,82,22,null
"Munoz, Sebastian",150,pga,95,9,66,0,null
"Laird, Martin",150,pga,96,33,136,4,null
"Schwab, Matthias",150,euro,97,-15,173,-3,null
"Glover, Lucas",150,pga,98,0,97,-4,null
"Watson, Bubba",150,pga,99,-2,105,-5,null
"Ortiz, Carlos",150,pga,100,-20,64,-2,null
