"","teams","lines","totals"
"1","East Carolina",4.5,51.5
"2","Cincinnati",-4.5,51.5
"3","Colorado",34.5,66
"4","USC",-34.5,66
"5","Fresno State",-9.5,61
"6","UNLV",9.5,61
"7","LSU",-3.5,61.5
"8","Arkansas",3.5,61.5
"9","Missouri",20,57
"10","Tennessee",-20,57
"11","Notre Dame",-15.5,39.5
"12","Navy",15.5,39.5
"13","Vanderbilt",18,47
"14","Kentucky",-18,47
"15","Oklahoma",-7.5,68
"16","West Virginia",7.5,68
"17","Purdue",6.5,44.5
"18","Illinois",-6.5,44.5
"19","Virginia Tech",9.5,49.5
"20","Duke",-9.5,49.5
"21","Liberty",-14,45
"22","UConn",14,45
"23","SMU",-17.5,72.5
"24","South Florida",17.5,72.5
"25","Pittsburgh",-5.5,41
"26","Virginia",5.5,41
"27","Indiana",40.5,59
"28","Ohio State",-40.5,59
"29","James Madison",-7.5,47
"30","Old Dominion",7.5,47
"31","ULM",13.5,59
"32","Georgia State",-13.5,59
"33","Temple",20,56.5
"34","Houston",-20,56.5
"35","Rice",13,60.5
"36","Western Kentucky",-13,60.5
"37","Massachusetts",17,49.5
"38","Arkansas State",-17,49.5
"39","Alabama",-11.5,65
"40","Ole Miss",11.5,65
"41","Maryland",10,57
"42","Penn State",-10,57
"43","Louisville",7,52
"44","Clemson",-7,52
"45","Nebraska",30.5,48.5
"46","Michigan",-30.5,48.5
"47","Northwestern",17.5,41
"48","Minnesota",-17.5,41
"49","UCF",1.5,53.5
"50","Tulane",-1.5,53.5
"51","Wisconsin",NA,35.5
"52","Iowa",NA,35.5
"53","Boston College",18,41
"54","North Carolina State",-18,41
"55","New Mexico",21,37.5
"56","Air Force",-21,37.5
"57","Iowa State",-1.5,49
"58","Oklahoma State",1.5,49
"59","Arizona State",8,59.5
"60","Washington State",-8,59.5
"61","Army West Point",9,45.5
"62","Troy",-9,45.5
"63","Louisiana Tech",18,68
"64","UTSA",-18,68
"65","Miami FL",1.5,44
"66","Georgia Tech",-1.5,44
"67","Appalachian State",NA,47.5
"68","Marshall",NA,47.5
"69","Charlotte",10.5,67
"70","Middle Tennessee",-10.5,67
"71","North Texas",6,57.5
"72","UAB",-6,57.5
"73","South Carolina",8,59
"74","Florida",-8,59
"75","Texas State",16.5,46
"76","South Alabama",-16.5,46
"77","Georgia",-16.5,53.5
"78","Mississippi State",16.5,53.5
"79","Washington",13,72.5
"80","Oregon",-13,72.5
"81","Kansas State",2.5,52
"82","Baylor",-2.5,52
"83","Kansas",3.5,64
"84","Texas Tech",-3.5,64
"85","Wyoming",-8.5,43
"86","Colorado State",8.5,43
"87","Florida Atlantic",-15.5,54.5
"88","FIU",15.5,54.5
"89","TCU",7.5,65
"90","Texas",-7.5,65
"91","North Carolina",4,78
"92","Wake Forest",-4,78
"93","Southern Mississippi",5,48
"94","Coastal Carolina",-5,48
"95","Texas A&M",1.5,48.5
"96","Auburn",-1.5,48.5
"97","Florida State",-7,51
"98","Syracuse",7,51
"99","California",14,49
"100","Oregon State",-14,49
"101","Stanford",23.5,54
"102","Utah",-23.5,54
"103","Arizona",20,77
"104","UCLA",-20,77
"105","Boise State",-21,46
"106","Nevada",21,46
"107","San Jose State",-2.5,40.5
"108","San Diego State",2.5,40.5
"109","Utah State",-11,53
"110","Hawaii",11,53
"111","SMU",3,51.5
"112","Tulane",-3,51.5
"113","Illinois",14,66
"114","Michigan",-14,66
"115","North Carolina State",5,61
"116","Louisville",-5,61
"117","Texas",-8,61.5
"118","Kansas",8,61.5
"119","USC",1,57
"120","UCLA",-1,57
"121","Utah",6,39.5
"122","Oregon",-6,39.5
"123","TCU",2,47
"124","Baylor",-2,47
"125","Ole Miss",NA,68
"126","Arkansas",NA,68
