"","teams","lines","totals"
"1","East Carolina",6.5,59.5
"2","Cincinnati",-6.5,59.5
"3","Fresno State",-8.5,62
"4","UNLV",8.5,62
"5","LSU",-3.5,62
"6","Arkansas",3.5,62
"7","Notre Dame",-17,40.5
"8","Navy",17,40.5
"9","Missouri",20,56.5
"10","Tennessee",-20,56.5
"11","Vanderbilt",17.5,46.5
"12","Kentucky",-17.5,46.5
"13","Purdue",6.5,44.5
"14","Illinois",-6.5,44.5
"15","Virginia Tech",9.5,49.5
"16","Duke",-9.5,49.5
"17","Oklahoma",-7.5,68
"18","West Virginia",7.5,68
"19","Liberty",-14,45
"20","UConn",14,45
"21","Pittsburgh",-5.5,41
"22","Virginia",5.5,41
"23","SMU",-17.5,73
"24","South Florida",17.5,73
"25","Indiana",40.5,60
"26","Ohio State",-40.5,60
"27","James Madison",-7.5,48
"28","Old Dominion",7.5,48
"29","ULM",13.5,59.5
"30","Georgia State",-13.5,59.5
"31","Temple",20,56.5
"32","Houston",-20,56.5
"33","Rice",13,61.5
"34","Western Kentucky",-13,61.5
"35","Massachusetts",17,49.5
"36","Arkansas State",-17,49.5
"37","Maryland",10.5,57
"38","Penn State",-10.5,57
"39","Louisville",7,52
"40","Clemson",-7,52
"41","Alabama",-10.5,65
"42","Ole Miss",10.5,65
"43","Nebraska",30.5,49.5
"44","Michigan",-30.5,49.5
"45","UCF",1.5,54.5
"46","Tulane",-1.5,54.5
"47","Wisconsin",1,35.5
"48","Iowa",-1,35.5
"49","Boston College",18,41
"50","North Carolina State",-18,41
"51","Northwestern",17.5,41
"52","Minnesota",-17.5,41
"53","Army West Point",8,45.5
"54","Troy",-8,45.5
"55","Iowa State",-1.5,49
"56","Oklahoma State",1.5,49
"57","Arizona State",9.5,59.5
"58","Washington State",-9.5,59.5
"59","New Mexico",21,37
"60","Air Force",-21,37
"61","Louisiana Tech",17.5,68
"62","UTSA",-17.5,68
"63","Miami FL",1.5,44.5
"64","Georgia Tech",-1.5,44.5
"65","North Texas",6,57.5
"66","UAB",-6,57.5
"67","Appalachian State",NA,47
"68","Marshall",NA,47
"69","Charlotte",10.5,67
"70","Middle Tennessee",-10.5,67
"71","South Carolina",8,58
"72","Florida",-8,58
"73","Texas State",16.5,46
"74","South Alabama",-16.5,46
"75","Washington",12,73
"76","Oregon",-12,73
"77","Georgia",-16.5,52
"78","Mississippi State",16.5,52
"79","Kansas State",2.5,53
"80","Baylor",-2.5,53
"81","Kansas",3.5,64.5
"82","Texas Tech",-3.5,64.5
"83","Wyoming",-8.5,42.5
"84","Colorado State",8.5,42.5
"85","Florida Atlantic",-15.5,54.5
"86","FIU",15.5,54.5
"87","TCU",7.5,64.5
"88","Texas",-7.5,64.5
"89","North Carolina",4,78.5
"90","Wake Forest",-4,78.5
"91","Southern Mississippi",4.5,48
"92","Coastal Carolina",-4.5,48
"93","Texas A&M",1.5,48
"94","Auburn",-1.5,48
"95","Florida State",-7.5,51
"96","Syracuse",7.5,51
"97","California",12.5,47.5
"98","Oregon State",-12.5,47.5
"99","Stanford",23.5,54
"100","Utah",-23.5,54
"101","Arizona",20,76.5
"102","UCLA",-20,76.5
"103","Boise State",-21,47
"104","Nevada",21,47
"105","San Jose State",-2.5,41
"106","San Diego State",2.5,41
"107","Utah State",-10.5,55
"108","Hawaii",10.5,55
"109","SMU",3,59.5
"110","Tulane",-3,59.5
"111","Illinois",14.5,62
"112","Michigan",-14.5,62
"113","North Carolina State",5,62
"114","Louisville",-5,62
"115","Texas",-8,40.5
"116","Kansas",8,40.5
"117","Utah",6,56.5
"118","Oregon",-6,56.5
"119","USC",1,46.5
"120","UCLA",-1,46.5
"121","TCU",2,44.5
"122","Baylor",-2,44.5
"123","Ole Miss",-1,49.5
"124","Arkansas",1,49.5
