"","teams","lines","totals"
"1","Florida State",-2.5,57
"2","Louisville",2.5,57
"3","Air Force",-15.5,47
"4","Wyoming",15.5,47
"5","Georgia",-25,55
"6","South Carolina",25,55
"7","Oklahoma",-11,66
"8","Nebraska",11,66
"9","Purdue",1.5,60
"10","Syracuse",-1.5,60
"11","Texas State",30,53
"12","Baylor",-30,53
"13","Western Kentucky",6.5,62.5
"14","Indiana",-6.5,62.5
"15","Cincinnati",-22,50.5
"16","Miami OH",22,50.5
"17","UConn",47.5,60
"18","Michigan",-47.5,60
"19","Buffalo",14,59.5
"20","Coastal Carolina",-14,59.5
"21","South Alabama",15.5,60.5
"22","UCLA",-15.5,60.5
"23","Ohio",18.5,47.5
"24","Iowa State",-18.5,47.5
"25","Old Dominion",8,52.5
"26","Virginia",-8,52.5
"27","California",11,40.5
"28","Notre Dame",-11,40.5
"29","Tulane",14,47.5
"30","Kansas State",-14,47.5
"31","North Texas",3,63.5
"32","UNLV",-3,63.5
"33","Penn State",-3,47.5
"34","Auburn",3,47.5
"35","BYU",3.5,57
"36","Oregon",-3.5,57
"37","Ole Miss",-16.5,64
"38","Georgia Tech",16.5,64
"39","Troy",12.5,51.5
"40","Appalachian State",-12.5,51.5
"41","Colorado",28,47
"42","Minnesota",-28,47
"43","Vanderbilt",2.5,58.5
"44","Northern Illinois",-2.5,58.5
"45","Georgia Southern",11.5,57
"46","UAB",-11.5,57
"47","New Mexico State",37,46
"48","Wisconsin",-37,46
"49","Kansas",8.5,57.5
"50","Houston",-8.5,57.5
"51","ULM",49.5,61.5
"52","Alabama",-49.5,61.5
"53","Liberty",16.5,63.5
"54","Wake Forest",-16.5,63.5
"55","Marshall",-16.5,51.5
"56","Bowling Green",16.5,51.5
"57","Colorado State",16.5,54
"58","Washington State",-16.5,54
"59","Mississippi State",-2.5,52.5
"60","LSU",2.5,52.5
"61","Texas Tech",10,56
"62","North Carolina State",-10,56
"63","Toledo",32,62
"64","Ohio State",-32,62
"65","Arkansas State",14.5,65
"66","Memphis",-14.5,65
"67","Charlotte",19,61.5
"68","Georgia State",-19,61.5
"69","Akron",47.5,67
"70","Tennessee",-47.5,67
"71","Michigan State",3,56.5
"72","Washington",-3,56.5
"73","Nevada",23,39
"74","Iowa",-23,39
"75","Pittsburgh",-10,47.5
"76","Western Michigan",10,47.5
"77","SMU",2.5,74
"78","Maryland",-2.5,74
"79","South Florida",24.5,60
"80","Florida",-24.5,60
"81","UCF",-8,62
"82","Florida Atlantic",8,62
"83","Louisiana-Lafayette",-11.5,50.5
"84","Rice",11.5,50.5
"85","UTSA",12.5,60.5
"86","Texas",-12.5,60.5
"87","UTEP",-2.5,38.5
"88","New Mexico",2.5,38.5
"89","Louisiana Tech",33,54
"90","Clemson",-33,54
"91","Miami FL",6,44.5
"92","Texas A&M",-6,44.5
"93","San Diego State",21,50
"94","Utah",-21,50
"95","Fresno State",12.5,74
"96","USC",-12.5,74
"97","Eastern Michigan",20.5,56.5
"98","Arizona State",-20.5,56.5
"99","Notre Dame",1,57
"100","North Carolina",-1,57
"101","Wisconsin",16.5,47
"102","Ohio State",-16.5,47
"103","USC",-6,55
"104","Oregon State",6,55
"105","Florida",7,66
"106","Tennessee",-7,66
"107","Arkansas",1.5,60
"108","Texas A&M",-1.5,60
"109","Kansas State",12,53
"110","Oklahoma",-12,53
"111","Clemson",-7.5,62.5
"112","Wake Forest",7.5,62.5
"113","Minnesota",3,50.5
"114","Michigan State",-3,50.5
"115","James Madison",10,60
"116","Appalachian State",-10,60
"117","TCU",-1,59.5
"118","SMU",1,59.5
