"","team","key","conf","url"
"51","california",90245,"pac12","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/california/90245"
"52","colorado",90337,"pac12","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/colorado/90337"
"53","oregon",91625,"pac12","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/oregon/91625"
"54","oregon-state",91648,"pac12","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/oregon-state/91648"
"55","stanford",91901,"pac12","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/stanford/91901"
"56","ucla",92223,"pac12","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/ucla/92223"
"57","usc",92269,"pac12","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/usc/92269"
"58","utah",92292,"pac12","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/utah/92292"
"59","washington",92453,"pac12","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/washington/92453"
"60","washington-state",92476,"pac12","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/washington-state/92476"
"61","alabama",89923,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/alabama/89923"
"62","arkansas",89992,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/arkansas/89992"
"63","auburn",90061,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/auburn/90061"
"64","florida",90498,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/florida/90498"
"65","georgia",90590,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/georgia/90590"
"66","kentucky",90866,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/kentucky/90866"
"67","lsu",90981,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/lsu/90981"
"68","ole-miss",91602,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/ole-miss/91602"
"69","mississippi-state",91211,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/mississippi-state/91211"
"70","missouri",91234,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/missouri/91234"
"71","south-carolina",91832,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/south-carolina/91832"
"72","tennessee",91993,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/tennessee/91993"
"73","texas-am",92039,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/texas-am/92039"
"74","vanderbilt",92361,"sec","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/vanderbilt/92361"
"75","appalacian-state",92913,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/appalacian-state/92913"
"76","arkansas-state",90015,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/arkansas-state/90015"
"77","coastal-carolina",92959,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/coastal-carolina/92959"
"78","georgia-southern",92890,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/georgia-southern/92890"
"79","georgia-state",92752,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/georgia-state/92752"
"80","james-madison",93005,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/james-madison/93005"
"81","louisiana",90912,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/louisiana/90912"
"82","louisiana-monroe",90935,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/louisiana-monroe/90935"
"83","marshall",91004,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/marshall/91004"
"84","old-dominion",92867,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/old-dominion/92867"
"85","south-alabama",92798,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/south-alabama/92798"
"86","southern-miss",91878,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/southern-miss/91878"
"87","texas-state",92821,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/texas-state/92821"
"88","troy",92108,"sunbelt","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/troy/92108"
"89","air-force",89877,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/air-force/89877"
"90","boise-state",90130,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/boise-state/90130"
"91","colorado-state",90360,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/colorado-state/90360"
"92","fresno-state",90567,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/fresno-state/90567"
"93","hawaii",90636,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/hawaii/90636"
"94","nevada",91326,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/nevada/91326"
"95","new-mexico",91349,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/new-mexico/91349"
"96","san-diego-state",91786,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/san-diego-state/91786"
"97","san-jose-state",92729,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/san-jose-state/92729"
"98","unlv",92246,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/unlv/92246"
"99","utah%20state",92315,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/utah%20state/92315"
"100","wyoming",92568,"mwc","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/wyoming/92568"
"101","akron",89900,"mac","https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/akron/89900"
