School,Abbrev,Conf,Rotowire,draftkings
ABILENE CH,ACU,Southland,Abilene Christian,Abilene Christian
AIR FORCE,AFA,MWC,Air Force,Air Force
AKRON,AKR,MAC,Akron,Akron
ALABAMA,BAMA,SEC,Alabama,Alabama
ALAB A&M,AAMU,SWAC,Alabama A&M,Alabama A&M
ALABAMA ST,ALST,SWAC,Alabama State,Alabama State
ALBANY,ALBY,CAA,Albany,Albany
ALCORN ST,ALCN,SWAC,Alcorn State,Alcorn State
APP STATE,APPST,SBC,Appalachian State,Appalachian State
ARIZONA,ARIZ,P12,Arizona,Arizona
ARIZONA ST,ASU,P12,Arizona State,Arizona State
ARKANSAS,ARK,SEC,Arkansas,Arkansas
ARK STATE,ARST,SBC,Arkansas State,Arkansas State
ARKAPB,ARPB,SWAC,Arkansas-Pine Bluff,Arkansas-Pine Bluff
ARMY,ARMY,IND,Army,Army West Point
AUBURN,AUB,SEC,Auburn,Auburn
AUSTINPEAY,PEAY,OVC,Austin Peay,Austin Peay
BALL ST,BALL,MAC,Ball State,Ball State
BAYLOR,BAY,B12,Baylor,Baylor
BETHUNE-COOKMAN,COOK,MEAC,Bethune-Cookman,Bethune-Cookman
BOISE ST,BSU,MWC,Boise State,Boise State
BOSTON COL,BC,ACC,Boston College,Boston College
BOWL GREEN,BGSU,MAC,Bowling Green,Bowling Green
BROWN,BRWN,Ivy,Brown,Brown
BRYANT,BRY,NEC,Bryant,Bryant
BUCKNELL,BUCK,Patriot,Bucknell,Bucknell
BUFFALO,BUFF,MAC,Buffalo,Buffalo
BUTLER,BUT,Pioneer,Butler,Butler
BYU,BYU,IND,BYU,BYU
CAL,CAL,P12,CAL,California
CAL POLY,CP,Big Sky,Cal Poly,Cal Poly
CAMPBELL,CAMP,Pioneer,Campbell,Campbell
CENT ARK,UCA,Southland,Central Arkansas,Central Arkansas
CENTRAL CONNECTICUT,CCSU,NEC,Central Connecticut,Central Connecticut
C MICHIGAN,CMU,MAC,Central Michigan,Central Michigan
CHARLES SO,CHSO,Big South,Charleston Southern,Charleston Southern
CHARLOTTE,CHAR,CUSA,Charlotte,Charlotte
CHATTNOOGA,CHAT,SoCon,Chattanooga,Chattanooga
CINCINNATI,CINCY,AAC,Cincinnati,Cincinnati
CLEMSON,CLEM,ACC,Clemson,Clemson
COAST CAR,CCAR,Big South,Coastal Carolina,Coastal Carolina
COLGATE,COLG,Patriot,Colgate,Colgate
COLORADO,COL,P12,Colorado,Colorado
COLO STATE,CSU,MWC,Colorado State,Colorado State
COLUMBIA,CLMB,Ivy,Columbia,Columbia
CORNELL,COR,Ivy,Cornell,Cornell
DARTMOUTH,DART,Ivy,Dartmouth,Dartmouth
DAVIDSON,DAV,Pioneer,Davidson,Davidson
DAYTON,DAY,Pioneer,Dayton,Dayton
DELAWARE,DEL,CAA,Delaware,Delaware
DELWARE ST,DSU,MEAC,Delaware State,Delaware State
DRAKE,DRKE,Pioneer,Drake,Drake
DUKE,DUKE,ACC,Duke,Duke
DUQUESNE,DUQ,NEC,Duquesne,Duquesne
EASTERN ILLINOIS,EIU,OVC,Eastern Illinois,Eastern Illinois
EASTERN KENTUCKY,EKY,OVC,Eastern Kentucky,Eastern Kentucky
E MICHIGAN,EMU,MAC,Eastern Michigan,Eastern Michigan
EASTERN WASHINGTON,EWU,Big Sky,Eastern Washington,Eastern Washington
ECU,ECU,AAC,ECU,ECU
ELON,ELON,CAA,Elon,Elon
ETSU,ETSU,SoCon,ETSU,ETSU
FAU,FAU,CUSA,FAU,FAU
FIU,FIU,CUSA,Florida International,Florida International
FLORIDA,UF,SEC,Florida,Florida
FL A&M,FAMU,MEAC,Florida A&M,Florida A&M
FLORIDA ST,FSU,ACC,Florida State,Florida State
FORDHAM,FOR,Patriot,Fordham,Fordham
FRESNO ST,FRES,MWC,Fresno State,Fresno State
FURMAN,FUR,SoCon,Furman,Furman
GARDNER-WEBB,WEBB,Big South,Gardner-Webb,Gardner-Webb
GEORGETOWN,GTWN,Patriot,Georgetown,Georgetown
GEORGIA,UGA,SEC,Georgia,Georgia
GA SOUTHERN,GASO,SBC,Georgia Southern,Georgia Southern
GA ST,GAST,SBC,Georgia State,Georgia State
GA TECH,GT,ACC,Georgia Tech,Georgia Tech
GRAMBLING ST,GRAM,SWAC,Grambling State,Grambling State
HAMPTON,HAMP,MEAC,Hampton,Hampton
HARVARD,HARV,Ivy,Harvard,Harvard
HAWAII,HAW,MWC,Hawaii,Hawaii
HOLY CROSS,HC,Patriot,Holy Cross,Holy Cross
HOUSTON,UH,AAC,Houston,Houston
HOUSTON BAPTIST,HBU,Southland,Houston Baptist,Houston Baptist
HOWARD,HOW,MEAC,Howard,Howard
IDAHO,IDHO,SBC,Idaho,Idaho
IDAHO ST,IDST,Big Sky,Idaho State,Idaho State
ILLINOIS,IL,B1G,Illinois,Illinois
ILLINOIS ST,ILST,MVFC,Illinois State,Illinois State
INCARNATE WORD,IW,Southland,Incarnate Word,Incarnate Word
INDIANA,IU,B1G,Indiana,Indiana
INDIANA ST,INST,MVFC,Indiana State,Indiana State
IOWA,IOWA,B1G,Iowa,Iowa
IOWA STATE,ISU,B12,Iowa State,Iowa State
JACKSON ST,JKST,SWAC,Jackson State,Jackson State
JACKSONVILLE,JAC,Pioneer,Jacksonville,Jacksonville
JACKSONVILLE ST,JVST,OVC,Jacksonville State,Jacksonville State
JAMES MADISON,JMU,CAA,James Madison,James Madison
KANSAS,KU,B12,Kansas,Kansas
KANSAS ST,KSU,B12,Kansas State,Kansas State
KENNESAW ST,KENN,Big South,Kennesaw State,Kennesaw State
KENT STATE,KENT,MAC,Kent State,Kent State
KENTUCKY,UK,SEC,Kentucky,Kentucky
LAFAYETTE,LAF,Patriot,Lafayette,Lafayette
LAMAR,LAM,Southland,Lamar,Lamar
LEHIGH,LEH,Patriot,Lehigh,Lehigh
LIBERTY,LIB,Big South,Liberty,Liberty
LA LAFAYET,ULL,SBC,Louisiana-Lafayette,Louisiana-Lafayette
LA MONROE,ULM,SBC,Louisiana-Monroe,Louisiana-Monroe
LA TECH,LT,CUSA,Louisiana Tech,Louisiana Tech
LOUISVILLE,LOU,ACC,Louisville,Louisville
LSU,LSU,SEC,LSU,LSU
MAINE,MNE,CAA,Maine,Maine
MARIST,MRST,Pioneer,Marist,Marist
MARSHALL,MRSH,CUSA,Marshall,Marshall
MARYLAND,UMD,B1G,Maryland,Maryland
MCNEESE ST,MCNS,Southland,Mcneese State,Mcneese State
MEMPHIS,MEM,AAC,Memphis,Memphis
MERCER,MER,SoCon,Mercer,Mercer
MIAMI FL,MIA,ACC,Miami,Miami FL
MIAMI OH,M-OH,MAC,Miami Oh,Miami Oh
MICH STATE,MSU,B1G,Michigan State,Michigan State
MICHIGAN,MICH,B1G,Michigan,Michigan
MIDDLE TENNESSEE,MTSU,CUSA,Middle Tennessee,Middle Tennessee
MINNESOTA,MINN,B1G,Minnesota,Minnesota
MISS ST,MSST,SEC,Mississippi State,Mississippi State
MISSISSIPPI VALLEY ST,MVSU,SWAC,Mississippi Valley State,Mississippi Valley State
MISSOURI,MIZZ,SEC,Missouri,Missouri
MISSOURI ST,MOST,MVFC,Missouri State,Missouri State
MONMOUTH,MONM,Big South,Monmouth,Monmouth
MONTANA,MONT,Big Sky,Montana,Montana
MONTANA ST,MTST,Big Sky,Montana State,Montana State
MOREHEAD ST,MORE,Pioneer,Morehead State,Morehead State
MORGAN ST,MORG,MEAC,Morgan State,Morgan State
MURRAY ST,MURR,OVC,Murray State,Murray State
N CAROLINA,UNC,ACC,N Carolina,North Carolina
NAVY,NAVY,AAC,Navy,Navy
NC CENTRAL,NCCU,MEAC,Nc Central,Nc Central
NC ST,NCST,ACC,NC ST,NC ST
NEBRASKA,NEB,B1G,Nebraska,Nebraska
NEVADA,NEV,MWC,Nevada,Nevada
NEW HAMPSHIRE,UNH,CAA,New Hampshire,New Hampshire
NEW MEXICO,UNM,MWC,New Mexico,New Mexico
NEW MEXICO ST,NMSU,SBC,New Mexico State,New Mexico State
NICHOLLS ST,NICH,Southland,Nicholls State,Nicholls State
NORFOLK ST,NORF,MEAC,Norfolk State,Norfolk State
NORTH CAROLINA A&T,NCAT,MEAC,North Carolina A&T,North Carolina A&T
N DAKOTA,UND,Big Sky,North Dakota,North Dakota
N DAK ST,NDSU,MVFC,North Dakota State,North Dakota State
N TEXAS,UNT,CUSA,North Texas,North Texas
N ARIZONA,NAU,Big Sky,Northern Arizona,Northern Arizona
NORTHERN COLORADO,UNCO,Big Sky,Northern Colorado,Northern Colorado
N ILLINOIS,NIU,MAC,Northern Illinois,Northern Illinois
N IOWA,UNI,MVFC,Northern Iowa,Northern Iowa
NWESTERN,NW,B1G,Northwestern,Northwestern
NORTHWESTERN ST,NWST,Southland,Northwestern State,Northwestern State
NOTRE DAME,ND,IND,Notre Dame,Notre Dame
OHIO,OHIO,MAC,Ohio,Ohio
OHIO STATE,OSU,B1G,Ohio State,Ohio State
OKLA STATE,OKST,B12,Oklahoma State,Oklahoma State
OKLAHOMA,OU,B12,Oklahoma,Oklahoma
OLD DOMINION,ODU,CUSA,Old Dominion,Old Dominion
OLE MISS,MISS,SEC,Mississippi,Mississippi
OREGON,ORE,P12,Oregon,Oregon
OREGON ST,ORST,P12,Oregon State,Oregon State
PENN STATE,PSU,B1G,Penn State,Penn State
PITTSBURGH,PITT,ACC,Pittsburgh,Pittsburgh
PORTLAND ST,PRST,Big Sky,Portland State,Portland State
PRAIRIE VIEW A&M,PV,SWAC,Prairie View A&M,Prairie View A&M
