,teams
1,Central Florida
2,Cincinnati
3,East Carolina
4,Houston
5,Memphis
6,Navy
7,SMU
8,South Florida
9,Temple
10,Tulane
11,Tulsa
12,Boston College
13,Clemson
14,Duke
15,Florida State
16,Georgia Tech
17,Louisville
18,Miami
19,North Carolina
20,North Carolina State
21,Pittsburgh
22,Syracuse
23,Virginia
24,Virginia Tech
25,Wake Forest
26,Illinois
27,Indiana
28,Iowa
29,Maryland
30,Michigan
31,Michigan State
32,Minnesota
33,Nebraska
34,Northwestern
35,Ohio State
36,Penn State
37,Purdue
38,Rutgers
39,Wisconsin
40,Baylor
41,Iowa State
42,Kansas
43,Kansas State
44,Oklahoma
45,Oklahoma State
46,TCU
47,Texas
48,Texas Tech
49,West Virginia
50,Charlotte
51,Florida Atlantic
52,Florida International
53,Louisiana Tech
54,Middle Tennessee
55,North Texas
56,Rice
57,UAB
58,UTEP
59,UTSA
60,Western Kentucky
61,Army
62,BYU
63,Connecticut
64,Liberty
65,Massachusetts
66,New Mexico State
67,Notre Dame
68,Akron
69,Ball State
70,Bowling Green
71,Buffalo
72,Central Michigan
73,Eastern Michigan
74,Kent State
75,Miami (Ohio)
76,Northern Illinois
77,Ohio
78,Toledo
79,Western Michigan
80,Air Force
81,Boise State
82,Colorado State
83,Fresno State
84,Hawaii
85,Nevada
86,New Mexico
87,San Diego State
88,San Jose State
89,UNLV
90,Utah State
91,Wyoming
92,Arizona
93,Arizona State
94,California
95,Colorado
96,Oregon
97,Oregon State
98,Stanford
99,UCLA
100,USC
101,Utah
102,Washington
103,Washington State
104,Alabama
105,Arkansas
106,Auburn
107,Florida
108,Georgia
109,Kentucky
110,LSU
111,Mississippi
112,Mississippi State
113,Missouri
114,South Carolina
115,Tennessee
116,Texas A&M
117,Vanderbilt
118,Appalachian State
119,Arkansas State
120,Coastal Carolina
121,Georgia Southern
122,Georgia State
123,James Madison
124,Louisiana
125,Louisiana-Monroe
126,Marshall
127,Old Dominion
128,South Alabama
129,Southern Miss
130,Texas State
131,Troy
