player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Byron Cowart,50588,DI,CHI,1,0,0,,0,0,6,0,0,,50.8,73.0,54.6,54.6,67.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,12,12,3,6,0,3,0,0,6,6,0,1,1,0,0,0,0,0,0,
Josey Jewell,50720,LB,CAR,2,5,0,75.0,0,0,5,1,0,53.9,50.2,78.1,53.1,52.5,77.7,0,0,0,0,17,5.3,1,1,0,101.0,3,0,0,125,0,45,131,2,0,0,2,0,0,129,5,81,4,6,13,0,4,0,0,35,15,11.7
Cody Barton,50727,LB,DEN,2,3,0,100.0,0,0,10,0,0,64.8,48.1,75.0,50.3,36.9,44.5,0,0,0,0,5,18.2,2,0,0,87.5,1,0,0,60,0,33,71,2,0,0,2,0,0,69,8,30,9,4,6,0,1,0,0,5,4,5.0
Jordyn Brooks,50851,LB,MIA,2,3,0,66.7,0,0,17,0,0,66.8,81.3,77.1,67.5,81.8,67.0,0,2,0,0,20,10.0,1,1,0,93.8,4,0,0,75,0,39,98,10,0,0,10,0,0,88,9,50,13,5,6,0,6,2,0,52,24,13.0
Roquan Smith,50892,LB,BLT,2,7,0,75.0,0,0,3,0,0,53.0,47.1,0.0,61.9,50.4,54.9,1,0,0,1,19,19.0,4,1,1,63.0,6,0,0,105,1,75,117,2,0,0,2,0,0,115,4,38,9,5,10,1,8,1,0,73,58,12.2
Tremaine Edmunds,50905,LB,CHI,2,4,0,77.8,0,0,6,0,0,67.7,67.6,78.8,62.8,61.2,69.9,0,0,0,0,18,6.3,1,0,0,89.4,7,1,0,113,1,72,126,1,0,0,1,0,0,125,7,47,11,8,11,0,9,1,0,49,46,7.0
Robert Spillane,50918,LB,LV,2,5,1,100.0,0,0,23,0,0,47.8,68.2,78.4,82.1,79.1,57.8,0,0,0,1,21,9.1,2,0,0,113.2,6,0,0,109,0,60,122,5,0,0,5,0,1,117,9,53,7,10,15,1,6,0,1,67,20,11.2
Bobby Okereke,50954,LB,NYG,2,5,0,85.7,0,0,21,1,0,74.1,62.7,77.7,56.9,46.0,50.6,0,0,0,0,16,14.3,2,0,0,92.3,6,1,0,111,0,65,127,4,0,0,4,0,0,123,4,58,12,7,7,1,7,1,0,43,51,7.2
Ja'Whaun Bentley,50966,LB,NE,2,2,0,100.0,0,0,19,0,0,60.1,47.0,74.6,62.3,28.7,81.7,0,1,0,0,28,0.0,0,0,0,106.0,7,1,0,57,0,39,61,4,0,0,4,0,0,57,7,15,0,2,6,0,7,2,0,66,20,9.4
Frankie Luvu,51028,LB,WAS,2,3,0,100.0,0,0,32,0,0,55.3,59.1,0.0,52.4,73.3,65.7,0,3,0,0,9,12.5,2,0,1,95.8,2,0,0,89,0,50,113,16,0,0,16,0,1,97,16,47,7,7,11,0,2,3,0,14,18,7.0
Tyrel Dodson,51045,LB,SEA,2,5,0,55.6,0,1,29,0,0,82.1,64.3,78.6,51.3,37.4,58.8,0,1,0,0,17,10.5,2,1,0,62.3,5,0,0,120,1,79,137,11,0,0,11,0,1,126,5,53,4,8,12,0,9,1,0,30,12,6.0
Jahlani Tavai,51055,LB,NE,2,3,0,87.5,0,0,19,0,0,51.2,55.8,80.4,53.4,69.0,40.5,0,1,0,0,15,18.2,2,1,0,100.5,7,0,0,63,3,59,106,30,0,0,30,0,0,76,16,31,10,3,6,1,8,1,0,65,33,9.3
Julian Love,51081,S,SEA,2,0,0,77.8,0,1,29,0,0,89.6,91.5,82.3,54.0,81.5,66.3,0,0,0,1,9,11.1,2,1,0,45.1,7,0,0,9,0,82,137,0,0,0,0,0,107,137,2,53,21,4,16,1,9,0,0,39,28,5.6
Taylor Rapp,51172,S,BUF,2,2,0,0.0,0,0,4,0,0,70.2,70.7,81.0,60.0,60.8,59.4,0,0,0,0,,16.7,2,1,0,39.6,0,0,0,37,0,77,132,1,0,0,1,0,81,131,1,54,13,3,8,1,1,0,0,0,0,
