player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Deshaun Watson,11767,QB,CLV,2,38,26.3,0,8,2,4,21.1,26.3,78.9,2.6,0,7,10,8,10,38,30,1,1,3,7,0,2.6,7.9,1,18.4,0.0
Bo Nix,97790,QB,DEN,2,33,12.1,0,10,2,4,18.2,24.2,78.8,0.0,0,8,4,6,8,33,26,0,5,5,8,1,15.2,15.2,2,24.2,3.0
Will Levis,83542,QB,TEN,2,30,6.7,0,31,1,2,23.3,20.0,83.3,0.0,0,5,2,7,6,30,25,0,7,11,5,0,23.3,36.7,2,16.7,0.0
Matthew Stafford,4924,QB,LA,2,28,17.9,0,26,1,0,21.4,50.0,89.3,3.6,0,2,5,6,14,28,25,1,1,7,2,0,3.6,25.0,1,7.1,0.0
Daniel Jones,39395,QB,NYG,2,27,11.1,0,21,1,6,7.4,3.7,55.6,7.4,0,10,3,2,1,27,15,2,6,5,10,0,22.2,18.5,3,37.0,0.0
Jacoby Brissett,10725,QB,NE,2,27,7.4,0,19,0,1,11.1,37.0,88.9,3.7,0,3,2,3,10,27,24,1,8,3,3,1,29.6,11.1,2,11.1,3.7
Jared Goff,10635,QB,DET,2,26,23.1,0,11,0,1,30.8,19.2,92.3,7.7,0,1,6,8,5,26,24,2,3,4,1,1,11.5,15.4,0,3.8,3.8
Gardner Minshew,41401,QB,LV,2,25,16.0,0,23,3,1,24.0,28.0,72.0,8.0,0,5,4,6,7,25,18,2,3,3,5,0,12.0,12.0,1,20.0,0.0
Brock Purdy,77672,QB,SF,2,24,16.7,0,28,0,1,12.5,20.8,70.8,4.2,0,7,4,3,5,24,17,1,4,8,7,0,16.7,33.3,6,29.2,0.0
Caleb Williams,144622,QB,CHI,2,24,16.7,0,6,0,2,12.5,16.7,79.2,0.0,0,5,4,3,4,24,19,0,5,5,5,2,20.8,20.8,3,20.8,8.3
Jayden Daniels,97993,QB,WAS,2,24,4.2,0,32,0,3,12.5,20.8,66.7,12.5,0,6,1,3,5,24,16,3,3,5,6,0,12.5,20.8,3,25.0,0.0
Jalen Hurts,40291,QB,PHI,2,23,17.4,0,24,1,4,30.4,13.0,73.9,0.0,0,6,4,7,3,23,17,0,4,0,6,0,17.4,0.0,1,26.1,0.0
C.J. Stroud,129759,QB,HST,2,22,13.6,0,13,1,1,13.6,9.1,81.8,9.1,0,2,3,3,2,22,18,2,5,7,2,1,22.7,31.8,0,9.1,4.5
