"","teams","lines","totals"
"1","Air Force",-7,41
"2","Army West Point",7,41
"3","Texas Tech",8,69
"4","TCU",-8,69
"5","North Carolina",-7,60
"6","Virginia",7,60
"7","Maryland",4.5,49
"8","Wisconsin",-4.5,49
"9","Minnesota",-14.5,44.5
"10","Nebraska",14.5,44.5
"11","Tulane",-7,56.5
"12","Tulsa",7,56.5
"13","Ohio State",-38,55.5
"14","Northwestern",38,55.5
"15","Florida",2.5,55
"16","Texas A&M",-2.5,55
"17","Kentucky",1,40
"18","Missouri",-1,40
"19","Iowa",3.5,39.5
"20","Purdue",-3.5,39.5
"21","Western Kentucky",-15.5,72.5
"22","Charlotte",15.5,72.5
"23","Georgia Tech",3.5,41
"24","Virginia Tech",-3.5,41
"25","South Florida",-3.5,49.5
"26","Temple",3.5,49.5
"27","Marshall",-3.5,47
"28","Old Dominion",3.5,47
"29","Baylor",3.5,61.5
"30","Oklahoma",-3.5,61.5
"31","Middle Tennessee",-2.5,63.5
"32","Louisiana Tech",2.5,63.5
"33","Georgia State",2.5,48
"34","Southern Mississippi",-2.5,48
"35","Tennessee",8.5,65
"36","Georgia",-8.5,65
"37","Penn State",-13.5,51
"38","Indiana",13.5,51
"39","Michigan State",16,40.5
"40","Illinois",-16,40.5
"41","Oklahoma State",1.5,63
"42","Kansas",-1.5,63
"43","Syracuse",4,48
"44","Pittsburgh",-4,48
"45","Oregon",-31.5,63
"46","Colorado",31.5,63
"47","West Virginia",7.5,50
"48","Iowa State",-7.5,50
"49","UCF",-3,60
"50","Memphis",3,60
"51","New Mexico",14.5,42.5
"52","Utah State",-14.5,42.5
"53","Washington State",-4,48.5
"54","Stanford",4,48.5
"55","UTSA",NA,52
"56","UAB",NA,52
"57","Liberty",14.5,61.5
"58","Arkansas",-14.5,61.5
"59","Navy",18.5,44
"60","Cincinnati",-18.5,44
"61","FIU",22,63
"62","North Texas",-22,63
"63","South Alabama",-4,60.5
"64","Georgia Southern",4,60.5
"65","Troy",-3.5,42.5
"66","Louisiana-Lafayette",3.5,42.5
"67","Texas State",2.5,52.5
"68","ULM",-2.5,52.5
"69","Texas",-2.5,54.5
"70","Kansas State",2.5,54.5
"71","Alabama",-13.5,56.5
"72","LSU",13.5,56.5
"73","BYU",8,54.5
"74","Boise State",-8,54.5
"75","UNLV",5.5,47
"76","San Diego State",-5.5,47
"77","Houston",3.5,66
"78","SMU",-3.5,66
"79","Florida State",-7.5,53.5
"80","Miami FL",7.5,53.5
"81","Clemson",-3.5,44
"82","Notre Dame",3.5,44
"83","Arizona",17.5,67.5
"84","Utah",-17.5,67.5
"85","Auburn",12.5,51
"86","Mississippi State",-12.5,51
"87","James Madison",7,52.5
"88","Louisville",-7,52.5
"89","South Carolina",-6.5,48.5
"90","Vanderbilt",6.5,48.5
"91","Wake Forest",-3,54
"92","North Carolina State",3,54
"93","California",21.5,60.5
"94","USC",-21.5,60.5
"95","UCLA",-11,67
"96","Arizona State",11,67
"97","Colorado State",24,44.5
"98","San Jose State",-24,44.5
"99","Hawaii",27.5,62
"100","Fresno State",-27.5,62
"101","East Carolina",6,41
"102","Cincinnati",-6,41
"103","North Carolina",5,69
"104","Wake Forest",-5,69
"105","Purdue",7,60
"106","Illinois",-7,60
"107","Louisville",13.5,49
"108","Clemson",-13.5,49
"109","UCF",NA,44.5
"110","Tulane",NA,44.5
"111","Missouri",20,56.5
"112","Tennessee",-20,56.5
"113","Kansas State",1.5,55.5
"114","Baylor",-1.5,55.5
"115","Georgia",-16.5,55
"116","Mississippi State",16.5,55
"117","Alabama",-14.5,40
"118","Ole Miss",14.5,40
"119","LSU",-1,39.5
"120","Arkansas",1,39.5
"121","TCU",6,72.5
"122","Texas",-6,72.5
