"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Kyle Pitts","316","21","0.36","64","2.01","78.2","42","Damien Wilson","239","17","0.33","85","1.64","54.6"
"Mark Andrews","352","22","0.42","74","1.98","89.4","-12","Jeremiah Owusu-Koramoah","133","14","0.21","72","0.65","75.2"
"Dawson Knox","244","15","0.39","76","1.57","64.3","0","Demario Davis","308","12","0.14","65","0.66","72.6"
"Ian Thomas","194","10","0.14","68","0.75","54.3","-48","Brandon Jones","233","7","0.15","88","0.89","63.7"
"Cole Kmet","252","17","0.23","66","1.17","64","29","Alex Anzalone","293","11","0.17","70","0.71","31.5"
"C.J. Uzomah","270","11","0.33","87","1.19","64.8","4","Joe Schobert","277","12","0.2","71","0.89","61.8"
"David Njoku","188","19","0.39","69","1.98","73.5","1","Chuck Clark","366","7","0.17","71","0.72","60.1"
"Dalton Schultz","305","19","0.36","77","1.61","78.9","36","Cory Littleton","278","17","0.25","85","1.02","55.4"
"Noah Fant","274","21","0.36","74","1.38","59.3","-12","Kyzir White","264","14","0.24","78","0.87","63.1"
"T.J. Hockenson","335","21","0.35","77","1.49","69.7","3","Roquan Smith","309","14","0.18","76","0.73","53.1"
"Josiah Deguara","82","13","0.3","91","1.1","51.2","-29","Ernest Jones","98","12","0.25","92","0.73","49.3"
"Pharaoh Brown","107","19","0.25","70","1.16","58.6","11","C.J. Mosley","297","16","0.32","91","1.18","34.2"
"Jack Doyle","199","16","0.26","62","0.99","70.4","18","Devin White","349","16","0.27","82","1.07","40.9"
"Dan Arnold","250","19","0.3","72","1.6","62.1","15","Deion Jones","322","17","0.36","91","1.66","44"
"Tyler Higbee","331","15","0.27","76","1.04","60.9","13","Krys Barnes","136","17","0.35","91","1.56","46.2"
"Jared Cook","285","17","0.27","65","1.21","59.6","4","Justin Simmons","356","8","0.13","62","0.63","68.2"
"Darren Waller","335","23","0.37","66","1.82","69.5","37","Keanu Neal","182","11","0.2","90","1.05","38.1"
"Mike Gesicki","371","19","0.32","68","1.56","70.8","21","Jermaine Carter","260","9","0.18","83","0.82","46.7"
"Tyler Conklin","277","18","0.34","76","1.4","66.4","-4","Azeez Al-Shaair","252","17","0.32","80","1.13","64.7"
"Hunter Henry","262","17","0.43","73","1.44","72.4","19","Jayon Brown","147","11","0.25","88","1.12","52.6"
"Nick Vannett","15","7","0.2","100","1.33","68.9","-41","Matt Milano","241","14","0.16","65","0.68","71.6"
"Evan Engram","246","15","0.26","78","0.96","54.8","-37","T.J. Edwards","184","17","0.38","87","1.64","72.6"
"Ryan Griffin","212","14","0.19","60","0.75","46.9","-13","Zach Cunningham","211","20","0.31","72","1.31","47.5"
"Dallas Goedert","227","19","0.42","77","2.16","86.6","35","Benardrick McKinney","41","29","0.32","58","1.51","36"
"Pat Freiermuth","216","22","0.44","77","1.33","73.1","22","Logan Wilson","344","15","0.29","82","1.35","52"
"Gerald Everett","189","14","0.29","93","1.24","63.6","16","Jamin Davis","177","12","0.25","86","1.09","32.1"
"George Kittle","189","24","0.49","74","2.18","88.8","29","Eric Kendricks","359","11","0.26","76","1.11","66.4"
"Rob Gronkowski","120","25","0.6","73","2.12","78.2","61","Bobby Okereke","392","12","0.24","87","0.89","58.5"
"Anthony Firkser","189","14","0.21","70","0.73","44.1","-63","Adrian Phillips","317","8","0.11","56","0.32","85.1"
"John Bates","63","13","0.22","100","0.94","62.9","-27","Jordyn Brooks","298","17","0.37","88","1.79","55.7"
