player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Braxton Burmeister,60513,QB,S DIEGO ST,3,72.2,36,40,6.6,3.1,0,0,0.0,52.5,21,0,14,19.2,50,5,12,284,46.7,62.8,62.1,60.0,1,1,50,0,21.4,69.3,6.0,3,7,0,3,2,1,2.0,165,4.1
Ben Wooldridge,82115,QB,LA LAFAYET,3,80.0,35,39,9.0,2.58,1,3,7.7,64.1,25,0,13,10.7,40,3,14,207,69.9,89.1,90.1,55.7,1,0,40,0,0.0,106.0,0.0,0,1,0,2,2,0,0.0,313,8.0
Matthew Downing,82120,QB,LA TECH,2,72.7,33,38,5.9,2.44,0,0,0.0,52.6,20,0,12,16.7,42,4,8,208,69.7,60.0,59.9,58.2,1,3,43,1,16.7,42.3,4.8,2,2,0,4,1,2,4.7,187,4.9
Gino Campiotti,78504,QB,UMASS,3,65.6,32,36,8.7,2.57,2,2,5.6,50.0,18,0,9,14.3,40,3,8,216,39.2,57.6,54.7,59.2,0,3,40,0,11.1,42.6,2.5,1,3,0,2,2,3,7.5,130,3.6
Quinn Ewers,127253,QB,TEXAS,2,69.4,36,36,11.6,2.54,0,4,10.5,69.4,25,0,5,0.0,39,0,18,311,69.1,71.5,70.7,,0,1,41,0,20.0,108.4,2.6,1,0,0,0,2,2,4.9,359,10.0
Gavin Frakes,156928,QB,NEW MEX ST,4,63.6,33,36,10.5,2.48,1,2,4.5,41.7,15,0,9,28.6,41,6,11,242,42.5,63.4,69.9,51.0,0,5,49,2,22.2,36.9,4.9,2,2,1,1,1,3,6.1,263,7.3
J.J. McCarthy,144918,QB,MICHIGAN,3,91.2,34,34,8.3,2.51,0,2,5.9,88.2,30,0,6,3.2,35,1,21,222,71.3,92.5,91.5,75.4,0,0,35,0,16.7,148.2,2.9,1,0,0,0,3,0,0.0,473,13.9
Max Duggan,99470,QB,TCU,2,87.1,31,32,10.0,2.66,1,4,12.1,78.1,25,0,8,7.4,34,2,19,305,71.3,88.4,89.1,63.9,0,0,36,0,25.0,158.3,5.9,2,0,0,0,5,0,0.0,417,13.0
Drew Pyne,122910,QB,NOTRE DAME,2,75.9,29,29,3.4,3.04,0,0,0.0,69.0,20,0,10,9.1,36,2,12,258,34.1,34.3,37.8,44.0,0,1,39,0,30.0,104.1,8.3,3,4,0,0,3,1,2.6,170,5.9
D'Wan Mathis,99130,QB,TEMPLE,2,68.0,25,29,6.2,2.54,2,1,3.4,48.3,14,0,14,17.6,34,3,5,306,11.9,32.0,55.0,25.1,0,0,34,0,21.4,60.3,8.8,3,2,0,2,0,0,0.0,125,4.3
Robby Ashford,131702,QB,AUBURN,3,66.7,27,29,9.0,2.81,1,2,6.7,51.7,15,0,14,16.7,38,3,12,115,46.6,60.5,49.9,67.1,0,2,40,0,21.4,63.1,7.9,3,6,0,1,1,2,5.0,245,8.4
Mitch Griffis,123386,QB,WAKE,1,81.5,27,29,10.8,2.78,2,3,10.0,72.4,21,0,5,4.5,32,1,15,339,31.2,86.1,90.7,49.7,0,0,34,0,40.0,138.3,6.3,2,1,0,0,3,0,0.0,288,9.9
Taylen Green,145996,QB,BOISE ST,1,70.4,27,28,8.6,3.05,1,0,0.0,67.9,19,0,8,0.0,34,0,9,120,71.4,45.6,30.6,75.0,0,1,38,0,12.5,66.7,2.9,1,5,0,0,0,2,5.3,154,5.5
Brett Gabbert,97404,QB,MIAMI OH,1,76.9,26,28,5.4,2.75,0,1,3.2,71.4,20,0,10,0.0,37,0,11,221,32.5,71.3,72.5,59.8,0,0,40,0,20.0,86.3,5.4,2,7,0,2,0,1,2.5,166,5.9
Cade McNamara,101620,QB,MICHIGAN,3,77.3,22,26,5.9,2.46,0,0,0.0,53.8,14,0,12,17.6,30,3,7,222,68.2,44.0,42.8,,0,1,30,0,33.3,72.6,13.3,4,0,1,3,1,1,3.3,180,6.9
Haaziq Daniels,125263,QB,AIR FORCE,3,54.2,24,25,13.7,3.46,1,2,8.0,44.0,11,0,9,15.4,28,2,8,101,77.5,72.1,52.7,77.3,0,0,28,0,11.1,114.7,3.6,1,2,0,0,3,1,3.6,218,8.7
Max Johnson,124099,QB,TEXAS A&M,2,63.6,22,24,6.5,2.75,0,0,0.0,54.2,13,0,14,7.1,30,1,9,312,69.8,63.8,56.2,71.2,2,0,30,0,21.4,89.4,10.0,3,3,0,0,1,0,0.0,163,6.8
Brendon Lewis,131687,QB,COLORADO,2,71.4,21,24,3.9,3.2,1,1,4.0,62.5,15,0,14,0.0,32,0,5,143,31.9,51.4,52.0,58.5,1,0,33,1,14.3,70.1,6.3,2,6,0,1,0,2,6.1,92,3.8
Jeff Undercuffler,78501,QB,AKRON,2,50.0,22,23,8.4,2.66,1,0,0.0,47.8,11,0,10,0.0,28,0,4,102,67.8,46.2,45.8,60.0,0,0,28,0,50.0,56.4,17.9,5,0,0,0,0,2,7.1,80,3.5
Garrett Nussmeier,146757,QB,LSU,1,60.9,23,23,8.8,2.38,0,1,4.2,56.5,13,0,3,7.1,23,1,8,211,67.6,46.1,45.1,,0,2,24,0,0.0,46.1,0.0,0,0,0,0,0,2,8.3,183,8.0
Ethan Garbers,131896,QB,UCLA,2,81.8,22,22,7.0,2.31,0,0,0.0,77.3,17,0,0,5.6,22,1,9,324,69.3,50.4,44.0,68.3,0,1,23,0,,104.9,0.0,0,0,0,0,1,2,8.7,223,10.1
Gavin Wimsatt,155757,QB,RUTGERS,3,60.0,20,22,14.4,3.3,1,2,8.3,40.9,9,0,7,25.0,26,3,6,278,72.6,59.1,56.1,64.2,0,2,28,1,28.6,33.0,7.7,2,1,0,1,1,2,7.1,103,4.7
Cade Ballard,102861,QB,ARMY,3,75.0,20,21,16.1,2.41,0,3,13.6,66.7,14,0,11,6.7,24,1,9,114,45.5,77.5,84.3,60.5,1,0,25,0,18.2,141.5,8.3,2,1,0,0,2,0,0.0,309,14.7
Johnathan Bennett,104158,QB,LIBERTY,2,38.9,18,21,13.9,2.86,1,1,4.2,33.3,7,0,13,0.0,29,0,6,206,70.3,31.3,27.5,67.3,0,3,32,1,23.1,2.8,10.3,3,5,0,2,0,4,12.5,37,1.8
