player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Gavin Hardison,100827,QB,UTEP,4,2.97,2.88,3.66,5.28,180,330,65.8,76,80,8.4,1.92,3,1,1.2,55.0,44,9,12.0,81,45.0,6,22,,,,,49.0,48.2,77.6,,48.3,,,,,1,2,83,11.1,64.4,1.2,1,0,0,0,2,4,4.8,356,4.5,57.7,71,81,17.3,3.91,0,12,13.6,42.0,34,42,17.1,97,53.9,7,24,,,,,48.7,75.2,78.5,,77.3,,47.3,,,1,1,104,26.2,63.3,11.3,11,5,0,9,0,5,4.8,610,7.5
Kyle Vantrease,55029,QB,GA SOUTHRN,3,2.26,2.2,,4.6,156,174,81.4,97,100,5.5,1.82,3,4,3.9,76.0,76,12,3.8,100,64.1,3,39,,,,,72.0,79.4,78.5,,78.3,,,,,0,1,104,0.0,110.2,0.0,0,0,0,0,5,0,0.0,775,7.8,37.0,46,50,16.8,3.17,0,1,1.9,28.0,14,15,17.6,54,34.6,3,12,,,,,70.0,28.8,76.0,,29.1,,54.2,,,0,5,56,0.0,11.8,0.0,0,4,0,4,1,10,17.9,211,4.2
Kobe Tracy,141317,QB,UTAHTC,3,3.03,2.82,3.27,4.91,152,1285,71.7,53,53,7.0,1.92,0,2,3.5,67.9,36,10,5.3,53,34.9,2,18,,,,,70.1,63.0,76.1,,62.6,,,,,0,1,57,0.0,98.6,0.0,0,0,0,0,3,1,1.8,368,6.9,58.2,67,77,20.3,3.66,0,7,8.5,39.0,30,41,23.1,98,64.5,9,27,,,,,72.0,74.6,78.5,,72.6,,66.7,,,4,0,103,17.1,84.0,7.1,7,14,0,6,4,1,1.0,594,7.7
Will Rogers,124184,QB,MISS STATE,3,2.34,2.29,3.36,4.73,151,227,83.5,85,86,5.0,1.68,0,2,2.2,79.1,68,4,4.2,87,57.6,3,32,,,,,71.6,80.8,78.0,,79.7,,,,,0,1,92,25.0,124.0,1.1,1,0,0,1,8,0,0.0,644,7.5,78.7,47,52,5.9,3.4,2,1,1.8,61.5,32,24,13.5,61,40.4,5,20,,,,,70.4,67.1,76.5,,67.2,,58.7,,,0,2,64,25.0,76.7,9.8,6,3,0,3,2,1,1.6,331,6.4
Parker McKinney,82109,QB,E KENTUCKY,3,2.75,2.5,3.64,5.21,149,159,81.3,80,81,6.9,1.84,1,5,5.7,75.3,61,5,6.2,82,55.0,4,38,,,,,71.5,91.2,77.8,,90.8,,,,,0,0,89,20.0,126.7,1.2,1,0,0,0,8,1,1.1,563,7.0,63.8,47,49,16.8,3.86,0,4,7.3,57.1,28,29,6.7,67,45.0,2,24,,,,,46.7,63.3,77.1,,65.0,,56.0,,,0,3,74,27.6,76.7,11.9,8,10,0,2,2,5,6.8,457,9.3
Ryan Hilinski,71295,QB,NWESTERN,3,2.64,2.62,3.57,5.0,147,256,70.4,54,54,5.3,1.89,0,0,0.0,66.7,36,4,5.3,54,36.7,2,20,,,,,69.9,63.0,75.9,,62.6,,,,,0,1,54,0.0,94.6,0.0,0,0,0,0,3,1,1.9,339,6.3,68.3,82,88,9.7,3.11,2,1,1.0,61.4,54,26,3.6,92,62.6,2,29,,,,,51.7,56.4,32.8,,57.6,,57.3,,,1,2,100,11.5,81.1,3.3,3,1,0,3,2,5,5.0,628,7.1
Frank Harris,60586,QB,UTSA,3,2.53,2.23,3.69,4.74,144,331,79.3,87,88,5.8,1.72,1,3,3.3,75.0,66,15,4.3,89,61.8,3,36,,,,,71.6,79.5,78.0,,78.4,,,,,0,2,92,6.7,105.5,1.1,1,0,0,0,5,1,1.1,664,7.5,56.3,32,36,15.1,3.83,0,3,7.0,50.0,18,35,0.0,55,38.2,0,20,,,,,43.0,80.7,76.5,,76.6,,71.3,,,1,0,64,17.1,82.4,10.9,6,13,0,3,1,1,1.6,254,7.1
Connor Bazelak,99135,QB,INDIANA,3,2.38,2.35,3.65,4.8,142,190,65.0,80,81,7.9,1.85,0,3,3.6,55.6,45,15,13.5,81,57.0,7,24,,,,,71.3,63.3,77.6,,62.8,,,,,0,1,84,0.0,74.5,0.0,0,0,0,1,1,2,2.4,527,6.5,68.6,51,55,12.4,3.14,0,3,4.8,58.2,32,23,8.6,60,42.3,3,18,,,,,70.6,76.4,76.7,,74.3,,64.9,,,0,1,67,17.4,94.8,6.7,4,1,0,4,4,3,4.5,364,6.6
Aidan O'Connell,60516,QB,PURDUE,3,2.34,2.32,2.95,4.5,137,273,71.1,83,86,7.8,1.8,1,3,3.3,65.1,56,10,5.1,86,62.8,3,25,,,,,71.6,71.9,78.0,,71.1,,,,,0,0,92,0.0,98.2,0.0,0,0,0,2,4,2,2.2,543,6.3,71.4,42,48,13.0,3.26,0,2,3.9,62.5,30,20,0.0,51,37.2,0,20,,,,,69.9,74.6,75.9,,75.0,,57.3,,,3,1,54,10.0,112.8,3.9,2,1,0,3,4,2,3.7,455,9.5
Tim DeMorat,78498,QB,FORDHAM,3,2.46,2.37,2.83,5.1,136,168,75.4,69,69,5.7,1.78,0,4,5.7,72.5,50,8,3.8,70,51.5,2,26,,,,,70.7,73.1,76.9,,72.3,,,,,0,1,71,12.5,122.4,1.4,1,0,0,0,7,1,1.4,532,7.7,67.9,56,60,20.3,3.18,0,9,14.5,58.3,35,26,7.9,66,48.5,3,24,,,,,70.6,90.1,76.8,,90.3,,56.3,,,1,2,68,7.7,128.5,3.0,2,4,0,3,9,3,4.4,764,12.7
Cole Snyder,97617,QB,BUFFALO,3,2.36,2.16,3.32,4.17,136,126,71.8,78,80,7.4,1.75,2,4,4.8,68.8,55,11,1.8,82,60.3,1,31,,,,,71.4,86.1,77.7,,84.8,,,,,0,1,86,18.2,90.5,2.4,2,0,0,0,3,2,2.3,458,5.7,47.1,34,38,15.8,3.29,2,2,5.0,42.1,16,29,0.0,54,39.7,0,12,,,,,70.0,54.5,76.0,,48.2,,72.2,,,0,1,56,31.0,74.1,16.7,9,7,0,2,2,4,7.1,277,7.3
N'Kosi Perry,60446,QB,FAU,4,2.43,2.29,4.28,3.66,135,165,72.7,77,79,7.5,1.76,1,5,5.9,67.1,53,13,5.4,80,59.3,3,34,,,,,71.4,85.3,77.7,,84.9,,57.0,,,0,0,86,0.0,113.1,0.0,0,1,0,1,6,0,0.0,564,7.1,50.0,40,44,20.4,3.41,0,6,13.3,40.9,18,22,10.0,55,40.7,2,21,,,,,39.9,71.3,76.0,,69.9,,64.3,,,0,2,56,18.2,87.6,7.3,4,7,0,4,4,4,7.1,423,9.6
Brady Meitz,149729,QB,STETSON,3,2.5,2.35,3.14,5.0,135,302,69.0,71,75,9.2,1.95,2,6,7.9,65.3,49,19,0.0,79,58.5,0,25,,,,,71.1,75.8,77.4,,74.8,,,,,2,2,80,21.1,96.4,5.1,4,0,0,0,3,3,3.8,678,9.0,64.3,42,45,12.8,3.34,0,1,2.1,57.8,26,26,3.7,55,40.7,1,15,,,,,40.7,45.9,76.2,,47.7,,52.4,,,1,1,58,19.2,97.3,9.1,5,5,0,2,3,3,5.2,368,8.2
Davis Brin,77642,QB,TULSA,3,2.57,2.39,3.63,4.35,135,320,76.8,69,69,8.6,1.92,0,5,6.8,66.7,46,12,13.2,72,53.3,7,26,,,,,46.6,76.4,77.2,,75.5,,,,,0,0,76,25.0,126.1,4.2,3,0,0,0,7,1,1.3,573,8.3,64.6,48,50,18.7,3.3,0,4,7.4,60.0,30,25,3.2,63,46.7,1,27,,,,,70.6,86.7,76.7,,84.6,,68.0,,,2,1,67,28.0,122.5,11.1,7,6,0,0,4,1,1.5,633,12.7
Matt McDonald,60350,QB,BOWL GREEN,3,2.78,2.71,2.78,4.36,134,122,70.2,47,54,5.1,1.9,6,2,3.4,59.3,32,8,3.0,54,40.3,1,13,,,,,70.2,70.4,76.2,,69.7,,,,,0,0,59,0.0,92.1,0.0,0,0,0,1,3,1,1.7,287,5.3,69.0,58,65,11.2,3.46,1,5,6.9,53.8,35,40,12.5,78,58.2,5,25,,,,,71.4,80.0,77.7,,82.3,,56.2,,,4,0,86,10.0,108.7,5.1,4,9,0,2,7,1,1.2,403,6.2
Daniel Richardson,97103,QB,C MICHIGAN,3,2.39,2.3,3.56,4.03,134,134,69.1,81,81,7.3,1.85,0,2,2.3,63.0,51,14,8.9,81,60.4,5,30,,,,,71.5,65.6,77.8,,65.0,,,,,0,0,88,0.0,101.8,0.0,0,0,0,0,5,0,0.0,518,6.4,54.8,42,45,14.9,3.21,0,2,4.0,46.7,21,19,8.7,53,39.6,2,18,,,,,70.1,59.4,76.2,,57.4,,66.4,,,0,2,58,26.3,71.6,9.4,5,3,0,3,2,3,5.2,371,8.2
Casey Thompson,77677,QB,NEBRASKA,4,2.65,2.58,2.73,4.18,133,238,86.5,52,52,7.8,1.89,0,5,9.3,75.0,39,4,13.3,53,39.8,6,23,,,,,70.0,91.6,75.9,,91.2,,,,,0,1,55,25.0,106.6,1.9,1,0,0,0,2,1,1.8,464,8.9,70.0,60,66,12.9,3.16,0,3,4.3,56.1,37,37,11.9,80,60.2,5,25,,,,,48.9,76.9,77.7,,73.3,,72.3,,,2,2,85,24.3,84.8,11.3,9,5,0,4,3,2,2.4,531,8.0
Gunnar Watson,83570,QB,TROY,3,2.62,2.48,2.92,5.42,132,318,81.4,59,62,6.9,2.01,2,2,3.1,69.4,43,15,10.4,66,50.0,5,28,,,,,26.7,87.7,76.8,,86.5,,,,,1,3,69,26.7,84.3,6.1,4,0,0,0,3,3,4.3,423,6.8,73.1,52,55,10.0,3.23,1,2,3.6,67.3,37,31,2.6,66,50.0,1,18,,,,,44.3,71.0,76.8,,75.4,,45.8,,,0,1,68,19.4,101.2,9.1,6,5,0,2,2,3,4.4,508,9.2
Layne Hatcher,82068,QB,TEXAS ST,3,2.55,2.48,3.39,4.83,131,314,76.7,60,63,4.2,1.82,1,0,0.0,69.8,44,10,4.3,63,48.1,2,14,,,,,70.3,49.7,76.5,,49.6,,,,,0,1,63,0.0,82.8,0.0,0,0,0,2,2,3,4.8,281,4.5,64.7,51,55,15.1,3.33,1,6,10.3,52.7,29,28,12.1,66,50.4,4,15,,,,,27.0,56.5,76.9,,59.3,,48.2,,,0,2,70,28.6,87.8,12.1,8,3,0,3,4,4,5.7,432,7.9
Jack Plummer,83543,QB,CAL,3,2.7,2.49,2.76,5.4,131,130,76.5,68,71,6.8,1.81,1,1,1.3,69.0,49,9,5.8,72,55.0,3,26,,,,,71.2,50.3,77.5,,50.3,,,,,2,2,81,11.1,93.7,1.4,1,0,0,0,4,3,3.7,461,6.5,62.5,32,40,15.6,3.78,0,3,7.3,45.0,18,39,10.0,59,45.0,2,16,,,,,41.5,73.3,76.3,,64.2,,80.6,,,0,0,60,28.2,75.9,18.6,11,8,0,8,1,1,1.7,269,6.7
Ross Malmgren,104757,QB,CHARLES SO,3,2.19,2.09,2.98,4.1,129,135,59.8,82,85,8.5,1.84,1,2,2.2,56.5,48,16,2.0,89,69.0,1,16,,,,,71.7,48.1,78.2,,48.1,,,,,1,1,96,25.0,72.5,4.5,4,0,0,1,2,4,4.2,416,4.9,71.4,28,30,10.7,3.15,0,2,6.3,60.0,18,13,10.0,38,29.5,2,12,,,,,30.3,67.8,74.8,,72.6,,48.4,,,2,3,40,30.8,93.2,10.5,4,4,0,0,4,4,10.0,296,9.9
John Paddock,77689,QB,BALL ST,3,1.92,1.91,2.9,,128,117,69.7,99,106,7.0,1.76,6,7,6.5,62.3,66,30,4.3,106,82.8,3,35,,,,,72.2,82.4,78.7,,81.1,,,,,1,1,108,0.0,93.3,0.0,0,0,0,0,5,2,1.9,700,6.6,61.1,18,20,6.0,2.79,0,1,4.5,55.0,11,10,0.0,21,16.4,0,4,,,,,67.5,57.7,72.8,,57.5,,,,,0,2,23,10.0,45.0,4.8,1,0,0,2,1,1,4.3,96,4.8
RJ Martinez,147690,QB,N ARIZONA,3,2.64,2.46,3.47,4.72,128,252,82.9,70,73,4.8,1.76,3,4,5.3,76.7,56,10,3.4,73,57.0,2,22,,,,,70.9,81.9,77.2,,80.9,,,,,0,0,75,0.0,96.1,0.0,0,0,0,0,2,1,1.3,368,5.0,70.6,34,43,12.1,3.81,1,4,8.9,51.2,22,27,8.3,55,43.0,2,13,,,,,40.7,67.7,76.2,,68.0,,60.6,,,0,4,58,11.1,31.3,5.5,3,9,0,8,0,4,6.9,262,6.1
Donovan Smith,73929,QB,TEXAS TECH,3,2.79,2.63,3.19,4.63,128,315,72.4,58,58,6.8,1.88,0,0,0.0,70.7,41,12,2.4,60,46.9,1,17,,,,,70.2,52.8,76.3,,52.7,,,,,0,4,61,16.7,78.2,3.3,2,0,0,0,3,3,4.9,399,6.9,71.7,46,53,11.6,3.6,0,2,3.7,56.6,30,34,9.1,68,53.1,3,22,,,,,70.7,71.7,23.7,,73.9,,59.0,,,2,1,69,20.6,97.0,10.3,7,8,0,5,4,1,1.4,387,7.3
Paxton DeLaurent,159618,QB,SE MO ST,3,2.58,2.45,3.75,4.15,128,293,69.1,68,69,6.9,1.7,0,2,2.9,65.2,45,14,4.3,69,53.9,2,18,,,,,70.7,80.8,76.8,,79.7,,,,,1,0,69,0.0,105.9,0.0,0,0,0,0,5,1,1.4,419,6.1,59.2,49,49,15.8,3.6,0,6,11.5,57.1,28,29,3.4,59,46.1,1,24,,,,,70.4,69.4,76.5,,65.3,,70.4,,,0,2,64,6.9,90.7,3.4,2,8,0,0,3,3,4.7,442,9.0
Jason Shelley,60581,QB,MO STATE,3,3.11,2.65,3.61,5.54,127,230,80.0,50,53,7.6,1.9,2,4,7.1,71.7,38,9,5.0,56,44.1,2,24,,,,,70.2,85.1,76.2,,83.9,,,,,0,0,59,33.3,138.2,5.4,3,0,0,1,5,1,1.7,572,10.8,70.3,37,43,10.9,4.07,1,1,2.2,53.5,23,38,11.5,71,55.9,3,22,,,,,70.8,70.4,77.0,,65.7,,69.3,,,1,0,73,34.2,94.7,18.3,13,15,0,4,2,3,4.1,336,7.8
Reece Udinski,60592,QB,RICHMOND,3,2.45,2.32,3.12,4.3,127,276,83.8,74,76,4.2,1.79,2,1,1.3,77.6,59,9,4.8,76,59.8,3,26,,,,,71.0,78.5,77.3,,77.6,,,,,0,1,77,0.0,96.8,0.0,0,0,0,0,3,1,1.3,409,5.4,85.3,34,39,8.4,3.43,0,1,2.5,71.8,28,26,3.4,51,40.2,1,19,,,,,38.1,68.6,75.7,,77.8,,39.4,,,1,0,52,23.1,123.0,11.8,6,6,0,4,3,3,5.8,332,8.5
Phil Jurkovec,83533,QB,BOSTON COL,3,2.9,2.69,3.42,5.56,127,121,77.3,44,46,3.3,1.87,1,2,4.2,71.7,33,10,2.9,48,37.8,1,14,,,,,69.7,62.7,75.6,,62.3,,,,,1,2,50,20.0,95.7,4.2,2,0,0,0,4,2,4.0,253,5.5,63.6,55,61,15.2,3.57,0,0,0.0,49.2,30,41,14.3,78,61.4,5,19,,,,,71.2,54.1,77.5,,55.2,,54.8,,,1,1,82,24.4,80.3,12.8,10,7,0,5,2,2,2.4,485,8.0
Clayton Tune,77652,QB,HOUSTON,3,3.16,2.72,4.33,5.51,127,182,85.4,48,51,2.0,1.85,3,0,0.0,74.5,38,6,7.3,51,40.2,3,16,,,,,69.8,63.8,75.8,,63.3,,,,,0,0,53,0.0,124.2,0.0,0,0,0,0,4,2,3.8,415,8.1,65.1,43,51,11.5,4.03,0,2,3.6,51.0,26,44,7.1,76,59.8,2,22,,,,,48.2,67.8,77.6,,62.7,,69.9,,,0,2,83,27.3,61.2,15.8,12,13,0,8,1,2,2.4,323,6.3
Joe Fagnano,104768,QB,MAINE,3,2.37,2.23,2.96,4.2,126,212,64.8,71,78,6.6,1.87,4,0,0.0,50.0,39,16,15.2,80,63.5,7,17,,,,,48.2,47.7,77.5,,47.7,,,,,2,2,82,12.5,67.4,2.5,2,0,0,1,3,3,3.7,403,5.2,59.4,32,34,9.9,3.22,1,2,5.6,55.9,19,23,0.0,46,36.5,0,15,,,,,36.6,61.5,75.5,,64.1,,54.3,,,0,1,49,26.1,67.5,13.0,6,6,0,1,0,1,2.0,254,7.5
Nic Baker,87541,QB,S ILLINOIS,3,2.68,2.47,3.21,4.57,125,295,82.5,63,66,5.2,1.89,2,0,0.0,69.7,46,16,11.5,68,54.4,6,21,,,,,70.8,68.0,76.9,,67.4,,,,,0,1,71,12.5,94.2,2.9,2,0,0,1,3,2,2.8,399,6.0,51.4,37,37,13.9,3.69,0,2,5.3,45.9,17,29,10.5,56,44.8,2,18,,,,,70.3,51.1,17.7,,52.7,,57.1,,,0,1,61,31.0,75.8,16.1,9,10,0,0,2,3,4.9,255,6.9
Tanner Mordecai,77656,QB,SMU,3,2.44,2.34,4.05,4.5,125,287,69.9,73,74,7.4,1.78,0,5,6.3,62.2,46,10,9.8,74,59.2,5,30,,,,,71.1,69.1,77.4,,68.5,,,,,0,2,79,0.0,110.0,0.0,0,0,0,1,8,1,1.3,557,7.5,67.6,37,42,14.3,3.48,0,6,13.3,54.8,23,14,8.0,50,40.0,2,17,,,,,38.6,86.6,75.8,,90.4,,45.9,,,1,1,53,28.6,97.9,8.0,4,4,0,4,2,1,1.9,446,10.6
Brennan Armstrong,77696,QB,VIRGINIA,3,2.88,2.53,2.93,5.06,124,335,60.8,51,52,8.6,1.9,1,1,1.8,51.9,27,18,12.9,54,43.5,4,11,,,,,41.5,32.6,76.2,,33.2,,,,,0,2,58,11.1,54.2,3.7,2,0,0,0,1,4,6.9,231,4.4,64.6,48,49,15.9,3.63,0,5,9.4,53.1,26,39,16.1,70,56.5,5,23,,,,,70.8,74.0,77.1,,75.7,,59.9,,,0,1,74,12.8,85.2,7.1,5,16,0,1,1,2,2.7,478,9.8
Jaren Hall,82094,QB,BYU,3,2.75,2.5,5.03,5.57,123,128,81.5,54,57,4.5,1.76,2,1,1.7,77.2,44,3,0.0,57,46.3,0,20,,,,,70.2,78.2,76.2,,77.3,,,,,0,0,59,0.0,106.7,0.0,0,0,0,1,2,0,0.0,391,6.9,72.3,47,55,12.7,3.61,0,4,6.3,60.0,33,26,2.9,66,53.7,1,22,,,,,47.0,64.9,77.2,,65.7,,57.4,,,0,1,75,15.4,95.7,6.1,4,7,0,8,3,3,4.0,436,7.9
Nolan Henderson,63572,QB,DELAWARE,3,3.03,2.82,3.82,4.91,122,151,85.4,48,50,3.5,1.65,1,2,3.9,82.0,41,7,0.0,50,41.0,0,17,,,,,69.7,79.7,75.7,,78.8,,,,,0,1,51,0.0,102.2,0.0,0,0,0,1,3,1,2.0,286,5.7,65.3,49,55,16.3,3.98,2,8,13.3,56.4,31,36,3.1,72,59.0,1,21,,,,,71.1,77.1,77.3,,79.0,,56.8,,,0,1,78,25.0,116.7,12.5,9,8,0,4,6,2,2.6,513,9.3
Clay Millen,146082,QB,COLO STATE,3,2.69,2.22,3.15,5.08,121,144,88.2,51,54,2.6,1.68,2,1,1.8,79.6,43,11,4.4,57,47.1,2,16,,,,,41.5,63.2,76.3,,62.8,,,,,1,1,60,27.3,91.4,5.3,3,0,0,0,2,2,3.3,261,4.8,69.0,29,31,13.3,3.59,0,1,3.1,58.1,18,42,10.0,64,52.9,2,16,,,,,25.7,46.1,76.6,,47.8,,53.0,,,1,3,65,50.0,89.4,32.8,21,12,0,1,3,5,7.7,344,11.1
Reese Poffenbarger,145346,QB,ALBANY,3,2.86,2.41,3.99,4.82,121,106,66.7,60,64,12.2,1.95,3,7,9.7,59.4,38,17,5.0,66,54.5,2,22,,,,,46.1,88.5,77.1,,87.2,,,,,1,0,74,11.8,110.4,3.0,2,0,0,0,5,2,2.7,503,7.9,65.5,29,31,17.0,3.94,0,1,3.0,58.1,18,33,5.3,55,45.5,1,18,,,,,70.1,75.3,76.1,,79.3,,59.4,,,1,0,57,24.2,104.5,14.5,8,16,0,1,1,0,0.0,322,10.4
Zevi Eckhaus,148535,QB,BRYANT,3,2.6,2.44,2.85,4.88,120,124,74.6,59,61,9.7,2.0,1,3,4.8,65.6,40,7,9.1,62,51.7,4,21,,,,,43.0,68.9,76.5,,68.2,,,,,0,2,64,14.3,90.1,1.6,1,0,0,1,3,4,6.3,449,7.4,66.7,39,42,13.8,3.24,0,4,8.9,57.1,24,31,7.7,58,48.3,2,21,,,,,25.4,77.8,76.3,,77.0,,63.5,,,1,0,61,32.3,121.2,17.2,10,6,0,2,4,3,4.9,401,9.5
Kohen Granier,63573,QB,NICHOLLS,3,2.42,2.23,4.62,5.87,120,243,78.8,66,68,5.0,1.81,1,3,4.3,72.1,49,15,5.8,68,56.7,3,20,,,,,70.7,62.0,76.8,,61.6,,,,,1,2,69,0.0,90.6,0.0,0,0,0,0,3,4,5.8,424,6.2,57.1,42,44,11.2,3.21,0,1,2.2,47.7,21,18,12.5,52,43.3,3,8,,,,,69.9,56.5,75.9,,56.8,,57.7,,,0,1,54,27.8,47.7,9.6,5,3,0,2,0,2,3.7,162,3.7
Spencer Rattler,97408,QB,S CAROLINA,3,3.0,2.87,3.61,4.34,119,289,80.6,36,39,3.3,1.86,0,1,2.5,66.7,26,7,10.3,39,32.8,3,8,,,,,69.0,63.8,74.8,,63.4,,,,,0,1,40,0.0,82.5,0.0,0,0,0,3,1,0,0.0,253,6.5,70.6,51,63,11.8,3.6,0,3,4.3,54.0,34,42,5.6,79,66.4,2,20,,,,,29.3,38.0,77.8,,34.8,,63.0,,,3,4,88,19.0,57.2,10.1,8,8,0,9,1,10,11.4,474,7.5
Jayden de Laura,131928,QB,ARIZONA,3,2.89,2.73,3.3,5.03,119,109,76.2,63,64,4.3,1.87,0,2,3.1,68.8,44,10,8.3,64,53.8,4,25,,,,,70.4,70.8,76.5,,70.1,,,,,1,1,64,0.0,104.0,0.0,0,0,0,0,5,1,1.6,385,6.0,63.4,41,44,16.8,4.07,0,4,8.7,47.7,21,30,19.2,55,46.2,5,17,,,,,70.0,65.5,76.1,,58.1,,77.8,,,0,3,57,13.3,55.4,7.3,4,7,0,3,1,6,10.5,363,8.3
Jake Haener,60596,QB,FRESNO ST,3,2.7,2.53,2.92,6.03,119,169,88.3,60,60,3.5,1.81,0,0,0.0,85.0,51,9,3.8,62,52.1,2,23,,,,,70.6,71.9,76.7,,71.1,,,,,0,0,67,22.2,118.9,3.2,2,0,0,0,3,0,0.0,512,8.5,65.9,41,46,11.0,3.74,0,2,4.0,52.2,24,30,11.1,56,47.1,3,16,,,,,41.5,70.8,76.3,,67.4,,69.4,,,1,1,60,13.3,74.7,7.1,4,6,0,4,1,4,6.7,342,7.4
Maverick McIvor,99476,QB,ABILENE CH,3,2.72,2.54,3.78,4.48,117,100,73.0,63,64,8.0,1.94,1,5,7.8,68.8,44,10,4.3,64,54.7,2,20,,,,,70.4,76.2,76.5,,75.3,,,,,0,4,64,0.0,79.8,0.0,0,0,0,0,3,4,6.3,474,7.4,52.9,34,41,14.9,3.66,1,2,4.8,41.5,17,24,5.6,53,45.3,1,14,,,,,48.7,55.9,13.8,,55.5,,62.9,,,0,0,54,16.7,74.3,7.5,4,8,0,6,2,3,5.6,211,5.1
Cameron Ward,133244,QB,WASH STATE,3,2.74,2.58,4.66,4.03,117,341,77.9,68,68,5.3,1.65,0,1,1.4,70.6,48,9,9.4,68,58.1,5,20,,,,,70.7,73.5,76.9,,72.7,,,,,0,1,70,0.0,108.3,0.0,0,0,0,0,5,1,1.4,473,7.0,67.9,28,37,10.1,4.33,0,1,2.6,51.4,19,33,0.0,48,41.0,0,15,,,,,37.1,61.6,75.6,,59.5,,65.2,,,0,2,50,24.2,78.0,16.7,8,3,0,9,3,3,6.0,254,6.9
Austin Reed,111760,QB,W KENTUCKY,3,2.48,2.35,3.5,5.06,116,346,85.7,56,59,4.2,1.61,1,0,0.0,79.7,47,9,2.1,60,51.7,1,19,,,,,70.6,70.6,76.7,,68.7,,64.1,,,2,0,67,0.0,123.7,0.0,0,1,0,0,5,0,0.0,407,6.9,65.2,46,48,16.3,3.46,1,5,9.3,56.3,27,11,10.0,55,47.4,3,19,,,,,42.6,83.7,76.3,,82.9,,62.6,,,1,3,61,27.3,91.8,5.5,3,4,0,0,4,5,8.2,473,9.9
Joe Mischler,77695,QB,DUQUESNE,4,2.27,2.19,3.03,5.25,116,155,62.7,83,85,8.5,1.9,2,3,3.4,57.6,49,8,5.8,86,74.1,3,30,,,,,71.5,62.9,77.9,,62.4,,,,,0,5,90,12.5,73.3,1.2,1,0,0,0,5,5,5.6,573,6.7,60.0,25,25,8.4,3.32,0,2,8.0,52.0,13,13,13.3,30,25.9,2,9,,,,,68.2,57.8,73.7,,52.6,,71.7,,,0,1,30,23.1,51.6,10.0,3,2,0,0,0,2,6.7,137,5.5
Jack Zergiotis,97603,QB,MERRIMACK,3,2.74,2.57,3.18,4.53,115,385,67.9,53,53,9.2,1.96,0,5,9.4,62.3,33,9,8.3,56,48.7,3,19,,,,,70.0,90.7,76.0,,90.3,,,,,0,0,56,33.3,111.4,5.4,3,0,0,0,5,0,0.0,330,6.2,44.2,43,46,15.6,3.47,2,4,8.3,37.0,17,33,10.5,59,51.3,2,13,,,,,70.3,71.3,76.3,,68.7,,67.5,,,0,1,61,18.2,66.2,10.2,6,7,0,1,2,2,3.3,308,6.7
Max Brosmer,105568,QB,NEW HAMP,3,2.76,2.58,4.08,4.14,115,240,66.7,45,46,9.9,1.99,1,2,4.3,60.9,28,5,6.7,46,40.0,2,17,,,,,69.5,80.5,75.4,,79.5,,,,,0,1,47,0.0,87.5,0.0,0,0,0,0,3,1,2.1,243,5.3,58.8,51,53,12.1,3.32,0,6,10.9,52.8,28,24,6.7,68,59.1,2,23,,,,,70.8,74.5,76.9,,73.7,,63.6,,,0,1,71,20.8,82.4,7.4,5,10,0,2,2,1,1.4,402,7.6
