player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Gavin Hardison,100827,QB,UTEP,4,0.75,0,181,330,60.7,140,154,13.3,3.02,3,13,8.0,46.8,72,49,15.3,170,93.9,13,45,,47.4,63.8,83.0,63.6,,56.0,2,3,178,24.5,62.8,7.1,12,4,1,8,2,9,5.1,945,6.1,60.7,112,123,12.6,3.07,2,10,7.8,48.0,59,41,13.2,137,75.7,9,31,,42.4,54.6,82.3,53.9,,57.6,1,3,143,26.8,58.0,8.0,11,3,1,7,1,9,6.3,690,5.6,65.7,35,39,13.0,2.6,1,3,7.1,48.7,19,10,17.4,44,24.3,4,15,,69.5,84.1,75.4,85.7,,52.9,1,0,47,10.0,80.7,2.3,1,2,0,2,1,0,0.0,276,7.1,0,85.7,7,8,-0.7,1.87,0,0,0.0,75.0,6,2,0.0,11,6.1,0,1,,65.8,61.2,70.7,64.3,,57.3,0,0,12,0.0,77.1,0.0,0,1,0,1,0,0,0.0,21,2.6,1.47
Kyle Vantrease,55029,QB,GA SOUTHRN,3,7.44,0,156,174,60.0,120,128,11.5,2.4,3,5,3.8,51.6,66,27,8.3,132,84.6,6,41,,73.6,54.5,81.9,53.7,,58.7,0,6,137,0.0,60.7,0.0,0,4,0,5,4,10,7.3,761,5.9,64.7,102,107,9.9,2.25,3,5,4.5,57.0,61,17,7.6,111,71.2,5,39,,73.0,61.6,81.4,60.9,,58.7,0,5,115,0.0,70.6,0.0,0,4,0,2,4,8,7.0,719,6.7,71.4,42,45,7.6,2.28,0,0,0.0,64.4,29,10,3.3,45,28.8,1,12,,69.5,47.0,75.4,47.1,,,0,1,47,0.0,86.1,0.0,0,0,0,3,2,2,4.3,267,5.9,0,100.0,24,24,-2.2,1.5,0,0,0.0,100.0,24,0,0.0,24,15.4,0,10,,67.7,68.5,73.1,68.1,,,0,0,25,,133.5,0.0,0,0,0,0,2,0,0.0,225,9.4,-0.79
Will Rogers,124184,QB,MISS STATE,3,-2.66,0,151,227,78.2,110,115,6.6,2.52,2,3,2.4,69.6,80,29,7.0,126,83.4,6,46,,73.1,77.4,81.5,77.0,,56.6,0,3,134,24.1,108.3,5.6,7,3,0,3,10,1,0.7,832,7.2,82.0,122,128,5.6,2.33,2,3,2.2,72.7,93,27,7.0,140,92.7,7,49,,73.5,75.2,81.8,75.4,,51.4,0,3,148,25.9,109.2,5.0,7,2,0,4,10,1,0.7,930,7.3,80.0,10,10,2.5,2.52,0,0,0.0,70.0,7,2,12.5,11,7.3,1,3,,65.6,77.6,70.4,73.4,,64.0,0,0,11,0.0,79.2,0.0,0,1,0,0,0,0,0.0,45,4.5,0,100.0,22,23,-0.9,1.47,0,0,0.0,87.0,20,0,9.1,25,16.6,2,6,,67.6,65.2,73.1,64.8,,,0,0,25,,92.6,0.0,0,0,0,1,0,0,0.0,143,6.2,-2.77
Ryan Hilinski,71295,QB,NWESTERN,3,-18.63,0,147,256,66.9,121,127,9.2,2.74,2,1,0.7,60.6,77,29,4.9,131,89.1,4,45,,50.2,58.4,61.7,58.0,,58.3,1,2,139,10.3,87.8,2.3,3,1,0,3,5,6,4.3,874,6.9,73.0,100,102,6.0,2.51,0,1,0.9,68.6,70,22,4.1,105,71.4,3,36,,63.0,59.7,59.3,58.9,,60.2,1,2,112,9.1,92.9,1.9,2,0,0,1,4,5,4.5,703,6.9,58.3,36,40,13.2,2.95,2,0,0.0,50.0,20,8,4.8,42,28.6,1,13,,33.1,59.7,75.0,60.4,,57.3,0,1,43,12.5,69.2,2.4,1,1,0,2,1,1,2.3,264,6.6,0,86.7,15,15,-2.6,1.79,0,0,0.0,86.7,13,1,0.0,16,10.9,0,4,,66.5,67.9,71.6,67.5,,,0,1,16,0.0,64.7,0.0,0,0,0,0,0,0,0.0,93,6.2,-0.29
Frank Harris,60586,QB,UTSA,3,4.38,0,146,331,70.6,102,109,10.0,2.65,1,6,5.0,65.1,71,50,1.4,129,88.4,1,54,,60.6,84.0,35.8,80.7,60.0,75.4,1,1,141,14.0,103.3,5.4,7,13,2,3,6,2,1.4,849,7.8,72.5,91,96,8.7,2.48,0,5,4.9,65.6,63,35,4.5,111,76.0,3,44,,74.7,87.0,31.7,80.7,60.0,83.7,1,2,120,14.3,92.2,4.5,5,10,2,2,4,1,0.8,697,7.3,75.0,28,30,7.1,2.53,1,1,3.0,70.0,21,15,0.0,35,24.0,0,12,,29.9,63.4,74.6,70.3,,42.3,0,0,38,13.3,113.3,5.7,2,3,0,1,2,1,2.6,221,7.4,0,88.2,17,17,-1.9,1.32,0,0,0.0,76.5,13,0,13.3,17,11.6,2,2,,66.7,65.8,71.8,65.4,,,0,1,17,,58.2,0.0,0,0,0,0,0,0,0.0,69,4.1,0.11
Connor Bazelak,99135,QB,INDIANA,3,-2.37,0,142,190,63.2,117,122,11.0,2.54,0,6,4.6,53.3,65,38,12.2,127,89.4,9,38,,74.5,69.6,82.1,68.7,,60.1,0,2,136,10.5,81.4,3.1,4,1,0,5,5,5,3.7,822,6.7,67.1,82,87,9.1,2.43,0,4,4.3,57.5,50,32,9.1,92,64.8,5,26,,73.6,70.5,81.3,69.7,,60.1,0,0,98,9.4,77.7,3.3,3,1,0,5,1,2,2.0,498,5.7,65.3,49,49,10.6,2.3,0,2,3.8,55.1,27,6,15.6,50,35.2,5,16,,69.9,62.8,75.9,62.4,,,0,2,54,16.7,91.6,2.0,1,0,0,0,4,3,5.6,393,8.0,0,92.9,14,14,-1.6,1.05,0,0,0.0,85.7,12,0,7.7,15,10.6,1,4,,66.4,57.8,71.6,57.5,,,0,0,16,,87.2,0.0,0,0,0,0,0,0,0.0,69,4.9,2.3
Aidan O'Connell,60516,QB,PURDUE,3,-2.39,0,137,273,67.6,111,119,11.0,2.48,1,5,4.0,60.5,72,30,4.0,122,89.1,3,43,,72.8,74.4,55.0,74.4,60.0,57.3,3,1,129,6.7,103.0,1.6,2,1,0,4,8,4,3.1,901,7.6,70.0,90,94,8.9,2.18,1,4,4.0,64.9,61,19,3.2,96,70.1,2,29,,71.9,78.9,50.8,79.3,60.0,57.3,1,0,101,5.3,104.3,1.0,1,1,0,2,5,2,2.0,686,7.3,74.3,35,40,11.1,2.72,0,1,2.3,62.5,25,11,3.8,41,29.9,1,16,,69.4,60.9,75.2,60.5,,,2,1,45,9.1,101.3,2.4,1,0,0,3,3,2,4.4,312,7.8,0,100.0,14,15,-2.4,1.24,0,0,0.0,93.3,14,0,0.0,15,10.9,0,2,,66.7,68.3,71.8,68.0,,,0,0,17,,93.6,0.0,0,0,0,1,0,0,0.0,97,6.5,0.5
Cole Snyder,97617,QB,BUFFALO,3,12.78,0,136,126,60.2,98,103,11.9,2.46,4,6,5.5,56.3,58,38,1.7,121,89.0,1,38,,65.1,76.9,81.9,73.4,54.3,70.8,0,2,127,28.9,84.2,9.1,11,7,0,1,5,5,3.9,671,6.5,61.8,68,74,9.9,2.49,4,4,5.0,55.4,41,32,2.4,90,66.2,1,28,,62.8,82.3,81.2,78.0,,72.4,0,0,96,31.3,87.2,11.1,10,6,0,2,3,3,3.1,452,6.1,68.2,44,44,10.2,2.11,0,2,4.5,68.2,30,8,0.0,46,33.8,0,15,,69.4,56.2,75.4,57.6,54.3,57.3,0,2,46,12.5,81.9,2.2,1,1,0,0,2,3,6.5,283,6.4,0,92.9,14,15,-3.4,1.6,0,0,0.0,86.7,13,2,0.0,15,11.0,0,5,,66.4,57.8,71.4,57.5,,,0,0,15,0.0,84.4,0.0,0,0,0,1,0,1,6.7,64,4.3,0.32
N'Kosi Perry,60446,QB,FAU,4,15.16,0,135,165,60.8,97,103,15.1,2.59,1,11,10.0,52.4,54,33,8.5,114,84.4,5,47,,41.9,82.7,60.1,86.0,,54.0,0,1,121,9.1,102.3,2.6,3,8,0,5,8,3,2.5,857,8.3,61.4,83,88,11.2,2.46,1,6,6.4,53.4,47,28,7.8,100,74.1,4,39,,38.8,66.6,58.7,68.9,,54.0,0,2,106,14.3,85.0,4.0,4,8,0,4,5,4,3.8,611,6.9,73.5,34,35,13.8,2.35,0,5,13.9,68.6,24,7,4.0,35,25.9,1,16,,68.7,92.9,74.4,92.4,,,0,0,36,0.0,143.6,0.0,0,0,0,1,5,0,0.0,376,10.7,0,85.0,20,20,-3.4,1.59,0,0,0.0,85.0,17,2,0.0,21,15.6,0,8,,67.2,49.4,72.5,49.2,,,0,1,21,50.0,106.3,4.8,1,0,0,0,2,1,4.8,130,6.5,3.8
Davis Brin,77642,QB,TULSA,3,3.24,0,135,320,71.1,114,116,13.1,2.58,0,9,7.3,62.9,73,37,9.9,132,97.8,8,53,,58.8,85.1,81.9,83.3,,66.1,2,1,140,27.0,125.7,7.6,10,6,0,0,11,2,1.4,1201,10.4,69.9,73,75,12.9,2.77,0,6,7.6,62.7,47,27,7.8,86,63.7,4,35,,72.8,88.0,80.6,87.3,,63.6,2,1,90,22.2,122.6,7.0,6,5,0,0,7,1,1.1,769,10.3,75.0,44,44,12.5,2.21,0,3,6.3,65.9,29,10,12.1,49,36.3,4,18,,38.6,70.6,75.8,68.8,,64.0,0,0,53,40.0,128.7,8.2,4,1,0,0,4,1,1.9,437,9.9,0,100.0,3,3,-1.7,1.83,0,0,0.0,100.0,3,0,0.0,3,2.2,0,0,,62.7,64.1,66.6,63.9,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,5,1.7,-0.32
