player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Michael Boyle,52076,K,COLO STATE,1,0,0,0,,1,0,0.0,144,60.0,0,0,,1,1,100.0,0,0,0,,1,0,0.0,0,0,
Christian VanSickle,55137,K,RICE,3,0,0,0,,0,0,,275,72.0,0,0,,10,10,100.0,0,1,1,100.0,3,3,100.0,2,2,100.0
Zach Murphy,55435,K,WAKE,1,0,0,0,,0,0,,339,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Joseph Bulovas,57496,K,VANDERBILT,4,0,0,0,,0,0,,333,74.3,0,0,,21,21,100.0,0,2,2,100.0,2,2,100.0,0,0,
Blake Grupe,57502,K,NOTRE DAME,3,0,0,0,,1,1,100.0,258,66.5,0,0,,5,5,100.0,0,1,1,100.0,2,2,100.0,0,0,
Anders Carlson,57509,K,AUBURN,3,0,0,0,,1,1,100.0,115,73.8,0,0,,9,9,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0
Brooks Buce,57529,K,TROY,3,0,0,0,,0,0,,318,64.9,0,0,,10,10,100.0,0,3,2,66.7,3,2,66.7,0,0,
Noah Ruggles,57579,K,OHIO STATE,3,0,0,0,,0,0,,260,67.7,0,0,,20,20,100.0,0,1,0,0.0,2,1,50.0,1,1,100.0
Calum Sutherland,57592,K,LA MONROE,3,0,0,0,,0,0,,209,67.6,0,0,,7,7,100.0,0,0,0,,1,1,100.0,1,1,100.0
Briggs Bourgeois,57616,K,SO MISS,3,0,1,1,100.0,0,0,,296,72.3,0,0,,11,11,100.0,0,3,2,66.7,5,4,80.0,1,1,100.0
Andre Szmyt,57624,K,SYRACUSE,3,0,1,1,100.0,1,0,0.0,304,73.0,0,0,,13,13,100.0,0,1,1,100.0,5,4,80.0,2,2,100.0
Chase McGrath,57641,K,TENNESSEE,3,0,1,1,100.0,1,0,0.0,307,74.2,0,0,,19,19,100.0,0,2,2,100.0,4,3,75.0,0,0,
Connor Coles,57644,K,UTAH ST,2,0,0,0,,1,1,100.0,329,69.0,0,0,,5,5,100.0,0,0,0,,1,1,100.0,0,0,
Jared Sackett,57647,K,UTSA,3,0,0,0,,2,0,0.0,331,77.1,0,0,,10,10,100.0,0,3,3,100.0,6,4,66.7,1,1,100.0
Peyton Henry,57651,K,WASHINGTON,3,0,0,0,,0,0,,340,74.5,0,0,,17,17,100.0,0,2,2,100.0,3,3,100.0,1,1,100.0
Chris Howard,58344,K,MEMPHIS,3,0,0,0,,2,2,100.0,218,79.4,0,0,,11,11,100.0,0,2,2,100.0,5,5,100.0,1,1,100.0
Daniel Gutierrez,60310,K,UNLV,3,0,0,0,,0,0,,325,72.3,0,0,,17,17,100.0,0,1,1,100.0,1,1,100.0,0,0,
Parker Grothaus,62900,K,W VIRGINIA,1,0,0,0,,0,0,,343,51.5,0,0,,3,2,66.7,0,0,0,,0,0,,0,0,
Mason Lawler,64598,K,BOWL GREEN,3,0,0,0,,1,1,100.0,122,67.3,0,0,,12,12,100.0,0,1,0,0.0,3,2,66.7,1,1,100.0
Christopher Dunn,77049,K,NC STATE,3,0,0,0,,3,3,100.0,248,79.9,0,0,,13,13,100.0,0,0,0,,4,4,100.0,1,1,100.0
Bubba Baxa,77050,K,HOUSTON,3,0,0,0,,1,0,0.0,182,68.4,0,0,,10,9,90.0,0,3,3,100.0,7,6,85.7,3,3,100.0
B.T. Potter,77054,K,CLEMSON,3,0,0,0,,0,0,,140,74.8,0,0,,15,15,100.0,0,2,2,100.0,4,4,100.0,2,2,100.0
John Mayers,77068,K,BAYLOR,2,0,0,0,,0,0,,118,67.2,0,0,,10,9,90.0,0,0,0,,0,0,,0,0,
Casey Legg,77072,K,W VIRGINIA,3,0,0,0,,0,0,,343,73.8,0,0,,14,14,100.0,0,0,0,,4,4,100.0,4,4,100.0
Brayden Narveson,77073,K,W KENTUCKY,3,0,0,0,,1,0,0.0,346,58.7,0,0,,15,15,100.0,0,2,1,50.0,7,4,57.1,4,3,75.0
Trey Wolff,77076,K,TEXAS TECH,3,0,0,0,,2,1,50.0,315,71.7,0,0,,8,8,100.0,0,0,0,,3,2,66.7,1,1,100.0
Matthew Trickett,77078,K,MINNESOTA,3,0,0,0,,1,1,100.0,225,76.3,0,0,,20,20,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0
Alex Hale,77080,K,OKLA STATE,1,0,0,0,,0,0,,262,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
John Richardson,77081,K,N ILLINOIS,3,0,0,0,,3,1,33.3,254,66.3,0,0,,13,13,100.0,0,1,1,100.0,4,2,50.0,0,0,
Chad Ryland,77083,K,MARYLAND,3,0,0,0,,2,2,100.0,215,77.3,0,0,,16,16,100.0,0,1,1,100.0,3,3,100.0,0,0,
Alex McNulty,77084,K,BUFFALO,3,0,1,1,100.0,3,2,66.7,126,78.6,0,0,,7,7,100.0,0,2,2,100.0,7,6,85.7,1,1,100.0
Timmy Bleekrode,79417,P,NEBRASKA,4,0,1,0,0.0,1,1,100.0,238,62.9,0,0,,17,17,100.0,0,1,0,0.0,3,1,33.3,0,0,
Camden Wise,79429,K,JAMES MAD,2,0,0,0,,0,0,,197,69.8,0,0,,15,15,100.0,0,1,0,0.0,1,0,0.0,0,0,
Massimo Biscardi,82576,K,MISS STATE,2,0,0,0,,0,0,,227,40.0,0,0,,9,7,77.8,0,0,0,,0,0,,0,0,
Jack Podlesny,82587,K,GEORGIA,3,0,1,0,0.0,1,1,100.0,173,74.3,0,0,,16,16,100.0,0,0,0,,6,5,83.3,4,4,100.0
Caleb Griffin,82589,K,ILLINOIS,3,0,1,0,0.0,3,1,33.3,187,59.1,0,0,,10,10,100.0,0,1,0,0.0,8,4,50.0,3,3,100.0
Charles Campbell,82592,K,INDIANA,3,0,1,1,100.0,2,2,100.0,190,72.6,0,0,,6,6,100.0,0,5,4,80.0,8,7,87.5,0,0,
Matt Ruffolo,82595,K,KENTUCKY,3,0,1,1,100.0,0,0,,202,73.0,0,0,,10,10,100.0,0,2,1,50.0,7,6,85.7,4,4,100.0
Jake Moody,82603,K,MICHIGAN,3,0,1,0,0.0,0,0,,222,73.6,0,0,,19,19,100.0,0,2,2,100.0,5,4,80.0,2,2,100.0
Ethan Mooney,82615,K,N TEXAS,4,0,0,0,,1,1,100.0,251,80.3,0,0,,16,16,100.0,0,3,2,66.7,6,5,83.3,2,2,100.0
Jake Pinegar,82618,K,PENN STATE,3,0,0,0,,2,1,50.0,266,61.5,0,0,,16,15,93.8,0,0,0,,4,3,75.0,2,2,100.0
Dario Longhetto,82633,K,CAL,3,0,0,0,,3,1,33.3,130,67.4,0,0,,8,8,100.0,0,2,2,100.0,7,5,71.4,2,2,100.0
Gavin Baechle,82643,K,UTEP,4,0,1,1,100.0,4,3,75.0,330,81.6,0,0,,5,5,100.0,0,0,0,,8,7,87.5,3,3,100.0
Jonathan Cruz,84523,K,OLE MISS,3,0,1,0,0.0,1,1,100.0,226,66.9,0,0,,16,16,100.0,0,0,0,,2,1,50.0,0,0,
Mitchell Fineran,87241,K,PURDUE,3,0,0,0,,2,1,50.0,273,69.6,0,0,,14,13,92.9,0,1,1,100.0,3,2,66.7,0,0,
Antonio Zita,89255,K,CHARLOTTE,4,0,1,0,0.0,0,0,,136,67.8,0,0,,13,13,100.0,0,1,1,100.0,2,1,50.0,0,0,
Trey Finison,97149,K,LSU,1,0,0,0,,0,0,,211,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Michael Hayes,97151,P,GA STATE,3,0,0,0,,3,2,66.7,175,61.5,0,0,,8,7,87.5,0,0,0,,3,2,66.7,0,0,
Brandon Talton,97152,K,NEVADA,4,0,2,1,50.0,1,1,100.0,239,76.1,0,0,,12,12,100.0,0,3,3,100.0,7,6,85.7,1,1,100.0
Jacob Barnes,97155,K,LA TECH,3,0,1,0,0.0,0,0,,208,71.1,1,1,100.0,12,12,100.0,0,2,2,100.0,5,4,80.0,1,1,100.0
Matt Quinn,97259,K,UAB,3,0,1,1,100.0,0,0,,321,53.9,0,0,,13,13,100.0,0,0,0,,3,1,33.3,2,0,0.0
Alex Raynor,97397,K,GA SOUTHRN,3,0,0,0,,0,0,,174,71.7,1,1,100.0,17,17,100.0,0,0,0,,2,2,100.0,1,1,100.0
Everett Hayes,97578,K,OREGON ST,3,0,0,0,,2,0,0.0,265,52.0,0,0,,12,11,91.7,0,0,0,,4,2,50.0,2,2,100.0
Diego Guajardo,97579,K,S ALABAMA,3,0,0,0,,1,1,100.0,288,67.8,0,0,,14,13,92.9,0,3,3,100.0,4,4,100.0,0,0,
Charlie Ham,97766,K,DUKE,3,0,1,0,0.0,0,0,,154,54.7,1,1,100.0,14,14,100.0,0,4,2,50.0,8,4,50.0,2,1,50.0
Jacob Borcila,97984,K,KANSAS,3,0,0,0,,1,0,0.0,198,70.0,0,0,,21,21,100.0,0,1,1,100.0,3,2,66.7,1,1,100.0
Daniel Obarski,98538,K,UCF,2,0,0,0,,1,0,0.0,323,56.8,0,0,,10,10,100.0,0,1,0,0.0,2,0,0.0,0,0,
Toby Wilson,98962,K,TENNESSEE,1,0,0,0,,0,0,,307,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Caden Davis,98964,K,TEXAS A&M,2,0,1,0,0.0,2,1,50.0,312,56.8,0,0,,6,6,100.0,0,0,0,,3,1,33.3,0,0,
Will Reichard,98965,K,ALABAMA,3,0,1,1,100.0,1,1,100.0,103,82.9,0,0,,18,18,100.0,0,2,2,100.0,4,4,100.0,0,0,
Preston Stafford,98976,K,LA LAFAYET,3,0,1,0,0.0,1,0,0.0,207,63.5,0,0,,13,13,100.0,0,0,0,,3,1,33.3,1,1,100.0
Griffin Kell,99355,K,TCU,1,0,0,0,,0,0,,305,66.9,0,0,,5,5,100.0,0,1,1,100.0,1,1,100.0,0,0,
James Turner,99857,K,LOUISVILLE,3,0,0,0,,1,0,0.0,210,67.8,0,0,,7,7,100.0,0,3,3,100.0,4,3,75.0,0,0,
Ryan Fitzgerald,99867,K,FLORIDA ST,3,0,0,0,,1,0,0.0,167,58.7,0,0,,13,13,100.0,0,2,0,0.0,6,3,50.0,3,3,100.0
Thomas Cluckey,100361,K,TOLEDO,3,0,0,0,,2,2,100.0,316,78.6,0,0,,14,14,100.0,0,1,1,100.0,5,5,100.0,2,2,100.0
Cory Smigel,100365,K,AKRON,3,0,0,0,,2,0,0.0,102,48.0,0,0,,4,3,75.0,0,1,0,0.0,4,1,25.0,1,1,100.0
Tim Horn,100474,K,RICE,1,0,0,0,,1,0,0.0,275,60.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Camden Lewis,100476,K,OREGON,3,0,0,0,,0,0,,264,73.6,0,0,,15,15,100.0,0,1,1,100.0,3,3,100.0,2,2,100.0
Dean Janikowski,100479,K,WASH STATE,3,0,1,0,0.0,0,0,,341,59.0,0,0,,10,10,100.0,0,1,1,100.0,5,3,60.0,3,2,66.7
Nicholas Barr-Mira,100480,K,UCLA,3,0,0,0,,2,1,50.0,324,65.6,1,1,100.0,13,13,100.0,0,1,1,100.0,8,6,75.0,4,3,75.0
Andrew Stein,100731,K,SO MISS,1,0,0,0,,0,0,,296,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
