"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Rob Gronkowski","278","23","0.46","62","1.9","76.5","61","Jermaine Carter","315","9","0.18","83","0.8","45.4"
"Geoff Swaim","161","19","0.34","77","1.17","55.9","-35","Marcell Harris","125","14","0.26","100","1.24","50.8"
"John Bates","131","12","0.23","88","1.25","66.1","-46","Jayron Kearse","501","11","0.18","69","0.77","78.9"
"Zach Ertz","393","20","0.36","68","1.49","66.2","2","Bobby Okereke","487","14","0.26","85","0.96","58.5"
"Kyle Pitts","442","21","0.34","63","1.92","77.9","65","Derrick Barnes","120","20","0.5","88","2.22","34.2"
"Mark Andrews","513","23","0.47","72","2.07","91","17","Germaine Pratt","298","16","0.27","81","1.24","52.7"
"Dawson Knox","393","15","0.37","73","1.34","62.2","-10","Kyle Dugger","361","12","0.15","64","0.63","67.5"
"Ian Thomas","248","9","0.12","61","0.61","53.1","-29","Devin White","482","15","0.25","82","1.03","37.4"
"Cole Kmet","395","19","0.25","65","1.24","63.1","-16","Jordyn Brooks","436","18","0.41","87","1.81","54.7"
"C.J. Uzomah","389","13","0.29","80","1.09","62.5","-10","Josh Bynes","182","13","0.23","78","0.96","73.3"
"David Njoku","238","19","0.38","67","1.83","75.9","-2","Krys Barnes","212","17","0.3","89","1.23","55.8"
"Dalton Schultz","461","17","0.34","77","1.41","77.6","48","Jamin Davis","268","15","0.26","90","1.09","39.5"
"Noah Fant","369","20","0.35","77","1.44","59.9","-15","K.J. Wright","155","9","0.22","100","0.89","59.4"
"Brock Wright","58","21","0.33","58","1.07","54.4","17","Deion Jones","420","18","0.38","87","1.81","39.3"
"Josiah Deguara","156","14","0.26","82","1.04","54.1","-30","Jeremiah Owusu-Koramoah","236","11","0.17","78","0.55","77.5"
"Jordan Akins","197","15","0.23","80","1.09","54.5","-22","Kyzir White","402","13","0.22","81","0.82","66.8"
"Jack Doyle","239","17","0.31","68","1.22","74.4","15","Isaiah Simmons","408","15","0.23","71","1.05","48.2"
"James O'Shaughnessy","155","19","0.25","69","1.26","61.2","3","C.J. Mosley","405","16","0.33","89","1.23","37.6"
"Noah Gray","93","8","0.13","57","0.19","56.6","7","Joe Schobert","379","13","0.2","69","0.92","50.1"
"Kendall Blanton","51","14","0.15","57","0.73","37.1","-37","Eric Kendricks","454","11","0.23","72","1.02","61.3"
"Jared Cook","397","17","0.27","61","1.11","60.3","49","Garret Wallow","53","23","0.44","92","2.36","34.9"
"Foster Moreau","256","14","0.26","64","0.96","64","-10","Kareem Jackson","445","6","0.11","72","0.39","55.1"
"Mike Gesicki","459","20","0.31","70","1.49","70.5","-6","Demario Davis","453","12","0.14","67","0.62","73.5"
"Tyler Conklin","385","17","0.31","75","1.29","65.6","4","Ernest Jones","240","12","0.19","76","0.69","57.6"
"Hunter Henry","324","18","0.44","71","1.45","74.9","15","Tremaine Edmunds","356","14","0.28","86","1.24","54.4"
"Adam Trautman","223","18","0.25","65","1.1","63.2","-17","Eric Rowe","376","15","0.28","79","1.08","70.7"
"Evan Engram","376","15","0.24","71","1","55.4","-37","T.J. Edwards","278","17","0.32","83","1.43","74"
"Tyler Kroft","137","12","0.23","71","1.01","64.4","4","Myles Jack","368","14","0.23","76","0.92","39"
"Dallas Goedert","311","20","0.47","77","2.35","89.5","33","Benardrick McKinney","78","23","0.31","67","1.51","40.1"
"Pat Freiermuth","321","19","0.41","79","1.31","71.6","26","Anthony Hitchens","215","13","0.3","81","1.13","41.1"
"Gerald Everett","287","16","0.33","87","1.23","60.6","-9","Roquan Smith","391","14","0.2","81","0.85","51.3"
"George Kittle","303","27","0.61","78","2.81","92.2","48","Jayon Brown","229","11","0.23","88","1.1","46.9"
