player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
C.J. Ham,11347,FB,MIN,1,1,0,18,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,0,9.0,0,100.0,,0,0,0.0,0,0,0,64.7,89.7,0,9,33.3,1,3,1,66.7,2,104.2,1,100.0,0,9,0,0.0,9.0,4.5
Terrace Marshall Jr.,84271,WR,CAR,1,1,0,5,,0,,,0,0,,0,0,0,,57.8,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,18.0,0,100.0,,0,0,0.0,0,1,0,64.7,59.5,0,18,0.0,0,20,1,100.0,20,118.8,1,100.0,0,18,0,0.0,18.0,0.9
Tyler Boyd,10689,WR,CIN,1,1,0,7,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Chris Manhertz,10211,TE,JAX,1,1,0,15,,0,,,0,0,,0,0,0,,58.8,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,1.0,0,100.0,,0,0,0.0,0,1,0,64.7,79.7,0,21,44.4,4,9,1,55.6,5,118.8,1,100.0,0,21,20,20.0,21.0,4.2
John Brown,8726,WR,BUF,1,1,0,4,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,44.0,0,0.0,0.0,0,1,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0
Marvin Jones Jr.,7158,WR,JAX,1,1,0,15,,0,,,0,0,,0,0,0,,52.6,0,0,0.0,0,8,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0,0,12.0,0,100.0,,0,0,0.0,0,1,0,64.7,60.6,0,22,0.0,0,18,1,100.0,18,118.8,1,100.0,0,22,10,10.0,22.0,1.22
Colby Parkinson,52266,TE,SEA,1,1,0,29,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,0,4.0,0,100.0,,0,0,0.0,0,0,0,64.7,52.9,0,10,18.2,2,11,1,81.8,9,108.3,1,100.0,0,10,6,6.0,10.0,1.11
Dan Arnold,51842,TE,JAX,1,1,0,15,,0,,,0,0,,0,0,0,,54.5,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,4.0,0,100.0,,0,0,0.0,0,0,0,64.7,60.8,0,5,0.0,0,1,1,100.0,1,87.5,1,100.0,0,5,1,1.0,5.0,5.0
Marcus Jones,55717,CB,NE,1,1,0,19,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,-6.0,0,100.0,,0,0,0.0,0,1,0,68.3,72.0,0,12,0.0,0,5,1,80.0,4,116.7,1,100.0,0,12,18,18.0,12.0,3.0
Keelan Cole,51593,WR,LV,1,1,0,23,,0,,,0,0,,0,0,0,,56.5,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,9.0,0,100.0,,0,0,0.0,0,1,0,64.7,63.2,0,11,0.0,0,12,1,100.0,12,112.5,1,100.0,0,11,2,2.0,11.0,0.92
Nyheim Hines,48103,HB,BUF,1,1,0,4,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,0,3.0,0,100.0,,0,0,0.0,0,0,0,64.7,59.8,0,4,0.0,0,5,1,80.0,4,83.3,1,100.0,0,4,1,1.0,4.0,1.0
Cam Akers,57206,HB,LA,1,1,0,26,1.0,0,100.0,,0,0,0.0,0,1,0,64.7,77.6,0,1,0.0,0,3,1,100.0,3,79.2,1,100.0,0,1,0,0.0,1.0,0.33,0,,0,,,0,0,,0,0,0,,54.9,0,0,12.5,1,8,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0
Brandon Powell,48036,WR,LA,1,1,0,26,,0,,,0,0,,0,0,0,,59.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-2.0,0,0.0,,0,0,,0,0,0,,56.8,0,0,0.0,0,5,0,100.0,5,39.6,1,100.0,0,0,0,,,0.0
Connor Heyward,57301,TE,PIT,1,1,0,25,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,13.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,93.4,0,13,0.0,0,3,1,100.0,3,118.8,1,100.0,0,13,0,0.0,13.0,4.33
Jauan Jennings,48027,WR,SF,1,1,0,28,,0,,,0,0,,0,0,0,,54.4,0,0,0.0,0,6,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0,0,5.0,0,100.0,,0,0,0.0,0,0,0,64.7,56.1,0,5,0.0,0,9,1,100.0,9,87.5,1,100.0,0,5,0,0.0,5.0,0.56
Ray-Ray McCloud III,47895,WR,SF,1,1,0,28,,0,,,0,0,,0,0,0,,53.9,0,0,0.0,0,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,56.8,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
Raheem Blackshear,57385,HB,CAR,1,1,0,5,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,-7.0,0,100.0,,0,0,0.0,0,1,0,64.7,71.5,0,17,14.3,1,7,1,85.7,6,118.8,1,100.0,0,17,24,24.0,17.0,2.83
Stone Smartt,60492,TE,LAC,1,1,0,27,,0,,,0,0,,0,0,0,,59.1,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,5.0,0,100.0,,0,0,0.0,0,0,0,64.7,63.6,0,8,50.0,1,2,1,50.0,1,100.0,1,100.0,0,8,3,3.0,8.0,8.0
