Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,1,34,23,234,2,9.3,207,62,13,32.50%,3,7.50%,3,8.80%,4,10,25.00%,2
Buffalo Bills,1,41,29,191,1,6.1,121,114,1,2.00%,1,2.00%,7,17.10%,7,15,30.60%,1
Carolina Panthers,1,34,18,138,1,7.6,90,57,8,21.10%,6,15.80%,2,5.90%,1,9,23.70%,10
Chicago Bears,1,28,13,155,0,8,107,57,1,2.90%,5,14.70%,1,3.60%,2,8,23.50%,5
Cincinnati Bengals,1,38,21,192,1,8.1,117,77,10,24.40%,1,2.40%,5,13.20%,1,7,17.10%,3
Cleveland Browns,1,27,16,207,1,6.4,86,149,5,15.60%,3,9.40%,0,0.00%,4,7,21.90%,3
Indianapolis Colts,1,37,23,222,2,7.3,159,81,12,29.30%,4,9.80%,3,8.10%,3,10,24.40%,5
Arizona Cardinals,1,39,30,360,5,7.8,168,192,24,58.50%,18,43.90%,6,15.40%,0,24,58.50%,5
Dallas Cowboys,1,27,18,195,1,11.3,125,87,6,20.70%,3,10.30%,2,7.40%,2,7,24.10%,3
Denver Broncos,1,28,23,177,2,4.7,92,65,13,41.90%,4,12.90%,2,7.10%,2,8,25.80%,11
Detroit Lions,1,32,18,239,0,4.7,103,118,21,48.80%,6,14.00%,4,12.50%,1,11,25.60%,7
Green Bay Packers,1,32,23,269,2,4.8,108,133,5,15.20%,3,9.10%,7,21.90%,1,11,33.30%,8
Houston Texans,1,50,32,340,1,6.3,180,172,12,22.20%,7,13.00%,4,8.00%,2,13,24.10%,17
Jacksonville Jaguars,1,41,27,305,4,7.1,135,178,15,33.30%,0,0.00%,3,7.30%,1,4,8.90%,6
Kansas City Chiefs,2,86,57,505,5,6.4,259,259,23,24.50%,21,22.30%,12,14.00%,5,38,40.40%,16
Miami Dolphins,1,30,21,193,1,9.4,126,87,8,24.20%,2,6.10%,1,3.30%,2,5,15.20%,10
Minnesota Vikings,1,39,26,227,0,6,90,170,8,18.60%,6,14.00%,1,2.60%,4,11,25.60%,4
New Orleans Saints,1,33,20,215,0,8.8,137,78,4,10.80%,3,8.10%,1,3.00%,0,4,10.80%,2
New England Patriots,1,33,23,242,1,8.4,152,118,16,44.40%,8,22.20%,4,12.10%,3,15,41.70%,10
New York Giants,1,33,20,266,2,9.4,163,103,17,48.60%,6,17.10%,4,12.10%,1,11,31.40%,2
New York Jets,1,30,17,211,3,11.4,147,66,7,20.60%,0,0.00%,2,6.70%,2,4,11.80%,4
Tennessee Titans,1,21,17,156,2,5.7,96,92,10,35.70%,7,25.00%,4,19.00%,5,16,57.10%,1
Philadelphia Eagles,1,37,21,205,2,8.3,96,119,10,25.60%,1,2.60%,4,10.80%,1,6,15.40%,10
Pittsburgh Steelers,1,53,33,299,2,6.7,146,192,9,13.80%,1,1.50%,6,11.30%,7,14,21.50%,5
Las Vegas Raiders,1,34,26,279,3,6.9,159,120,5,14.30%,4,11.40%,3,8.80%,0,7,20.00%,0
Los Angeles Rams,1,31,26,292,3,7.3,183,114,8,21.10%,0,0.00%,0,0.00%,2,2,5.30%,3
Baltimore Ravens,1,59,37,297,1,5,170,139,19,30.60%,6,9.70%,6,10.20%,3,15,24.20%,5
Los Angeles Chargers,2,72,46,482,4,8.7,309,198,16,20.30%,3,3.80%,6,8.30%,7,16,20.30%,2
Seattle Seahawks,1,42,29,330,1,6.8,110,230,9,20.00%,8,17.80%,6,14.30%,2,16,35.60%,10
San Francisco 49ers,1,17,8,105,2,8.8,33,37,3,13.60%,4,18.20%,1,5.90%,2,7,31.80%,5
Tampa Bay Buccaneers,1,42,21,173,0,8.9,129,69,15,32.60%,7,15.20%,5,11.90%,4,16,34.80%,3
Washington Commanders,1,42,24,260,1,9.7,191,84,18,40.00%,0,0.00%,10,23.80%,2,12,26.70%,5
