"","G","G","G","G","G","G"
"1",28368769,28368779,28368786,28368788,28368791,28368793
"2",28368769,28368779,28368786,28368788,28368791,28368795
"3",28368765,28368785,28368786,28368788,28368791,28368825
"4",28368769,28368779,28368785,28368786,28368788,28368825
"5",28368769,28368784,28368785,28368786,28368788,28368793
"6",28368769,28368782,28368784,28368785,28368788,28368804
"7",28368769,28368782,28368785,28368788,28368789,28368793
"8",28368769,28368773,28368788,28368789,28368795,28368802
"9",28368768,28368769,28368795,28368802,28368804,28368810
"10",28368765,28368781,28368784,28368802,28368804,28368806
"11",28368765,28368773,28368794,28368798,28368807,28368828
"12",28368765,28368773,28368794,28368797,28368809,28368818
"13",28368765,28368780,28368781,28368805,28368809,28368820
"14",28368768,28368773,28368780,28368792,28368816,28368821
"15",28368768,28368773,28368780,28368792,28368819,28368826
"16",28368765,28368780,28368787,28368792,28368796,28368817
"17",28368768,28368772,28368781,28368803,28368812,28368815
"18",28368765,28368772,28368799,28368800,28368811,28368813
"19",28368765,28368772,28368787,28368808,28368814,28368827
"20",28368771,28368772,28368775,28368790,28368822,28368824
