"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","299","20","0.39","69","1.57","68.8","0","Ernest Jones","163","12","0.18","70","0.53","62.3"
"Kyle Pitts","387","20","0.33","62","1.83","76.3","29","Jermaine Carter","278","9","0.17","83","0.76","48.2"
"Mark Andrews","423","22","0.41","67","1.92","88.4","-27","Jeremiah Owusu-Koramoah","159","13","0.19","75","0.59","81.6"
"Dawson Knox","306","15","0.39","72","1.4","61.3","27","Devin White","411","15","0.27","84","1.1","37"
"Ian Thomas","217","9","0.13","65","0.67","54.6","-29","Deion Jones","366","17","0.37","88","1.71","41.9"
"Cole Kmet","322","19","0.25","66","1.25","65.8","-8","Krys Barnes","160","18","0.35","90","1.51","54.4"
"C.J. Uzomah","332","12","0.3","82","1.06","62.8","-4","Azeez Al-Shaair","322","20","0.35","81","1.34","66"
"Austin Hooper","227","19","0.29","67","1.15","68.2","-16","Chuck Clark","431","7","0.16","69","0.71","60.7"
"Dalton Schultz","384","18","0.35","76","1.51","78.4","38","Jamin Davis","224","15","0.27","91","1.09","38.4"
"Noah Fant","323","20","0.34","75","1.31","57.5","8","Alex Anzalone","372","12","0.18","72","0.76","36.4"
"T.J. Hockenson","395","21","0.36","75","1.48","68.1","0","Kareem Jackson","387","5","0.11","76","0.42","51.9"
"Josiah Deguara","110","13","0.26","86","0.94","51.6","-28","Roquan Smith","335","14","0.19","79","0.8","52.3"
"Pharaoh Brown","134","19","0.24","69","1.1","53.9","-9","Jordyn Brooks","356","18","0.37","89","1.81","55.2"
"James O'Shaughnessy","101","19","0.23","63","1.13","62.1","-3","Jayon Brown","180","12","0.26","86","1.25","45.9"
"Travis Kelce","469","22","0.39","69","1.81","78.6","38","Cory Littleton","318","17","0.27","85","1.19","51.2"
"Tyler Higbee","403","15","0.25","73","0.98","61.1","21","Isaiah Simmons","362","16","0.23","71","1.12","46"
"Jared Cook","344","16","0.27","64","1.16","60.3","26","Benardrick McKinney","60","20","0.22","58","1.03","47.7"
"Foster Moreau","175","12","0.27","62","0.97","64.9","20","Anthony Hitchens","173","14","0.31","79","1.26","41.6"
"Tyler Conklin","334","19","0.34","76","1.4","68.1","19","Joe Schobert","339","14","0.21","70","0.96","50.7"
"Juwan Johnson","114","14","0.36","62","1.18","77","-6","C.J. Mosley","353","16","0.33","89","1.22","38.2"
"Evan Engram","314","15","0.26","74","1.06","56.2","-21","Kyzir White","327","15","0.25","81","0.92","61.9"
"Ryan Griffin","244","15","0.22","64","0.8","52.1","-47","Demario Davis","371","11","0.13","68","0.58","75.7"
"Pat Freiermuth","271","20","0.42","78","1.3","73.6","39","Nick Vigil","285","12","0.2","88","1","46.1"
"Will Dissly","171","12","0.24","81","1.06","60.5","-13","Christian Kirksey","274","12","0.23","71","1.01","49.2"
"George Kittle","242","25","0.56","73","2.5","90.6","39","Logan Wilson","382","15","0.29","82","1.33","52.8"
"Rob Gronkowski","192","24","0.59","70","2.27","85.4","63","Tremaine Edmunds","282","13","0.28","86","1.23","54.3"
"Geoff Swaim","127","20","0.36","80","1.09","56.7","-27","Damien Wilson","277","16","0.33","84","1.72","48.5"
"Logan Thomas","151","17","0.37","72","1.3","64.2","-24","Jayron Kearse","425","12","0.19","67","0.8","78.2"
