"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_rec","J. Jefferson","WR","MIN","PIT","2021-12-10T01:20:00Z","7.5","over","114","0.2042102803738317","null","null","under","-151","-0.273093625498008","null","null"
"rush_yd","K. Cousins","QB","MIN","PIT","2021-12-10T01:20:00Z","3.5","over","-124","0.16819410185560668","null","null","under","-107","-0.23865251509075752","null","null"
"pass_td","J. Allen","QB","BUF","TB","2021-12-12T21:25:00Z","1.5","over","-206","-0.22190261437908493","null","null","under","158","0.1611031007751938","null","null"
"recv_rec","M. Andrews","TE","BLT","CLV","2021-12-12T18:00:00Z","4.5","over","-164","-0.22594999999999998","null","null","under","112","0.13304905660377364","null","null"
"pass_comp","L. Jackson","QB","BLT","CLV","2021-12-12T18:00:00Z","19.5","over","-125","-0.198665946311111","null","null","under","-105","0.13090160885853663","null","null"
"recv_yd","Z. Gentry","TE","PIT","MIN","2021-12-10T01:20:00Z","6.5","over","-121","0.12751071525191038","null","null","under","-107","-0.19193337601748434","null","null"
"pass_int","T. Heinicke","QB","WAS","DAL","2021-12-12T18:00:00Z","0.5","over","-179","-0.1776770609318996","null","null","under","138","0.11593193277310926","null","null"
"pass_td","P. Mahomes","QB","KC","LV","2021-12-12T18:00:00Z","2.5","over","143","0.11203621399176944","null","null","under","-185","-0.1726877192982456","null","null"
"pass_td","D. Prescott","QB","DAL","WAS","2021-12-12T18:00:00Z","2.5","over","173","0.10829963369963375","null","null","under","-227","-0.16878960244648322","null","null"
"pass_int","D. Carr","QB","LV","KC","2021-12-12T18:00:00Z","0.5","over","-148","-0.1700741935483871","null","null","under","115","0.1081837209302326","null","null"
"recv_rec","P. Freiermuth","TE","PIT","MIN","2021-12-10T01:20:00Z","3.5","over","-128","-0.1626473684210527","null","null","under","-102","0.09630000000000005","null","null"
"pass_td","T. Brady","QB","TB","BUF","2021-12-12T21:25:00Z","2.5","over","126","0.09312212389380536","null","null","under","-166","-0.1596601503759399","null","null"
"rush_att","D. Freeman","RB","BLT","CLV","2021-12-12T18:00:00Z","12.5","over","102","0.09000207247772274","null","null","under","-133","-0.15588679959549367","null","null"
"recv_rec","J. Landry","WR","CLV","BLT","2021-12-12T18:00:00Z","4.5","over","-143","-0.15075967078189312","null","null","under","110","0.08610476190476196","null","null"
"recv_rec","T. Conklin","TE","MIN","PIT","2021-12-10T01:20:00Z","3.5","over","-145","-0.15059591836734693","null","null","under","111","0.08481895734597156","null","null"
"recv_yd","R. Gronkowski","TE","TB","BUF","2021-12-12T21:25:00Z","51.5","over","-114","-0.15358089127528757","null","null","under","-117","0.08166333684218663","null","null"
"rush_yd","B. Mayfield","QB","CLV","BLT","2021-12-12T18:00:00Z","6.5","over","-123","0.07844031763479198","null","null","under","-110","-0.1538209995991911","null","null"
"pass_int","J. Goff","QB","DET","DEN","2021-12-12T21:05:00Z","0.5","over","-140","-0.14413333333333328","null","null","under","107","0.07770821256038651","null","null"
"pass_att","L. Jackson","QB","BLT","CLV","2021-12-12T18:00:00Z","31.5","over","-123","-0.14146950735397806","null","null","under","-108","0.07066923131620195","null","null"
"recv_yd","L. Fournette","RB","TB","BUF","2021-12-12T21:25:00Z","36.5","over","-112","-0.13841851721287518","null","null","under","-119","0.06675535855006465","null","null"
