Player,Roster Position,%Drafted,FPTS
Ja'Marr Chase,WR,53.87%,17.7
Joe Mixon,RB,50.06%,14.5
Cooper Kupp,WR,49.95%,40
Tyreek Hill,WR,47.55%,20.8
Travis Kelce,TE,46.85%,25.5
Cam Akers,RB,46.63%,6
Patrick Mahomes,QB,38.55%,22.9
Jerick McKinnon,RB,37.55%,12.5
C.J. Uzomah,TE,36.43%,0
Rams ,DST,36.39%,3
Odell Beckham Jr.,WR,35.37%,23.3
Deebo Samuel,WR,34.92%,19.8
Eli Mitchell,RB,34.22%,10
Tee Higgins,WR,33.03%,19.3
49ers ,DST,31.89%,5
Joe Burrow,QB,30.68%,21.5
Byron Pringle,FLEX,30.21%,3.6
Tyler Higbee,TE,26.88%,3.8
Clyde Edwards-Helaire,RB,26.25%,5
Tyler Boyd,WR,23.04%,5.9
Matthew Stafford,QB,23.03%,24.28
George Kittle,TE,22.15%,10.7
Chiefs ,DST,18.51%,3
Bengals ,DST,12.67%,8
Brandon Aiyuk,FLEX,12.20%,10.9
Mecole Hardman,WR,11.02%,16
Jauan Jennings,FLEX,9.80%,2.8
Sony Michel,RB,9.53%,2.2
Jimmy Garoppolo,QB,7.07%,16.68
Van Jefferson,WR,5.25%,2.9
Demarcus Robinson,WR,2.46%,0
Kyle Juszczyk,RB,2.39%,0
Darrel Williams,RB,1.88%,0
Kendall Blanton,FLEX,1.47%,10.7
Samaje Perine,RB,1.37%,13.3
Blake Bell,TE,0.55%,0
Noah Gray,FLEX,0.42%,0
Derrick Gore,RB,0.31%,0
Chris Evans,RB,0.28%,0
Josh Gordon,WR,0.28%,0
JaMycal Hasty,FLEX,0.26%,1.6
Ben Skowronek,FLEX,0.25%,0
Mohamed Sanu Sr.,WR,0.22%,0
Trent Sherfield,WR,0.11%,0
Trey Lance,QB,0.11%,0
Jeff Wilson Jr.,RB,0.10%,0
Drew Sample,FLEX,0.10%,1.4
Darrell Henderson Jr.,RB,0.09%,0
Marcus Kemp,WR,0.09%,0
Travis Benjamin,FLEX,0.07%,0
Trey Sermon,RB,0.06%,0
Mike Thomas,WR,0.05%,0
Michael Burton,RB,0.05%,0.1
Brycen Hopkins,FLEX,0.04%,0
Darwin Thompson,FLEX,0.04%,0
Trent Taylor,WR,0.03%,2
Chris Myarick,FLEX,0.03%,0
Jacob Harris,FLEX,0.03%,0
Jake Funk,FLEX,0.03%,0
Ross Dwelley,FLEX,0.03%,0
Cornell Powell,WR,0.03%,0
Charlie Woerner,FLEX,0.03%,0
Daurice Fountain,WR,0.02%,0
Brandon Powell,WR,0.02%,0
J.J. Koski,WR,0.02%,0
Javian Hawkins,RB,0.02%,0
Jody Fortson,TE,0.02%,0
Landen Akers,FLEX,0.02%,0
Robert Woods,WR,0.02%,0
Mark Vital,FLEX,0.02%,0
Trayveon Williams,FLEX,0.02%,0
Elijah Holyfield,RB,0.02%,0
Tanner Hudson,TE,0.02%,0
Brian Hill,RB,0.02%,0
Jordan Matthews,FLEX,0.02%,0
Tutu Atwell,WR,0.02%,0
Brandon Allen,QB,0.01%,0
James Winchester,TE,0.01%,0
Nate Sudfeld,QB,0.01%,0
Gehrig Dieter,WR,0.01%,0
Austin Mack,WR,0.01%,0
Matt Bushman,TE,0.01%,0
Mitchell Wilcox,TE,0.01%,0
Buddy Howell,RB,0.01%,0
Auden Tate,WR,0.01%,0
Raheem Mostert,RB,0.01%,0
Trenton Irwin,WR,0.01%,0
Scotty Washington,TE,0.01%,0
Clark Harris,FLEX,0.01%,0
John Wolford,QB,0.01%,0
Richie James,WR,0.01%,0
Trenton Cannon,RB,0.01%,0
River Cracraft,WR,0.01%,0
Stanley Morgan,WR,0.00%,0
Connor Wedington,WR,0.00%,0
Josh Hokit,RB,0.00%,0
Chad Henne,QB,0.00%,0
Johnny Mundt,FLEX,0.00%,0
Pooka Williams Jr.,FLEX,0.00%,0
Raymond Calais,RB,0.00%,0
Jake Browning,QB,0.00%,0
Bryce Perkins,QB,0.00%,0
Shane Buechele,QB,0.00%,0
