player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,14,7,5,,0,1,17,0,0,61.3,83.4,89.2,67.3,86.6,29.6,5,23,0,0,,20.0,10,0,0,0.0,0,4,0,4,0,12,496,491,13,200,173,105,0,5,315,169,0,30,33,6,0,32,0,0,0,
Brandon Graham,5538,ED,PHI,11,4,0,100.0,0,1,24,0,0,50.9,78.6,63.9,71.8,80.1,34.0,3,13,0,0,5,23.8,5,0,1,87.5,1,4,0,1,0,15,311,309,0,6,269,34,0,2,169,127,1,12,12,3,1,20,0,5,8,5.0
Kareem Jackson,5545,S,BUF,1,1,0,50.0,0,0,4,0,0,65.9,67.5,80.2,57.1,60.0,80.0,0,0,0,0,4,0.0,0,0,0,56.3,1,0,0,5,0,29,32,1,0,0,1,0,25,31,2,1,1,0,2,0,2,0,0,4,0,4.0
Jerry Hughes,5556,ED,HST,6,2,0,,0,0,13,0,0,60.9,46.8,82.5,45.9,51.9,73.8,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,65,64,0,0,62,2,1,1,38,24,0,1,2,0,0,1,0,0,0,
Linval Joseph,5571,DI,DAL,14,5,0,,0,1,9,0,0,79.3,48.8,58.8,80.8,31.9,56.6,0,3,0,0,,7.7,1,0,1,0.0,0,1,0,0,0,0,219,219,148,71,0,0,0,0,95,124,0,4,7,0,0,4,0,0,0,
Von Miller,6154,ED,BUF,10,2,0,,0,0,4,0,0,66.9,74.5,31.9,74.0,66.8,66.0,2,18,0,0,,11.1,1,0,2,0.0,0,4,0,0,0,7,230,230,0,0,230,0,0,0,174,49,0,9,6,0,0,24,0,0,0,
Cameron Jordan,6176,ED,NO,14,10,4,,0,0,20,0,0,67.8,56.1,88.6,57.2,49.1,46.5,3,20,0,1,,17.2,5,0,0,0.0,0,3,0,1,0,6,452,451,3,19,297,132,0,1,286,160,0,13,14,0,0,26,0,0,0,
Cameron Heyward,6183,DI,PIT,14,9,7,,0,0,25,0,0,58.2,90.1,86.2,86.6,79.5,62.4,11,29,0,0,,7.7,4,0,0,0.0,0,10,0,1,0,0,631,630,17,355,24,234,0,1,386,245,0,37,39,3,0,50,0,0,0,
Lawrence Guy Sr.,6385,DI,CIN,4,2,0,,0,0,7,0,0,,51.1,80.2,52.5,52.7,25.2,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,90,90,1,73,3,13,0,0,41,49,0,0,0,0,0,0,0,0,0,
Nick Bellore,6515,LB,WAS,3,0,0,100.0,0,0,32,0,0,79.4,87.9,68.9,60.0,63.2,73.2,0,0,0,0,2,0.0,0,0,0,79.2,2,0,0,6,0,3,7,0,0,0,0,0,0,7,1,3,0,1,1,1,2,0,0,-4,3,-2.0
