player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Dru Prox,23093,LB,UTSA,4,0,5.0,66.7,87.5,13.5,9.0,0,0,0,0.0,331,58.0,68.9,76.4,64.4,76.3,65.4,0,16,50.0,1,0,0,92.4,2,28,32,0,1,3,0,25,13,0.9,12.5
John Porchivina,28202,LB,OLE MISS,1,0,,,100.0,,,0,0,0,,226,60.3,47.4,67.2,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Colby Reeder,30285,LB,IOWA STATE,8,2,6.3,61.1,75.1,12.5,7.7,0,1,1,5.6,193,73.9,80.1,38.2,75.7,84.0,77.2,2,18,8.3,1,1,1,70.6,11,148,197,5,9,18,2,87,34,0.6,7.9
Kyle Pugh,35900,LB,N ILLINOIS,12,5,10.0,33.3,83.2,66.5,22.2,0,0,2,33.3,254,77.8,72.6,82.0,53.6,67.8,86.7,0,11,6.3,1,2,0,43.1,2,139,167,4,10,6,0,19,12,0.1,9.5
Jordan Carmouche,39951,LB,ARK STATE,12,3,6.0,72.7,87.9,18.6,13.5,0,0,0,0.0,113,56.3,58.5,59.3,52.4,62.4,83.1,0,51,6.3,1,0,1,130.5,16,326,371,3,12,22,2,198,130,0.7,12.4
Monte McGary,42477,CB,KANSAS,7,1,9.0,100.0,91.7,21.0,21.0,0,0,0,0.0,198,63.4,63.7,76.2,69.5,54.7,53.8,0,12,0.0,0,0,0,116.7,1,22,24,0,1,1,0,12,3,0.6,12.0
Bricen Garner,42520,S,W MICHIGAN,12,7,8.5,63.4,97.5,14.2,9.0,0,0,3,7.3,347,69.2,67.7,87.6,64.6,61.6,73.8,2,37,6.8,3,3,0,67.2,26,390,400,10,34,41,0,321,112,0.9,12.3
Brandon Moore,42620,CB,NEBRASKA,6,1,10.6,55.6,98.8,15.4,8.6,0,0,0,0.0,238,75.5,73.4,0.0,60.0,66.2,61.8,1,13,16.7,1,0,1,28.7,5,83,84,1,4,9,0,43,19,0.6,8.6
Clifford Chattman,42657,S,UTSA,14,6,13.4,45.5,98.5,17.7,8.0,0,1,9,16.4,331,61.5,66.4,59.2,74.9,74.4,67.9,5,56,10.3,4,7,4,45.1,25,468,475,6,29,55,2,408,178,0.9,16.3
Anthony Watts,42807,DI,MARSHALL,13,0,17.0,100.0,4.2,10.0,10.0,0,0,0,0.0,214,50.3,59.6,62.5,60.4,65.1,56.1,0,49,33.3,1,0,1,118.8,1,10,239,2,2,1,0,49,32,4.9,49.0
Justin Clark,43185,CB,WISCONSIN,9,0,11.8,61.5,100.0,14.6,9.0,0,0,3,23.1,349,61.2,61.2,81.8,,59.3,62.7,0,29,16.7,1,0,2,85.7,8,125,125,1,5,13,0,101,19,0.9,12.6
Ryan McWood,43189,LB,MIAMI OH,12,10,3.2,90.9,86.3,12.5,11.3,0,1,5,15.2,221,67.9,64.6,83.9,52.2,63.5,52.9,1,23,18.4,7,4,0,101.3,30,391,453,6,21,33,1,294,205,0.8,9.8
Jaydon Grant,43354,S,OREGON ST,12,4,11.6,59.4,95.4,22.9,13.6,0,1,3,9.4,265,79.8,78.3,55.2,51.0,78.4,79.5,3,60,7.7,3,3,2,49.3,19,459,481,9,32,32,0,283,123,0.7,14.9
Linwood Crump,43401,CB,NEW MEX ST,12,2,14.4,48.4,97.2,17.9,8.7,0,0,6,19.4,242,68.9,70.2,84.7,77.5,67.1,46.5,0,19,15.8,3,3,3,83.9,15,279,287,4,14,31,2,149,20,0.6,9.9
Jon-Michael Terry,43635,LB,TULSA,12,3,6.4,71.4,76.1,13.8,9.8,1,0,0,0.0,320,57.4,58.5,46.4,59.0,60.1,72.9,0,26,18.2,4,0,2,101.6,20,289,380,8,15,28,1,189,82,0.7,9.5
Tyrone Hopper,43714,ED,MISSOURI,11,0,21.0,0.0,8.1,,6.0,1,0,0,0.0,229,62.1,46.3,0.0,55.5,50.6,28.1,0,,,0,0,3,39.6,0,6,74,0,0,1,0,0,0,0.0,
Sione Tupou,44093,LB,TEXAS ST,12,6,4.9,78.8,86.5,9.1,7.2,0,0,3,5.8,314,61.2,74.1,85.2,78.4,76.9,76.7,2,74,11.4,4,3,0,111.1,41,386,446,9,25,52,3,515,370,1.4,12.6
Semisi Fakasiieiki,44340,LB,PURDUE,10,3,-0.6,50.0,95.0,17.6,8.8,0,0,0,0.0,273,66.7,65.1,2.8,77.8,61.4,60.2,0,11,20.0,2,0,1,89.6,5,96,101,4,5,10,1,17,35,0.2,3.4
