team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
OTT,2021,OTT,OTT,Team Level,5on4,27,0.89,0.86,0.86,7516.0,124.61,17.34,11.67,23.73,3.97,75.15,39.15,15.82,17.34,15.82,128.0,43.0,43.0,214.0,16.0,9.0,2.0,27.0,5.0,62.0,52.0,112.0,155.0,11.0,28.0,80.0,10.0,4.0,28.0,103.0,51.0,17.0,2.6,6.38,8.37,2.0,6.0,8.0,214.0,171.0,171.0,3.0,2.93,2.54,2.54,17.74,17.74,16.72,20.56,2.06,1.06,2.88,0.63,6.63,14.74,2.03,2.06,2.03,22.0,6.0,7.0,35.0,0.0,1.0,0.0,5.0,1.0,6.0,15.0,22.0,28.0,6.0,18.0,60.0,25.0,23.0,12.0,20.0,5.0,3.0,0.59,0.53,0.94,0.0,0.0,0.0,35.0,28.0,28.0,11.0,0.24,0.27,0.27,2.03,2.03,2.02
NJD,2021,NJD,NJD,Team Level,other,28,0.56,0.53,0.55,4058.0,63.31,14.18,3.97,11.38,2.14,31.77,23.55,12.27,14.18,12.27,59.0,28.0,16.0,103.0,11.0,5.0,2.0,12.0,4.0,20.0,35.0,48.0,76.0,1.0,2.0,39.0,12.0,12.0,6.0,46.0,25.0,16.0,1.75,3.11,9.32,2.0,2.0,7.0,103.0,87.0,87.0,2.0,1.1,1.66,1.66,13.62,13.62,11.78,49.94,11.21,3.11,8.69,1.68,25.2,20.11,10.69,11.21,10.69,50.0,20.0,23.0,93.0,11.0,1.0,0.0,9.0,5.0,21.0,23.0,39.0,59.0,0.0,0.0,55.0,12.0,7.0,6.0,39.0,17.0,14.0,1.39,2.26,7.55,3.0,2.0,6.0,93.0,70.0,70.0,3.0,0.91,0.39,0.39,11.73,11.73,11.3
NJD,2021,NJD,NJD,Team Level,all,28,0.49,0.51,0.51,102588.0,891.51,85.64,58.78,206.05,30.13,496.19,362.22,81.31,84.56,80.25,880.0,359.0,411.0,1650.0,77.0,60.0,15.0,213.0,39.0,397.0,453.0,803.0,1162.0,102.0,222.0,785.0,540.0,268.0,273.0,896.0,265.0,78.0,26.25,31.64,27.75,22.0,29.0,26.0,1615.74,1239.0,1218.35,146.0,12.71,14.03,14.03,84.33,83.24,79.9,875.07,88.1,57.32,198.03,28.59,472.68,360.29,85.55,89.86,87.28,869.0,336.0,363.0,1568.0,93.0,60.0,15.0,218.0,42.0,341.0,451.0,776.0,1112.0,99.0,216.0,864.0,621.0,233.0,225.0,873.0,242.0,90.0,25.46,29.33,33.3,26.0,30.0,37.0,1614.91,1205.0,1232.76,110.0,12.49,14.03,14.03,86.56,88.3,86.87
NJD,2021,NJD,NJD,Team Level,5on5,28,0.49,0.51,0.51,82733.0,718.14,60.5,46.15,171.76,24.06,397.86,294.68,58.65,59.42,57.59,712.0,283.0,341.0,1336.0,54.0,48.0,10.0,179.0,30.0,321.0,363.0,658.0,941.0,90.0,198.0,599.0,489.0,213.0,228.0,736.0,209.0,50.0,21.43,24.78,14.29,20.0,21.0,13.0,1301.74,995.0,974.35,129.0,9.49,10.16,10.16,59.83,58.75,57.56,707.92,61.97,45.36,166.53,23.27,382.99,292.89,60.27,63.72,62.0,698.0,275.0,300.0,1273.0,62.0,53.0,14.0,191.0,29.0,274.0,364.0,636.0,911.0,89.0,196.0,678.0,564.0,199.0,177.0,725.0,189.0,59.0,21.71,22.67,17.58,19.0,22.0,21.0,1319.91,973.0,1000.76,95.0,9.35,12.38,12.38,58.93,60.67,59.92
NJD,2021,NJD,NJD,Team Level,4on5,28,0.12,0.15,0.17,7973.0,17.75,1.66,0.93,2.71,0.6,6.68,13.41,1.66,1.66,1.66,20.0,6.0,4.0,30.0,3.0,0.0,0.0,2.0,0.0,3.0,18.0,17.0,23.0,5.0,10.0,70.0,22.0,37.0,12.0,19.0,5.0,2.0,0.43,0.68,0.55,0.0,2.0,1.0,30.0,26.0,26.0,12.0,0.22,0.0,0.0,1.88,1.88,1.88,92.61,12.09,7.69,19.47,2.95,57.19,30.6,11.79,12.09,11.79,98.0,32.0,37.0,167.0,15.0,5.0,1.0,17.0,7.0,42.0,44.0,83.0,115.0,6.0,12.0,69.0,11.0,5.0,30.0,91.0,25.0,14.0,1.81,3.07,7.22,4.0,1.0,10.0,167.0,130.0,130.0,4.0,1.99,0.87,0.87,13.21,13.21,12.95
NJD,2021,NJD,NJD,Team Level,5on4,28,0.77,0.84,0.8,7824.0,92.31,9.31,7.73,20.19,3.32,59.88,30.58,8.74,9.31,8.74,89.0,42.0,50.0,181.0,9.0,7.0,3.0,20.0,5.0,53.0,37.0,80.0,122.0,6.0,12.0,77.0,17.0,6.0,27.0,95.0,26.0,10.0,2.64,3.07,3.6,0.0,4.0,5.0,181.0,131.0,131.0,3.0,1.9,2.21,2.21,9.0,9.0,8.69,24.6,2.83,1.14,3.34,0.68,7.3,16.7,2.81,2.83,2.81,23.0,9.0,3.0,35.0,5.0,1.0,0.0,1.0,1.0,4.0,20.0,18.0,27.0,4.0,8.0,62.0,34.0,22.0,12.0,18.0,11.0,3.0,0.54,1.34,0.95,0.0,5.0,0.0,35.0,32.0,32.0,8.0,0.26,0.39,0.39,2.7,2.7,2.7
ANA,2021,ANA,ANA,Team Level,other,31,0.48,0.48,0.48,3901.0,59.1,11.14,3.63,10.63,1.97,31.78,24.85,11.0,11.14,11.0,65.0,19.0,25.0,109.0,13.0,2.0,0.0,8.0,1.0,27.0,33.0,52.0,71.0,6.0,12.0,51.0,12.0,7.0,11.0,47.0,23.0,14.0,1.79,2.71,6.63,3.0,4.0,6.0,109.0,84.0,84.0,4.0,1.05,0.06,0.06,12.14,12.14,11.97,65.44,12.2,4.57,11.23,1.95,34.57,25.49,11.99,12.2,11.99,70.0,20.0,28.0,118.0,12.0,2.0,0.0,9.0,2.0,31.0,34.0,58.0,78.0,2.0,2.0,55.0,13.0,14.0,9.0,53.0,24.0,13.0,2.17,2.75,7.28,4.0,2.0,6.0,118.0,90.0,90.0,3.0,1.25,0.66,0.66,12.8,12.8,12.62
ANA,2021,ANA,ANA,Team Level,all,31,0.51,0.49,0.49,114573.0,944.27,85.82,63.07,218.02,31.37,525.09,395.63,83.32,86.42,83.9,979.0,340.0,406.0,1725.0,96.0,74.0,14.0,193.0,31.0,413.0,512.0,883.0,1223.0,98.0,224.0,861.0,637.0,192.0,273.0,981.0,260.0,78.0,28.99,30.84,25.99,33.0,37.0,26.0,1747.71,1319.0,1330.59,129.0,13.89,13.92,14.18,85.53,86.01,84.42,965.2,84.0,66.52,225.2,32.44,549.97,405.86,81.73,84.05,81.78,989.0,375.0,437.0,1801.0,80.0,74.0,5.0,253.0,34.0,402.0,521.0,909.0,1284.0,100.0,233.0,842.0,614.0,197.0,304.0,1052.0,250.0,62.0,30.68,29.51,23.8,32.0,31.0,17.0,1793.61,1364.0,1362.05,140.0,14.56,13.84,13.84,84.71,84.66,83.29
ANA,2021,ANA,ANA,Team Level,5on5,31,0.51,0.49,0.49,94975.0,750.61,60.57,48.68,179.17,24.93,414.88,318.79,58.66,61.17,59.24,780.0,267.0,328.0,1375.0,61.0,64.0,13.0,160.0,22.0,319.0,421.0,719.0,986.0,85.0,195.0,654.0,592.0,168.0,226.0,794.0,203.0,50.0,22.79,24.14,13.64,26.0,24.0,11.0,1397.71,1047.0,1058.59,112.0,10.06,12.47,12.73,57.9,58.38,57.5,753.95,57.83,50.33,183.39,25.8,431.43,322.22,56.25,57.87,56.3,760.0,311.0,366.0,1437.0,58.0,63.0,5.0,207.0,29.0,307.0,407.0,702.0,1013.0,88.0,208.0,654.0,567.0,167.0,255.0,840.0,194.0,37.0,24.08,22.91,10.84,27.0,26.0,5.0,1429.61,1071.0,1069.05,124.0,10.34,11.8,11.8,56.36,56.32,55.54
ANA,2021,ANA,ANA,Team Level,4on5,31,0.11,0.12,0.13,7847.0,18.69,1.58,0.93,2.38,0.53,6.13,14.45,1.58,1.58,1.58,25.0,1.0,4.0,30.0,2.0,0.0,0.0,2.0,0.0,4.0,18.0,23.0,24.0,2.0,7.0,65.0,22.0,10.0,13.0,21.0,4.0,1.0,0.73,0.49,0.35,1.0,1.0,0.0,30.0,26.0,26.0,13.0,0.21,0.0,0.0,1.79,1.79,1.79,124.49,12.67,10.77,27.35,4.09,77.1,42.02,12.21,12.67,12.21,135.0,39.0,41.0,215.0,8.0,9.0,0.0,33.0,2.0,60.0,62.0,127.0,166.0,8.0,19.0,74.0,6.0,3.0,26.0,135.0,27.0,12.0,3.77,3.21,5.69,1.0,1.0,6.0,215.0,174.0,174.0,1.0,2.75,1.39,1.39,14.03,14.03,13.63
