Position,,Name,,,Salary,,TeamAbbrev
TE,,Tyler Mabry,,,2500,,SEA
QB,,Mike White,,,4000,,NYJ
WR,,Kristian Wilkerson,,,3000,,NE
WR,,Josh Ali,,,3000,,ATL
TE,,Tyler Conklin,,,3200,,NYJ
QB,,Carson Wentz,,,5200,,WAS
TE,,Hunter Henry,,,3400,,NE
WR,,Brandon Powell,,,3000,,LAR
WR,,Cody Thompson,,,3000,,SEA
WR,,Raleigh Webb,,,3000,,NE
TE,,Armani Rogers,,,2500,,WAS
WR,,DeAndre Hopkins,,,7400,,ARI
RB,,Josh Jacobs,,,7500,,LV
WR,,Antoine Wesley,,,3000,,ARI
RB,,J.J. Taylor,,,4000,,NE
QB,,Jared Goff,,,5500,,DET
WR,,Chris Lacy,,,3000,,LV
WR,,Jauan Jennings,,,3300,,SF
RB,,Kene Nwangwu,,,4000,,MIN
WR,,DJ Chark Jr.,,,4600,,DET
WR,,Alex Erickson,,,3000,,WAS
TE,,Giovanni Ricci,,,2500,,CAR
WR,,Kirk Merritt,,,3000,,NO
QB,,Jimmy Garoppolo,,,5600,,SF
RB,,Jakob Johnson,,,4000,,LV
TE,,Dalton Schultz,,,3700,,DAL
TE,,Sammis Reyes,,,2500,,CHI
TE,,Jelani Woods,,,2500,,IND
WR,,Kalif Raymond,,,4300,,DET
WR,,Racey McMath,,,3000,,TEN
WR,,DJ Turner,,,3000,,LV
RB,,Brandon Bolden,,,4700,,LV
TE,,Irv Smith Jr.,,,3500,,MIN
WR,,Byron Pringle,,,3000,,CHI
RB,,Jamaal Williams,,,6000,,DET
QB,,Nick Mullens,,,5000,,MIN
TE,,MyCole Pruitt,,,2500,,ATL
TE,,Seth Green,,,2500,,DAL
WR,,Irvin Charles,,,3000,,NYJ
TE,,Ross Dwelley,,,2500,,SF
WR,,K.J. Osborn,,,4200,,MIN
WR,,Michael Thomas,,,5700,,NO
WR,,Cooper Kupp,,,9600,,LAR
RB,,Chase Edmonds,,,5100,,MIA
QB,,Geno Smith,,,5800,,SEA
WR,,Penny Hart,,,3000,,SEA
WR,,Braxton Berrios,,,3700,,NYJ
WR,,Ben Skowronek,,,4100,,LAR
TE,,Noah Togiai,,,2500,,PHI
QB,,Logan Woodside,,,4000,,TEN
WR,,Marken Michel,,,3000,,WAS
WR,,Ray-Ray McCloud III,,,3200,,SF
RB,,Anthony McFarland Jr.,,,4000,,PIT
RB,,Cordarrelle Patterson,,,5300,,ATL
RB,,Michael Carter,,,5900,,NYJ
WR,,Bryan Edwards,,,3000,,ATL
TE,,Will Dissly,,,3200,,SEA
WR,,Deebo Samuel,,,7500,,SF
WR,,Nelson Agholor,,,3800,,NE
RB,,David Montgomery,,,6300,,CHI
TE,,Lawrence Cager,,,2500,,NYG
RB,,Tony Pollard,,,6100,,DAL
RB,,Saquon Barkley,,,8100,,NYG
QB,,Drew Lock,,,5000,,SEA
RB,,Najee Harris,,,5700,,PIT
RB,,Justin Jackson,,,4000,,DET
QB,,Tim Boyle,,,4800,,DET
WR,,Nick Westbrook-Ikhine,,,4000,,TEN
QB,,Kenny Pickett,,,5100,,PIT
WR,,Lynn Bowden Jr.,,,3000,,NE
WR,,Mike Strachan,,,3000,,IND
QB,,Jarrett Stidham,,,4600,,LV
TE,,Mo Alie-Cox,,,2800,,IND
WR,,A.J. Brown,,,7700,,PHI
WR,,Lil'Jordan Humphrey,,,3000,,NE
TE,,T.J. Hockenson,,,4900,,DET
RB,,Tyrion Davis-Price,,,4000,,SF
TE,,Dallas Goedert,,,5000,,PHI
RB,,Alec Ingold,,,4000,,MIA
TE,,Chase Allen,,,2500,,CHI
RB,,Mark Ingram II,,,4800,,NO
WR,,Equanimeous St. Brown,,,3900,,CHI
RB,,Nyheim Hines,,,5200,,IND
QB,,Matthew Stafford,,,6000,,LAR
WR,,Dan Chisena,,,3000,,MIN
TE,,Tyree Jackson,,,2500,,PHI
RB,,Ronnie Rivers,,,4000,,LAR
WR,,Davante Adams,,,8600,,LV
QB,,Davis Webb,,,4000,,NYG
QB,,Bryce Perkins,,,4000,,LAR
QB,,Kirk Cousins,,,6100,,MIN
TE,,Trey McBride,,,2500,,ARI
RB,,DeeJay Dallas,,,4600,,SEA
WR,,Matthew Slater,,,3000,,NE
QB,,Tyrod Taylor,,,4900,,NYG
WR,,J.J. Arcega-Whiteside,,,3000,,SEA
QB,,Skylar Thompson,,,4000,,MIA
QB,,Sam Darnold,,,5000,,CAR
RB,,Brian Robinson Jr.,,,5600,,WAS
WR,,KaVontae Turpin,,,3000,,DAL
RB,,Eno Benjamin,,,6000,,ARI
QB,,Zach Wilson,,,5100,,NYJ
TE,,J.P. Holtz,,,2500,,NO
QB,,Nathan Peterman,,,4000,,CHI
WR,,Dezmon Patmon,,,3000,,IND
TE,,Beau Brinkley,,,2500,,ATL
WR,,Sterling Shepard,,,3000,,NYG
WR,,Olamide Zaccheaus,,,4000,,ATL
WR,,Diontae Johnson,,,5600,,PIT
QB,,Bailey Zappe,,,5300,,NE
TE,,Ryan Griffin,,,2500,,CHI
TE,,Jordan Matthews,,,2500,,SF
QB,,Mac Jones,,,5300,,NE
WR,,Auden Tate,,,3000,,PHI
WR,,Kadarius Toney,,,4300,,NYG
QB,,Jake Fromm,,,4000,,WAS
WR,,Easop Winston,,,3000,,SEA
WR,,Andre Baccellia,,,3000,,ARI
TE,,Jonnu Smith,,,3100,,NE
RB,,Christian McCaffrey,,,8700,,SF
WR,,Hunter Renfrow,,,4900,,LV
WR,,Willie Snead IV,,,3000,,SF
WR,,Laviska Shenault Jr.,,,3000,,CAR
TE,,Tyler Kroft,,,2500,,SF
WR,,Terrace Marshall Jr.,,,3500,,CAR
QB,,Cooper Rush,,,5000,,DAL
