player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ray Lewis,167,LB,BLT,6,9,0,71.4,0,1,3,1,0,49.7,60.2,85.1,60.3,69.8,89.9,2,1,0,0,28,2.1,1,1,0,100.3,15,1,0,424,1,187,442,6,0,0,6,0,3,436,48,207,8,20,38,1,21,4,0,195,100,13.0
Ronde Barber,261,S,TB,16,14,1,70.7,0,1,30,0,0,81.9,79.4,39.9,60.0,76.0,65.7,1,9,1,4,80,13.6,15,4,5,68.8,41,1,0,385,1,628,1069,6,0,0,0,6,495,1063,75,366,182,44,81,9,58,11,1,428,274,10.4
Charles Woodson,330,CB,GB,7,7,0,64.3,1,1,12,0,0,60.4,65.7,86.4,52.3,80.8,80.7,0,2,0,1,30,7.0,3,2,4,73.7,18,2,0,180,6,260,467,0,0,0,0,0,113,467,32,175,168,14,33,0,28,4,0,221,78,12.3
Keith Brooking,336,LB,DEN,16,11,0,68.4,0,0,10,0,0,68.0,61.0,81.9,59.1,53.5,90.3,0,2,0,0,27,0.0,0,0,0,83.2,13,1,0,443,0,188,453,3,0,0,3,0,0,450,34,231,7,19,35,0,19,3,0,110,64,8.5
Takeo Spikes,337,LB,SD,16,23,0,77.8,1,1,27,0,0,61.6,66.7,27.0,65.7,70.6,87.6,4,2,0,0,45,2.7,2,1,2,130.6,21,1,0,664,0,334,699,7,0,0,7,0,1,692,53,312,27,25,48,1,27,7,2,254,175,12.1
Vonnie Holliday,340,DI,ARZ,16,4,1,,0,0,1,1,0,,47.2,81.0,58.2,41.7,75.5,2,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,195,195,4,4,0,186,0,0,103,92,0,9,10,1,0,7,0,0,0,
London Fletcher,424,LB,WAS,16,19,0,70.5,1,1,32,0,0,58.5,53.2,26.9,56.3,51.2,46.1,0,7,0,5,56,15.4,21,2,5,87.1,67,3,0,904,5,576,1007,38,0,0,38,0,13,969,94,337,47,34,96,3,95,10,5,699,335,10.4
Champ Bailey,442,CB,DEN,16,8,0,54.1,0,0,10,0,0,74.7,77.5,89.4,54.3,81.5,85.0,0,0,0,2,38,4.2,3,3,6,67.3,40,0,0,32,939,625,1012,0,0,0,0,0,7,1012,1,386,34,21,60,3,74,0,1,479,104,12.0
Antoine Winfield,456,CB,MIN,16,9,0,66.7,0,0,18,1,0,78.4,86.0,88.8,64.0,92.3,81.2,0,3,0,3,41,7.7,8,6,2,70.4,60,2,0,99,337,645,1027,0,0,0,0,0,3,1027,19,363,588,44,87,8,90,5,0,575,222,9.6
Mike Peterson,463,LB,ATL,7,4,0,100.0,0,0,2,0,0,48.1,61.2,78.5,61.6,67.9,29.7,0,1,0,0,25,22.2,4,0,0,158.3,3,0,0,89,0,32,116,19,0,0,19,0,0,97,7,77,8,6,10,2,3,1,1,43,23,14.3
Brendon Ayanbadejo,542,LB,BLT,7,5,0,72.7,0,0,3,0,0,82.7,76.5,77.1,64.6,59.3,78.1,1,3,0,0,13,7.1,2,1,0,77.1,8,1,0,156,0,82,170,10,0,0,10,0,0,160,27,61,4,12,21,1,11,5,0,38,31,4.8
Brian Urlacher,587,LB,CHI,12,9,2,69.4,0,2,6,2,0,84.1,60.5,25.1,50.1,34.8,70.1,0,4,1,1,22,12.5,10,5,2,74.6,34,0,0,701,0,403,716,1,0,0,1,0,6,715,57,256,8,34,61,9,49,4,0,273,143,8.0
John Abraham,591,ED,ATL,16,5,7,100.0,1,6,2,0,0,67.8,82.5,13.1,89.5,63.3,55.3,8,38,0,0,25,12.9,4,0,6,115.6,4,10,0,293,0,36,731,437,0,0,268,169,0,294,434,261,1,27,22,6,4,56,0,47,30,11.8
Clark Haggans,670,ED,SF,9,0,0,,0,0,28,0,0,71.7,63.5,74.7,53.5,63.1,71.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,13,0,3,44,30,0,0,22,8,0,14,27,14,1,1,2,0,0,0,0,0,0,
Paris Lenon,751,LB,ARZ,16,12,1,77.4,0,1,1,1,0,53.2,50.9,92.2,58.4,49.2,60.6,4,14,0,1,72,11.2,13,2,0,129.1,24,2,0,917,4,372,1014,59,0,0,59,0,2,955,181,461,32,46,91,2,31,20,3,325,198,13.5
Justin Smith,776,DI,SF,14,14,2,0.0,0,1,28,1,0,65.7,68.4,74.6,55.9,75.7,76.8,6,21,0,0,,3.1,2,1,1,39.6,0,4,0,0,0,8,820,820,2,19,0,780,0,0,518,294,0,37,49,7,1,31,0,0,0,
