"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_offense","grades_run","total_touches","opponent","def_rank","rdef_rank","tack_rank","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","player_game_count"
"1","Mohamed Ibrahim","MINN",7400,24.81,21,"Healthy","3.5","36",89,86.7,28.4,"WISC",28,64,61,153.4,77.9,0,0.2,3.6,0.4,27.7,5,0.7,10
"2","Kobe Lewis","PUR",3300,4.6,20,"Healthy","-10.5","53",60,67.4,4.3,"IU",108,51,106,13.1,53.5,0,0.1,2.3,0.2,3.8,4.2,0.7,11
"3","Percy Agyei-Obese","JMU",5400,18.64,17,"Healthy","-15.5","53",77.3,77.7,17.1,"CCAR",83,86,108,91.8,52.3,0,0.1,3.5,0.3,16.9,1.2,0.2,9
"4","Dylan Downing","PUR",3700,7.29,17,"Healthy","-10.5","53",73.6,77.6,10.7,"IU",108,51,106,39.9,40.1,0,0.1,2.4,0.3,9.6,9,1.2,9
"5","Nicholas Singleton","PSU",5700,19.95,16,"Healthy","-19","53.5",72.4,77.5,12.7,"MSU",110,93,82,78.1,93.6,0,0.2,4.2,0.2,12,5,1.2,11
"6","Larry McCammon III","FAU",4800,17.5,16,"Healthy",NA,NA,75,76,17,"WKU",NA,NA,NA,79.8,60.6,0,0.1,3.1,0.2,16.1,10.6,1.4,11
"7","Jahmyr Gibbs","BAMA",8400,24.02,14,"Ques Sat - Ankle","-22.5","50",80.3,82.4,15.9,"AUB",46,103,18,77.4,100.5,0,0.2,3.3,0.3,11.9,37,4.7,10
"8","Chris Rodriguez Jr.","UK",6200,18.11,13,"Healthy","-3","43",89.5,89.4,22.3,"UL",NA,NA,NA,112,138.1,0,0.1,3.8,0.3,21.6,5.9,1,7
"9","Blake Corum","MICH",8600,19.92,12,"Prob Sat - Knee","8.5","56",96.1,96,23.3,"OSU",4,7,33,132.3,98.8,0,0.1,3.4,0.4,22.4,7.5,1,11
"10","Damien Martinez","ORST",5200,17.61,12,"Healthy","1.5","57",87.9,91.1,13.4,"ORE",77,75,31,78.8,90.7,0,0.2,3.5,0.3,13,5.5,0.8,11
"11","Tavion Thomas","UTAH",6100,NA,11,"Out indefinitely - Undisclosed","-29.5","52",83.2,84.5,14.8,"COL",131,130,131,67.6,59.8,0,0.1,3,0.3,14.2,4.3,0.7,10
"12","Will Shipley","CLEM",6700,19.72,10,"Healthy","-14","53",76.8,79.6,18.1,"SCAR",115,121,57,85.8,74.9,0,0.2,3.4,0.3,15.5,16.5,2.7,11
"13","Kaytron Allen","PSU",5900,18.82,10,"Healthy","-19","53.5",81.3,84.8,13.5,"MSU",110,93,82,67.7,94.6,0,0.2,3.1,0.3,12.3,13.5,1.6,11
"14","Braelon Allen","WISC",7000,10.66,8,"Out indefinitely - Knee","-3.5","36",79.4,80.9,19.9,"MINN",34,42,17,102.4,67,0,0.1,2.9,0.2,18.9,9.5,1.5,11
"15","Braelon Allen","WISC",7000,10.66,8,"Ques Sat - Leg","-3.5","36",79.4,80.9,19.9,"MINN",34,42,17,102.4,67,0,0.1,2.9,0.2,18.9,9.5,1.5,11
"16","Kendre Miller","TCU",6900,18.37,8,"Prob Sat - Undisclosed","-9.5","46",84.9,87.2,17.9,"ISU",42,20,78,108,119.5,0,0.2,3.7,0.3,16.7,9.4,1.5,11
"17","Bucky Irving","ORE",5900,16.75,8,"Healthy","-1.5","57",90.9,91.9,14.1,"ORST",34,41,70,78.5,172.7,0,0.2,4.2,0.3,11.9,24.7,2.6,11
"18","Ollie Gordon","OKST",3400,10.22,6,"Healthy","-5.5","60",62.8,62.2,3.8,"WVU",107,44,15,11.4,73.2,0,0.1,2.6,0.1,2.9,5.9,1,11
"19","Jaden Nixon","OKST",5400,15.12,5,"Healthy","-5.5","60",68.9,71.6,5.5,"WVU",107,44,15,15.1,90.5,0,0.1,3.2,0.2,3.7,16.4,2,11
"20","Jawhar Jordan","UL",5200,14.87,5,"Healthy",NA,NA,76,77.8,10.8,"UK",48,78,21,50.5,68.4,0,0.2,2.7,0.2,10.1,6.7,0.8,11
"21","Noah Whittington","ORE",5000,13.06,5,"Healthy","-1.5","57",80.8,82.4,11.8,"ORST",34,41,70,60.8,65,0,0.2,3.4,0.4,10.3,12,1.6,11
"22","Kenny McIntosh","UGA",6800,16.6,4,"Healthy","-36.5","48.5",84.4,83.6,13.1,"GT",79,53,88,51.2,117.7,0,0.1,3.3,0.3,10.2,31.5,3.4,11
