"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","def_rank","cov_rank"
"211","Joey Beljan","WKU",3200,2.07,0,"Healthy",NA,NA,151,67.5,1.22,"FAU",90,77
"212","Austin Evans","FAU",3200,1.06,0,"Healthy",NA,NA,98,53.5,1.08,"WKU",NA,NA
"213","Malcolm Johnson Jr.","AUB",3100,1.64,0,"Healthy","22.5","50",61,53.6,0.5,"BAMA",3,4
"214","Austin Stogner","SCAR",3100,5.55,0,"Healthy","14","53",267,56.8,1.01,"CLEM",16,48
"215","Maurice Bell","COL",3100,0.36,0,"Healthy","29.5","52",79,54.3,0.45,"UTAH",43,17
"216","Cam McCormick","ORE",3100,1.08,0,"Healthy","-1.5","57",127,61.5,0.6,"ORST",34,25
"217","Jake Overman","ORST",3100,2.93,0,"Healthy","1.5","57",178,48.9,0.47,"ORE",77,49
"218","Treylan Davis","WVU",3100,1.87,0,"Healthy","5.5","60",62,61.9,1.09,"OKST",58,64
"219","Braden Cassity","OKST",3100,2.26,0,"Healthy","-5.5","60",117,54.1,0.74,"WVU",107,126
"220","Cale Cabbiness","OKST",3100,0.79,0,"Healthy","-5.5","60",22,57.6,1.68,"WVU",107,126
"221","Langston Anderson","OKST",3100,3.71,0,"Healthy","-5.5","60",70,60.2,1,"WVU",107,126
"222","Blake Nowell","TCU",3100,1.06,0,"Healthy","-9.5","46",40,62.4,1.77,"ISU",42,68
"223","Aaron Steinfeldt","IU",3100,1.01,0,"Healthy","10.5","53",109,50.1,0.56,"PUR",91,107
"224","Andrew Sowinski","PUR",3100,NA,0,"Healthy","-10.5","53",91,58,0.59,"IU",108,122
"225","Max Bredeson","MICH",3100,0.88,0,"Healthy","8.5","56",57,62.2,1.44,"OSU",4,14
"226","Germie Bernard","MSU",3100,0.96,0,"Healthy","19","53.5",82,62.7,1.68,"PSU",60,53
"227","Omari Evans","PSU",3100,3.91,0,"Healthy","-19","53.5",72,53.7,0.81,"MSU",110,125
"228","Hayden Rucci","WISC",3100,NA,0,"Healthy","-3.5","36",56,55.5,1.24,"MINN",34,34
"229","Josh Sterns","WKU",3100,NA,0,"Healthy",NA,NA,NA,NA,NA,"FAU",90,77
"230","Jackson Billings","AUB",3000,NA,0,"Healthy","22.5","50",NA,NA,NA,"BAMA",3,4
"231","Dazalin Worsham","AUB",3000,0.76,0,"Healthy","22.5","50",25,53.2,0.33,"BAMA",3,4
"232","Jay Fair","AUB",3000,1.8,0,"Healthy","22.5","50",36,58.6,0.94,"BAMA",3,4
"233","Landen King","AUB",3000,0.41,0,"out for season - Redshirt","22.5","50",25,63.3,0.96,"BAMA",3,4
"234","Whit Johnson","AUB",3000,NA,0,"Healthy","22.5","50",NA,NA,NA,"BAMA",3,4
"235","Grant Hidalgo","AUB",3000,NA,0,"Healthy","22.5","50",NA,NA,NA,"BAMA",3,4
"236","Trent Mason","AUB",3000,NA,0,"Healthy","22.5","50",NA,NA,NA,"BAMA",3,4
"237","Colby Stafford","AUB",3000,NA,0,"Healthy","22.5","50",NA,NA,NA,"BAMA",3,4
"238","J.J. Evans","AUB",3000,NA,0,"Healthy","22.5","50",NA,NA,NA,"BAMA",3,4
"239","Jack Standeffer","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"240","Robbie Ouzts","BAMA",3000,1.78,0,"Healthy","-22.5","50",71,50.8,0.28,"AUB",46,24
"241","Charlie Skehan","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"242","Amari Niblack","BAMA",3000,NA,0,"Healthy","-22.5","50",23,49.8,0.79,"AUB",46,24
"243","Peyton Fox","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"244","Adam Thorsland","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"245","Elijah Brown","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"246","Robert Ellis","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"247","Danny Lewis Jr.","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"248","Jax Porter","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"249","Isaiah Bond","BAMA",3000,4.02,0,"Healthy","-22.5","50",165,54.2,1.16,"AUB",46,24
"250","Thaiu Jones-Bell","BAMA",3000,NA,0,"Healthy","-22.5","50",2,72.4,2.5,"AUB",46,24
"251","MJ Chirgwin","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"252","Jay Loper Jr.","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"253","Bret Bolin","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"254","Jacoby Boykins","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"255","Mekiel Stewart","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"256","Zarian Courtney","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"257","Aaron Anderson","BAMA",3000,NA,0,"Out indefinitely - Knee","-22.5","50",NA,NA,NA,"AUB",46,24
"258","Shazz Preston","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"259","Grant Krieger","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"260","Hayden Neighbors","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"261","Sam Willoughby","BAMA",3000,NA,0,"Healthy","-22.5","50",NA,NA,NA,"AUB",46,24
"262","Brandon Frazier","AUB",3000,0.42,0,"Healthy","22.5","50",15,69.3,1.58,"BAMA",3,4
"263","Micah Riley-Ducker","AUB",3000,NA,0,"Healthy","22.5","50",NA,NA,NA,"BAMA",3,4
"264","Camden Etheredge","AUB",3000,NA,0,"Healthy","22.5","50",NA,NA,NA,"BAMA",3,4
"265","Tar'Varish Dawson Jr.","AUB",3000,0.41,0,"Healthy","22.5","50",18,61.7,1.88,"BAMA",3,4
"266","Jake Kruse","AUB",3000,NA,0,"Healthy","22.5","50",NA,NA,NA,"BAMA",3,4
