,,Win,,Win By Knockout,,Win By Submission,,Win By Decision,,Fight Goes Distance,,,,Round 1,,Round 2,,Round 3,,Round 4,,Round 5,
Fighter,Date,Win,$20 Bet,Knockout,$20 Bet,Submission,$20 Bet,Decision,$20 Bet,Yes,$20 Bet,No,$20 Bet,Rd 1,$20 Bet,Rd 2,$20 Bet,Rd 3,$20 Bet,Rd 4,$20 Bet,Rd 5,$20 Bet
Matthew Semelsberger,00:00.0,-192,10.42,136,27.2,1050,210,380,76,210,42,-222,9.01,310,62,560,112,1100,220,,,,
AJ Fletcher,00:00.0,180,36,580,116,650,130,650,130,210,42,-222,9.01,650,130,1100,220,2100,420,,,,
Gillian Robertson,00:00.0,-126,15.87,900,180,230,46,420,84,-104,19.23,-115,17.39,400,80,625,125,1100,220,,,,
JJ Aldrich,00:00.0,115,23,700,140,1200,240,215,43,-104,19.23,-115,17.39,1100,220,1400,280,2100,420,,,,
Javid Basharat,00:00.0,-145,13.79,380,76,380,76,340,68,146,29.2,-145,13.79,430,86,625,125,1200,240,,,,
Trevin Jones,00:00.0,130,26,500,100,750,150,400,80,146,29.2,-145,13.79,650,130,850,170,1600,320,,,,
Damon Jackson,00:00.0,-110,18.18,1100,220,460,92,235,47,-128,15.63,105,21,650,130,1000,200,1800,360,,,,
Kamuela Kirk,00:00.0,100,20,390,78,950,190,260,52,-128,15.63,105,21,650,130,1000,200,1600,320,,,,
Miranda Maverick,00:00.0,-320,6.25,580,116,500,100,-111,18.02,-220,9.09,200,40,650,130,900,180,1600,320,,,,
Sabina Mazo,00:00.0,260,52,1100,220,2200,440,460,92,-220,9.09,200,40,1900,380,2200,440,3300,660,,,,
Dalcha Lungiambula,00:00.0,-125,16,165,33,2500,500,425,85,115,23,-139,14.39,360,72,625,125,1200,240,,,,
Cody Brundage,00:00.0,110,22,625,125,625,125,240,48,115,23,-139,14.39,800,160,1050,210,2000,400,,,,
Kris Moutinho,00:00.0,-150,13.33,330,66,580,116,280,56,-110,18.18,-110,18.18,450,90,625,125,1300,260,,,,
Guido Cannetti,00:00.0,132,26.4,560,112,650,130,300,60,-110,18.18,-110,18.18,850,170,1050,210,2000,400,,,,
Azamat Murzakanov,00:00.0,-184,10.87,160,32,600,120,360,72,145,29,-175,11.43,330,66,525,105,1000,200,,,,
Tafon Nchukwi,00:00.0,155,31,380,76,3000,600,425,85,145,29,-175,11.43,750,150,1000,200,2000,400,,,,
Magomed Ankalaev,00:00.0,-600,3.33,130,26,1000,200,160,32,130,26,-133,15.04,350,70,600,120,1100,220,1800,360,2800,560
Thiago Santos,00:00.0,440,88,750,150,3500,700,1400,280,130,26,-133,15.04,1900,380,2600,520,3500,700,4000,800,5000,"1,000.00"
Song Yadong,00:00.0,-250,8,105,21,1200,240,370,74,192,38.4,-200,10,280,56,520,104,1050,210,,,,
Marlon Moraes,00:00.0,220,44,625,125,1100,220,625,125,192,38.4,-200,10,850,170,1600,320,2200,440,,,,
Alex Pereira,00:00.0,-178,11.24,-118,16.95,2000,400,950,190,450,90,-476,4.2,180,36,560,112,1400,280,,,,
Bruno Silva,00:00.0,155,31,230,46,2000,400,950,190,450,90,-476,4.2,450,90,750,150,1500,300,,,,
Sodiq Yusuff,00:00.0,-250,8,200,40,2300,460,165,33,-132,15.15,115,23,450,90,750,150,1400,280,,,,
Alex Caceres,00:00.0,210,42,950,190,1100,220,400,80,-132,15.15,115,23,1050,210,2200,440,2900,580,,,,
Karl Roberson,00:00.0,-124,16.13,260,52,950,190,340,68,166,33.2,-182,10.99,430,86,750,150,1400,280,,,,
Khalil Rountree Jr.,00:00.0,110,22,210,42,2200,440,500,100,166,33.2,-182,10.99,450,90,700,140,1300,260,,,,
Drew Dober,00:00.0,-159,12.58,170,34,1300,260,310,62,200,40,-233,8.58,380,76,600,120,1100,220,,,,
Terrance McKinney,00:00.0,146,29.2,380,76,525,105,900,180,200,40,-233,8.58,450,90,750,150,1500,300,,,,
