player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Sam Howell,97599,QB,WAS,11,-8.75,0,520,32,75.4,358,397,9.2,2.92,12,24,5.8,63.7,253,191,6.3,474,91.2,17,139,,,,69.3,64.9,73.1,62.1,,,72.9,2,12,501,26.7,85.5,10.8,51,25,0,25,17,19,3.8,2725,6.9,79.8,337,368,7.3,2.73,11,21,5.5,68.2,251,165,6.7,435,83.7,18,126,,,,66.4,70.0,71.9,66.4,,,79.0,2,10,456,27.9,88.9,10.6,46,19,0,18,13,17,3.7,2604,7.1,69.2,65,74,10.5,3.26,1,3,3.8,59.5,44,31,2.2,85,16.3,1,24,,,,84.4,49.0,80.3,50.7,,,51.8,0,2,93,16.1,87.3,5.9,5,6,0,8,5,2,2.2,434,5.9,0,100.0,44,45,-3.8,1.76,0,0,0.0,93.3,42,5,4.5,46,8.8,2,11,,,,80.1,70.2,77.8,69.3,,,,0,0,48,0.0,103.1,0.0,0,0,0,1,1,0,0.0,313,7.0,-1.22
Josh Allen,46601,QB,BUF,11,3.99,0,426,4,77.7,327,352,9.5,3.0,4,21,5.6,67.6,238,138,6.3,396,93.0,16,141,,,,65.3,88.7,71.9,86.8,,,70.8,2,12,425,10.1,97.3,3.5,14,30,1,18,22,11,2.6,2726,7.7,78.1,269,287,8.4,2.87,3,14,4.6,68.6,197,112,6.2,321,75.4,13,99,,,,58.6,80.5,69.6,78.9,,,68.0,1,10,345,10.7,89.3,3.7,12,22,1,13,14,10,2.9,1945,6.8,82.8,87,95,8.9,2.92,1,7,7.1,72.6,69,27,4.2,105,24.6,3,48,,,,85.7,92.3,80.9,91.2,,,71.2,1,2,111,7.4,122.7,1.9,2,8,0,6,8,1,0.9,931,9.8,0,96.6,29,30,-3.1,1.3,0,0,0.0,93.3,28,1,0.0,30,7.0,0,6,,,,77.6,68.2,76.3,67.5,,,,0,0,31,0.0,87.5,0.0,0,0,0,1,0,0,0.0,150,5.0,3.02
Patrick Mahomes,11765,QB,KC,10,-7.43,0,425,16,74.4,297,323,9.3,3.26,2,16,4.7,62.5,202,143,8.6,367,86.4,19,126,,,,64.5,87.6,87.7,81.8,,,86.6,8,9,394,8.4,88.0,3.3,12,32,2,14,15,14,3.6,2323,7.2,79.1,292,313,7.4,2.93,2,13,3.9,68.4,214,118,7.4,352,82.8,17,120,,,,63.1,87.9,87.6,82.7,,,84.4,7,8,377,7.6,92.6,2.6,9,28,2,10,16,13,3.4,2036,6.5,71.9,57,64,7.9,3.46,1,3,4.5,60.9,39,31,4.9,73,17.2,2,26,,,,83.0,71.3,79.6,67.0,,,77.4,1,1,75,12.9,100.1,5.5,4,5,0,5,3,1,1.3,585,9.1,0,98.1,52,54,-3.0,1.51,1,0,0.0,94.4,51,6,0.0,58,13.6,0,20,,,,81.3,69.0,78.7,66.8,,,63.9,0,0,58,16.7,114.4,1.7,1,1,0,1,4,0,0.0,298,5.5,2.64
Joshua Dobbs,11890,QB,MIN,11,6.15,0,416,18,69.3,309,331,9.1,3.09,5,9,2.6,61.3,203,148,5.1,382,91.8,11,123,,,,48.7,66.8,72.1,60.0,58.9,,83.9,5,6,412,15.5,84.3,6.0,23,27,0,12,12,18,4.4,2108,6.4,69.2,250,265,8.5,2.93,3,7,2.5,61.9,164,116,5.2,306,73.6,9,99,,,,50.1,70.3,69.6,62.8,,,85.3,4,5,324,15.5,81.7,5.9,18,21,0,8,9,14,4.3,1563,5.9,77.5,89,97,6.5,3.2,3,2,1.8,68.0,66,38,4.3,110,26.4,3,29,,,,60.5,56.5,81.4,54.9,58.9,,67.2,1,1,126,13.2,92.8,4.5,5,7,0,4,3,4,3.2,653,6.7,0,93.3,30,31,-3.2,2.04,1,0,0.0,87.1,27,6,3.6,34,8.2,1,5,,,,78.7,66.8,77.0,63.1,,,65.9,0,0,38,0.0,81.2,0.0,0,1,0,0,0,0,0.0,108,3.5,0.83
Justin Herbert,28237,QB,LAC,10,5.99,0,410,27,71.9,292,315,10.1,2.9,6,18,5.2,62.5,197,144,6.2,363,88.5,13,127,,,,54.5,83.4,70.9,80.1,58.4,,76.0,7,5,395,15.3,97.7,6.1,22,26,0,10,18,13,3.3,2345,7.4,74.5,247,266,9.2,2.7,7,15,5.2,64.7,172,111,6.5,304,74.1,12,101,,,,47.2,81.3,68.9,79.5,58.4,,68.1,4,4,329,18.0,92.6,6.6,20,16,0,8,10,12,3.6,1936,7.3,77.0,87,92,6.2,2.88,0,3,3.0,70.7,65,35,3.0,106,25.9,2,37,,,,85.8,78.1,81.0,73.3,,,78.6,3,1,113,5.7,119.6,1.9,2,11,0,2,9,1,0.9,674,7.3,0,97.6,42,43,-3.7,1.59,1,0,0.0,93.0,40,2,2.4,47,11.5,1,11,,,,80.0,68.6,77.7,68.9,,,58.3,0,0,47,0.0,100.1,0.0,0,1,0,0,1,0,0.0,265,6.2,0.05
Joe Burrow,28022,QB,CIN,10,-1.86,0,403,7,73.9,291,315,8.4,2.61,6,17,5.1,62.9,198,120,7.9,353,87.6,17,110,,,,84.9,77.9,12.1,77.0,,,68.8,6,6,372,20.0,89.7,6.8,24,14,1,11,15,9,2.4,2066,6.6,75.6,271,287,6.7,2.41,4,13,4.3,67.2,193,99,5.9,320,79.4,12,89,,,,83.1,72.3,7.5,72.5,,,61.7,4,5,336,23.2,89.4,7.2,23,10,1,7,11,8,2.4,1776,6.2,81.2,69,78,7.4,2.68,2,4,4.9,65.4,51,24,8.9,83,20.6,5,33,,,,83.9,86.1,80.0,81.5,,,78.7,2,1,86,4.2,96.7,1.2,1,4,0,5,4,1,1.2,532,6.8,0,93.9,49,50,-2.2,1.47,0,0,0.0,92.0,46,3,0.0,50,12.4,0,12,,,,80.4,66.9,78.0,66.2,,,,0,0,50,0.0,86.8,0.0,0,0,0,1,0,0,0.0,242,4.8,0.63
Baker Mayfield,46518,QB,TB,10,-6.73,0,394,30,70.5,292,317,10.6,2.95,8,10,2.9,61.5,195,140,5.3,360,91.4,11,111,,,,53.5,70.6,70.8,69.0,57.6,,65.9,6,6,389,14.3,89.1,5.6,20,23,0,11,14,13,3.3,2200,6.9,74.6,244,261,8.8,2.71,7,7,2.5,66.3,173,101,4.9,295,74.9,9,84,,,,57.3,70.6,87.3,69.1,,,62.2,4,3,314,15.8,93.2,5.4,16,18,0,6,11,11,3.5,1670,6.4,70.0,80,89,10.5,3.15,2,3,3.0,59.6,53,42,5.4,99,25.1,3,36,,,,56.8,68.0,7.2,66.6,57.6,,71.6,2,3,109,9.5,86.4,4.0,4,5,0,5,4,2,1.8,721,8.1,0,100.0,32,33,-4.0,1.38,1,0,0.0,93.9,31,3,3.1,34,8.6,1,9,,,,78.1,69.7,76.6,68.9,,,,0,0,34,0.0,100.9,0.0,0,0,0,0,1,0,0.0,191,5.8,1.7
C.J. Stroud,129759,QB,HST,10,-3.64,0,390,13,71.8,298,325,10.8,2.94,5,17,4.9,60.3,196,123,8.4,357,91.5,18,142,,,,44.6,84.4,71.4,81.3,58.9,,73.9,2,5,377,17.9,98.8,6.2,22,10,6,14,17,11,2.9,2766,8.5,75.4,252,275,8.4,2.67,5,11,3.8,63.6,175,89,7.9,295,75.6,15,109,,,,35.7,85.7,69.4,82.8,58.9,,72.4,2,3,312,14.6,98.8,4.4,13,6,6,10,13,6,1.9,2141,7.8,69.3,75,80,13.4,3.36,0,6,7.0,60.0,48,36,7.7,95,24.4,4,39,,,,84.9,68.8,80.6,67.5,,,64.3,0,2,101,25.0,101.1,9.5,9,5,0,5,4,5,5.0,821,10.3,0,96.6,29,30,-3.3,1.69,0,0,0.0,90.0,27,2,3.6,33,8.5,1,6,,,,78.3,63.5,76.8,64.1,,,58.3,0,0,36,0.0,93.9,0.0,0,1,0,1,0,0,0.0,196,6.5,2.47
Trevor Lawrence,77632,QB,JAX,10,0.89,0,387,15,73.3,255,273,10.2,2.76,9,20,6.7,64.1,175,107,6.4,324,83.7,12,103,,,,49.6,84.5,53.1,81.6,,,76.3,3,6,348,22.4,91.9,7.4,24,27,0,6,11,12,3.4,2107,7.7,76.2,239,252,7.5,2.41,9,14,5.2,67.9,171,77,6.0,292,75.5,11,82,,,,44.8,81.8,51.0,79.6,60.0,,73.0,1,4,311,24.7,93.1,6.5,19,19,0,3,10,9,2.9,1683,6.7,80.6,72,80,8.5,2.98,3,6,7.1,68.8,55,36,5.2,95,24.5,3,35,,,,84.9,78.9,80.6,76.0,,,70.9,2,2,100,16.7,90.1,6.3,6,9,0,3,1,3,3.0,709,8.9,0,94.6,56,59,-3.4,1.45,3,0,0.0,86.4,51,6,3.8,63,16.3,2,14,,,,81.7,67.4,78.9,67.7,60.0,,58.3,0,0,63,16.7,86.8,1.6,1,1,0,0,0,0,0.0,285,4.8,2.18
Jared Goff,10635,QB,DET,10,8.65,0,382,11,77.5,289,314,8.6,2.7,5,14,4.3,65.9,207,121,7.6,335,87.7,17,117,,,,75.9,87.4,87.9,84.6,60.0,,71.9,2,8,347,14.0,94.7,5.1,17,4,1,17,15,9,2.6,2437,7.8,77.5,253,274,7.2,2.44,5,12,4.2,66.1,181,93,7.7,288,75.4,15,98,,,,85.4,82.5,87.6,79.3,60.0,,76.1,2,8,298,12.9,86.1,4.2,12,2,1,13,10,8,2.7,1906,7.0,89.7,78,87,6.7,2.94,1,2,2.2,74.7,65,33,7.1,94,24.6,5,37,,,,54.1,86.1,80.5,85.1,,,54.5,0,0,99,15.2,127.4,5.3,5,2,0,8,6,1,1.0,836,9.6,0,100.0,42,47,-3.8,1.59,1,0,0.0,83.0,39,5,7.1,47,12.3,3,18,,,,80.4,68.0,78.0,67.2,,,,0,0,50,0.0,100.8,0.0,0,0,0,4,1,0,0.0,305,6.5,2.65
