player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Jalen Hurts,40291,QB,PHI,10,-8.88,0,382,24,76.0,262,289,10.4,3.3,2,21,6.9,65.4,189,143,5.0,344,90.1,10,115,,,,58.2,81.4,55.4,79.8,,,71.0,4,8,361,18.9,94.4,7.8,27,28,0,21,14,12,3.3,2303,8.0,79.6,226,243,8.6,3.02,1,16,6.3,70.8,172,105,4.4,279,73.0,8,89,,,,52.0,79.1,51.9,78.8,,,67.4,2,7,295,14.3,98.4,5.4,15,21,0,14,12,10,3.4,1918,7.9,74.0,73,84,9.6,3.37,2,5,5.7,61.9,52,39,3.7,103,27.0,2,33,,,,85.3,80.7,80.8,76.1,,,79.3,2,2,106,30.8,84.4,11.7,12,7,0,7,3,2,1.9,579,6.9,0,94.6,37,38,-2.6,1.48,1,0,0.0,92.1,35,1,0.0,38,9.9,0,7,,,,79.0,75.1,77.2,73.9,,,,0,1,40,0.0,85.7,0.0,0,0,0,0,1,0,0.0,194,5.1,-1.0
Zach Wilson,82096,QB,NYJ,10,4.6,0,382,22,68.9,257,281,9.3,3.02,5,8,2.7,57.7,162,154,8.5,341,89.3,15,86,,,,52.6,56.0,87.3,53.8,58.4,,65.7,5,7,360,24.0,71.9,10.9,37,23,3,11,5,9,2.5,1769,6.3,71.7,233,259,8.2,2.86,4,7,2.5,58.3,151,131,9.6,311,81.4,16,72,,,,36.4,54.2,87.1,52.1,58.4,,64.1,5,7,328,22.9,67.5,9.6,30,22,3,14,4,9,2.7,1426,5.5,73.7,57,62,6.7,3.19,2,1,1.5,62.9,39,31,7.1,71,18.6,3,21,,,,82.9,65.4,79.5,63.7,,,66.4,0,0,75,25.8,100.1,11.3,8,1,0,3,2,1,1.3,518,8.4,0,97.0,33,40,-2.7,2.09,1,0,0.0,70.0,28,8,12.5,41,10.7,4,7,,,,28.8,61.5,77.4,61.2,,,,0,0,43,12.5,87.0,2.4,1,0,0,6,1,1,2.3,175,4.4,2.84
Jordan Love,40306,QB,GB,10,9.62,0,382,12,66.7,273,293,11.4,2.87,5,16,5.1,56.3,165,109,9.3,334,87.4,17,109,,,,53.2,71.5,51.4,69.8,,,67.7,4,10,353,19.3,81.5,6.3,21,18,2,9,15,11,3.1,2087,7.1,66.9,242,261,9.9,2.61,5,14,5.1,57.5,150,83,7.4,294,77.0,12,90,,,,69.6,72.9,48.7,71.6,,,66.4,4,7,310,20.5,79.0,5.8,17,14,2,8,11,8,2.6,1640,6.3,78.7,75,79,8.3,3.15,1,2,2.4,67.1,53,30,10.2,88,23.0,6,30,,,,30.1,59.8,80.3,58.5,,,65.6,0,3,94,13.3,99.7,4.5,4,4,0,3,5,3,3.2,691,8.7,0,88.6,44,47,-2.5,1.75,1,0,0.0,80.9,38,4,2.6,48,12.6,1,11,,,,80.5,59.6,78.0,59.4,,,,0,0,51,0.0,95.4,0.0,0,0,0,2,1,0,0.0,244,5.2,2.47
Dak Prescott,10769,QB,DAL,10,-6.25,0,381,9,75.3,300,309,9.3,2.75,2,22,6.7,68.3,211,117,6.6,349,91.6,15,128,,,,84.7,89.9,52.8,86.5,,,79.6,4,6,371,18.8,103.4,6.3,22,18,0,3,18,7,1.9,2454,7.9,77.7,238,245,7.9,2.57,2,17,6.6,71.8,176,84,4.9,277,72.7,9,104,,,,80.7,90.3,48.0,87.1,,,82.1,3,5,293,17.9,109.1,5.4,15,15,0,2,16,5,1.7,1995,8.1,76.4,89,93,9.2,2.86,1,5,5.1,65.6,61,35,10.3,104,27.3,7,31,,,,85.6,73.5,80.9,72.9,,,58.3,2,1,110,20.0,90.3,6.7,7,3,0,1,3,2,1.8,609,6.5,0,100.0,27,29,-2.9,1.55,1,0,0.0,89.7,26,2,3.7,32,8.4,1,7,,,,77.7,66.0,76.4,65.3,,,,1,0,32,0.0,99.7,0.0,0,0,0,0,1,0,0.0,150,5.2,-1.59
Bryce Young,123943,QB,CAR,9,-1.0,0,376,5,71.6,250,286,7.8,2.95,4,8,2.6,59.8,171,147,4.5,342,91.0,8,92,,,,28.6,48.7,32.6,48.1,,,63.2,5,6,364,24.5,76.2,10.5,36,19,0,27,9,13,3.6,1550,5.4,74.6,236,270,6.4,2.76,4,6,2.1,62.2,168,126,4.5,319,84.8,8,76,,,,27.9,47.0,30.5,47.0,,,59.3,3,5,341,25.4,72.9,10.0,32,16,0,27,5,12,3.5,1326,4.9,69.8,43,49,7.9,3.15,1,2,4.0,61.2,30,23,0.0,57,15.2,0,21,,,,81.3,57.2,78.6,54.7,,,70.5,2,3,59,17.4,85.2,7.0,4,3,0,3,4,2,3.4,357,7.3,0,93.1,29,33,-3.5,1.52,1,0,0.0,81.8,27,2,0.0,34,9.0,0,5,,,,78.4,48.9,76.8,49.3,,,,0,2,36,0.0,58.2,0.0,0,0,0,3,0,1,2.8,133,4.0,2.38
Lamar Jackson,46416,QB,BLT,11,9.22,0,373,3,74.7,241,257,11.1,3.29,4,17,6.1,65.4,168,124,6.7,326,87.4,12,110,,,,35.0,89.2,71.7,85.9,,,78.5,4,5,355,21.0,100.4,8.0,26,43,1,7,12,10,2.8,2244,8.7,76.0,204,218,9.2,3.04,3,14,5.9,67.0,146,98,5.8,275,73.7,9,81,,,,38.9,83.0,70.2,78.6,,,78.2,4,5,301,23.5,94.6,8.4,23,33,1,6,10,9,3.0,1623,7.4,84.0,81,84,8.0,3.19,1,3,3.4,76.2,64,31,5.9,98,26.3,4,37,,,,28.0,87.5,80.7,85.8,,,66.7,0,0,104,12.9,114.1,4.1,4,10,0,2,2,2,1.9,818,9.7,0,97.7,44,45,-3.1,1.64,0,0,0.0,93.3,42,5,2.3,47,12.6,1,8,,,,28.1,60.0,78.0,59.7,,,,0,0,50,20.0,84.9,2.1,1,0,0,1,0,1,2.0,197,4.4,2.3
Tua Tagovailoa,60326,QB,MIA,10,4.33,0,371,17,75.6,275,295,10.5,2.49,6,22,7.1,65.4,193,83,7.2,320,86.3,15,128,,,,46.7,86.3,69.2,89.9,60.0,,27.7,2,8,337,18.1,99.8,4.7,15,9,1,11,16,12,3.6,2580,8.7,76.1,222,233,7.2,2.12,6,14,5.8,68.2,159,56,5.9,251,67.7,10,91,,,,35.1,73.3,66.3,78.5,60.0,,26.8,0,6,261,19.6,104.1,4.4,11,6,1,4,15,9,3.4,1923,8.3,86.3,102,113,10.9,2.72,2,8,6.7,72.6,82,27,6.8,120,32.3,6,53,,,,86.6,93.3,81.5,92.4,,,59.2,2,2,128,14.8,111.6,3.3,4,3,0,7,6,3,2.3,1049,9.3,0,100.0,49,51,-3.6,1.22,2,0,0.0,94.1,48,0,2.0,51,13.7,1,16,,,,80.5,71.5,78.1,70.5,,,,0,0,52,,131.4,0.0,0,0,0,0,5,0,0.0,392,7.7,1.03
Geno Smith,7820,QB,SEA,10,12.77,0,368,29,75.4,268,304,9.3,2.96,6,17,5.2,63.2,192,141,5.0,336,91.3,10,110,,,,72.8,77.0,32.5,77.0,,,58.8,6,7,361,14.9,87.9,6.3,21,11,3,21,11,14,3.9,2238,7.4,75.3,215,247,7.8,2.66,6,10,3.8,61.9,153,105,5.6,270,73.4,9,76,,,,67.1,66.7,46.9,66.7,,,56.2,6,7,289,17.1,80.6,6.7,18,5,3,17,9,13,4.5,1572,6.4,83.5,79,87,9.2,3.29,3,7,7.5,74.7,65,38,1.5,98,26.6,1,41,,,,85.3,90.7,0.0,90.5,,,63.1,0,0,105,7.9,115.7,3.1,3,6,0,5,3,1,1.0,832,9.6,0,100.0,26,30,-3.5,1.45,3,0,0.0,86.7,26,2,0.0,32,8.7,0,7,,,,77.9,62.6,76.5,62.2,,,,0,0,33,0.0,100.8,0.0,0,0,0,1,1,0,0.0,166,5.5,3.2
Derek Carr,8671,QB,NO,10,-3.06,0,362,20,72.0,279,300,10.1,2.67,3,14,4.5,63.7,191,120,5.0,328,90.6,10,93,,,,47.5,67.6,67.3,67.0,,,57.0,5,4,342,17.5,88.6,6.4,21,7,0,13,9,10,2.9,2091,7.0,75.0,276,296,8.4,2.5,2,14,4.5,66.2,196,106,5.3,320,88.4,11,92,,,,46.2,70.3,66.9,69.7,,,55.7,5,4,332,18.9,91.4,6.3,20,4,0,13,10,10,3.0,2027,6.8,68.6,35,38,10.9,3.08,1,0,0.0,63.2,24,15,0.0,42,11.6,0,11,,,,79.6,53.1,77.7,52.7,,,61.3,0,0,44,6.7,77.1,2.4,1,3,0,2,0,0,0.0,204,5.4,0,93.8,32,34,-3.5,1.53,0,0,0.0,85.3,29,1,3.3,34,9.4,1,10,,,,78.1,67.1,76.8,66.4,,,,0,0,34,0.0,93.6,0.0,0,0,0,2,1,0,0.0,140,4.1,-1.48
Mac Jones,60323,QB,NE,10,1.53,0,357,19,69.4,265,279,9.3,2.58,3,11,3.8,61.6,172,113,6.5,312,87.4,12,92,,,,58.4,58.4,31.0,58.1,,,61.3,4,10,327,18.6,77.0,6.7,21,12,0,7,10,18,5.5,1779,6.4,72.7,249,261,7.8,2.42,3,8,3.0,65.1,170,98,6.1,289,81.0,11,78,,,,68.6,59.2,28.7,59.0,,,61.4,4,7,302,18.4,80.6,6.2,18,10,0,5,8,15,5.0,1578,6.0,74.1,58,63,6.2,2.51,2,3,4.6,66.7,42,16,2.3,68,19.0,1,21,,,,43.6,58.7,79.3,58.5,,,60.2,0,3,71,18.8,78.3,4.4,3,2,0,3,2,4,5.6,453,7.2,0,95.2,42,45,-3.7,1.46,2,0,0.0,88.9,40,1,0.0,45,12.6,0,7,,,,79.9,63.5,77.7,63.0,,,,0,0,46,0.0,90.0,0.0,0,0,0,1,0,1,2.2,252,5.6,1.14
Russell Wilson,7077,QB,DEN,10,-2.41,0,356,10,78.5,228,257,9.2,3.23,7,17,6.1,66.9,172,132,3.9,312,87.6,7,95,,,,39.5,78.6,87.5,72.4,,,84.5,2,4,339,22.7,102.8,9.6,30,25,3,17,16,10,2.9,1890,7.4,80.7,212,237,6.6,2.98,4,10,4.0,69.6,165,104,3.5,283,79.5,6,81,,,,55.7,75.4,87.2,69.0,,,84.1,2,3,302,24.0,100.2,8.8,25,20,3,16,12,8,2.6,1621,6.8,81.1,53,61,9.8,3.51,3,7,10.3,67.2,41,35,4.7,73,20.5,2,25,,,,28.9,77.5,79.8,75.1,,,68.6,0,1,82,20.0,120.8,9.6,7,5,0,5,7,2,2.4,458,7.5,0,94.6,37,41,-4.8,2.07,0,0,0.0,82.9,34,7,2.9,44,12.4,1,11,,,,79.8,64.5,77.6,64.0,,,,0,0,45,28.6,110.3,4.5,2,0,0,4,3,0,0.0,189,4.6,0.67
