player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,ED,ATL,10,0,0,2,65.9,6,12,219,97.1,11.0,24,0,5.5,3,241,234,21,0,67.0,3,9,104,95.7,14.4,15,7.7,2,116,111,14
Matthew Slater,4467,WR,NE,2,0,0,19,60.0,0,0,0,50.0,,0,0,,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
Brandon Graham,5538,ED,PHI,10,0,0,24,75.5,2,8,110,91.9,16.4,18,1,7.3,3,135,124,13,0,89.5,2,7,50,96.7,30.0,15,15.0,3,60,58,12
Kareem Jackson,5545,S,DEN,8,0,0,10,62.8,0,0,1,0.4,100.0,1,4,0.0,0,274,1,0,0,,0,0,0,0.0,,0,,0,127,0,0
Jerry Hughes,5556,ED,HST,10,0,0,13,59.9,0,15,143,96.8,9.1,13,1,5.9,1,155,150,16,0,52.4,0,6,69,98.6,7.2,5,4.3,0,74,73,6
Linval Joseph,5571,DI,BUF,3,0,0,4,44.3,0,2,42,100.0,0.0,0,0,2.4,0,45,45,2,0,52.7,0,1,12,100.0,0.0,0,4.2,0,13,13,1
Al Woods,5646,DI,NYJ,6,0,0,22,53.0,1,0,63,100.0,1.6,1,0,2.4,1,66,66,2,0,53.2,1,0,29,100.0,3.4,1,1.7,0,30,30,1
Von Miller,6154,ED,BUF,7,0,0,4,54.3,1,6,88,92.5,9.1,8,1,4.0,0,106,98,7,0,55.2,1,3,51,91.9,11.8,6,3.9,0,62,57,4
Patrick Peterson,6157,CB,PIT,10,0,1,25,75.3,0,2,6,1.4,16.7,1,5,16.7,0,437,6,2,0,80.8,0,1,4,1.7,25.0,1,12.5,0,234,4,1
Cameron Jordan,6176,ED,NO,10,3,0,20,69.3,3,36,324,97.5,13.3,43,0,6.9,3,356,347,42,0,78.3,2,18,145,99.4,21.4,31,8.3,2,158,157,22
Cameron Heyward,6183,DI,PIT,4,0,0,25,57.0,1,4,79,100.0,7.6,6,0,3.2,0,87,87,5,0,57.2,0,3,37,100.0,8.1,3,4.1,0,41,41,3
Justin Houston,6222,ED,CAR,7,1,0,5,61.8,2,7,95,83.9,9.5,9,1,5.8,1,118,99,10,0,70.6,1,6,35,81.4,22.9,8,12.9,1,43,35,8
Lawrence Guy Sr.,6385,DI,NE,10,1,0,19,46.2,0,4,147,100.0,1.4,2,0,1.4,0,155,155,4,1,51.7,0,3,31,100.0,3.2,1,4.8,0,34,34,3
Nick Bellore,6515,LB,SEA,3,0,0,29,58.3,0,0,1,33.3,0.0,0,0,0.0,0,3,1,0,0,,0,0,0,,,0,,0,0,0,0
Fletcher Cox,7018,DI,PHI,9,1,0,24,66.8,12,12,310,100.0,9.7,30,2,4.8,3,327,327,27,1,64.8,10,6,156,100.0,9.6,15,6.4,2,165,165,18
Bobby Wagner,7050,LB,SEA,10,0,0,29,73.6,0,7,49,12.5,20.4,10,0,13.3,3,440,55,10,0,77.4,0,3,30,15.9,20.0,6,15.0,3,208,33,6
Lavonte David,7060,LB,TB,10,0,0,30,64.4,0,4,45,10.9,11.1,5,1,11.1,3,421,46,7,0,68.5,0,2,18,9.3,27.8,5,11.1,1,204,19,3
Demario Davis,7079,LB,NO,10,0,1,20,77.9,3,10,47,12.4,12.8,6,1,22.3,4,396,49,17,0,75.2,1,6,32,20.0,9.4,3,20.3,3,165,33,10
Rodney McLeod,7271,S,CLV,10,0,0,8,52.5,0,1,5,2.9,0.0,0,0,10.0,0,174,5,1,0,56.6,0,1,2,2.4,0.0,0,25.0,0,84,2,1
Tashaun Gipson Sr.,7288,S,SF,10,0,0,28,59.5,0,4,7,1.6,14.3,1,1,28.6,0,436,7,4,0,61.9,0,4,5,2.3,20.0,1,40.0,0,214,5,4
Harrison Smith,7641,S,MIN,11,0,0,18,61.0,2,3,64,14.3,3.1,2,1,8.6,3,456,65,8,0,72.5,2,2,24,15.3,4.2,1,20.8,3,163,25,7
Justin Bethel,7654,CB,MIA,7,0,0,17,90.9,0,1,4,5.6,0.0,0,0,37.5,1,89,5,2,0,91.8,0,1,2,5.6,0.0,0,75.0,1,54,3,2
Johnathan Hankins,7830,DI,DAL,10,2,0,9,60.4,0,2,116,100.0,4.3,5,3,0.9,0,128,128,2,1,62.5,0,1,39,100.0,5.1,2,1.3,0,45,45,1
Tyrann Mathieu,7850,S,NO,10,0,1,20,51.5,0,2,6,1.7,0.0,0,3,16.7,0,409,7,2,0,53.1,0,2,4,2.3,0.0,0,25.0,0,174,4,2
John Jenkins,7863,DI,LV,11,2,0,23,73.2,1,11,174,100.0,9.2,16,0,4.0,1,180,180,13,0,81.7,0,7,38,100.0,23.7,9,9.2,0,39,39,7
Duron Harmon,7872,S,CHI,2,0,0,6,59.0,0,0,1,1.8,0.0,0,0,0.0,0,55,1,0,0,,0,0,0,0.0,,0,,0,24,0,0
William Gholston,7908,DI,TB,10,0,0,30,59.7,1,3,81,100.0,6.2,5,1,2.5,0,86,86,4,0,65.1,1,2,25,100.0,12.0,3,6.0,0,26,26,3
Micah Hyde,7941,S,BUF,10,1,0,4,63.0,1,1,13,3.8,0.0,0,0,7.7,0,395,15,2,0,53.5,0,0,2,2.1,0.0,0,0.0,0,191,4,0
Jordan Poyer,8000,S,BUF,10,0,0,4,55.4,1,4,25,7.4,8.0,2,1,14.0,1,407,30,6,0,62.3,1,1,10,7.2,20.0,2,20.0,1,194,14,3
Nick Williams,8006,DI,LAC,10,0,0,27,64.2,0,6,150,100.0,5.3,8,0,2.7,1,158,158,7,0,69.9,0,2,55,100.0,10.9,6,1.8,0,58,58,2
Mike Purcell,8530,DI,DEN,9,2,1,10,60.8,3,1,102,98.2,4.9,5,1,2.0,0,112,110,4,1,60.8,1,0,33,97.2,6.1,2,1.5,0,36,35,1
Jadeveon Clowney,8636,ED,BLT,11,2,0,3,74.0,9,32,289,95.7,17.0,49,2,9.5,7,327,313,48,1,75.6,6,23,157,95.6,22.3,35,11.8,4,182,174,33
Khalil Mack,8640,ED,LAC,10,2,0,27,75.3,5,30,324,91.6,16.4,53,0,9.1,12,371,340,47,1,84.7,3,22,169,94.2,24.3,41,13.3,10,189,178,35
Anthony Barr,8644,LB,MIN,1,0,0,18,54.3,0,0,4,36.4,0.0,0,0,0.0,0,11,4,0,0,54.5,0,0,3,60.0,0.0,0,0.0,0,5,3,0
