player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Marcedes Lewis,2973,TE,CHI,2,0,0,6,,,60.0,,,,60.2,,,60.9,0,0,3,0,0,0,0,0,0
Matt Prater,3471,K,ARZ,11,0,0,1,,88.1,,,83.9,,60.7,,,62.9,0,0,35,0,48,0,0,0,0
Nick Folk,3794,K,TEN,10,0,0,31,,81.8,,,70.7,,60.7,,,62.9,0,0,37,0,44,0,0,0,0
Calais Campbell,4364,ED,ATL,10,0,0,2,57.9,,63.4,,,,59.3,,,69.8,0,0,37,41,0,0,0,0,0
Matthew Slater,4467,WR,NE,10,1,0,19,58.3,,,,,,50.1,,,33.6,1,2,0,48,38,55,50,43,2
JJ Jansen,4712,LS,CAR,10,0,0,5,,,81.5,,,82.6,76.5,,,67.3,0,0,35,0,0,0,47,0,1
Thomas Morstead,5088,P,NYJ,10,0,0,22,,,61.3,,60.0,,62.6,,76.7,69.9,0,0,31,0,4,0,58,0,0
Graham Gano,5443,K,NYG,8,0,0,21,,48.7,,,81.5,,60.5,,,62.5,0,0,25,0,28,0,0,0,0
Brandon Graham,5538,ED,PHI,10,0,0,24,59.4,,,,,,60.8,,,68.5,0,0,0,32,0,0,0,4,0
Jerry Hughes,5556,ED,HST,2,0,0,13,59.1,,,,,,60.1,,,69.9,0,0,0,7,0,0,0,0,0
Jimmy Graham,5619,TE,NO,1,0,0,20,,,60.0,,,,60.0,,,60.6,0,0,1,0,0,0,0,0,0
Al Woods,5646,DI,NYJ,6,0,0,22,58.5,,62.2,,,,59.9,,,68.2,0,0,13,22,0,0,0,1,0
Jon Weeks,5800,LS,HST,10,0,0,13,,,84.6,,,73.7,64.6,,,66.8,1,0,45,0,0,0,41,0,0
Morgan Cox,6020,LS,TEN,10,0,0,31,,,82.2,,,73.1,64.9,,,67.0,0,0,37,0,0,0,43,0,0
Von Miller,6154,ED,BUF,1,0,0,4,59.8,,,,,,60.0,,,63.1,0,0,0,1,0,0,0,0,0
Patrick Peterson,6157,CB,PIT,10,0,0,25,90.0,,,,,,70.4,,,25.5,0,2,0,40,0,1,0,3,0
Tyron Smith,6161,T,DAL,2,0,0,9,,,61.5,,,,61.5,,,66.7,0,0,13,0,0,0,0,0,0
Cameron Jordan,6176,ED,NO,4,0,0,20,60.0,,,,,,62.2,,,66.7,0,0,0,4,0,0,0,3,0
Cameron Heyward,6183,DI,PIT,4,0,0,25,58.6,,60.0,,,,60.3,,,68.2,0,0,6,5,0,0,0,2,0
Randall Cobb,6216,WR,NYJ,4,0,0,22,,,,,,,58.8,60.7,,62.6,0,0,0,0,0,3,0,3,0
Justin Houston,6222,ED,CAR,1,0,0,5,,,,,,,60.0,,,64.3,0,0,0,0,0,0,0,1,0
Taiwan Jones,6277,HB,NYG,2,0,0,21,59.4,,,,,,48.3,,,73.8,2,0,0,12,7,1,6,6,0
Lawrence Guy Sr.,6385,DI,NE,10,0,0,19,57.4,,63.7,,,,61.8,,,78.5,0,0,30,48,0,0,0,20,0
Patrick Scales,6508,LS,CHI,11,0,0,6,,,83.8,,,82.1,66.6,,,66.7,1,0,42,0,0,0,39,0,0
Nick Bellore,6515,LB,SEA,9,3,0,29,60.0,,,,,,73.5,,,55.2,1,1,0,44,47,49,36,33,3
Jake McQuaide,6586,LS,DET,2,0,0,11,,,67.0,,,79.3,65.6,,,63.2,0,0,10,0,0,0,3,0,0
Fletcher Cox,7018,DI,PHI,4,0,0,24,,,,,,,62.6,,,68.3,0,0,0,0,0,0,0,4,0
Riley Reiff,7029,G,NE,1,0,0,19,,,60.0,,,,60.0,,,61.8,0,0,1,0,0,0,0,0,0
Kevin Zeitler,7032,G,BLT,11,0,0,3,,,67.5,,,,64.3,,,76.0,0,0,57,0,0,0,0,0,0
Bobby Wagner,7050,LB,SEA,10,0,0,29,60.0,,,,,,60.8,,,65.1,0,0,0,45,0,2,0,0,0
Lavonte David,7060,LB,TB,4,0,0,30,,,,,,,64.1,,,68.8,0,0,0,0,0,0,0,6,0
Bryan Anger,7072,P,DAL,10,0,0,9,,,62.2,,,,63.5,,81.0,73.0,0,0,52,0,0,0,29,0,1
Demario Davis,7079,LB,NO,2,0,0,20,,,,,,,60.0,,,64.3,0,0,0,0,0,0,0,2,0
Dennis Kelly,7146,T,NYJ,1,0,0,22,,,60.0,,,,60.6,,,61.4,0,0,4,0,0,0,0,0,0
Randy Bullock,7154,K,NYG,3,0,0,21,,67.9,,,62.2,,60.2,,,62.0,0,0,8,0,12,0,0,0,0
Greg Zuerlein,7163,K,NYJ,9,0,0,22,,90.1,,,78.9,,60.6,,,62.7,0,1,29,0,36,0,0,0,0
Kelvin Beachum,7229,T,ARZ,4,0,0,1,,,61.2,,,,61.6,,,69.2,0,0,12,0,0,0,0,0,0
Johnny Hekker,7252,P,CAR,10,0,1,5,,,61.5,,60.0,,52.1,,57.8,28.8,0,2,35,0,2,0,47,0,0
