player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Thomas Morstead,5088,P,NYJ,10,58,58,4.41,42.02,49.02,11.8,0,0,4,19,22,76.7,21,62,4,0,44.8,306,26,58,255.63,2437,5,2843
Bryan Anger,7072,P,DAL,10,28,28,4.52,45.04,50.79,8.6,0,0,2,9,9,81.0,11,63,1,0,50.0,121,14,28,126.44,1261,2,1422
Johnny Hekker,7252,P,CAR,10,46,46,4.31,43.83,47.26,6.6,0,1,6,18,5,57.8,18,69,2,1,39.1,118,18,46,198.48,2016,2,2174
Sam Martin,7947,P,BUF,11,30,30,4.17,38.27,44.77,11.9,0,0,4,8,4,66.7,10,70,3,0,43.3,155,13,30,125.04,1148,2,1343
Brad Wing,8256,P,PIT,2,11,11,4.48,38.91,45.0,6.8,0,0,0,4,25,58.9,3,52,1,0,36.4,27,4,11,49.3,428,2,495
Tress Way,8358,P,WAS,11,49,49,4.39,42.02,47.43,8.7,0,0,6,15,32,55.5,19,66,0,0,53.1,225,26,49,214.99,2059,2,2324
Bradley Pinion,9598,P,ATL,10,44,44,4.5,41.3,47.84,13.1,0,0,2,13,2,90.1,16,62,8,0,43.2,248,19,44,198.17,1817,2,2105
Riley Dixon,10862,P,DEN,10,39,39,4.28,40.67,45.46,6.4,0,0,3,10,10,62.3,11,68,3,0,51.3,127,20,39,166.77,1586,3,1773
Rigoberto Sanchez,12130,P,IND,10,45,45,4.25,41.47,47.16,10.7,0,0,8,8,14,63.5,20,69,5,0,53.3,256,24,45,191.05,1866,0,2122
Cameron Johnston,12255,P,HST,6,26,26,4.31,43.08,45.96,5.5,0,0,4,10,13,69.5,11,74,1,0,38.5,55,10,26,112.01,1120,1,1195
Corey Bojorquez,27626,P,CLV,10,52,52,4.31,42.6,49.85,11.1,0,0,4,9,8,79.6,19,73,9,0,48.1,277,25,52,223.87,2215,5,2592
Logan Cooke,29214,P,JAX,10,39,39,4.3,44.13,48.62,6.8,0,0,4,11,15,76.9,22,62,6,0,35.9,95,14,39,167.64,1721,4,1896
Tommy Townsend,33007,P,KC,10,35,35,4.52,41.09,47.29,13.1,0,0,6,11,16,66.3,11,68,3,0,34.3,157,12,35,158.13,1438,3,1655
Jake Bailey,33963,P,MIA,10,30,30,4.57,42.3,45.7,6.9,0,0,3,11,17,75.4,11,66,5,0,30.0,62,9,30,137.23,1269,2,1371
Jack Fox,34735,P,DET,10,30,30,4.57,42.37,45.17,5.8,0,0,5,12,11,68.1,20,62,1,0,36.7,64,11,30,137.16,1271,1,1355
Michael Dickson,35381,P,SEA,10,39,39,4.38,43.69,49.49,6.3,0,0,7,5,29,67.8,17,73,2,0,51.3,126,20,39,170.69,1704,5,1930
AJ Cole,36038,P,LV,11,43,43,4.35,47.12,51.88,7.8,0,0,2,15,23,89.8,23,70,6,0,37.2,125,16,43,186.87,2026,4,2231
JK Scott,38809,P,LAC,10,41,41,4.74,40.41,44.32,8.6,0,0,6,17,27,68.8,15,65,2,0,34.1,120,14,41,194.24,1657,2,1817
Mitch Wishnowsky,44663,P,SF,10,31,31,4.41,42.94,48.77,11.5,0,0,6,8,28,73.0,18,67,2,0,45.2,161,14,31,136.81,1331,1,1512
Braden Mann,44664,P,PHI,8,22,22,4.3,41.55,47.91,10.9,0,0,6,4,24,61.0,8,63,0,0,50.0,120,11,22,94.52,914,1,1054
Nolan Cooney,44995,P,ARZ,4,13,13,4.56,40.31,45.54,6.9,0,0,1,3,1,58.4,2,56,1,0,53.8,48,7,13,59.26,524,1,592
Blake Gillikin,45045,P,ARZ,7,30,30,4.3,41.73,50.77,11.8,0,0,3,3,1,65.9,5,66,1,0,76.7,271,23,30,129.03,1252,0,1523
Ryan Stonehouse,52045,P,TEN,10,42,42,4.21,44.45,52.83,11.8,0,0,5,4,31,72.6,23,74,8,0,42.9,212,18,42,176.69,1867,7,2219
Daniel Whelan,57639,P,GB,10,41,41,4.5,39.0,47.61,13.3,0,0,1,16,12,70.9,12,68,0,0,46.3,253,19,41,184.31,1599,5,1952
Jordan Stout,57649,P,BLT,11,44,44,4.29,40.41,48.61,12.8,1,0,3,12,3,73.8,21,67,3,0,50.0,281,22,45,188.62,1778,4,2139
Bryce Baringer,60274,P,NE,10,50,50,4.29,41.94,48.16,9.2,0,0,2,12,19,66.8,24,79,8,0,46.0,211,23,50,214.4,2097,5,2408
Brad Robbins,60291,P,CIN,10,48,48,4.26,40.29,44.79,8.0,0,0,1,20,7,58.6,13,62,6,0,35.4,136,17,48,204.46,1934,4,2150
Trenton Gill,60295,P,CHI,11,39,39,4.32,36.62,45.69,14.7,0,0,6,6,6,60.6,12,62,4,0,51.3,294,20,39,168.4,1428,3,1782
Pressley Harvin III,62973,P,PIT,8,48,48,4.43,40.33,44.81,9.7,0,0,7,13,25,58.6,22,63,8,0,37.5,175,18,48,212.58,1936,2,2151
Jamie Gillan,63303,P,NYG,11,64,64,4.19,43.67,46.8,5.6,0,0,8,22,21,63.7,24,64,6,0,39.1,140,25,64,268.06,2795,3,2995
Ryan Wright,77591,P,MIN,11,35,35,4.4,41.31,48.37,9.1,0,0,2,9,18,66.5,10,63,4,0,40.0,127,14,35,153.91,1446,6,1693
Arryn Siposs,82019,P,PHI,2,8,8,4.32,38.38,43.38,8.0,0,0,1,2,24,59.1,2,54,0,0,62.5,40,5,8,34.59,307,0,347
Jake Camarda,82636,P,TB,10,45,45,4.37,42.49,50.2,12.1,0,0,4,6,30,67.8,21,74,9,0,48.9,267,22,45,196.56,1912,4,2259
Lou Hedley,98796,P,NO,10,49,49,4.03,39.92,43.02,5.1,0,0,6,17,20,54.1,24,62,5,0,36.7,92,18,49,197.34,1956,3,2108
Ty Zentner,99465,P,HST,4,14,14,4.26,38.64,42.14,3.0,0,0,1,5,13,50.8,2,54,3,0,21.4,9,3,14,59.59,541,2,590
Ethan Evans,112090,P,LA,10,38,38,4.39,42.24,48.97,11.4,1,0,3,9,26,71.9,15,72,5,0,50.0,216,19,39,166.88,1605,2,1861
