player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Matt Prater,3471,K,ARZ,11,48,44,69.6,4.2,25.7,15.8,0,2,1,83.9,3340,4,2,0,8.3,63,184.87,41
Nick Folk,3794,K,TEN,10,44,41,64.5,3.81,25.8,19.1,0,1,31,70.7,2838,18,2,0,40.9,344,156.02,25
Thomas Morstead,5088,P,NYJ,1,4,4,68.8,4.18,22.8,11.0,0,1,22,60.0,275,1,0,0,25.0,11,16.73,2
Graham Gano,5443,K,NYG,8,28,27,71.3,3.87,25.4,26.8,0,0,21,81.5,1997,5,0,0,17.9,134,104.53,23
Randy Bullock,7154,K,NYG,3,12,12,66.7,3.74,26.0,29.3,0,1,21,62.2,800,3,0,0,25.0,88,44.86,8
Greg Zuerlein,7163,K,NYJ,8,36,33,72.3,3.95,25.0,24.5,0,1,22,78.9,2604,2,0,0,5.6,49,130.4,33
Johnny Hekker,7252,P,CAR,2,2,0,8.5,,56.5,0.0,0,0,5,60.0,17,2,2,0,100.0,0,0.0,0
Justin Tucker,7604,K,BLT,11,64,61,70.4,4.01,25.1,21.9,0,1,3,84.1,4504,8,0,0,12.5,175,244.69,55
Dustin Hopkins,7958,K,CLV,10,54,53,67.3,4.15,24.8,18.1,0,5,8,57.0,3632,15,0,0,27.8,272,220.0,34
Brandon McManus,8437,K,JAX,10,53,52,69.9,4.04,25.9,26.9,0,4,15,75.0,3707,10,0,0,18.9,269,210.19,39
Brett Maher,8585,K,LA,2,2,0,28.0,,45.0,8.0,0,0,26,60.0,56,2,1,0,100.0,16,0.0,0
Cairo Santos,8932,K,CHI,11,54,51,69.2,4.04,26.2,18.8,0,0,6,85.9,3739,10,2,0,18.5,188,206.01,44
Chris Boswell,8990,K,PIT,10,44,43,69.2,4.01,26.4,25.5,0,2,25,61.9,3044,11,0,0,25.0,280,172.43,31
Bradley Pinion,9598,P,ATL,10,47,45,71.6,3.99,24.6,21.9,0,1,2,83.5,3367,7,0,0,14.9,153,179.47,39
Jason Myers,10207,K,SEA,10,52,50,68.1,3.86,25.2,22.3,0,3,29,66.5,3541,12,0,0,23.1,267,193.2,36
Riley Dixon,10862,P,DEN,1,1,1,67.0,4.95,33.0,20.0,0,0,10,60.0,67,1,0,0,100.0,20,4.95,0
Wil Lutz,11096,K,DEN,10,50,47,71.1,3.85,25.6,11.0,0,0,10,87.3,3553,3,2,0,6.0,33,181.0,46
Ka'imi Fairbairn,11161,K,HST,8,37,36,67.9,4.11,24.6,24.6,0,2,13,79.3,2513,13,0,0,35.1,320,148.06,22
Jake Elliott,11908,K,PHI,10,55,51,70.6,3.97,26.4,30.2,0,0,24,75.8,3881,10,0,0,18.2,302,202.37,45
Harrison Butker,11988,K,KC,10,48,48,73.4,4.13,24.9,25.0,0,0,16,89.5,3524,2,0,0,4.2,50,198.17,46
Rigoberto Sanchez,12130,P,IND,1,1,1,62.0,4.08,40.0,,0,1,14,60.0,62,0,0,0,0.0,0,4.08,0
Dare Ogunbowale,12329,HB,HST,1,6,5,57.7,3.38,24.7,18.0,0,0,13,60.0,346,3,0,0,50.0,54,16.91,3
Austin Seibert,13701,K,NYJ,1,3,2,65.3,4.14,24.7,0.0,0,0,22,60.0,196,1,0,0,33.3,0,8.27,2
