"player","team_name","avg_depth_of_target","contested_receptions","contested_targets","drops","grades_offense","grades_pass_route","inline_snaps","pass_plays","receptions","routes","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","week","join"
"Albert Okwuegbunam","DEN",4,0,0,0,48.9,51.8,4,24,1,21,17,68.8,2,0,3,12,10,10,12,0.57,3,"DEN3"
"Jack Stoll","PHI",0.5,0,0,0,50.7,47.7,12,18,1,15,4,56.3,2,0,1,4,2,2,4,0.27,3,"PHI3"
"Olamide Zaccheaus","ATL",24.5,0,0,0,78,78.1,0,19,2,16,13,118.8,2,0,6,49,0,0,24.5,3.06,3,"ATL3"
"Josh Oliver","BLT",-1.5,1,1,0,71.3,67.6,6,11,2,10,3,122.9,2,1,2,8,12,6,4,0.8,3,"BLT3"
"Hayden Hurst","CIN",3.5,0,0,1,43,48.9,10,22,1,21,5,58.3,2,0,6,7,3,3,7,0.33,3,"CIN3"
"Andy Isabella","ARZ",20,0,0,0,50.3,54.2,0,23,1,22,1,66.7,2,0,22,11,1,1,11,0.5,3,"ARZ3"
"Tyler Davis","GB",1.5,1,1,0,66.8,71.3,6,8,2,7,0,118.8,2,0,2,26,23,11.5,13,3.71,3,"GB3"
"Parris Campbell","IND",2.5,0,0,0,47.6,50.3,0,40,2,38,25,87.5,2,0,15,10,5,2.5,5,0.26,3,"IND3"
"Equanimeous St. Brown","CHI",9,0,0,0,67.9,59.7,0,23,1,23,6,85.4,2,0,17,20,11,11,20,0.87,3,"CHI3"
"Colby Parkinson","SEA",12.5,0,0,0,59.1,66.8,7,20,2,19,13,118.8,2,0,0,44,19,9.5,22,2.32,3,"SEA3"
"DeeJay Dallas","SEA",1,0,0,0,62,74.2,0,12,2,8,1,102.1,2,0,1,17,15,7.5,8.5,2.13,3,"SEA3"
"Michael Carter","NYJ",-2.5,0,0,0,62.8,56.2,6,27,1,19,0,58.3,2,0,0,7,12,12,7,0.37,3,"NYJ3"
"J.K. Dobbins","BLT",2,0,0,0,56.9,59.5,0,17,2,14,5,102.1,2,0,2,17,13,6.5,8.5,1.21,3,"BLT3"
"Noah Gray","KC",4.5,0,0,0,65.5,70.2,8,15,1,13,4,95.8,2,0,2,26,18,18,26,2,3,"KC3"
"Quintin Morris","BUF",7.5,0,0,0,50.2,60.9,6,23,2,20,6,112.5,2,0,8,22,7,3.5,11,1.1,3,"BUF3"
"Laviska Shenault Jr.","CAR",0,0,0,0,95,93.2,1,6,2,6,3,158.3,2,1,2,90,90,45,45,15,3,"CAR3"
"Donovan Peoples-Jones","CLV",10,0,1,0,57.1,56.8,0,28,1,28,8,64.6,2,0,20,10,5,5,10,0.36,3,"CLV3"
"Jalen Tolbert","DAL",19.5,1,1,0,53.6,53.7,0,14,1,14,0,56.3,2,0,14,4,0,0,4,0.29,3,"DAL3"
"Shi Smith","CAR",8,0,0,0,64.1,63.7,0,13,2,13,7,112.5,2,0,6,22,6,3,11,1.69,3,"CAR3"
"Dameon Pierce","HST",0.5,0,0,0,57.3,80.3,0,15,2,9,0,110.4,2,0,0,21,20,10,10.5,2.33,3,"HST3"
"Treylon Burks","TEN",11.5,0,0,1,54.2,52.6,0,29,1,27,5,70.8,2,0,24,13,5,5,13,0.48,3,"TEN3"
"Mike Gesicki","MIA",0,0,0,0,44.7,54.8,3,10,1,7,6,91.7,1,0,1,6,6,6,6,0.86,3,"MIA3"
"Craig Reynolds","DET",2,0,0,0,45.8,61.7,0,7,1,5,0,87.5,1,0,0,5,3,3,5,1,3,"DET3"
"C.J. Uzomah","NYJ",5,1,1,0,47.4,50,15,17,1,13,1,87.5,1,0,1,5,0,0,5,0.38,3,"NYJ3"
"Zander Horvath","LAC",6,0,1,0,57.5,55.3,2,3,0,3,0,39.6,1,0,0,0,0,NA,NA,0,3,"LAC3"
"Chase Edmonds","MIA",3,0,0,0,57.7,33,0,11,1,8,2,91.7,1,0,1,6,3,3,6,0.75,3,"MIA3"
"Alexander Mattison","MIN",2,0,0,0,72.2,57,1,20,1,11,0,118.8,1,0,0,16,14,14,16,1.45,3,"MIN3"
"Jake Tonges","CHI",14,0,0,0,54.1,59.3,0,1,0,1,0,39.6,1,0,1,0,0,NA,NA,0,3,"CHI3"
"Phillip Dorsett","HST",15,0,0,0,71.6,70.6,0,5,1,5,1,118.8,1,0,4,15,0,0,15,3,3,"HST3"
"Nick Chubb","CLV",3,0,0,0,76.9,51.2,0,20,0,14,2,39.6,1,0,6,0,0,NA,NA,0,3,"CLV3"
"Dontrell Hilliard","TEN",0,0,0,0,70,72.6,1,9,1,7,0,118.8,1,0,1,30,30,30,30,4.29,3,"TEN3"
"Grant Calcaterra","PHI",17,0,0,0,91.7,89.7,4,6,1,5,2,118.8,1,0,0,40,23,23,40,8,3,"PHI3"
"Mecole Hardman","KC",-4,0,0,0,51,51,0,30,1,28,13,79.2,1,0,17,2,6,6,2,0.07,3,"KC3"
"Byron Pringle","CHI",7,0,0,0,87.8,78.8,0,1,1,1,0,112.5,1,0,1,11,4,4,11,11,3,"CHI3"
"Marquez Callaway","NO",10,1,1,0,76.2,73.8,0,11,1,10,1,122.9,1,1,10,4,0,0,4,0.4,3,"NO3"
"Kyle Juszczyk","SF",23,0,0,0,59.8,73.9,5,20,1,15,6,118.8,1,0,3,24,1,1,24,1.6,3,"SF3"
"Lil'Jordan Humphrey","NE",12,0,0,0,50,48.8,1,31,0,30,24,39.6,1,0,6,0,0,NA,NA,0,3,"NE3"
"David Bell","CLV",3,0,0,0,51.9,52.5,0,19,1,19,15,91.7,1,0,4,6,3,3,6,0.32,3,"CLV3"
"Darrell Henderson","LA",0,0,0,0,63.3,50.7,0,19,0,15,2,39.6,1,0,4,0,0,NA,NA,0,3,"LA3"
"Cordarrelle Patterson","ATL",-2,0,0,0,81,59.2,0,17,1,11,2,116.7,1,0,3,12,14,14,12,1.09,3,"ATL3"
"Miles Sanders","PHI",-1,0,0,0,54.2,52.3,0,21,1,19,1,79.2,1,0,2,-2,-1,-1,-2,-0.11,3,"PHI3"
"Jaelon Darden","TB",15,0,0,0,66.2,65.2,0,17,1,15,4,118.8,1,0,13,25,10,10,25,1.67,3,"TB3"
"Zack Moss","BUF",-1,0,0,0,71.6,70.2,0,12,1,7,0,91.7,1,0,0,6,7,7,6,0.86,3,"BUF3"
"Alec Ingold","MIA",18,0,0,1,30.6,31.9,1,5,0,5,1,39.6,1,0,1,0,0,NA,NA,0,3,"MIA3"
"Jaylen Warren","PIT",-4,0,0,0,79,94.2,2,8,1,3,0,79.2,1,0,0,3,7,7,3,1,3,"PIT3"
"Adam Trautman","NO",9,0,0,0,63.6,66.1,16,22,1,11,4,104.2,1,0,2,9,0,0,9,0.82,3,"NO3"
"Quez Watkins","PHI",28,0,1,0,50.3,50.5,0,25,0,23,21,39.6,1,0,4,0,0,NA,NA,0,3,"PHI3"
"Jalen Reagor","MIN",-1,0,0,0,61.7,61.1,0,1,1,1,0,79.2,1,0,1,2,3,3,2,2,3,"MIN3"
"Kendall Hinton","DEN",27,0,0,0,63.1,63.2,0,26,1,23,5,118.8,1,0,21,27,0,0,27,1.17,3,"DEN3"
"Justin Watson","KC",15,0,0,0,42.7,45.6,1,9,0,7,5,39.6,1,0,3,0,0,NA,NA,0,3,"KC3"
"Mike Boone","DEN",3,0,0,1,46.9,31.2,0,14,0,11,2,39.6,1,0,0,0,0,NA,NA,0,3,"DEN3"
"Tutu Atwell","LA",51,0,0,0,54.7,56.1,0,3,0,3,0,39.6,1,0,3,0,0,NA,NA,0,3,"LA3"
"Juwan Johnson","NO",13,0,1,0,51.4,49.1,5,29,0,24,16,39.6,1,0,8,0,0,NA,NA,0,3,"NO3"
"Antonio Gibson","WAS",1,0,0,0,66.6,54.7,0,20,1,15,2,79.2,1,0,3,2,1,1,2,0.13,3,"WAS3"
"Tyler Allgeier","ATL",-4,0,0,0,66.2,57.3,0,10,1,8,0,87.5,1,0,1,5,9,9,5,0.63,3,"ATL3"
"Kyle Rudolph","TB",12,0,0,0,76.2,81.1,4,5,1,4,1,116.7,1,0,0,12,0,0,12,3,3,"TB3"
"Rashaad Penny","SEA",-5,0,0,0,66.7,56,0,32,1,25,3,79.2,1,0,8,3,8,8,3,0.12,3,"SEA3"
"Isaiah Likely","BLT",-1,0,0,0,59.1,58.9,3,16,1,16,8,100,1,0,5,8,9,9,8,0.5,3,"BLT3"
"Chris Evans","CIN",4,1,1,0,61.3,60,0,2,1,1,1,83.3,1,0,0,4,0,0,4,4,3,"CIN3"
"Tommy Tremble","CAR",6,0,0,0,43.2,51,11,12,1,12,1,95.8,1,0,0,7,1,1,7,0.58,3,"CAR3"
"JaMycal Hasty","JAX",-6,0,0,1,29.1,39.2,0,2,0,2,2,39.6,1,0,0,0,0,NA,NA,0,3,"JAX3"
"Penny Hart","SEA",7,0,0,0,78.4,75.1,0,3,1,3,0,118.8,1,0,3,15,8,8,15,5,3,"SEA3"
"Darrel Williams","ARZ",-5,0,0,0,58.9,52.5,0,13,0,10,4,39.6,1,0,1,0,0,NA,NA,0,3,"ARZ3"
"Eric Saubert","DEN",16,0,0,0,50.7,47.2,9,13,0,10,4,39.6,1,0,0,0,0,NA,NA,0,3,"DEN3"
"Dax Milne","WAS",6,0,0,0,76.9,73.2,0,4,1,4,3,116.7,1,0,1,12,6,6,12,3,3,"WAS3"
"Jamal Agnew","JAX",6,0,0,0,72.6,71.1,0,5,1,4,2,118.8,1,0,2,17,11,11,17,4.25,3,"JAX3"
"O.J. Howard","HST",18,0,0,1,46,55.3,5,6,0,3,1,39.6,1,0,0,0,0,NA,NA,0,3,"HST3"
"Kalif Raymond","DET",2,0,0,0,52.8,55.6,1,8,1,8,4,83.3,1,0,3,4,2,2,4,0.5,3,"DET3"
"Demarcus Robinson","BLT",10,0,0,0,44.9,45.9,0,11,0,11,3,39.6,1,0,8,0,0,NA,NA,0,3,"BLT3"
"Nick Vannett","NO",4,1,1,0,32.3,60.1,3,3,1,2,0,87.5,1,0,0,5,1,1,5,2.5,3,"NO3"
"Hunter Henry","NE",7,1,1,0,53.5,54.5,11,31,1,28,14,100,1,0,6,8,1,1,8,0.29,3,"NE3"
"Simi Fehoko","DAL",8,1,1,0,81.7,76,0,2,1,2,0,116.7,1,0,2,12,4,4,12,6,3,"DAL3"
"Ezekiel Elliott","DAL",0,0,0,0,74.2,53.3,0,23,1,21,1,79.2,1,0,2,2,2,2,2,0.1,3,"DAL3"
"Patrick Ricard","BLT",1,0,0,0,78.7,72.5,10,18,1,12,1,116.7,1,0,0,12,11,11,12,1,3,"BLT3"
"Trent Sherfield","MIA",3,0,0,0,52.2,54.6,0,19,1,17,13,87.5,1,0,6,5,2,2,5,0.29,3,"MIA3"
"Anthony Firkser","ATL",15,0,0,0,74.1,73.6,2,5,1,5,2,118.8,1,0,1,22,7,7,22,4.4,3,"ATL3"
"Raheem Mostert","MIA",-2,0,0,0,48.2,53.3,0,14,0,11,2,39.6,1,0,0,0,0,NA,NA,0,3,"MIA3"
"Braxton Berrios","NYJ",28,0,0,0,49.4,51.1,0,17,0,16,14,0,1,0,3,0,0,NA,NA,0,3,"NYJ3"
"Ashton Dulin","IND",4,1,1,0,57.4,63.9,0,10,1,9,6,95.8,1,0,4,7,3,3,7,0.78,3,"IND3"
"Ray-Ray McCloud III","SF",8,0,0,0,60.7,68.1,0,7,1,7,4,112.5,1,0,3,11,3,3,11,1.57,3,"SF3"
"River Cracraft","MIA",12,1,1,0,71.2,69.2,0,6,1,6,3,152.1,1,1,3,11,0,0,11,1.83,3,"MIA3"
"Trestan Ebner","CHI",-6,0,0,0,55.7,54.9,0,6,0,6,1,39.6,1,0,0,0,0,NA,NA,0,3,"CHI3"
"Chris Myarick","NYG",3,0,0,0,47.3,54.6,8,12,1,7,4,91.7,1,0,0,6,3,3,6,0.86,3,"NYG3"
"Kendall Blanton","LA",6,0,0,0,94.7,94.9,2,2,1,1,0,118.8,1,0,0,28,22,22,28,28,3,"LA3"
"Mitchell Wilcox","CIN",0,0,0,0,51.2,63.1,13,19,1,13,1,104.2,1,0,4,9,9,9,9,0.69,3,"CIN3"
"Cooper Kupp","LA",5.4,3,5,0,78.3,77.3,0,57,14,56,33,72.1,17,0,24,122,56,4,8.7,2.18,4,"LA4"
"Tyler Higbee","LA",3.8,0,0,0,66.9,70.7,32,52,10,47,11,83.3,14,0,9,73,42,4.2,7.3,1.55,4,"LA4"
"Tyreek Hill","MIA",13.1,1,3,0,79.8,82,3,40,10,37,14,79.5,14,0,21,160,67,6.7,16,4.32,4,"MIA4"
"Justin Jefferson","MIN",11.1,0,1,2,69,71.8,0,44,10,39,8,113.3,13,0,35,147,50,5,14.7,3.77,4,"MIN4"
"Davante Adams","LV",8.3,3,5,0,82.3,83.9,0,39,9,38,11,92.1,13,0,28,101,35,3.9,11.2,2.66,4,"LV4"
"T.J. Hockenson","DET",11.3,2,3,0,90.6,91.9,23,45,8,35,16,116.5,11,2,6,179,109,13.6,22.4,5.11,4,"DET4"
"Mike Williams","LAC",10.9,1,2,0,72.2,72.2,0,40,7,40,9,110.4,10,0,31,120,65,9.3,17.1,3,4,"LAC4"
"Chris Godwin","TB",5.7,2,3,0,71.3,72.1,0,49,7,45,41,85,10,0,8,59,29,4.1,8.4,1.31,4,"TB4"
"Mike Evans","TB",14.6,3,4,0,82.1,80.1,0,53,8,49,12,149.2,10,2,41,103,17,2.1,12.9,2.1,4,"TB4"
"D.K. Metcalf","SEA",16,1,3,1,80.7,82.9,0,31,7,29,6,112.5,10,0,25,149,51,7.3,21.3,5.14,4,"SEA4"
"Travis Kelce","KC",5.8,0,1,0,91.4,90.5,9,39,9,38,16,138.3,10,1,14,92,39,4.3,10.2,2.42,4,"KC4"
"Christian McCaffrey","CAR",1.8,1,1,0,71.9,79.9,0,36,9,32,2,141.2,9,1,3,81,65,7.2,9,2.53,4,"CAR4"
"Adam Thielen","MIN",7.6,0,1,0,68.6,68.4,0,45,8,40,16,100,9,0,29,72,12,1.5,9,1.8,4,"MIN4"
"Marquise Brown","ARZ",11.4,2,2,0,80.3,79.4,0,37,6,33,11,95.8,9,1,26,88,16,2.7,14.7,2.67,4,"ARZ4"
"Tee Higgins","CIN",11,1,1,0,85,84.7,0,31,7,30,7,155.8,9,1,24,124,70,10,17.7,4.13,4,"CIN4"
"Pat Freiermuth","PIT",7.8,1,2,1,82.8,84.7,21,30,7,27,8,66.4,9,0,1,85,27,3.9,12.1,3.15,4,"PIT4"
"D.J. Moore","CAR",7.8,0,0,0,73.1,72.1,1,38,6,37,11,41.2,9,0,26,50,14,2.3,8.3,1.35,4,"CAR4"
"Christian Kirk","JAX",8.9,1,4,3,51.5,51.3,0,27,2,26,13,15.3,9,0,12,60,13,6.5,30,2.31,4,"JAX4"
"Donovan Peoples-Jones","CLV",13.5,1,2,0,65.3,65.9,0,34,5,32,10,91.1,8,0,24,71,12,2.4,14.2,2.22,4,"CLV4"
"Tyler Lockett","SEA",15.6,0,1,0,78.7,75.9,0,31,6,29,12,112,8,0,19,91,12,2,15.2,3.14,4,"SEA4"
"Romeo Doubs","GB",11.8,0,2,0,52.6,54.5,0,36,5,35,2,118.2,8,1,34,47,37,7.4,9.4,1.34,4,"GB4"
"George Pickens","PIT",20,2,4,0,87.5,85.7,0,29,6,26,3,116.7,8,0,26,102,23,3.8,17,3.92,4,"PIT4"
"Allen Lazard","GB",13.8,1,1,0,75.5,80.3,3,37,6,36,11,77.1,8,0,23,116,46,7.7,19.3,3.22,4,"GB4"
"Josh Reynolds","DET",11,3,3,0,84.8,83.4,0,43,7,38,8,148.4,8,1,35,81,15,2.1,11.6,2.13,4,"DET4"
"Deebo Samuel","SF",1.9,0,1,0,81.5,87.7,0,26,6,26,5,158.3,7,1,17,115,106,17.7,19.2,4.42,4,"SF4"
"Drake London","ATL",9.4,0,3,0,61.1,62.3,0,19,2,19,3,0,7,0,16,17,4,2,8.5,0.89,4,"ATL4"
"Brandin Cooks","HST",7,1,1,0,82.4,80.4,0,38,7,34,11,140.2,7,1,27,57,11,1.6,8.1,1.68,4,"HST4"
"Chris Olave","NO",19.4,2,3,0,77,79.6,0,25,4,24,8,129.2,7,1,17,67,2,0.5,16.8,2.79,4,"NO4"
"Cameron Brate","TB",6.7,0,2,1,73.3,72.6,7,21,4,20,12,68.8,7,0,2,32,8,2,8,1.6,4,"TB4"
"CeeDee Lamb","DAL",14.4,0,1,0,75.4,74.6,0,33,6,29,18,158.3,7,1,15,97,36,6,16.2,3.34,4,"DAL4"
"Leonard Fournette","TB",-1.9,1,1,0,63.8,86.4,0,35,7,25,0,140.2,7,1,0,57,70,10,8.1,2.28,4,"TB4"
"Curtis Samuel","WAS",6.9,0,2,0,65.1,64.7,0,40,4,39,34,32.7,7,0,6,38,28,7,9.5,0.97,4,"WAS4"
"A.J. Brown","PHI",12.1,2,3,0,82,81.3,0,30,5,27,6,113.7,7,0,24,95,39,7.8,19,3.52,4,"PHI4"
"JuJu Smith-Schuster","KC",5.6,0,0,0,73.4,70.4,0,32,5,31,19,49.4,7,0,13,46,37,7.4,9.2,1.48,4,"KC4"
"Courtland Sutton","DEN",11,0,1,0,63.3,66.2,0,36,5,31,6,132.1,7,1,30,52,14,2.8,10.4,1.68,4,"DEN4"
"Austin Ekeler","LAC",0.1,0,0,0,67,66.2,0,26,6,24,5,135.4,7,1,2,49,54,9,8.2,2.04,4,"LAC4"
"Jamal Agnew","JAX",10.8,0,0,0,86.7,83.3,0,16,4,15,10,131.9,6,2,6,50,26,6.5,12.5,3.33,4,"JAX4"
"Breece Hall","NYJ",7.2,0,1,2,53.9,29.3,5,29,2,25,0,42.4,6,0,3,12,5,2.5,6,0.48,4,"NYJ4"
"Ja'Marr Chase","CIN",18.3,0,1,0,70,69.3,1,36,4,35,3,109.7,6,0,32,81,12,3,20.3,2.31,4,"CIN4"
"Rashod Bateman","BLT",5.8,0,0,2,47.6,48.7,0,23,3,20,5,56.3,6,0,18,17,0,0,5.7,0.85,4,"BLT4"
"Logan Thomas","WAS",3,1,1,0,62.4,62.7,5,35,5,33,28,79.9,6,0,2,19,7,1.4,3.8,0.58,4,"WAS4"
"Garrett Wilson","NYJ",7.2,0,2,1,54.2,56.6,0,38,2,36,26,58.3,6,0,12,41,20,10,20.5,1.14,4,"NYJ4"
"Dallas Goedert","PHI",1.5,0,0,1,65.6,61.6,12,33,5,30,17,116.7,6,0,4,72,70,14,14.4,2.4,4,"PHI4"
"Corey Davis","NYJ",13.3,1,1,0,80.2,80.9,0,32,5,29,9,157.6,6,1,23,74,17,3.4,14.8,2.55,4,"NYJ4"
"Michael Pittman Jr.","IND",4.7,0,0,0,62.3,61.6,0,39,3,38,14,65.3,6,0,25,31,11,3.7,10.3,0.82,4,"IND4"
"David Njoku","CLV",9.3,0,0,0,70.2,67.3,23,39,5,33,9,117.4,6,0,7,73,30,6,14.6,2.21,4,"CLV4"
"Marquez Callaway","NO",15.2,2,4,0,71.6,70.7,0,31,3,29,0,80.6,6,0,31,53,3,1,17.7,1.83,4,"NO4"
"Gerald Everett","LAC",10.7,2,2,1,72.4,71.1,10,29,5,25,13,148.6,6,1,6,61,8,1.6,12.2,2.44,4,"LAC4"
"Zach Ertz","ARZ",5.8,0,0,0,73.6,65.9,12,38,6,33,19,138.9,6,1,7,47,12,2,7.8,1.42,4,"ARZ4"
"Josh Jacobs","LV",-0.5,0,0,0,88.8,66.3,0,34,5,24,0,88.2,6,0,3,31,35,7,6.2,1.29,4,"LV4"
"Dawson Knox","BUF",10.3,0,1,0,81.5,68,3,30,3,29,19,31.9,6,0,7,40,7,2.3,13.3,1.38,4,"BUF4"
"Terry McLaurin","WAS",16,0,0,0,55.8,55.3,0,44,2,42,6,42.4,6,0,38,15,16,8,7.5,0.36,4,"WAS4"
"Harrison Bryant","CLV",4.7,0,0,0,57.9,52.3,13,25,4,22,8,70.1,6,0,2,18,4,1,4.5,0.82,4,"CLV4"
"Stefon Diggs","BUF",15,0,0,1,62.9,62.2,0,42,4,41,21,100.7,6,0,21,62,10,2.5,15.5,1.51,4,"BUF4"
"Dameon Pierce","HST",-2,0,0,0,76.8,70.8,0,25,6,19,0,79.2,6,0,0,8,20,3.3,1.3,0.42,4,"HST4"
"Alec Pierce","IND",15.5,2,2,0,78.1,81.5,0,17,4,17,1,70.1,6,0,16,80,9,2.3,20,4.71,4,"IND4"
"Mo Alie-Cox","IND",5.2,1,1,0,83.7,89.4,24,29,6,27,4,158.3,6,2,1,85,54,9,14.2,3.15,4,"IND4"
"Marquez Valdes-Scantling","KC",13.6,0,1,1,57.8,60,1,33,3,33,19,104.2,5,0,13,63,18,6,21,1.91,4,"KC4"
"John Bates","WAS",2.6,0,0,0,66.3,58.3,6,15,4,10,8,82.5,5,0,1,19,13,3.3,4.8,1.9,4,"WAS4"
"Noah Brown","DAL",15.6,1,1,0,69.9,70,0,26,3,22,14,102.9,5,0,12,61,14,4.7,20.3,2.77,4,"DAL4"
"Trent Sherfield","MIA",17.6,0,0,0,74.9,74,0,30,4,29,15,112.5,5,0,15,55,3,0.8,13.8,1.9,4,"MIA4"
"Tom Kennedy","DET",13.6,0,1,0,64.7,64.4,0,40,3,34,25,97.1,5,0,15,54,17,5.7,18,1.59,4,"DET4"
"Rhamondre Stevenson","NE",-1,0,0,0,79.5,80.1,0,18,4,13,0,85.8,5,0,0,23,31,7.8,5.8,1.77,4,"NE4"
"Tyler Conklin","NYJ",7.4,0,0,1,58.7,60.8,19,36,3,30,14,55.8,5,0,3,52,24,8,17.3,1.73,4,"NYJ4"
"Devin Duvernay","BLT",9.8,0,1,0,69.3,68.5,0,29,4,26,8,69.6,5,0,21,51,11,2.8,12.8,1.96,4,"BLT4"
"Derrick Henry","TEN",0.4,0,0,2,76.1,29.7,0,15,3,11,0,79.6,5,0,0,33,35,11.7,11,3,4,"TEN4"
"Tyler Boyd","CIN",13.4,1,2,0,66.3,61.6,1,31,2,28,24,74.6,5,0,6,47,10,5,23.5,1.68,4,"CIN4"
"Nico Collins","HST",21.2,1,1,0,68,67,0,32,3,28,1,64.6,5,0,31,82,11,3.7,27.3,2.93,4,"HST4"
"Jaylen Waddle","MIA",10.8,0,1,1,56.9,56.4,0,36,2,33,7,67.9,5,0,29,39,20,10,19.5,1.18,4,"MIA4"
"Darnell Mooney","CHI",21.6,0,0,0,74.4,71.8,0,31,4,31,21,118.8,5,0,10,94,8,2,23.5,3.03,4,"CHI4"
"Rondale Moore","ARZ",10.4,0,0,0,53.1,51.9,0,38,3,33,13,64.6,5,0,24,11,10,3.3,3.7,0.33,4,"ARZ4"
"Devin Singletary","BUF",-1.6,0,0,1,50.1,59.4,0,38,4,33,3,105.8,5,0,8,47,51,12.8,11.8,1.42,4,"BUF4"
"Kalif Raymond","DET",20,1,2,0,51.2,53.4,0,29,3,26,13,83.8,5,0,14,38,3,1,12.7,1.46,4,"DET4"
"Mack Hollins","LV",15.4,0,0,0,61.1,61,0,40,3,39,7,79.6,5,0,33,33,10,3.3,11,0.85,4,"LV4"
"Robbie Anderson","CAR",12,0,0,0,52.7,55.2,0,40,3,39,5,73.8,5,0,35,26,10,3.3,8.7,0.67,4,"CAR4"
"Allen Robinson II","LA",15.2,0,2,0,50.2,50.1,0,56,2,55,10,47.9,5,0,46,7,0,0,3.5,0.13,4,"LA4"
"Mark Andrews","BLT",10,1,1,0,50.9,50.7,3,42,2,38,29,8.3,5,0,10,15,4,2,7.5,0.39,4,"BLT4"
"Rachaad White","TB",0.8,0,0,0,72.4,89.8,0,21,5,17,1,108.3,5,0,0,50,46,9.2,10,2.94,4,"TB4"
"Rex Burkhead","HST",-0.4,0,0,0,75.6,82.6,0,18,5,15,4,138.8,5,1,0,39,41,8.2,7.8,2.6,4,"HST4"
"Tommy Tremble","CAR",9.4,0,0,1,50.9,47.4,17,22,3,20,3,80.4,5,0,0,34,18,6,11.3,1.7,4,"CAR4"
"O.J. Howard","HST",14.6,1,3,0,58.7,55.7,24,29,2,26,2,18.3,5,0,3,27,2,1,13.5,1.04,4,"HST4"
"Jerry Jeudy","DEN",10.6,0,0,1,69.4,68.6,0,35,4,30,24,150.4,5,1,11,53,6,1.5,13.3,1.77,4,"DEN4"
"Isaiah McKenzie","BUF",4.6,1,2,0,65.5,66.1,0,22,4,22,20,123.8,5,1,2,21,5,1.3,5.3,0.95,4,"BUF4"
"Darren Waller","LV",15,0,0,1,51.3,50,11,36,3,34,22,72.1,5,0,3,24,2,0.7,8,0.71,4,"LV4"
"DeVonta Smith","PHI",8.8,0,1,0,57.5,57.4,0,32,3,29,8,82.3,4,0,24,17,0,0,5.7,0.59,4,"PHI4"
"Randall Cobb","GB",15.3,0,0,0,68.9,72.3,0,19,3,18,17,108.3,4,0,2,42,8,2.7,14,2.33,4,"GB4"
"Robert Woods","TEN",6.3,0,0,0,75.9,74,0,25,4,23,7,137.5,4,1,17,30,13,3.3,7.5,1.3,4,"TEN4"
"Nelson Agholor","NE",13,0,0,1,70.4,70.3,0,23,3,22,15,112.5,4,0,8,46,7,2.3,15.3,2.09,4,"NE4"
"Jamison Crowder","BUF",9.5,1,2,1,33.9,37.4,0,9,1,9,8,39.6,4,0,1,7,1,1,7,0.78,4,"BUF4"
"Hunter Henry","NE",7,0,0,0,55.4,55.5,7,19,2,14,9,57.3,4,0,3,13,2,1,6.5,0.93,4,"NE4"
"J.D. McKissic","WAS",-1.3,0,0,0,63.2,55.7,0,30,3,26,7,81.3,4,0,3,16,23,7.7,5.3,0.62,4,"WAS4"
"Joe Mixon","CIN",-2,0,0,0,58.9,68.2,0,27,4,21,1,80.2,4,0,1,13,21,5.3,3.3,0.62,4,"CIN4"
"George Kittle","SF",8,1,1,0,55.4,56.3,16,27,2,26,9,68.8,4,0,2,24,7,3.5,12,0.92,4,"SF4"
"Aaron Jones","GB",-3,0,0,0,74,58.4,0,22,3,15,3,77.1,4,0,1,5,17,5.7,1.7,0.33,4,"GB4"
"Sony Michel","LAC",-1.5,0,0,0,65.5,89.2,0,7,3,5,0,81.3,4,0,0,16,20,6.7,5.3,3.2,4,"LAC4"
"Juwan Johnson","NO",10.5,0,1,0,69.5,69.3,7,20,3,18,11,99,4,0,2,33,4,1.3,11,1.83,4,"NO4"
"Will Dissly","SEA",6.3,1,1,0,71.2,80.9,16,24,4,20,3,146.9,4,1,3,39,17,4.3,9.8,1.95,4,"SEA4"
"Diontae Johnson","PIT",9.3,0,0,0,56.8,56.2,0,36,2,32,6,16.7,4,0,30,11,13,6.5,5.5,0.34,4,"PIT4"
"Kylen Granson","IND",7.3,0,0,0,83.8,91.6,10,17,4,17,4,118.8,4,0,3,62,33,8.3,15.5,3.65,4,"IND4"
"Irv Smith Jr.","MIN",7.3,0,0,0,56.8,57.6,16,33,3,26,6,49,4,0,11,23,14,4.7,7.7,0.88,4,"MIN4"
"Russell Gage","TB",6.8,0,1,0,56.2,56.2,0,37,2,33,5,68.8,4,0,32,24,7,3.5,12,0.73,4,"TB4"
"Dontrell Hilliard","TEN",-0.5,1,1,0,57.1,62.5,0,14,4,12,1,85.4,4,0,1,18,20,5,4.5,1.5,4,"TEN4"
"Hayden Hurst","CIN",1,0,0,0,75.6,74,17,29,3,25,5,132.3,4,1,5,27,20,6.7,9,1.08,4,"CIN4"
"Parris Campbell","IND",5.3,0,0,0,68.8,68.2,0,29,4,28,19,111.5,4,0,10,43,22,5.5,10.8,1.54,4,"IND4"
"Jauan Jennings","SF",8.5,0,0,1,61,62.1,0,12,2,12,8,66.7,4,0,4,22,9,4.5,11,1.83,4,"SF4"
"J.K. Dobbins","BLT",-0.3,0,0,0,72.8,79.8,0,19,4,14,4,129.2,4,1,1,22,23,5.8,5.5,1.57,4,"BLT4"
