"player","team_name","avg_depth_of_target","contested_receptions","contested_targets","drops","grades_offense","grades_pass_route","inline_snaps","pass_plays","receptions","routes","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","week","join"
"Justin Jefferson","MIN",11.5,1,1,0,91.1,91.3,0,34,9,33,12,158.3,10,2,21,184,81,9,20.4,5.58,1,"MIN1"
"Diontae Johnson","PIT",9.8,1,2,0,69.2,68.8,0,40,7,38,1,83.3,10,0,39,55,-1,-0.1,7.9,1.45,1,"PIT1"
"Travis Kelce","KC",10.8,1,1,0,91.9,90,9,34,8,32,11,155.8,9,1,14,121,37,4.6,15.1,3.78,1,"KC1"
"Stefon Diggs","BUF",11.7,1,2,0,81.5,79.2,0,30,8,30,9,155.8,9,1,21,122,27,3.4,15.3,4.07,1,"BUF1"
"Zay Jones","JAX",10.3,1,2,0,69.4,68.6,0,45,6,41,14,87.7,9,0,31,65,23,3.8,10.8,1.59,1,"JAX1"
"Tyler Higbee","LA",2.7,0,0,2,57.4,58.6,22,47,5,46,14,26.9,9,0,11,39,28,5.6,7.8,0.85,1,"LA1"
"Noah Brown","DAL",9.9,1,2,0,69.3,68.7,0,43,5,39,14,40.3,9,0,29,68,24,4.8,13.6,1.74,1,"DAL1"
"Pat Freiermuth","PIT",8.7,0,2,0,74.2,76.2,30,39,5,31,8,83.1,9,0,1,75,29,5.8,15,2.42,1,"PIT1"
"Corey Davis","NYJ",12.6,1,1,1,68.6,67.2,0,46,6,42,8,93.3,9,0,38,77,7,1.2,12.8,1.83,1,"NYJ1"
"Kyle Philips","TEN",8.6,2,2,1,72.5,72,0,25,6,21,17,88.2,9,0,8,66,8,1.3,11,3.14,1,"TEN1"
"Greg Dortch","ARZ",6.8,0,2,0,59.6,63.8,0,44,7,42,36,95.8,9,0,7,63,32,4.6,9,1.5,1,"ARZ1"
"JuJu Smith-Schuster","KC",10.3,0,1,0,55.2,55.7,0,35,6,32,15,105.7,8,0,20,79,26,4.3,13.2,2.47,1,"KC1"
"D.J. Chark Jr.","DET",15.5,2,2,1,66.1,63.9,0,37,4,36,1,110.4,8,1,36,52,16,4,13,1.44,1,"DET1"
