Stallings,9121,0.0108,9121,0.0108
Dahmen,9629,0.0103,9629,0.0103
Jaeger,9629,0.0103,9629,0.0103
Lipsky,9692,0.0102,9692,0.0102
Rai,9692,0.0102,9692,0.0102
Ghim,9851,0.01,9851,0.01
Knox,9851,0.01,9851,0.01
Schwab,9851,0.01,9851,0.01
Stuard,9851,0.01,9851,0.01
Kohles,10171,0.0097,10171,0.0097
McCarthy,10171,0.0097,10171,0.0097
Higgs,10195,0.0097,10195,0.0097
Smotherman,10195,0.0097,10195,0.0097
Redman,10474,0.0095,10474,0.0095
Ryder,10474,0.0095,10474,0.0095
Day,10504,0.0094,10504,0.0094
Scrivener,10504,0.0094,10504,0.0094
Duncan,10606,0.0093,10606,0.0093
Schenk,10606,0.0093,10606,0.0093
Brehm,10709,0.0093,10709,0.0093
Hubbard,10709,0.0093,10709,0.0093
Brown,11050,0.009,11050,0.009
Kisner,11050,0.009,11050,0.009
Hoag,11281,0.0088,11281,0.0088
Long,11281,0.0088,11281,0.0088
Lebioda,11826,0.0084,11826,0.0084
Seiffert,11826,0.0084,11826,0.0084
Hossler,12204,0.0081,12204,0.0081
Theegala,12204,0.0081,12204,0.0081
Chappell,12727,0.0078,12727,0.0078
Hahn,12727,0.0078,12727,0.0078
Hardy,12809,0.0077,12809,0.0077
Thompson,12809,0.0077,12809,0.0077
Hodges,13177,0.0075,13177,0.0075
Whaley,13177,0.0075,13177,0.0075
Reeves,13261,0.0075,13261,0.0075
Wolfe,13261,0.0075,13261,0.0075
Herman,13296,0.0075,13296,0.0075
Taylor,13296,0.0075,13296,0.0075
Armour,13341,0.0074,13341,0.0074
Gligic,13341,0.0074,13341,0.0074
Lower,13397,0.0074,13397,0.0074
Wu,13397,0.0074,13397,0.0074
Skinns,13445,0.0074,13445,0.0074
Tarren,13445,0.0074,13445,0.0074
Bryan,13531,0.0073,13531,0.0073
Mullinax,13531,0.0073,13531,0.0073
Glover,15546,0.0064,15546,0.0064
Cabrera Bello,15546,0.0064,15546,0.0064
Reavie,15546,0.0064,15546,0.0064
Grillo,15546,0.0064,15546,0.0064
Grace,15934,0.0062,15934,0.0062
Higgo,15934,0.0062,15934,0.0062
Kim,16875,0.0059,16875,0.0059
Noh,16875,0.0059,16875,0.0059
Horsfield,19870,0.005,19870,0.005
Wallace,19870,0.005,19870,0.005
Hoffman,24284,0.0041,24284,0.0041
Uihlein,24284,0.0041,24284,0.0041
O'Hair,24284,0.0041,24284,0.0041
Rodgers,24284,0.0041,24284,0.0041
Watney,24284,0.0041,24284,0.0041
Werenski,24284,0.0041,24284,0.0041
Piercy,24284,0.0041,24284,0.0041
B.Wu,24284,0.0041,24284,0.0041
Atwal,33333,0.003,33333,0.003
Aphibarnrat,33333,0.003,33333,0.003
McGreevy,33333,0.003,33333,0.003
Stanley,33333,0.003,33333,0.003
Herbert,33333,0.003,33333,0.003
Kitayama,33333,0.003,33333,0.003
Novak,33333,0.003,33333,0.003
Villegas,33333,0.003,33333,0.003
Bae,42621,0.0023,42621,0.0023
Hagy,42621,0.0023,42621,0.0023
Creel,42621,0.0023,42621,0.0023
Lee,42621,0.0023,42621,0.0023
Percy,42621,0.0023,42621,0.0023
Ramey,42621,0.0023,42621,0.0023
Huh,47337,0.0021,47337,0.0021
Kang,47337,0.0021,47337,0.0021
Gainey,52095,0.0019,52095,0.0019
Byrd,52095,0.0019,52095,0.0019
Kraft,52095,0.0019,52095,0.0019
Martin,52095,0.0019,52095,0.0019
Garrigus,52095,0.0019,52095,0.0019
Hadley,52095,0.0019,52095,0.0019
Tway,52095,0.0019,52095,0.0019
Van Pelt,52095,0.0019,52095,0.0019
Cook,52095,0.0019,68304,0.0015
Dufner,52095,0.0019,68304,0.0015
Knous,91436,0.0011,119776,0.0008
Gutschewski,91436,0.0011,119776,0.0008
Drewitt,91436,0.0011,119776,0.0008
B.Haas,91436,0.0011,119776,0.0008
Trainer,91436,0.0011,119776,0.0008
Points,91436,0.0011,119776,0.0008
Van der Walt,91436,0.0011,119776,0.0008
J.Haas,91436,0.0011,119776,0.0008
