Hovland,915,0.0985,885,0.1015
Morikawa,915,0.0985,885,0.1015
Cantlay,990,0.0917,1054,0.0867
Schauffele,990,0.0917,1054,0.0867
Leishman,1112,0.0825,1232,0.0751
Smith,1112,0.0825,1232,0.0751
Burns,1383,0.0674,1259,0.0736
Horschel,1383,0.0674,1259,0.0736
Palmer,1256,0.0737,1368,0.0681
Scheffler,1256,0.0737,1368,0.0681
Fleetwood,2086,0.0457,2132,0.0448
Garcia,2086,0.0457,2132,0.0448
Lowry,2377,0.0404,2148,0.0445
Poulter,2377,0.0404,2148,0.0445
Gooch,2484,0.0387,2481,0.0387
Homa,2484,0.0387,2481,0.0387
Niemann,2484,0.0387,2484,0.0387
Pereira,2484,0.0387,2484,0.0387
Varner,2854,0.0339,2854,0.0339
Watson,2854,0.0339,2854,0.0339
Hun,3210,0.0302,3210,0.0302
Im,3210,0.0302,3210,0.0302
Hatton,3848,0.0253,3848,0.0253
Willett,3848,0.0253,3848,0.0253
Riley,4042,0.0241,4042,0.0241
Zalatoris,4042,0.0241,4042,0.0241
Bradley,4151,0.0235,4151,0.0235
Steele,4151,0.0235,4151,0.0235
Bramlett,4655,0.021,4655,0.021
McNealy,4655,0.021,4655,0.021
Sigg,5049,0.0194,5049,0.0194
Straka,5049,0.0194,5049,0.0194
McDowell,5682,0.0173,5682,0.0173
Kirk,5682,0.0173,5682,0.0173
Kizzire,5682,0.0173,5682,0.0173
Power,5682,0.0173,5682,0.0173
Todd,5682,0.0173,5682,0.0173
Poston,5682,0.0173,5682,0.0173
Laird,5787,0.017,5787,0.017
Macintyre,5787,0.017,5787,0.017
Merritt,5789,0.017,5789,0.017
Streb,5789,0.017,5789,0.017
Clark,6488,0.0152,6488,0.0152
Tringale,6488,0.0152,6488,0.0152
Hadwin,6610,0.0149,6610,0.0149
Svensson,6610,0.0149,6610,0.0149
Rose,7261,0.0136,7261,0.0136
Mitchell,7261,0.0136,7261,0.0136
Stenson,7261,0.0136,7261,0.0136
Snedeker,7261,0.0136,7261,0.0136
Noren,7378,0.0134,7378,0.0134
Norlander,7378,0.0134,7378,0.0134
Moore,7392,0.0133,7392,0.0133
NeSmith,7392,0.0133,7392,0.0133
Bezuidenhout,8058,0.0123,8058,0.0123
Schwartzel,8058,0.0123,8058,0.0123
Barjon,8987,0.011,8987,0.011
Hoge,8987,0.011,8987,0.011
Buckley,9050,0.0109,9050,0.0109
Smalley,9050,0.0109,9050,0.0109
Garnett,9121,0.0108,9121,0.0108
