"","G","G","G","G","G","G"
"1",22188973,22188979,22188982,22189090,22189091,22189094
"2",22188975,22188979,22188982,22189082,22189083,22189091
"3",22188975,22188979,22188982,22189088,22189090,22189091
"4",22188973,22188979,22188987,22189067,22189088,22189090
"5",22188973,22188975,22189024,22189045,22189066,22189067
"6",22188973,22188979,22189019,22189024,22189070,22189071
"7",22188973,22188978,22189024,22189040,22189061,22189066
"8",22188973,22188985,22188987,22189070,22189071,22189078
"9",22188985,22188987,22188990,22189019,22189024,22189078
"10",22188985,22188987,22188990,22189013,22189054,22189058
"11",22188983,22188987,22188990,22189036,22189040,22189045
"12",22188983,22188990,22188995,22189013,22189036,22189060
"13",22188983,22188990,22188995,22189013,22189036,22189055
"14",22188991,22188995,22188998,22189012,22189013,22189036
"15",22188991,22188994,22188998,22189012,22189017,22189040
"16",22188991,22188994,22188998,22189012,22189017,22189031
"17",22188994,22189000,22189003,22189009,22189015,22189017
"18",22188994,22189003,22189006,22189007,22189009,22189015
"19",0,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA
