,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Rangers,2022-03-22 19:00:00,-155,12.90,-1.5,30.00,6.0,19.05,58.8,3.8,2.3
Devils,2022-03-22 19:00:00,135,27.00,1.5,11.76,6.0,17.39,41.2,2.3,3.8
Blue Jackets,2022-03-22 19:00:00,245,49.00,1.5,20.00,6.5,19.05,27.7,2.5,4.0
Penguins,2022-03-22 19:00:00,-310,6.45,-1.5,16.67,6.5,17.39,72.3,4.0,2.5
Blues,2022-03-22 19:00:00,120,24.00,1.5,10.26,6.0,16.67,43.8,2.3,3.8
Capitals,2022-03-22 19:00:00,-140,14.29,-1.5,33.00,6.0,20.00,56.2,3.8,2.3
Lightning,2022-03-22 19:00:00,-105,19.05,1.5,7.69,5.5,16.67,48.9,2.0,3.5
Hurricanes,2022-03-22 19:00:00,-115,17.39,-1.5,42.00,5.5,20.00,51.1,3.5,2.0
Flyers,2022-03-22 19:30:00,125,25.00,1.5,10.26,6.0,18.18,42.9,2.3,3.8
Red Wings,2022-03-22 19:30:00,-145,13.79,-1.5,33.00,6.0,18.18,57.1,3.8,2.3
Senators,2022-03-22 19:30:00,210,42.00,1.5,16.67,5.5,16.67,30.9,2.0,3.5
Islanders,2022-03-22 19:30:00,-260,7.69,-1.5,20.00,5.5,20.00,69.1,3.5,2.0
Golden Knights,2022-03-22 20:00:00,115,23.00,1.5,8.89,6.0,18.18,44.7,2.3,3.8
Jets,2022-03-22 20:00:00,-135,14.81,-1.5,37.00,6.0,18.18,55.3,3.8,2.3
Oilers,2022-03-22 20:30:00,120,24.00,1.5,10.26,6.0,16.67,43.8,2.3,3.8
Stars,2022-03-22 20:30:00,-140,14.29,-1.5,33.00,6.0,20.00,56.2,3.8,2.3
Sharks,2022-03-22 21:00:00,235,47.00,1.5,18.18,6.0,20.00,28.6,2.3,3.8
Flames,2022-03-22 21:00:00,-295,6.78,-1.5,18.18,6.0,16.67,71.4,3.8,2.3
Kraken,2022-03-22 22:00:00,100,20.00,1.5,8.33,6.0,19.05,47.8,2.3,3.8
Coyotes,2022-03-22 22:00:00,-120,16.67,-1.5,39.00,6.0,17.39,52.2,3.8,2.3
Predators,2022-03-22 22:30:00,100,20.00,1.5,7.84,6.0,19.05,47.8,2.3,3.8
Kings,2022-03-22 22:30:00,-120,16.67,-1.5,41.00,6.0,17.39,52.2,3.8,2.3
