player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Nichel Herron,12538,LB,ALCORN ST,3,1,0,66.7,0,0,107,39.5,47.1,76.8,52.7,63.1,58.0,0,1,0,13,12.5,1,0,0,91.7,4,0,58,0,29,72,3,0,0,3,0,0,69,6,37,11,4,6,6,1,0,49,26,12.3
Taurence Wilson,12965,CB,ALCORN ST,3,0,0,77.8,0,0,107,54.0,52.9,80.2,,49.6,64.2,0,0,0,40,14.3,1,1,1,113.4,7,0,3,120,69,130,3,0,0,3,0,0,127,0,61,3,1,6,9,0,0,101,31,14.4
Jaylan Foster,13095,S,S CAROLINA,8,9,0,60.0,0,2,289,82.8,75.6,35.2,85.4,57.9,59.1,0,0,5,28,18.9,14,1,1,83.3,12,2,188,2,228,483,3,0,0,3,0,205,480,5,250,85,19,51,20,2,4,150,94,12.5
Joshua Carter,19821,CB,SAMFORD,5,0,0,66.7,0,0,282,56.9,60.0,79.7,58.6,70.7,46.3,0,0,0,15,25.0,1,0,0,129.2,4,0,5,40,42,86,5,0,0,5,0,1,81,1,43,35,1,3,6,0,1,46,23,11.5
Armond Lloyd,19822,DI,SAMFORD,6,4,0,,0,0,282,61.6,63.8,82.3,53.1,67.4,52.0,0,1,0,,11.8,2,0,0,0.0,0,0,0,0,1,224,224,26,194,0,4,0,0,104,119,0,7,11,0,1,0,0,0,
Coutrell Plair,20191,CB,SAMFORD,4,3,0,61.1,0,1,282,66.9,67.7,81.4,,67.7,74.5,0,0,0,51,6.7,1,3,1,105.8,11,0,7,194,119,203,2,0,0,2,0,0,201,0,84,0,1,11,18,0,1,148,64,13.5
Rashun Freeman,21870,CB,CHATTNOOGA,6,5,0,53.6,0,1,137,86.2,84.2,85.8,60.1,72.1,73.0,0,2,1,17,10.0,2,2,0,44.9,15,0,45,5,163,294,16,0,0,16,0,3,278,12,119,225,7,13,28,2,0,88,57,5.9
Mark Williams,21922,CB,LA MONROE,7,2,0,81.8,0,1,209,70.1,69.6,82.8,55.6,62.8,43.9,0,0,1,55,24.2,8,2,1,95.3,18,0,12,288,196,303,3,0,0,3,0,0,300,2,105,0,9,23,22,0,1,171,62,9.5
Jerrell Lawson,22006,S,CHATTNOOGA,6,6,0,46.2,0,0,137,88.8,90.1,85.4,55.1,87.2,84.2,0,0,3,30,6.5,3,0,0,57.4,6,0,131,1,233,399,1,0,0,1,0,223,398,3,163,43,15,37,13,0,1,96,30,16.0
Oshea Trujillo,22177,LB,IDAHO ST,8,7,1,75.8,0,4,186,79.6,78.3,90.7,61.0,76.6,37.0,2,4,1,65,24.3,17,2,0,96.7,25,0,76,6,247,519,161,0,0,161,0,1,358,40,232,275,18,46,33,6,1,269,210,10.8
