"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"1","Scottie Scheffler",21880896,11000,92.62,70.61,9.5,88,32,0.8498,0.0404,0.6926,0.5587,0.3607,0.2188,0.1444,0.0556,1,0.0948,108,5.05,-1.03,-0.15,9,2022-04-10,"The Masters"
"2","Jon Rahm",21880897,10800,84.94,82.14,18.1,97.5,65.5,0.8803,0.041,0.7487,0.625,0.4303,0.2736,0.1927,0.0828,27,0.1721,53.5,7.67,2.08,0.31,18,2022-04-10,"The Masters"
"3","Dustin Johnson",21880898,10500,72.9,70.62,13.8,89,32.5,0.8029,0.0226,0.5942,0.4497,0.2633,0.148,0.0952,0.0345,12,0.0952,66.5,3.29,-1.6,-0.24,14,2022-04-10,"The Masters"
"4","Justin Thomas",21880899,10300,104.15,79.14,22.6,96.5,62,0.8703,0.0424,0.7345,0.6056,0.4058,0.2548,0.1725,0.0725,8,0.2597,79.5,7.04,2.59,0.39,23,2022-04-10,"The Masters"
"5","Collin Morikawa",21880900,10200,89,67.94,9,87,30.43,0.7542,0.0166,0.503,0.3517,0.1826,0.0931,0.0556,0.0182,5,0.0915,85,1.78,-2.47,-0.37,9,2022-04-10,"The Masters"
"6","Viktor Hovland",21880901,10100,98.35,72.25,8.5,89.57,52.93,0.8118,0.0223,0.61,0.4618,0.268,0.1464,0.0912,0.0323,27,0.1071,64.5,3.2,-0.84,-0.13,8,2022-04-10,"The Masters"
"7","Rory McIlroy",21880902,10000,87.89,70.36,11.6,88.5,32,0.8365,0.0265,0.6571,0.5192,0.3226,0.1896,0.1241,0.0487,2,0.1005,94.5,4.87,1.02,0.15,12,2022-04-10,"The Masters"
"8","Cameron Smith",21880903,9900,98.69,68.85,21.8,86.5,30.93,0.8295,0.032,0.6465,0.5023,0.3088,0.1816,0.1179,0.0449,3,0.217,97.5,4.54,0.88,0.13,22,2022-04-10,"The Masters"
"9","Jordan Spieth",21880904,9800,69.28,65.4,13.2,84.5,28.5,0.7474,0.0158,0.4958,0.3499,0.1829,0.092,0.0546,0.0182,100,0.1245,21.5,1.86,-1.62,-0.24,13,2022-04-10,"The Masters"
"10","Xander Schauffele",21880905,9600,88.5,75,15.6,92,58.5,0.816,0.0196,0.6096,0.459,0.2641,0.1426,0.0874,0.0303,100,0.1563,12.5,3.16,0.02,0,16,2022-04-10,"The Masters"
"11","Patrick Cantlay",21880906,9500,94.75,73.8,10.5,91.5,56.5,0.8333,0.0235,0.6488,0.5058,0.3064,0.1777,0.1157,0.0435,39,0.1274,44.5,4.58,1.61,0.24,11,2022-04-10,"The Masters"
"12","Brooks Koepka",21880907,9400,61.38,63.93,20.5,85,28,0.7748,0.0166,0.5404,0.3902,0.2091,0.111,0.0673,0.0216,100,0.2059,16.5,2.3,-0.52,-0.08,20,2022-04-10,"The Masters"
"13","Hideki Matsuyama",21880908,9300,88.75,64.71,1.8,85,28,0.8092,0.0321,0.6065,0.4594,0.2717,0.151,0.0968,0.0347,14,0.0392,61.5,3.73,1.06,0.16,2,2022-04-10,"The Masters"
"14","Will Zalatoris",21880909,9200,73.45,64.22,12.8,84.5,27,0.792,0.0166,0.5652,0.4157,0.231,0.1223,0.0759,0.0252,6,0.1358,83,2.74,0.21,0.03,13,2022-04-10,"The Masters"
"15","Bryson DeChambeau",21880910,9100,63.38,60.97,3.4,82,26.5,0.6946,0.0157,0.417,0.273,0.1297,0.0604,0.0339,0.0102,100,0.0228,12,1.12,-1.28,-0.19,3,2022-04-10,"The Masters"
"16","Daniel Berger",21880911,9000,87,71.48,9.7,88.57,52.5,0.7708,0.0191,0.5341,0.3804,0.2001,0.1013,0.0604,0.0191,50,0.0783,48.5,2.12,-0.15,-0.02,10,2022-04-10,"The Masters"
"17","Shane Lowry",21880913,8800,69.39,66.97,14.8,85.5,29.5,0.7762,0.023,0.5476,0.3957,0.2164,0.1098,0.0668,0.0212,3,0.0967,89,2.41,0.37,0.06,15,2022-04-10,"The Masters"
"18","Talor Gooch",21880914,8700,84.82,59.26,3.9,81.5,26.5,0.6915,0.0139,0.4031,0.2628,0.1222,0.0534,0.0291,0.0091,14,0.0352,57.5,1.05,-0.89,-0.13,4,2022-04-10,"The Masters"
"19","Sam Burns",21880915,8600,86.88,66.29,12.4,85.07,29.43,0.7553,0.0169,0.5102,0.3614,0.1928,0.099,0.0598,0.0194,100,0.1359,22.5,2.26,0.43,0.06,12,2022-04-10,"The Masters"
