tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Grillo, Emiliano",12808,7700,0.1141,1,0,0,0,0,77.5,30,107.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Hall, Harry",27194,6300,0.0107,T3,3,3,0,0,71.0,18,95.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Scheffler, Scottie",18417,11500,0.4169,T3,0,3,5,0,66.5,18,92.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Haley II, Paul",16039,6000,0.0006,5,6,0,0,0,69.0,14,89.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Schenk, Adam",19477,6800,0.0095,2,0,3,0,0,65.0,20,88.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Hubbard, Mark",16333,6600,0.054,T9,0,0,0,5,64.0,8,77.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Fowler, Rickie",12965,8900,0.1383,T6,0,0,0,0,65.0,12,77.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"English, Harris",14577,7800,0.0577,T12,0,3,5,0,62.5,6,76.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Homa, Max",17538,10100,0.0917,T9,0,0,0,0,66.0,8,74.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Kim, Michael",17543,6700,0.0258,T6,0,6,0,0,56.0,12,74.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Smotherman, Austin",22985,6400,0.0022,T21,6,0,0,0,62.5,4,72.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Burns, Sam",19483,9700,0.0739,T6,0,0,0,0,60.5,12,72.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Streelman, Kevin",8480,6500,0.0141,T9,0,0,0,0,61.0,8,69.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Fox, Ryan",11889,7500,0.0477,T21,6,0,0,0,58.5,4,68.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Rai, Aaron",18554,7000,0.0324,T12,0,0,0,0,62.0,6,68.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Hovland, Viktor",18841,10600,0.1514,T16,0,0,0,0,62.5,5,67.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Rose, Justin",6093,9300,0.1687,T12,0,3,0,0,57.5,6,66.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Suh, Justin",22050,7100,0.0653,T16,0,0,0,0,61.0,5,66.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Young, Carson",23656,6300,0.0861,T21,0,0,0,0,61.5,4,65.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Hodges, Lee",25157,6600,0.0205,T29,0,3,0,0,59.5,3,65.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Morikawa, Collin",22085,10400,0.139,T29,0,0,0,0,62.0,3,65.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Straka, Sepp",17511,7000,0.1124,T29,3,0,0,0,58.5,3,64.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Lipsky, David",15980,6200,0.007,T16,0,0,0,0,59.0,5,64.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"An, Byeong Hun",14459,7900,0.0448,T21,3,0,0,0,56.5,4,63.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Stevens, Sam",25569,7100,0.0301,T29,3,0,0,0,57.0,3,63.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Kim, Si Woo",14609,9000,0.0531,T29,3,0,0,0,57.0,3,63.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Detry, Thomas",14181,7400,0.0704,T21,0,0,0,0,58.5,4,62.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Ramey, Chad",19840,6300,0.0057,T12,0,6,0,0,49.5,6,61.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Martin, Ben",14007,6800,0.0565,T57,0,0,0,0,61.0,0,61.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Eckroat, Austin",26653,6700,0.0537,T16,0,0,0,0,56.0,5,61.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Gordon, Will",26660,7000,0.0195,T52,3,0,0,0,57.0,0,60.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Griffin, Ben",24968,6800,0.0312,T52,0,0,0,0,60.0,0,60.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Shelton, Robby",18635,6400,0.0254,T29,0,6,0,0,51.0,3,60.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Horschel, Billy",11276,7400,0.0355,T40,0,0,0,0,58.0,2,60.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Henley, Russell",14578,8800,0.0735,T16,0,0,0,0,54.5,5,59.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Novak, Andrew",23475,6400,0.0144,T40,0,3,0,0,54.0,2,59.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Compton, Erik",6556,6000,0.0051,T63,0,0,0,0,58.5,0,58.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Reavie, Chez",7961,6900,0.0383,T40,3,0,0,0,53.5,2,58.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Kitayama, Kurt",21891,7900,0.0872,T29,0,3,0,0,52.5,3,58.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Harman, Brian",8825,8200,0.0785,T29,0,3,0,0,51.5,3,57.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Bhatia, Akshay",26096,6700,0.0953,56,3,0,0,0,54.5,0,57.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Baddeley, Aaron",6252,6400,0.0309,T21,0,0,0,0,53.5,4,57.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Putnam, Andrew",14704,7100,0.0904,T29,0,0,0,0,54.5,3,57.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Bezuidenhout, Christiaan",18103,7700,0.1234,T21,0,0,0,0,53.5,4,57.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Malnati, Peter",14926,6100,0.0013,T29,3,0,0,0,51.0,3,57.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Walker, Jimmy",7293,6500,0.0211,T40,3,0,0,0,52.0,2,57.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Hickok, Kramer",21237,6000,0.0057,T21,0,0,0,0,52.0,4,56.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Noren, Alex",10419,6800,0.0188,T29,0,0,0,0,53.0,3,56.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Smalley, Alex",18474,7600,0.0448,T40,0,0,0,0,53.0,2,55.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Piercy, Scott",7899,6400,0.0096,T40,0,0,0,0,53.0,2,55.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Hoge, Tom",15575,8500,0.0485,T52,0,0,0,0,54.5,0,54.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Hardy, Nick",19865,6700,0.0056,T48,0,0,0,0,52.5,1,53.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Lee, Min Woo",16841,8400,0.0393,T40,0,0,0,0,51.0,2,53.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"McNealy, Maverick",18634,7300,0.022,T52,0,0,0,0,52.0,0,52.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Schwab, Matthias",15016,6100,0.0017,T70,0,0,0,0,52.0,0,52.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Lower, Justin",17723,6100,0.0072,T57,0,0,0,0,51.5,0,51.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Gribble, Cody",17508,6000,0.0046,T63,0,0,0,0,51.5,0,51.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Jaeger, Stephan",16394,8100,0.101,T68,3,0,0,0,47.5,0,50.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Norrman, Vincent",22535,7000,0.0325,T48,0,0,0,0,49.0,1,50.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Kizzire, Patton",13470,6500,0.0174,T48,0,0,0,0,49.0,1,50.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Dou, Zecheng",16757,6400,0.0135,T63,0,0,0,0,49.5,0,49.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"List, Luke",7960,6900,0.0034,T57,0,0,0,0,49.0,0,49.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Dahmen, Joel",14509,7000,0.021,T68,0,0,0,0,48.0,0,48.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Donald, Luke",4163,6200,0.0004,T40,0,0,0,0,46.0,2,48.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Rodgers, Patrick",16283,7500,0.0824,T57,0,0,0,0,47.5,0,47.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"NeSmith, Matt",16433,7100,0.0627,T48,0,0,0,0,46.0,1,47.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Todd, Brendon",12425,7800,0.1291,T57,0,0,0,0,46.5,0,46.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Lee, K.H.",13497,8300,0.081,T57,0,0,0,0,44.0,0,44.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Spaun, J.J.",17536,7600,0.0295,T63,0,0,0,0,42.5,0,42.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Champ, Cameron",23542,6800,0.0067,T63,0,0,0,0,40.5,0,40.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Hossler, Beau",15470,7300,0.0944,T70,0,0,0,0,35.0,0,35.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Knox, Russell",13831,6100,0.0043,72,0,0,0,0,32.0,0,32.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Buckley, Hayden",25363,7300,0.1209,CUT,0,0,0,0,27.5,0,27.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Davis, Cam",17786,8600,0.1416,CUT,0,3,0,0,24.0,0,27.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Lashley, Nate",10943,6900,0.0483,CUT,0,0,0,0,26.0,0,26.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Riley, Davis",19872,7400,0.0438,CUT,0,0,0,0,25.5,0,25.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Im, Sungjae",17488,9500,0.1877,CUT,0,0,0,0,25.5,0,25.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Hammer, Cole",19864,6100,0.0032,CUT,0,0,0,0,25.0,0,25.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Wallace, Matt",20706,6700,0.0077,CUT,0,0,0,0,25.0,0,25.0
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Bramlett, Joseph",14698,7100,0.0392,CUT,0,0,0,0,24.5,0,24.5
pga,2023,2023,Charles Schwab Challenge,21,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Alexander, Tyson",14002,6000,0.0006,CUT,0,0,0,0,24.0,0,24.0
