"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"11","Chris Kirk",28078706,9100,68.68,69.86,10.8,90.5,30,64.3,4.7,69,0.16,14.24,0.164,76,0.322,5,0.359,48,0.088,117,0.932,42,-2.663,250,0.032,94,0.955,38,-0.019,-0.019,0.048,-0.033,0.226,0.043,-0.006,0.07,0.107,1.265,0.7797,0.365,0.2058,0.111,0.023,2.53,0.02,12.52,69.43,1.59,7.16,0,20,1,2023-05-25,"2023-05-25 Charles Schwab"
"12","Si Woo Kim",28078707,9000,68.92,69.11,8.4,90.5,29,63,4.4,67.4,0.08,7.8,0.061,134,0.174,51,0.501,27,0.315,61,1.052,34,-3.293,257,0.073,18,0.925,27,0.017,-0.01,0.013,0.106,-0.027,0.052,-0.013,0.051,0.091,1.115,0.763,0.3311,0.1795,0.0939,0.0181,2.01,-0.34,8.1,68.25,1.34,5.86,0,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"13","Rickie Fowler",28078708,8900,74.14,69.58,17.3,90.5,29.5,64.3,4.8,69.1,0.28,14.55,0.245,51,0.181,48,0.574,23,0.278,70,1.278,20,6.935,88,0.018,133,1.219,34,-0.006,-0.017,0.058,0.025,-0.001,-0.106,-0.003,0.073,-0.035,1.242,0.7727,0.3584,0.2033,0.1088,0.0216,2.43,0.22,15.93,69.34,1.4,6.41,0,20,1,2023-05-25,"2023-05-25 Charles Schwab"
"14","Russell Henley",28078709,8800,59.62,68.45,10.5,90,28.5,65.3,4.9,70.3,0.43,15.05,-0.018,192,0.263,17,0.628,18,0.327,55,1.201,26,-5.39,307,0.111,2,1.193,34,-0.005,-0.058,0.001,0.07,-0.029,0.085,-0.019,0.059,0.124,1.296,0.7845,0.3759,0.2146,0.1153,0.024,2.73,0.66,12.78,69.38,1.95,9.11,0,20,1,2023-05-25,"2023-05-25 Charles Schwab"
"15","Denny McCarthy",28078710,8700,67.83,63.75,7.8,86.5,27,63.2,4.4,67.6,0.26,11.5,0.565,4,0.192,41,0.174,90,0.057,129,0.988,39,-3.76,270,0.027,105,1.111,30,0.009,-0.02,-0.022,-0.09,-0.02,0.059,-0.005,0.09,0.145,1.113,0.7653,0.3322,0.1818,0.0923,0.0177,2.03,0.08,9.65,65.67,1.44,6.52,0,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"16","Cameron Davis",28078711,8600,58.09,67.81,18.7,88.5,29,60.1,3.6,63.7,-0.01,15.6,0.038,152,0.109,73,0.268,64,0.552,21,0.968,40,11.418,38,-0.041,321,0.727,28,0.016,0.058,-0.006,0.173,0.032,-0.175,0.007,0.027,-0.141,0.858,0.7222,0.2732,0.1395,0.0681,0.0113,1.31,-0.52,17.15,65.75,0.12,0.28,0,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"17","Tom Hoge",28078712,8500,69.33,61.09,6.1,84,26.5,57.3,3.1,60.4,-0.14,5.66,0.119,101,-0.036,204,0.48,30,-0.035,158,0.528,74,-1.876,236,0.038,79,0.687,34,-0.005,-0.021,0.007,-0.141,0.029,0.03,-0.007,0.035,0.058,0.616,0.6753,0.2179,0.104,0.0481,0.0075,0.88,-0.84,5.88,60.75,0.38,1.29,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"18","Min Woo Lee",28078713,8400,65.59,55.37,7.4,80,25,55.3,2.6,57.9,-0.24,5.09,0.442,14,0.27,13,-0.316,270,0.255,74,0.651,63,17.06,9,-0.048,339,0.447,24,0.028,0.045,0.002,0.128,-0.026,-0.262,0.008,0.053,-0.201,0.424,0.639,0.1828,0.0841,0.0379,0.0055,0.65,-0.96,6.24,56.63,0.68,2.58,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"19","Kyoung-Hoon Lee",28078714,8300,69.44,66.49,7.8,88,28,60.4,3.8,64.1,0.19,5.19,0.189,70,0.112,72,0.379,42,0.216,80,0.896,43,1.168,182,0.032,95,0.9,31,0.003,0.001,-0.021,0.012,-0.035,-0.017,-0.005,0.051,0.029,0.89,0.7245,0.274,0.1401,0.068,0.0125,1.51,0,6.5,65.29,0.91,4.1,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"20","Brian Harman",28078715,8200,62.06,62.28,6.5,85,27,61.6,4,65.7,0.37,8.02,0.108,108,0.082,99,0.13,106,0.37,44,0.691,58,-4.363,289,0.068,23,0.705,36,-0.013,-0.106,-0.023,0.127,0.206,0.069,-0.012,0.027,0.084,0.98,0.7389,0.2976,0.159,0.0803,0.0149,1.82,0.41,7.26,63.99,0.63,3.04,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"21","Stephan Jaeger",28078716,8100,66.1,65.17,12.2,87.5,27.5,61.1,3.9,64.9,0.36,8.31,-0.068,226,0.266,15,0.45,33,0.377,42,1.026,35,3.402,144,-0.006,206,0.74,33,-0.005,0.053,-0.02,0.258,-0.036,-0.051,0.001,0.043,-0.007,0.983,0.7333,0.295,0.1546,0.0773,0.0131,1.62,0.3,10.25,65.03,0.92,4.29,0,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"22","Taylor Moore",28078717,8000,61.84,61.66,10.1,84.5,27,58.5,3.3,61.9,0.16,7.21,0.351,30,0.008,166,0.194,83,0.319,56,0.872,45,6.016,99,0.006,167,0.877,29,0.01,0.021,0.003,-0.039,-0.043,-0.091,-0.001,0.047,-0.046,0.783,0.7118,0.2538,0.1264,0.0609,0.0099,1.24,0,8.65,61.78,0.41,1.84,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"23","Kurt Kitayama",28078718,7900,55.54,61.19,10.4,84.35,26.5,57.3,3,60.3,0.09,7.45,0.074,125,0.108,74,0.42,37,0.11,108,0.711,55,10.595,44,-0.042,326,0.648,30,0.008,0.043,0,0.012,-0.001,-0.162,0.007,0.039,-0.116,0.593,0.6732,0.2193,0.1059,0.0496,0.0083,1.05,-0.11,8.93,60.74,0.31,1.34,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"24","Byeong Hun An",28078719,7900,65.22,63.28,5.8,85,27,56.1,2.8,58.9,-0.02,2.5,-0.157,289,0.271,12,0.252,68,0.351,50,0.717,54,14.641,19,-0.072,394,0.451,31,0.004,0.002,-0.005,0.265,-0.026,-0.225,0.012,0.021,-0.191,0.5,0.654,0.1912,0.0905,0.041,0.0066,0.84,-0.32,4.15,61.09,0.22,0.83,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"25","Brendon Todd",28078720,7800,63.71,54.35,9,79,25,58.8,3.3,62.1,0.29,13.17,0.564,5,0.333,2,-0.042,163,-0.515,325,0.341,95,-18.189,410,0.092,10,0.76,37,-0.019,-0.112,0.011,-0.3,0.098,0.282,-0.016,0.095,0.362,0.801,0.7085,0.2571,0.1282,0.0623,0.0098,1.26,0.17,11.09,58.23,2.08,9.45,0,20,1,2023-05-25,"2023-05-25 Charles Schwab"
"26","Harris English",28078721,7800,57.5,42.57,4.5,69,22,56.4,2.8,59.2,0.05,8.87,0.382,24,0.233,32,0.043,129,-0.383,296,0.274,101,-2.248,243,0.022,122,0.439,33,-0.004,-0.025,-0.045,-0.091,0.15,0.036,-0.004,0.067,0.099,0.523,0.661,0.2024,0.0977,0.0447,0.0073,0.94,-0.15,6.68,50.89,1.17,5.19,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"27","Christiaan Bezuidenhout",28078722,7700,63.74,56.2,8.1,80.5,25.5,55.9,2.8,58.7,0.06,12,0.325,32,0.122,69,0.222,75,-0.311,264,0.358,92,-9.197,346,0.045,66,0.501,29,0.013,-0.055,-0.005,-0.097,0.008,0.143,-0.008,0.061,0.196,0.562,0.6633,0.1984,0.0944,0.0422,0.0065,0.84,-0.19,10.05,57.45,0.97,4.27,0,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"28","Emiliano Grillo",28078723,7700,62.37,63.1,9.7,85.5,27.5,55.8,2.8,58.6,0.05,9.97,-0.019,194,-0.067,230,0.337,52,0.156,93,0.406,90,2.337,163,0.036,83,0.489,30,0.007,0.003,-0.029,-0.065,0.139,-0.035,-0.006,0.008,-0.033,0.511,0.661,0.2028,0.0949,0.0448,0.007,0.91,-0.12,9.84,60.85,-0.06,-0.33,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"29","Alex Smalley",28078724,7600,57.6,61.45,8.6,84,27,55.6,2.7,58.3,0.08,3.64,-0.113,255,0.011,165,0.423,36,0.287,68,0.608,67,7.32,81,0.016,140,0.46,26,0.022,0.064,-0.018,0.08,-0.001,-0.112,-0.003,0.009,-0.105,0.502,0.6516,0.1905,0.0891,0.0405,0.0062,0.82,-0.15,6.12,59.88,0.09,0.33,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"30","J.J. Spaun",28078725,7600,58.88,61.05,5.6,85,26.5,57.5,3.1,60.6,0.27,3.79,0.013,167,0.094,85,0.344,49,0.2,85,0.651,64,-1.739,233,0.053,54,0.602,32,0,0.01,0.007,0.032,-0.064,0.028,-0.009,0.029,0.048,0.635,0.6785,0.2212,0.1076,0.0499,0.0074,0.97,0,4.7,60.83,0.68,3.06,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"31","Ryan Fox",28078726,7500,59.31,65.8,8,87.5,28,55.4,2.7,58.1,0.12,4.3,0.08,121,0.077,105,0.254,67,0.235,78,0.647,65,13.26,28,-0.088,407,0.568,36,-0.013,-0.007,0.005,0.094,-0.054,-0.203,0.015,0.027,-0.161,0.432,0.6416,0.1821,0.0826,0.0362,0.0058,0.77,-0.15,6.15,61.95,-0.28,-1.34,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"32","Lucas Herbert",28078727,7500,62.38,42.44,10.7,69,22,57.8,3.1,60.9,0.36,4.13,0.426,17,0.059,123,-0.006,152,0.284,69,0.764,52,7.872,72,-0.05,348,0.549,27,0.019,0.08,0.018,0.098,-0.011,-0.12,0.009,0.049,-0.062,0.69,0.6855,0.2326,0.1151,0.0556,0.009,1.2,0.28,7.41,51.67,0.1,0.59,0,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"33","Patrick Rodgers",28078728,7500,60.79,63.87,6.9,86.5,27.5,58.1,3.3,61.3,0.39,5.02,0.265,44,0.103,77,0.128,107,0.295,66,0.791,49,8.734,65,-0.042,324,0.744,30,0.007,0.041,-0.03,0.028,0.023,-0.133,0.007,0.043,-0.083,0.731,0.6923,0.237,0.1142,0.053,0.0083,1.11,0.19,5.96,62.58,0.24,1.17,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"34","Davis Riley",28078729,7400,50.55,55.93,4.3,80,25.5,52.1,2,54.2,-0.09,6.18,-0.033,208,-0.119,276,0.309,57,0.133,101,0.29,99,7.399,79,-0.001,190,0.139,26,0.022,0.027,0.012,0.089,0.019,-0.113,0,-0.002,-0.114,0.194,0.5951,0.142,0.0598,0.0255,0.0036,0.49,-0.38,5.24,55.06,-0.52,-2.53,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"35","Thomas Detry",28078730,7400,69.63,60.25,5.9,83.5,26.5,54.4,2.4,56.8,0.07,2.98,0.32,34,0.028,152,0.094,114,0.082,121,0.524,76,10.02,50,-0.012,234,0.445,30,0.008,0.055,0,0.015,-0.054,-0.153,0.002,0.039,-0.112,0.358,0.6255,0.1661,0.0743,0.0329,0.0043,0.58,-0.29,4.44,58.52,0.24,0.94,0,5,1,2023-05-25,"2023-05-25 Charles Schwab"
