tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
pga,2023,2023,Charles Schwab Challenge,21,"Grillo, Emiliano",12808,1,1,Colonial Country Club,21,70,10,12:00pm,67,2.223,-0.71,1.465,0.339,1.094,3.317,273.7,0.714,0.722,0.6,39.385,43.856,5,3
pga,2023,2023,Charles Schwab Challenge,21,"Grillo, Emiliano",12808,1,2,Colonial Country Club,21,70,1,7:20am,65,1.278,1.709,1.477,0.92,4.105,5.383,277.1,0.714,0.778,0.6,70.425,27.012,5,3
pga,2023,2023,Charles Schwab Challenge,21,"Grillo, Emiliano",12808,1,3,Colonial Country Club,21,70,1,12:40pm,72,0.867,-0.256,-1.362,-0.11,-1.728,-0.861,278.3,0.5,0.556,0.571,36.269,37.33,5,2
pga,2023,2023,Charles Schwab Challenge,21,"Grillo, Emiliano",12808,1,4,Colonial Country Club,21,70,1,12:30pm,68,3.07,-1.218,3.111,-1.352,0.541,3.611,275.0,0.5,0.556,0.6,57.567,27.974,6,4
pga,2023,2023,Charles Schwab Challenge,21,"Schenk, Adam",19477,2,1,Colonial Country Club,21,70,1,12:11pm,66,0.179,1.921,3.35,-1.133,4.138,4.317,286.0,0.5,0.611,0.875,32.886,20.247,4,3
pga,2023,2023,Charles Schwab Challenge,21,"Schenk, Adam",19477,2,2,Colonial Country Club,21,70,10,7:31am,67,2.368,0.058,0.174,0.784,1.015,3.383,281.4,0.786,0.556,0.714,29.573,35.525,5,2
pga,2023,2023,Charles Schwab Challenge,21,"Schenk, Adam",19477,2,3,Colonial Country Club,21,70,1,12:40pm,67,1.809,0.086,1.51,0.734,2.33,4.139,280.2,0.786,0.833,0.667,40.21,31.262,3,3
pga,2023,2023,Charles Schwab Challenge,21,"Schenk, Adam",19477,2,4,Colonial Country Club,21,70,1,12:50pm,72,0.799,-0.672,-1.225,0.709,-1.188,-0.389,286.3,0.571,0.444,0.583,70.956,46.68,1,2
pga,2023,2023,Charles Schwab Challenge,21,"Scheffler, Scottie",18417,T3,1,Colonial Country Club,21,70,10,8:04am,67,-0.303,0.527,1.695,1.398,3.62,3.317,291.3,0.714,0.722,0.833,48.401,24.326,4,2
pga,2023,2023,Charles Schwab Challenge,21,"Scheffler, Scottie",18417,T3,2,Colonial Country Club,21,70,1,12:44pm,67,-2.083,1.913,1.512,2.042,5.466,3.383,296.3,0.714,0.778,0.8,63.919,23.126,4,0
pga,2023,2023,Charles Schwab Challenge,21,"Scheffler, Scottie",18417,T3,3,Colonial Country Club,21,70,1,12:20pm,72,-1.919,-0.033,0.219,0.872,1.058,-0.861,301.9,0.357,0.611,0.333,42.781,34.103,3,2
pga,2023,2023,Charles Schwab Challenge,21,"Scheffler, Scottie",18417,T3,4,Colonial Country Club,21,70,1,11:40am,67,-0.258,-0.009,3.448,1.43,4.869,4.611,301.0,0.5,0.833,0.4,46.33,22.696,5,1
pga,2023,2023,Charles Schwab Challenge,21,"Hall, Harry",27194,T3,1,Colonial Country Club,21,70,1,8:59am,62,4.247,1.587,2.073,0.41,4.07,8.317,278.5,0.571,0.611,1.0,64.666,26.479,8,0
pga,2023,2023,Charles Schwab Challenge,21,"Hall, Harry",27194,T3,2,Colonial Country Club,21,70,10,1:39pm,66,2.618,1.1,0.136,0.53,1.765,4.383,282.0,0.571,0.667,0.857,79.466,26.982,5,3
pga,2023,2023,Charles Schwab Challenge,21,"Hall, Harry",27194,T3,3,Colonial Country Club,21,70,1,12:50pm,72,1.792,-0.828,-1.938,0.113,-2.653,-0.861,269.4,0.643,0.556,0.6,63.189,35.895,3,3
