bet_outcome_numeric,open_time,close_time,dg_id,player_name,outcome,bet_outcome_text,close_odds,open_odds,book,event_completed,event_name,market,season,year,event_id
0,2023-05-22 13:32,2023-05-25 06:04,18417,"Scheffler, Scottie",T3,loss,+450,+450,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,22085,"Morikawa, Collin",T29,loss,+1400,+1600,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,18841,"Hovland, Viktor",T16,loss,+1400,+1400,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,14636,"Spieth, Jordan",CUT,loss,+1400,+1200,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,11676,"Finau, Tony",CUT,loss,+1600,+1400,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,17488,"Im, Sungjae",CUT,loss,+2000,+2000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,17538,"Homa, Max",T9,loss,+2200,+2200,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,6093,"Rose, Justin",T12,loss,+2200,+3000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,12294,"Fleetwood, Tommy",CUT,loss,+2500,+3000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,12965,"Fowler, Rickie",T6,loss,+2800,+2800,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,19483,"Burns, Sam",T6,loss,+3000,+2200,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,14578,"Henley, Russell",T16,loss,+3500,+4000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,12423,"Kirk, Chris",CUT,loss,+3500,+5000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,17786,"Davis, Cameron",CUT,loss,+3500,+4000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,14609,"Kim, Si Woo",T29,loss,+4500,+4500,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,16394,"Jaeger, Stephan",T68,loss,+5000,+6000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,19870,"McCarthy, Denny",CUT,loss,+5000,+6000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,8825,"Harman, Brian",T29,loss,+5500,+5500,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,18103,"Bezuidenhout, Christiaan",T21,loss,+5500,+7500,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,21891,"Kitayama, Kurt",T29,loss,+6000,+6000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,16841,"Lee, Min Woo",T40,loss,+6000,+5500,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,12425,"Todd, Brendon",T57,loss,+6500,+7500,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,13497,"Lee, Kyounghoon",T57,loss,+6500,+7500,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
1,2023-05-22 13:32,2023-05-25 06:04,12808,"Grillo, Emiliano",1,paid in full,+7000,+7000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
0,2023-05-22 13:32,2023-05-25 06:04,14577,"English, Harris",T12,loss,+7500,+7000,draftkings,2023-05-28,Charles Schwab Challenge,win,2023,2023,21
