Colorado,61,Final
UCLA (5) ,73,
Villanova (6) ,71,Final
Penn,56,
Central Arkansas,60,Final
Arkansas (10) ,97,
BYU (12) ,65,Final
Utah Valley,72,OT
Florida (14) ,67,Final
Oklahoma,74,
Memphis (18) ,79,Final
Georgia,82,
Arkansas-Pine Bluff,64,Final
Iowa State (19) ,83,
Utah,73,Final
USC (20) ,93,
UCF,68,Final
Auburn (21) ,85,
Louisville,64,Final
Michigan State (22) ,73,
Wisconsin (23) ,70,Final
Georgia Tech,66,
Michigan (24) ,51,Final
UNC,72,
Wagner,63,Final
Seton Hall (25) ,85,
Dallas ,65,Final
Abilene Christian,108,
Lincoln (CA,54,Final
Stephen F. Austin,90,
Alabama State,54,Final
Dayton,93,
Albany (NY),43,Final
Kansas State,71,
American,57,Final
Stony Brook,80,
Little Rock,55,Final
Colorado State,86,
Ball State,80,Final
Western Illinois,93,
Bethesda University (CA),67,Final
Dixie State,99,
Binghamton,57,Final
St. Joseph's,79,
Boston University,56,Final
George Washington,54,
Bowling Green State,78,Final
Duquesne,70,
Boyce,29,Final
Appalachian State,90,
Brown,73,Final
UMass-Lowell,63,
Bucknell,67,Final
Saint Francis (PA),93,
UC-Riverside,65,Final
Oregon,71,
Centenary (LA),67,Final
Louisiana-Monroe,104,
Central Michigan,45,Final
Xavier,78,
Chicago State,64,Final
Loyola (MD),78,
Cincinnati,59,Final
Miami (OH),58,
The Citadel,58,Final
UNC Asheville,65,
Columbia,60,Final
UMBC,98,
Coppin State,81,Final
St. Bonaventure,93,
Dartmouth,65,Final
Vermont,83,
ETSU,56,Final
Alabama-Birmingham,70,
Eastern Illinois,45,Final
Northern Illinois,55,
Florida Gulf Coast,61,Final
Florida International,77,
Fort Valley State,63,Final
Florida A&M,76,
Georgia Southern,51,Final
Morehead State,59,
Hartford,75,Final
Winthrop,82,
Holy Cross,67,Final
Central Connecticut,73,
Indiana State,76,Final
Loyola (IL),88,
Iona,78,Final
Marist,71,
La Salle,57,Final
Temple,73,
Lehigh,72,Final
Yale,82,
Marshall,86,Final
Akron,88,
McNeese State,62,Final
Seattle,78,
Mercer,73,Final
Kennesaw State,71,
Miami (FL),63,Final
Penn State,58,
Mississippi Valley State,58,Final
North Alabama,72,
Missouri State,74,Final
Illinois State,79,OT
Nebraska,100,Final
NC State,104,4OT
UNLV,64,Final
SMU,83,
Norfolk State,74,Final
UNC Wilmington,69,
North Carolina Central,67,Final
USC Upstate,65,
Northern Iowa,69,Final
Bradley,71,
Ohio,51,Final
LSU,66,
Our Lady of the Lake,66,Final
Incarnate Word,93,
Pacific,57,Final
UC-Davis,63,
Princeton,77,Final
Hofstra,81,
Rhode Island,64,Final
Harvard,57,
Richmond,73,Final
Wofford,64,
Rust,48,Final
Troy,81,
San Diego,43,Final
Fresno State,63,
South Carolina,56,Final
Coastal Carolina,80,
Southern Illinois,54,Final
Evansville,52,
Southern Miss,55,Final
South Alabama,85,
St. Francis (NY),46,Final
Fordham,68,
Stetson,73,Final
Florida Atlantic,83,
UT-Martin,61,Final
Middle Tennessee,73,
Texas A&M-Corpus Christi,83,Final
Texas-Rio Grande Valley,77,
Texas Southern,60,Final
Louisiana Tech,87,
Texas Tech,68,Final
Providence,72,
Virginia Tech,62,Final
Maryland,58,
Warren Wilson,47,Final
Western Carolina,102,
Washington State,51,Final
Arizona State,29,
Wichita State,60,Final
Oklahoma State,51,
William & Mary,56,Final
Navy,75,
