player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Kenneth Walker III,97199,HB,SEA,12,0,29,58.9,5.6,3,23.1,54,59.2,0,6.9,13,189,,0.0,0,0.0,115
Brenden Jaimes,59909,C,LAC,1,0,27,49.7,100.0,6,50.0,6,51.9,0,100.0,12,12,59.8,100.0,6,50.0,6
Zach Charbonnet,97630,HB,SEA,13,0,29,59.9,8.1,3,25.0,37,38.0,0,10.4,12,115,59.1,3.1,2,16.7,65
Darrynton Evans,40692,HB,MIA,6,0,17,60.0,7.1,1,8.3,14,60.0,0,26.1,12,46,60.0,4.8,1,8.3,21
Chuba Hubbard,57373,HB,CAR,14,0,5,60.0,2.7,2,16.7,74,44.5,0,5.9,12,202,,0.0,0,0.0,117
Tyree Jackson,46481,TE,NYG,2,0,21,45.2,100.0,4,33.3,4,51.8,0,100.0,12,12,59.6,100.0,8,66.7,8
Patrick Taylor,40448,HB,GB,8,0,12,60.0,25.0,3,25.0,12,75.7,0,35.3,12,34,60.0,18.8,3,25.0,16
Dameon Pierce,83659,HB,HST,11,0,13,,0.0,0,0.0,50,55.1,0,8.2,12,147,60.0,1.2,1,8.3,83
Andy Dalton,6187,QB,CAR,3,0,5,60.0,100.0,5,41.7,5,60.0,0,85.7,12,14,60.0,87.5,7,58.3,8
Britain Covey,32933,WR,PHI,5,0,24,58.7,100.0,2,18.2,2,35.5,0,100.0,11,11,60.7,100.0,6,54.5,6
Brady Russell,60876,TE,SEA,5,0,29,48.2,100.0,2,18.2,2,47.4,0,100.0,11,11,60.0,100.0,1,9.1,1
Trevor Siemian,9683,QB,NYJ,2,0,22,60.0,100.0,3,27.3,3,60.0,0,100.0,11,11,60.0,100.0,7,63.6,7
Tyler Huntley,46448,QB,BLT,3,0,3,60.0,66.7,4,36.4,6,60.0,0,68.8,11,16,60.0,87.5,7,63.6,8
Jordan McFadden,77578,G,LAC,5,0,27,48.8,100.0,5,45.5,5,47.0,0,100.0,11,11,55.0,100.0,4,36.4,4
Erik Ezukanma,78148,WR,MIA,2,0,17,58.5,60.0,3,27.3,5,54.1,0,73.3,11,15,55.0,100.0,7,63.6,7
Laquon Treadwell,10657,WR,BLT,1,0,3,61.9,100.0,9,90.0,9,62.1,0,100.0,10,10,60.0,100.0,1,10.0,1
David Montgomery,45719,HB,DET,11,0,11,60.0,1.1,1,10.0,87,60.0,0,5.3,10,190,,0.0,0,0.0,94
Foster Sarell,52272,T,LAC,6,0,27,49.7,100.0,6,60.0,6,49.3,0,100.0,10,10,,,0,0.0,0
Nick Allegretti,39268,G,KC,4,0,16,77.9,100.0,4,40.0,4,80.8,0,100.0,10,10,67.0,100.0,3,30.0,3
Juwann Winfree,38275,WR,IND,3,0,14,47.6,100.0,4,40.0,4,51.6,0,100.0,10,10,60.0,100.0,2,20.0,2
Richie James,28991,WR,KC,3,0,16,60.4,100.0,5,50.0,5,54.5,0,100.0,10,10,54.0,100.0,2,20.0,2
Chris Brooks,83644,HB,MIA,3,0,17,58.0,28.6,2,20.0,7,80.2,0,38.5,10,26,85.0,38.9,7,70.0,18
Damien Harris,35134,HB,BUF,6,0,4,,0.0,0,0.0,18,60.0,0,27.3,9,33,,0.0,0,0.0,6
Leroy Watson,98723,T,CLV,3,0,8,59.5,100.0,8,88.9,8,59.3,0,100.0,9,9,,,0,0.0,0
Pierre Strong Jr.,66619,HB,CLV,11,0,8,60.0,5.0,1,11.1,20,60.0,0,18.0,9,50,,0.0,0,0.0,21
Justin Simmons,10732,S,DEN,4,0,10,,,0,0.0,0,60.0,0,100.0,9,9,,,0,0.0,0
Ty Chandler,62942,HB,MIN,11,0,18,60.0,2.9,1,11.1,34,60.0,0,11.0,9,82,60.0,2.8,1,11.1,36
Irvin Charles,28304,WR,NYJ,6,0,22,60.1,100.0,5,55.6,5,77.2,0,100.0,9,9,60.1,100.0,3,33.3,3
Jeff Wilson Jr.,29413,HB,MIA,5,0,17,59.7,11.1,1,11.1,9,45.1,0,27.3,9,33,36.7,11.1,2,22.2,18
Keaontay Ingram,77761,HB,ARZ,7,0,1,60.0,11.8,2,22.2,17,66.4,0,19.6,9,46,60.0,4.3,1,11.1,23
D'Wayne Eskridge,29573,WR,SEA,3,0,29,83.8,100.0,5,55.6,5,82.0,0,81.8,9,11,60.0,100.0,2,22.2,2
Minkah Fitzpatrick,51206,S,PIT,3,0,25,,,0,0.0,0,60.0,0,100.0,9,9,,,0,0.0,0
Austin Ekeler,12164,HB,LAC,11,0,27,60.0,1.8,1,11.1,56,56.0,0,5.9,9,152,60.0,1.1,1,11.1,88
Andrew Rupcich,156082,G,TEN,1,0,31,58.1,100.0,4,44.4,4,55.5,0,100.0,9,9,56.6,100.0,5,55.6,5
Jesse Luketa,81361,ED,ARZ,6,0,1,48.4,100.0,6,75.0,6,46.7,0,100.0,8,8,,,0,0.0,0
Keelan Doss,48143,WR,LAC,3,0,27,41.2,100.0,2,25.0,2,50.6,0,100.0,8,8,60.0,100.0,1,12.5,1
Jacob Harris,34255,WR,JAX,2,0,15,60.0,100.0,2,25.0,2,33.6,0,100.0,8,8,60.7,100.0,6,75.0,6
Chris Rodriguez Jr.,83689,HB,WAS,9,0,32,60.0,10.5,2,25.0,19,46.0,0,16.3,8,49,49.7,11.5,3,37.5,26
Olisaemeka Udoh,28394,T,MIN,1,0,18,56.9,100.0,3,37.5,3,50.5,0,100.0,8,8,52.6,100.0,5,62.5,5
Hroniss Grasu,9504,C,LV,1,0,23,39.5,100.0,4,50.0,4,45.7,0,100.0,8,8,53.3,100.0,3,37.5,3
Greg Dulcich,84068,TE,DEN,2,0,10,47.1,100.0,3,37.5,3,49.5,0,100.0,8,8,60.7,100.0,5,62.5,5
Malik Taylor,94375,WR,NYJ,2,0,22,,,0,0.0,0,60.5,0,100.0,8,8,61.6,100.0,7,87.5,7
