player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,ED,ATL,14,1,0,2,66.8,7,19,316,97.4,11.1,35,0,5.4,4,345,336,30,1,68.9,4,14,158,97.1,14.6,23,7.6,3,174,169,21
Matthew Slater,4467,WR,NE,2,0,0,19,60.0,0,0,0,50.0,,0,0,,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
Brandon Graham,5538,ED,PHI,14,0,0,24,76.7,2,15,161,92.3,17.4,28,1,7.8,4,195,180,21,0,89.6,2,10,75,95.5,29.3,22,13.3,4,89,85,16
Jason Pierre-Paul,5540,ED,MIA,2,0,0,17,51.3,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,55.3,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Kareem Jackson,5545,S,DEN,8,0,0,10,62.8,0,0,1,0.4,100.0,1,4,0.0,0,274,1,0,0,,0,0,0,0.0,,0,,0,127,0,0
Jerry Hughes,5556,ED,HST,14,0,0,13,62.2,0,21,195,97.1,10.3,20,1,5.9,1,208,202,22,0,54.8,0,9,92,99.0,8.7,8,4.9,0,97,96,9
Linval Joseph,5571,DI,BUF,6,0,0,4,49.4,0,3,71,100.0,0.0,0,0,3.5,1,75,75,4,0,56.5,0,1,21,100.0,0.0,0,7.1,1,22,22,2
Al Woods,5646,DI,NYJ,6,0,0,22,53.0,1,0,63,100.0,1.6,1,0,2.4,1,66,66,2,0,53.2,1,0,29,100.0,3.4,1,1.7,0,30,30,1
Von Miller,6154,ED,BUF,10,0,0,4,50.7,3,9,136,92.5,6.6,9,1,4.4,0,160,148,12,0,52.3,3,6,83,93.8,8.4,7,5.4,0,96,90,9
Patrick Peterson,6157,CB,PIT,14,0,1,25,75.3,0,2,6,1.1,16.7,1,5,16.7,0,566,6,2,0,80.8,0,1,4,1.4,25.0,1,12.5,0,292,4,1
Cameron Jordan,6176,ED,NO,15,3,0,20,65.7,3,39,390,97.7,11.5,45,1,6.2,3,426,416,45,0,74.6,2,20,168,98.9,19.0,32,7.7,2,183,181,24
Cameron Heyward,6183,DI,PIT,8,0,0,25,61.2,1,8,171,100.0,9.4,16,0,3.8,2,185,185,11,0,64.6,0,4,77,100.0,11.7,9,5.2,2,86,86,6
Justin Houston,6222,ED,CAR,7,1,0,5,61.8,2,7,95,83.9,9.5,9,1,5.8,1,118,99,10,0,70.6,1,6,35,81.4,22.9,8,12.9,1,43,35,8
Lawrence Guy Sr.,6385,DI,NE,14,1,0,19,45.7,0,6,187,100.0,1.1,2,0,1.6,0,199,199,6,1,48.7,0,4,49,100.0,2.0,1,4.1,0,55,55,4
