player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,ED,ATL,14,0,12.0,100.0,2.6,9.0,9.0,0,0,0,0.0,2,61.8,78.0,89.6,66.8,77.5,30.8,0,13,33.3,2,0,0,118.8,1,9,345,7,4,1,0,13,1,1.4,13.0
Matthew Slater,4467,WR,NE,2,0,,,50.0,,,0,0,0,,19,60.0,60.0,99.9,60.0,,,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,14,0,-7.0,0.0,7.7,,15.0,0,0,0,0.0,24,67.2,78.9,66.8,76.7,68.0,68.4,0,,33.3,1,0,1,39.6,0,15,195,3,2,1,0,0,0,0.0,
Kareem Jackson,5545,S,DEN,8,1,7.1,75.0,99.6,21.6,16.2,0,0,2,12.5,10,76.1,67.5,0.0,62.8,49.6,68.1,2,19,0.0,0,2,4,74.7,12,273,274,5,29,16,1,111,41,0.4,9.3
Jerry Hughes,5556,ED,HST,14,0,,,2.9,,,0,0,0,,13,64.0,65.3,72.9,62.2,61.4,50.0,0,,33.3,1,0,1,0.0,0,6,208,3,2,0,0,0,0,0.0,
Von Miller,6154,ED,BUF,10,0,,,7.5,,,0,0,0,,4,64.1,45.0,54.7,50.7,41.9,25.7,0,,100.0,1,0,1,0.0,0,12,160,0,0,0,0,0,0,0.0,
Patrick Peterson,6157,CB,PIT,14,2,10.0,55.4,98.9,16.8,9.3,1,0,8,14.3,25,63.6,62.6,42.5,75.3,58.1,36.5,1,52,20.7,6,6,5,93.5,31,560,566,8,21,56,4,388,186,0.7,12.5
Cameron Jordan,6176,ED,NO,15,0,,,2.3,,,0,0,0,,20,83.2,74.7,80.5,65.7,71.9,62.5,0,,33.3,2,0,1,0.0,0,10,426,4,4,0,0,0,0,0.0,
Justin Houston,6222,ED,CAR,7,1,-7.0,100.0,16.1,18.0,18.0,0,0,0,0.0,5,82.9,61.2,48.1,61.8,49.0,44.8,0,0,0.0,0,0,1,79.2,1,19,118,4,3,1,0,0,7,0.0,0.0
Nick Bellore,6515,LB,SEA,4,0,4.0,0.0,75.0,,2.0,0,0,0,0.0,29,63.6,76.6,70.0,58.3,72.9,71.7,0,,,0,0,0,39.6,0,3,4,0,0,1,0,0,0,0.0,
Stephon Gilmore,7016,CB,DAL,14,5,10.9,54.1,100.0,11.5,6.2,2,0,11,14.9,9,73.4,75.6,87.1,,78.2,73.5,2,68,6.0,3,8,6,83.2,40,502,502,10,42,74,4,520,179,1.1,13.0
Bruce Irvin,7021,ED,DET,2,0,10.0,100.0,17.4,4.0,4.0,0,0,0,0.0,11,41.9,45.4,0.0,63.8,60.0,69.2,0,19,,0,0,1,118.8,1,4,23,1,0,1,0,19,9,4.8,19.0
Bobby Wagner,7050,LB,SEA,14,13,4.8,80.8,88.8,12.0,9.7,0,0,3,5.8,29,58.3,79.0,85.2,76.3,90.9,90.6,0,30,1.6,1,3,1,117.0,42,533,600,17,49,52,2,468,288,0.9,11.1
Lavonte David,7060,LB,TB,12,8,4.8,77.9,88.9,8.1,6.3,0,1,5,7.4,30,69.7,71.6,62.1,64.5,71.2,69.1,0,33,7.0,4,4,1,98.0,53,455,512,24,45,68,1,431,244,1.0,8.1
Demario Davis,7079,LB,NO,15,10,5.4,61.0,87.1,18.8,11.5,1,0,4,9.8,20,87.1,90.1,88.0,75.5,82.0,81.1,0,26,2.6,1,2,1,85.0,25,500,574,20,28,41,2,156,95,0.3,6.2
Rodney McLeod,7271,S,CLV,10,1,6.9,50.0,97.1,32.0,16.0,0,1,1,10.0,8,52.5,54.1,83.0,52.5,61.4,50.3,0,17,0.0,0,1,0,63.3,5,169,174,1,5,10,0,47,31,0.3,9.4
Tashaun Gipson Sr.,7288,S,SF,14,6,16.5,35.0,98.0,80.6,28.2,1,1,3,15.0,28,72.8,73.6,64.5,55.8,77.0,67.7,1,33,12.5,4,2,2,25.2,7,597,609,5,22,20,0,71,27,0.1,10.1
Harrison Smith,7641,S,MIN,14,7,7.2,68.3,85.6,17.2,11.8,0,0,1,2.4,18,74.7,72.8,87.7,60.3,65.5,73.5,0,36,2.3,1,1,1,81.1,28,500,584,19,36,41,0,218,144,0.5,7.8
Justin Bethel,7654,CB,MIA,8,2,8.6,87.5,94.4,11.6,10.1,0,0,2,25.0,17,69.3,73.7,80.0,90.9,65.6,85.2,0,24,0.0,0,0,0,137.0,7,85,90,3,6,8,2,59,18,0.7,8.4
Darius Slay,7817,CB,PHI,12,1,10.2,63.2,100.0,11.3,7.1,0,2,13,17.1,24,68.6,68.4,87.8,,58.8,64.3,2,39,11.5,6,7,3,82.3,48,574,574,12,45,76,2,543,220,1.0,11.3
Johnathan Hankins,7830,DI,DAL,13,0,,,1.2,,,0,0,0,,9,65.4,49.9,28.8,61.2,48.7,46.5,0,,0.0,0,0,3,0.0,0,2,169,4,1,0,0,0,0,0.0,
Travis Kelce,7844,TE,KC,2,0,,,100.0,,,2,0,0,,16,60.6,60.7,64.6,,,,0,,,0,0,9,0.0,0,2,2,0,0,0,0,0,0,0.0,
Tyrann Mathieu,7850,S,NO,15,5,7.2,57.6,97.4,28.5,16.4,1,1,3,9.1,20,81.0,77.1,66.4,61.7,67.7,76.8,3,46,5.4,2,3,3,73.2,19,573,588,10,30,33,3,243,181,0.4,12.8
Logan Ryan,7864,S,SF,1,0,,,100.0,,,0,0,0,,28,63.6,66.7,73.8,,60.0,77.2,0,,,0,0,0,0.0,0,11,11,0,0,0,0,0,0,0.0,
Duron Harmon,7872,S,CLV,3,0,13.0,60.0,97.4,24.0,14.4,0,0,0,0.0,8,60.1,56.0,77.3,53.7,48.6,83.1,0,6,0.0,0,0,0,104.2,3,76,78,2,6,5,1,15,9,0.2,5.0
Micah Hyde,7941,S,BUF,12,6,11.3,85.7,96.7,17.0,14.6,0,0,0,0.0,4,67.3,66.2,87.6,63.0,56.0,69.4,2,32,5.7,2,0,0,122.3,24,442,457,6,27,28,4,308,79,0.8,12.8
Jordan Poyer,8000,S,BUF,13,14,7.6,68.8,92.8,21.0,14.4,0,1,5,15.6,4,74.3,75.0,62.2,52.6,77.9,77.8,0,30,8.5,4,5,1,100.5,22,491,529,9,29,32,1,236,99,0.5,10.7
Mike Purcell,8530,DI,DEN,13,1,7.0,100.0,3.4,6.0,6.0,1,0,0,0.0,10,45.2,48.8,69.6,59.9,47.1,27.0,0,5,50.0,1,0,1,87.5,1,6,176,0,0,1,0,5,-2,0.8,5.0
Jadeveon Clowney,8636,ED,BLT,14,4,9.0,100.0,3.9,8.0,8.0,0,0,0,0.0,3,63.9,79.2,68.0,76.4,69.1,37.0,0,10,33.3,3,0,2,102.1,2,16,414,7,2,2,0,17,-1,1.1,8.5
Khalil Mack,8640,ED,LAC,14,1,0.0,100.0,9.4,46.0,46.0,0,0,0,0.0,27,83.0,91.1,89.8,82.0,90.5,70.4,0,0,16.7,1,0,0,79.2,1,47,501,17,4,1,0,0,0,0.0,0.0
