player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev
"Stevens, Samuel",150,+35298,+30000,-0.150,+25000,-0.291,,0.00,+35000,-0.008,,0.00
"Grillo, Emiliano",150,+37636,+20000,-0.467,+15000,-0.600,,0.00,+25000,-0.335,+21981,-0.415
"Straka, Sepp",150,+37995,+25000,-0.341,+15000,-0.604,,0.00,+25000,-0.341,+24519,-0.354
"Montgomery, Taylor",150,+38362,+20000,-0.477,+12500,-0.672,,0.00,+30000,-0.217,,0.00
"Mitchell, Keith",150,+39116,+12500,-0.679,+12500,-0.679,+15000,-0.615,+25000,-0.360,+21399,-0.452
"Buckley, Hayden",150,+42453,+35000,-0.175,+25000,-0.410,,0.00,+40000,-0.058,,0.00
"List, Luke",150,+42453,+40000,-0.058,+25000,-0.410,,0.00,+35000,-0.175,,0.00
"Poston, J.T.",150,+44844,+30000,-0.330,+25000,-0.442,+34000,-0.241,+35000,-0.219,+24005,-0.464
"Pieters, Thomas",150,+45355,+25000,-0.448,+15000,-0.668,+28000,-0.382,+25000,-0.448,+22426,-0.504
"Hoge, Tom",150,+47519,+20000,-0.578,+15000,-0.683,+18000,-0.620,+25000,-0.473,,0.00
"Hughes, Mackenzie",150,+52532,+35000,-0.333,+20000,-0.618,,0.00,+35000,-0.333,+26389,-0.497
"Garcia, Sergio",150,+53954,+17500,-0.674,+12500,-0.767,+18000,-0.665,+25000,-0.536,+19975,-0.629
"Harrington, Padraig",150,+54695,+40000,-0.268,+30000,-0.451,,0.00,+40000,-0.268,,0.00
"Svensson, Adam",150,+57871,+40000,-0.308,+30000,-0.481,,0.00,+40000,-0.308,,0.00
"Norrman, Vincent",150,+58724,+50000,-0.148,+40000,-0.318,,0.00,+50000,-0.148,,0.00
"Perez, Victor",150,+58724,+20000,-0.658,+15000,-0.743,,0.00,+30000,-0.488,,0.00
"Ortiz, Carlos",150,+59601,+35000,-0.412,+30000,-0.496,,0.00,+40000,-0.328,,0.00
"Smith, Jordan",150,+59601,+22500,-0.621,+20000,-0.663,,0.00,+30000,-0.496,,0.00
"Munoz, Sebastian",150,+60506,+17500,-0.710,+20000,-0.668,,0.00,+30000,-0.503,,0.00
"Langasque, Romain",150,+60506,+40000,-0.338,+30000,-0.503,,0.00,+50000,-0.173,,0.00
"Suh, Justin",150,+62400,+25000,-0.598,+15000,-0.758,,0.00,+30000,-0.518,,0.00
"Stallings, Scott",150,+63392,+50000,-0.211,+30000,-0.526,,0.00,+50000,-0.211,,0.00
"Hardy, Nick",150,+65474,+60000,-0.083,+40000,-0.388,,0.00,+60000,-0.083,,0.00
"Kim, Michael",150,+66567,+40000,-0.398,+30000,-0.548,,0.00,+35000,-0.474,,0.00
"Eckroat, Austin",150,+71329,+35000,-0.509,+30000,-0.579,,0.00,+35000,-0.509,,0.00
"Sargent, Gordon",150,+78331,+35000,-0.552,+30000,-0.616,,0.00,+35000,-0.552,,0.00
"Noren, Alex",150,+79900,+30000,-0.624,+25000,-0.686,+28000,-0.649,+40000,-0.499,,0.00
"Wise, Aaron",150,+85006,+35000,-0.588,+25000,-0.705,,0.00,+40000,-0.529,+23028,-0.728
"Wu, Dylan",150,+85006,+60000,-0.294,+30000,-0.646,,0.00,+60000,-0.294,,0.00
"Thompson, Davis",150,+92923,+60000,-0.354,+50000,-0.461,,0.00,+50000,-0.461,,0.00
"Pendrith, Taylor",150,+95138,+35000,-0.631,+30000,-0.684,,0.00,+40000,-0.579,,0.00
"Ancer, Abraham",150,+97461,+30000,-0.691,+15000,-0.845,+15000,-0.845,+30000,-0.691,+18060,-0.814
"Streelman, Kevin",150,+102464,+50000,-0.512,+30000,-0.707,,0.00,+50000,-0.512,,0.00
"Horschel, Billy",150,+111011,+35000,-0.684,+25000,-0.774,+22000,-0.801,+35000,-0.684,+24622,-0.778
"Hoffman, Charley",150,+117547,+60000,-0.489,+40000,-0.659,,0.00,+60000,-0.489,,0.00
"Mickelson, Phil",150,+121112,+15000,-0.875,+15000,-0.875,+13000,-0.892,+18000,-0.851,+17770,-0.853
"Dahmen, Joel",150,+159900,+50000,-0.687,+30000,-0.812,,0.00,+50000,-0.687,+29125,-0.817
"Cink, Stewart",150,+173813,+60000,-0.654,+50000,-0.712,,0.00,+60000,-0.654,,0.00
"Pavon, Matthieu",150,Inf,+60000,-0.745,+50000,-0.787,,0.00,+60000,-0.745,,0.00
"Young, Carson",150,Inf,+60000,-0.745,+40000,-0.830,,0.00,+60000,-0.745,,0.00
"Molinari, Francesco",150,Inf,+35000,-0.860,+30000,-0.880,,0.00,+40000,-0.840,,0.00
"Larrazabal, Pablo",150,Inf,+25000,-0.918,+25000,-0.918,,0.00,+40000,-0.870,,0.00
"Grant, Brent",150,Inf,+150000,-0.625,+100000,-0.750,,0.00,Inf,-0.500,,0.00
"Meissner, Mac",150,Inf,Inf,-0.550,+150000,-0.662,,0.00,+150000,-0.662,,0.00
"Puig Currius, David",150,Inf,+150000,-0.662,+50000,-0.887,,0.00,+100000,-0.775,,0.00
"Thorbjornsen, Michael",150,Inf,+60000,-0.865,+50000,-0.887,,0.00,+60000,-0.865,,0.00
"Gerard, Ryan",150,Inf,+150000,-0.700,+75000,-0.850,,0.00,+150000,-0.700,,0.00
"Lawrence, Thriston",150,Inf,+100000,-0.825,+50000,-0.912,,0.00,+150000,-0.737,,0.00
"Brennan, Michael",150,Inf,Inf,-0.562,Inf,-0.650,,0.00,Inf,-0.562,,0.00
"Echavarria, Nicolas",150,Inf,+100000,-0.825,+75000,-0.869,,0.00,+100000,-0.825,,0.00
"Nienaber, Wilco",150,Inf,+75000,-0.887,+50000,-0.925,,0.00,+80000,-0.880,,0.00
"Bennett, Sam",150,Inf,+100000,-0.850,+50000,-0.925,+28000,-0.958,+60000,-0.910,,0.00
"Lebioda, Hank",150,Inf,+100000,-0.850,+75000,-0.887,,0.00,+100000,-0.850,,0.00
"Haley II, Paul",150,Inf,+150000,-0.812,+75000,-0.906,,0.00,+150000,-0.812,,0.00
"Forsstrom, Simon",150,Inf,+100000,-0.875,+100000,-0.875,,0.00,+100000,-0.875,,0.00
"Summerhays, Preston",150,Inf,Inf,-0.687,Inf,-0.750,,0.00,Inf,-0.687,,0.00
"Potgieter, Aldrich",81,Inf,Inf,-0.750,+100000,-0.900,,0.00,Inf,-0.750,,0.00
