player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA TOUR,1,0,1,0,2.718
"Rahm, Jon",PGA TOUR,2,0,2,0,2.423
"Schauffele, Xander",PGA TOUR,3,0,6,0,2.199
"McIlroy, Rory",PGA TOUR,4,0,3,0,2.142
"Cantlay, Patrick",PGA TOUR,5,0,4,0,2.108
"Hatton, Tyrrell",PGA TOUR,6,1,14,2,1.892
"Hovland, Viktor",PGA TOUR,7,-1,5,0,1.863
"Finau, Tony",PGA TOUR,8,0,12,0,1.637
"Morikawa, Collin",PGA TOUR,9,0,18,0,1.52
"Spieth, Jordan",PGA TOUR,10,0,10,0,1.457
"Smith, Cameron",LIV Tour,11,0,9,0,1.451
"Clark, Wyndham",PGA TOUR,12,1,32,0,1.434
"Fowler, Rickie",PGA TOUR,13,1,45,-1,1.422
"Rose, Justin",PGA TOUR,14,4,25,3,1.419
"Fitzpatrick, Matthew",PGA TOUR,15,-3,8,0,1.417
"Fleetwood, Tommy",PGA TOUR,16,10,21,2,1.405
"Homa, Max",PGA TOUR,17,-2,7,0,1.386
"Im, Sungjae",PGA TOUR,18,-2,19,0,1.38
"Day, Jason",PGA TOUR,19,-2,23,-1,1.366
"Henley, Russell",PGA TOUR,20,-1,30,1,1.292
"Koepka, Brooks",LIV Tour,21,-1,13,0,1.288
"McCarthy, Denny",PGA TOUR,22,-1,34,1,1.279
"Thomas, Justin",PGA TOUR,23,-1,16,-1,1.251
"Matsuyama, Hideki",PGA TOUR,24,-1,26,-1,1.237
"Bradley, Keegan",PGA TOUR,25,2,24,0,1.152
"Kim, Si Woo",PGA TOUR,26,2,31,-1,1.139
"Pereira, Mito",LIV Tour,27,2,56,0,1.133
"Burns, Sam",PGA TOUR,28,-3,15,-1,1.127
"Johnson, Dustin",LIV Tour,29,1,90,-3,1.105
"Zalatoris, Will",PGA TOUR,30,1,11,0,1.1
"Scott, Adam",PGA TOUR,31,1,37,0,1.085
"Conners, Corey",PGA TOUR,32,1,29,0,1.081
"Young, Cameron",PGA TOUR,33,-9,17,0,1.033
"Taylor, Nick",PGA TOUR,34,25,44,25,0.921
"Varner III, Harold",LIV Tour,35,1,69,-1,0.917
"Reed, Patrick",LIV Tour,36,1,47,0,0.907
"Theegala, Sahith",PGA TOUR,37,-2,28,-1,0.906
"Lowry, Shane",PGA TOUR,38,-4,27,-1,0.892
"Kuchar, Matt",PGA TOUR,39,1,51,0,0.881
"Niemann, Joaquin",LIV Tour,40,-2,36,-2,0.873
"Putnam, Andrew",PGA TOUR,41,-2,63,-2,0.866
"Cole, Eric",PGA TOUR,42,14,84,5,0.841
"Gooch, Talor",LIV Tour,43,-2,80,-3,0.826
"Howell III, Charles",LIV Tour,44,-2,399,-4,0.816
"Stricker, Steve",PGA TOUR Champions,45,8,9999,0,0.799
"Woodland, Gary",PGA TOUR,46,-3,72,1,0.789
"Hadwin, Adam",PGA TOUR,47,8,70,5,0.776
"Kim, Tom",PGA TOUR,48,-4,22,-1,0.77
"Kirk, Chris",PGA TOUR,49,-4,38,1,0.755
"Moore, Taylor",PGA TOUR,50,-4,50,-1,0.731
"Rodgers, Patrick",PGA TOUR,51,-4,92,-1,0.729
"Grillo, Emiliano",PGA TOUR,52,-4,43,0,0.726
"Fox, Ryan",DP World Tour,53,-4,41,1,0.718
"Schenk, Adam",PGA TOUR,54,-4,54,-1,0.712
"Jaeger, Stephan",PGA TOUR,55,-4,119,-2,0.711
"Hubbard, Mark",PGA TOUR,56,17,87,15,0.703
"Lee, Kyounghoon",PGA TOUR,57,-3,48,-2,0.669
"Meronk, Adrian",DP World Tour,58,-6,49,-1,0.663
"An, Byeong Hun",PGA TOUR,59,-2,127,-2,0.652
"Rai, Aaron",PGA TOUR,60,32,94,36,0.644
"Bezuidenhout, Christiaan",PGA TOUR,61,-3,78,0,0.644
"Harman, Brian",PGA TOUR,62,-2,40,0,0.616
"Grace, Branden",LIV Tour,63,-2,345,-7,0.599
"Spaun, J.J.",PGA TOUR,64,-2,77,-1,0.591
"Poston, J.T.",PGA TOUR,65,-2,58,0,0.586
"Power, Seamus",PGA TOUR,66,-1,46,-1,0.571
"Noren, Alex",PGA TOUR,67,-3,64,0,0.568
"Detry, Thomas",PGA TOUR,68,-2,85,-1,0.551
"Montgomery, Taylor",PGA TOUR,69,-2,66,-3,0.55
"English, Harris",PGA TOUR,70,-2,42,-1,0.549
"Todd, Brendon",PGA TOUR,71,0,75,4,0.548
"Bramlett, Joseph",PGA TOUR,72,-3,153,-1,0.544
"Hossler, Beau",PGA TOUR,73,-3,121,-2,0.542
"Bjork, Alexander",DP World Tour,74,0,108,6,0.541
"DeChambeau, Bryson",LIV Tour,75,-3,101,-3,0.525
"Wu, Brandon",PGA TOUR,76,27,79,4,0.506
"Davis, Cameron",PGA TOUR,77,-1,53,-1,0.493
"Steele, Brendan",PGA TOUR,78,-1,146,-1,0.484
"Burmester, Dean",LIV Tour,79,-1,88,-3,0.48
"Kitayama, Kurt",PGA TOUR,80,-1,20,0,0.477
"Garcia, Sergio",LIV Tour,81,0,247,-19,0.458
"Lee, Min Woo",PGA TOUR,82,0,65,1,0.458
"Straka, Sepp",PGA TOUR,83,0,33,0,0.455
"Hodges, Lee",PGA TOUR,84,5,112,0,0.452
"Aberg, Ludvig",Amateur Events,85,11,9999,0,0.445
