datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,28273415,11400,30.405,8:13 am,1,68.6,10.7,0,79.3,0.81,100,3.84615384615385,
"Rahm, Jon","Jon Rahm",150,28273416,11100,29.917,8:24 am,1,62.3,7.8,0,70,0.36,100,3.84615384615385,
"Koepka, Brooks","Brooks Koepka",150,28273417,10800,29.292,1:54 pm,0,55.9,5.5,0,61.5,-0.04,100,3.84615384615385,
"Cantlay, Patrick","Patrick Cantlay",150,28273418,10300,29.407,1:43 pm,0,60.2,7.2,0,67.5,0.52,100,3.84615384615385,
"Hovland, Viktor","Viktor Hovland",150,28273419,10000,29.284,8:24 am,1,57.3,5.9,0,63.3,0.38,100,3.84615384615385,
"McIlroy, Rory","Rory McIlroy",150,28273420,9900,29.501,1:54 pm,0,61.7,7.7,0,69.4,0.8,100,3.84615384615385,
"Schauffele, Xander","Xander Schauffele",150,28273421,9600,29.155,8:24 am,1,60.8,7.3,0,68.2,0.84,100,3.84615384615385,
"Homa, Max","Max Homa",150,28273422,9400,27.099,8:13 am,1,46.9,3.2,0,50.1,-0.16,100,3.84615384615385,
"Morikawa, Collin","Collin Morikawa",150,28273423,9300,28.430,8:13 am,1,52.2,4.4,0,56.6,0.24,100,3.84615384615385,
"Spieth, Jordan","Jordan Spieth",150,28273424,9200,29.376,1:43 pm,0,55.1,5.2,0,60.2,0.51,100,3.84615384615385,
"Fitzpatrick, Matthew","Matt Fitzpatrick",150,28273425,9100,27.720,1:32 pm,0,52.3,4.6,0,56.9,0.34,100,3.84615384615385,
"Smith, Cameron","Cameron Smith",150,28273426,9000,28.705,1:32 pm,0,51.9,4.3,0,56.3,0.34,100,3.84615384615385,
"Hatton, Tyrrell","Tyrrell Hatton",150,28273427,8900,28.403,7:40 am,1,53.9,5,0,58.9,0.55,100,3.84615384615385,
"Finau, Tony","Tony Finau",150,28273428,8800,28.364,1:43 pm,0,54.6,5.2,0,59.9,0.64,100,3.84615384615385,
"Thomas, Justin","Justin Thomas",150,28273429,8700,27.603,7:40 am,1,50.1,4,0,54.1,0.33,100,3.84615384615385,
"Matsuyama, Hideki","Hideki Matsuyama",150,28273430,8600,27.932,1:54 pm,0,50.8,4,0,54.8,0.41,100,3.84615384615385,
"Lowry, Shane","Shane Lowry",150,28273431,8500,27.235,7:40 am,1,47.9,3.4,0,51.3,0.23,100,3.84615384615385,
"Im, Sungjae","Sungjae Im",150,28273432,8400,27.878,7:51 am,1,51.1,4.1,0,55.1,0.51,100,3.84615384615385,
"Johnson, Dustin","Dustin Johnson",150,28273433,8300,28.078,1:32 pm,0,49.5,3.7,0,53.1,0.43,100,3.84615384615385,
"Burns, Sam","Sam Burns",150,28273434,8200,27.799,1:32 pm,0,49.1,3.6,0,52.7,0.44,100,3.84615384615385,
"Day, Jason","Jason Day",150,28273435,8100,28.245,8:02 am,1,52,4.4,0,56.4,0.71,100,3.84615384615385,
"Young, Cameron","Cameron Young",150,28273436,8000,28.229,1:21 pm,0,51.3,4.2,0,55.5,0.69,100,3.84615384615385,
"Fleetwood, Tommy","Tommy Fleetwood",150,28273437,7900,27.944,7:40 am,1,50.6,4.2,0,54.8,0.69,100,3.84615384615385,
"Conners, Corey","Corey Conners",150,28273439,7800,26.731,8:02 am,1,46.5,3.1,0,49.6,0.41,100,3.84615384615385,
