player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Nienaber, Wilco",-0.224,345,-0.201,344,-0.374,288,0.131,104,-0.669,247,26.370,1,-0.111,425
"McIlroy, Rory",0.227,61,0.291,9,0.766,8,0.927,3,2.210,5,23.943,2,-0.039,321
"DeChambeau, Bryson",0.145,85,-0.118,278,0.037,137,0.571,12,0.634,63,22.273,3,-0.068,385
"Matthews, Brandon",-0.423,410,-0.471,424,-0.273,256,-0.008,146,-1.175,326,22.011,4,-0.126,427
"Moller, Niklas Norgaard",0.096,111,-0.262,378,-0.267,252,0.166,91,-0.267,173,20.907,5,-0.105,419
"Young, Cameron",-0.034,213,0.068,113,0.683,14,0.915,4,1.632,9,20.862,6,-0.023,278
"Burmester, Dean",-0.124,276,0.142,64,0.114,109,0.546,20,0.679,56,18.920,7,-0.068,386
"Hagy, Brandon",-0.261,367,-0.234,370,-0.482,325,-0.171,213,-1.147,320,18.292,8,-0.106,420
"Lee, Min Woo",0.427,18,0.250,22,-0.246,242,0.286,66,0.716,53,17.406,9,-0.047,339
"Bramlett, Joseph",-0.190,318,0.115,78,0.433,37,0.385,48,0.742,52,16.747,10,-0.057,368
"Hojgaard, Nicolai",0.161,80,-0.148,306,0.059,127,0.331,58,0.403,91,16.543,11,-0.064,378
"Wolff, Matthew",0.255,51,0.050,131,-0.239,239,-0.209,225,-0.142,160,16.406,12,-0.069,391
"An, Byeong Hun",-0.216,339,0.245,25,0.451,32,0.565,14,1.045,33,16.229,13,-0.056,363
"Westmoreland, Kyle",-0.227,348,-0.103,264,-0.297,264,0.051,128,-0.577,227,15.756,14,-0.109,423
"Champ, Cameron",-0.251,361,-0.448,418,-0.063,173,0.491,27,-0.271,176,15.528,15,0.005,176
"Vegas, Jhonattan",-0.353,394,-0.179,329,0.352,50,0.553,19,0.373,95,15.410,16,-0.036,308
"Schmid, Matthias",-0.096,249,-0.346,407,-0.446,315,-0.068,169,-0.956,293,15.353,17,-0.024,280
"Gotterup, Chris",-0.006,189,-0.057,223,0.001,153,0.026,135,-0.036,147,14.988,18,-0.065,381
"Rahm, Jon",0.454,14,0.176,49,1.049,2,0.765,6,2.443,2,14.891,19,0.011,151
"Clark, Wyndham",0.345,27,0.146,62,0.633,19,0.208,80,1.332,20,14.792,20,-0.042,330
"Johnson, Dustin",0.048,152,0.080,106,0.446,33,0.461,33,1.035,34,14.745,21,-0.008,213
"Gordon, Will",-0.019,199,-0.199,341,0.178,88,0.410,45,0.369,96,13.764,22,0.011,154
"Hojgaard, Rasmus",0.534,6,-0.018,191,-0.068,174,-0.406,302,0.042,136,13.553,23,-0.091,414
"Zalatoris, Will",-0.031,208,0.039,140,0.649,17,0.563,15,1.220,25,13.448,24,-0.006,203
"Scheffler, Scottie",-0.061,234,0.328,3,1.513,1,1.243,1,3.023,1,13.429,25,0.052,53
"Mullinax, Trey",-0.221,342,0.009,167,0.050,131,-0.033,156,-0.195,164,13.272,26,-0.074,397
"Mitchell, Keith",0.167,79,-0.026,201,-0.005,155,0.554,18,0.690,55,13.234,27,0.014,145
"Cone, Trevor",-0.156,296,-0.343,406,-0.616,347,-0.036,157,-1.150,321,12.978,28,-0.045,336
"Grant, Brent",-0.463,417,-0.312,397,-0.413,300,0.428,41,-0.760,257,12.957,29,0.009,160
"List, Luke",-0.645,425,-0.215,357,0.538,27,0.669,8,0.346,99,12.648,30,-0.038,318
"Fox, Ryan",0.154,82,0.112,80,0.315,56,0.186,87,0.767,50,12.570,31,-0.089,412
"Koepka, Brooks",0.234,56,0.078,110,0.560,22,0.561,16,1.433,17,12.253,32,-0.006,204
"Norrman, Vincent",-0.177,311,-0.019,192,0.107,113,0.383,49,0.294,105,12.078,33,-0.011,230
"Davis, Cameron",0.006,180,0.039,141,0.216,74,0.517,24,0.778,49,11.716,34,-0.040,323
"Crocker, Sean",-0.371,400,-0.430,416,-0.216,234,-0.055,165,-1.071,308,11.427,35,-0.050,344
"Burns, Sam",0.520,7,0.124,71,0.285,62,0.465,32,1.394,18,11.356,36,-0.020,267
"Forrest, Grant",0.086,120,-0.118,277,-0.073,177,-0.165,207,-0.270,175,11.296,37,-0.078,401
"Stevens, Samuel",-0.096,251,-0.037,212,0.240,71,0.495,25,0.602,68,11.035,38,-0.008,210
"Thompson, Davis",-0.166,302,0.025,154,-0.049,169,0.292,63,0.102,131,10.924,39,-0.007,207
"Brehm, Ryan",-0.166,301,-0.326,402,-0.641,356,-0.369,287,-1.502,357,10.873,40,-0.105,417
"Woodland, Gary",-0.331,390,-0.099,260,0.651,16,0.698,7,0.919,41,10.862,41,0.026,106
"De Jager, Louis",-0.043,224,-0.067,234,-0.632,353,-0.188,218,-0.929,290,10.836,42,-0.074,396
"Shinkwin, Callum",-0.022,200,-0.424,415,-0.449,316,0.416,44,-0.479,215,10.828,43,-0.055,360
"Niemann, Joaquin",0.022,171,0.060,120,0.321,55,0.524,22,0.926,39,10.592,44,-0.011,225
"Pendrith, Taylor",-0.023,201,-0.043,216,0.020,143,0.219,76,0.174,119,10.531,45,-0.061,372
"Scott, Adam",0.314,35,0.143,63,0.131,102,0.419,43,1.008,36,10.526,46,-0.032,300
"Kitayama, Kurt",0.120,103,0.083,100,0.340,53,-0.039,160,0.503,80,10.423,47,-0.051,348
"Yuan, Yechun",-0.161,297,-0.165,318,-0.301,265,0.087,118,-0.541,224,10.328,48,-0.053,353
"Tarren, Callum",-0.099,253,-0.267,382,-0.039,167,0.005,140,-0.399,197,10.056,49,-0.082,407
"Detry, Thomas",0.316,34,0.073,112,0.172,92,0.044,132,0.604,67,9.916,50,-0.015,252
"Cantlay, Patrick",0.272,45,0.239,26,0.859,5,0.984,2,2.355,3,9.901,51,0.054,46
"Hovland, Viktor",0.285,43,0.002,177,0.791,7,0.859,5,1.936,6,9.869,52,0.039,76
"Barjon, Paul",-0.199,326,-0.468,423,-0.457,319,0.122,109,-1.001,299,9.700,53,-0.007,209
"Mansell, Richard",-0.197,322,-0.298,396,0.019,146,-0.033,154,-0.509,219,9.698,54,-0.050,345
"Pereira, Mito",-0.107,257,0.008,169,0.762,9,0.582,11,1.245,23,9.288,55,0.021,118
"Daffue, MJ",-0.134,283,-0.154,309,-0.132,200,0.197,83,-0.224,168,9.237,56,-0.044,333
"Du Plessis, Hennie",-0.221,341,-0.193,336,-0.367,284,0.119,110,-0.661,243,9.224,57,-0.038,316
"Arnaus, Adri",0.147,84,-0.216,358,-0.358,282,-0.268,250,-0.695,250,9.200,58,-0.080,403
"Thomas, Justin",0.042,157,0.287,10,0.687,13,0.429,40,1.445,15,9.065,59,-0.012,236
"Barnes, Erik",-0.075,241,-0.059,225,-0.162,210,-0.037,158,-0.333,188,8.918,60,-0.064,380
"Bekker, Oliver",-0.422,409,-0.121,285,-0.419,305,0.068,124,-0.895,284,8.857,61,-0.051,347
"Tway, Kevin",0.032,164,-0.031,207,-0.126,197,-0.135,195,-0.260,172,8.844,62,-0.092,416
"Fisher, Ross",-0.733,427,-0.464,422,0.145,96,0.190,85,-0.862,279,8.799,63,-0.030,297
"Nunez, Augusto",-0.243,357,-0.042,215,0.019,147,-0.054,164,-0.319,186,8.752,64,-0.040,322
"Higgo, Garrick",-0.068,239,-0.027,203,-0.087,182,0.495,26,0.312,102,8.658,65,-0.019,263
"Pulkkanen, Tapio",0.140,87,-0.084,249,-0.381,290,-0.807,383,-1.132,318,8.658,66,-0.111,426
"Kokrak, Jason",0.085,121,-0.028,204,0.013,149,0.401,46,0.472,84,8.399,67,-0.005,202
"Fitzpatrick, Matthew",0.415,19,0.263,18,0.401,42,0.444,36,1.522,12,8.383,68,-0.000,188
"Pieters, Thomas",0.054,144,0.026,153,0.101,114,0.214,78,0.395,93,8.217,69,-0.039,320
"Thompson, Curtis",-0.396,406,-0.341,405,-1.109,414,-0.733,372,-2.578,416,8.206,70,-0.083,408
"Rodgers, Patrick",0.199,72,0.124,72,0.183,86,0.313,60,0.819,44,8.185,71,-0.029,294
"Finau, Tony",0.122,100,0.256,21,0.850,6,0.489,28,1.717,8,8.062,72,0.019,128
"Harrington, Scott",-0.270,374,-0.104,266,-0.358,283,0.014,138,-0.719,254,7.918,73,-0.036,309
"Riley, Davis",-0.034,212,-0.100,262,0.372,46,-0.050,162,0.188,116,7.900,74,-0.003,199
"Herbert, Lucas",0.321,32,-0.010,186,0.020,145,0.347,54,0.677,57,7.826,75,-0.041,327
"Bertasio, Nino",-0.337,391,-0.360,408,-0.394,294,-0.888,388,-1.980,389,7.775,76,-0.066,382
"Kim, Seonghyeon",0.114,104,0.084,99,-0.140,204,0.388,47,0.446,86,7.574,77,-0.022,274
"Hardy, Nick",-0.063,235,-0.160,312,0.132,100,0.276,68,0.185,117,7.421,78,-0.014,243
"Steele, Brendan",-0.426,411,-0.140,299,0.542,26,0.540,21,0.517,77,7.259,79,0.045,68
"Varner III, Harold",0.073,130,0.246,24,0.438,35,0.267,70,1.024,35,7.074,80,-0.019,262
"Hatton, Tyrrell",0.462,13,0.230,29,0.553,24,0.555,17,1.800,7,6.995,81,0.021,120
"Stone, Brandon",-0.276,377,-0.231,369,-0.577,342,0.068,125,-1.016,300,6.895,82,-0.026,285
"Spieth, Jordan",0.202,70,0.215,35,0.698,11,0.478,31,1.594,10,6.852,83,-0.016,255
"Casey, Paul",-0.206,331,0.028,152,0.380,43,-0.042,161,0.160,121,6.806,84,0.036,84
"Hossler, Beau",0.321,31,0.275,14,-0.094,186,0.287,64,0.789,47,6.801,85,-0.019,260
"Swafford, Hudson",-0.211,334,-0.453,419,-0.321,274,-0.362,285,-1.347,344,6.773,86,-0.013,240
"Fowler, Rickie",0.234,57,0.268,17,0.657,15,0.286,65,1.445,16,6.764,87,0.013,149
"Lemke, Niklas",-0.363,396,-0.104,267,-0.743,373,-0.652,356,-1.863,380,6.693,88,-0.080,404
"Hoffman, Charley",-0.495,418,-0.033,208,0.160,93,0.131,103,-0.237,170,6.640,89,-0.045,335
"Theegala, Sahith",0.414,20,0.222,31,0.374,45,-0.060,167,0.951,38,6.623,90,-0.045,334
"Trainer, Martin",0.128,93,-0.069,240,-0.666,365,-0.470,318,-1.077,309,6.562,91,-0.060,371
"Schauffele, Xander",0.478,11,0.212,37,0.948,4,0.596,10,2.234,4,6.543,92,0.019,129
"Helligkilde, Marcus",0.010,178,0.008,170,-0.269,254,-0.225,235,-0.476,212,6.480,93,-0.053,355
"Lombard, Zander",-0.032,211,-0.067,236,-0.314,270,-0.480,324,-0.893,283,6.479,94,-0.074,395
"Moore, Taylor",0.288,42,0.011,165,0.183,85,0.304,61,0.787,48,6.381,95,0.006,171
"Langasque, Romain",0.094,113,0.089,93,-0.162,211,0.090,116,0.111,130,6.122,96,-0.053,354
"Smith, Jordan",-0.115,266,-0.100,261,0.288,60,0.354,53,0.428,87,6.056,97,0.030,96
"Meronk, Adrian",0.197,74,0.029,150,0.129,105,0.433,39,0.789,46,6.005,98,0.003,183
"Smalley, Alex",-0.201,328,0.000,178,0.439,34,0.341,56,0.579,70,5.739,99,0.020,126
"Hillier, Daniel",-0.206,330,-0.545,427,-0.208,232,-0.302,261,-1.261,338,5.683,100,-0.030,295
"Whaley, Vince",0.126,95,0.080,107,-0.378,289,-0.296,259,-0.468,210,5.538,101,-0.077,399
"Day, Jason",0.326,29,0.257,19,0.427,39,0.489,29,1.499,13,5.401,102,0.019,127
"Garcia, Sergio",-0.112,262,-0.058,224,0.132,99,0.449,35,0.411,90,5.389,103,0.010,155
"Zecheng, Marty Dou",-0.201,327,-0.057,222,-0.163,212,0.198,81,-0.222,167,5.368,104,-0.024,279
"Schenk, Adam",0.257,48,0.010,166,0.254,67,0.131,102,0.652,60,5.353,105,-0.011,224
"Walker, Jimmy",0.135,89,0.134,66,-0.153,206,-0.161,204,-0.045,150,5.328,106,-0.053,356
"Chappell, Kevin",-0.100,255,-0.049,218,-0.279,258,-0.022,149,-0.450,204,5.291,107,-0.051,349
"Macintyre, Robert",0.099,107,0.031,147,-0.017,157,0.097,114,0.210,115,5.200,108,-0.030,298
"Gligic, Michael",-0.155,294,-0.238,372,-0.410,299,-0.019,148,-0.822,271,5.014,109,-0.043,331
"Canter, Laurie",-0.198,323,-0.294,395,-0.032,164,0.065,126,-0.459,207,4.990,110,-0.001,191
"Wise, Aaron",0.372,22,0.177,48,-0.348,280,-0.137,196,0.065,133,4.967,111,-0.009,215
"Heisele, Sebastian",-0.167,304,-0.512,425,-0.795,381,0.024,136,-1.450,352,4.943,112,-0.009,217
"Buckley, Hayden",0.013,176,-0.252,375,0.159,94,0.569,13,0.489,82,4.934,113,0.061,32
"Perez, Victor",0.430,17,-0.172,325,-0.086,181,0.122,108,0.294,104,4.833,114,0.006,169
"Roy, Kevin",-0.389,403,-0.106,269,-0.058,171,-0.227,236,-0.780,263,4.701,115,-0.021,270
"Montgomery, Taylor",0.626,4,0.232,28,-0.205,230,-0.165,208,0.488,83,4.548,116,-0.053,358
"Jaeger, Stephan",0.056,142,0.278,13,0.345,52,0.243,72,0.921,40,4.503,117,-0.012,234
"Homa, Max",0.492,10,0.197,42,0.486,29,0.125,106,1.300,22,4.476,118,0.014,146
"Besseling, Wil",-0.249,359,-0.380,411,-0.794,379,0.177,89,-1.246,337,4.449,119,-0.001,190
"Ros, Pep Angles",-0.070,240,-0.120,281,-0.775,378,-1.031,403,-1.996,392,4.404,120,-0.085,409
"Hanna, Chase",-0.041,222,-0.220,361,-0.606,346,-0.258,246,-1.126,315,4.393,121,-0.051,351
"Jordan, Matthew",-0.058,230,0.094,90,-0.463,322,-0.296,260,-0.723,256,4.377,122,-0.018,259
"Law, David",-0.222,344,-0.176,327,-0.155,207,0.231,74,-0.322,187,4.363,123,-0.012,235
"Frittelli, Dylan",0.057,140,0.056,125,-0.454,317,-0.710,368,-1.051,306,4.348,124,-0.105,418
"Colsaerts, Nicolas",-0.238,351,-0.454,420,-0.444,313,-0.969,397,-2.106,396,4.300,125,-0.066,383
