player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA TOUR,1,0,1,0,2.75
"Rahm, Jon",PGA TOUR,2,0,2,0,2.453
"Schauffele, Xander",PGA TOUR,3,0,6,-1,2.227
"McIlroy, Rory",PGA TOUR,4,1,3,0,2.172
"Cantlay, Patrick",PGA TOUR,5,-1,4,0,2.136
"Hovland, Viktor",PGA TOUR,6,1,5,2,1.889
"Hatton, Tyrrell",PGA TOUR,7,-1,16,1,1.789
"Finau, Tony",PGA TOUR,8,0,12,0,1.662
"Morikawa, Collin",PGA TOUR,9,2,18,0,1.545
"Spieth, Jordan",PGA TOUR,10,10,10,1,1.481
"Smith, Cameron",LIV Tour,11,-2,9,0,1.476
"Fitzpatrick, Matthew",PGA TOUR,12,5,8,0,1.471
"Clark, Wyndham",PGA TOUR,13,2,32,0,1.46
"Fowler, Rickie",PGA TOUR,14,4,44,2,1.446
"Homa, Max",PGA TOUR,15,-2,7,-1,1.41
"Im, Sungjae",PGA TOUR,16,-4,19,0,1.403
"Day, Jason",PGA TOUR,17,-7,22,0,1.391
"Rose, Justin",PGA TOUR,18,-2,28,0,1.324
"Henley, Russell",PGA TOUR,19,4,31,-1,1.315
"Koepka, Brooks",LIV Tour,20,-1,13,1,1.313
"McCarthy, Denny",PGA TOUR,21,11,35,20,1.302
"Thomas, Justin",PGA TOUR,22,-8,15,0,1.274
"Matsuyama, Hideki",PGA TOUR,23,3,25,0,1.26
"Young, Cameron",PGA TOUR,24,-3,17,-1,1.225
"Burns, Sam",PGA TOUR,25,4,14,-1,1.221
"Fleetwood, Tommy",PGA TOUR,26,-2,23,0,1.204
"Bradley, Keegan",PGA TOUR,27,3,24,0,1.175
"Kim, Si Woo",PGA TOUR,28,9,30,8,1.162
"Pereira, Mito",LIV Tour,29,-4,56,-2,1.157
"Johnson, Dustin",LIV Tour,30,-3,87,-3,1.128
"Zalatoris, Will",PGA TOUR,31,-3,11,-1,1.121
"Scott, Adam",PGA TOUR,32,6,37,3,1.106
"Conners, Corey",PGA TOUR,33,-11,29,0,1.103
"Lowry, Shane",PGA TOUR,34,6,26,0,0.99
"Theegala, Sahith",PGA TOUR,35,-4,27,0,0.971
"Varner III, Harold",LIV Tour,36,-1,68,-1,0.94
"Reed, Patrick",LIV Tour,37,-1,47,0,0.93
"Niemann, Joaquin",LIV Tour,38,1,34,-3,0.898
"Putnam, Andrew",PGA TOUR,39,19,61,14,0.887
"Kuchar, Matt",PGA TOUR,40,-7,51,1,0.87
"Gooch, Talor",LIV Tour,41,0,77,-5,0.849
"Howell III, Charles",LIV Tour,42,0,395,-10,0.838
"Woodland, Gary",PGA TOUR,43,9,73,7,0.811
"Kim, Tom",PGA TOUR,44,-10,21,0,0.791
"Kirk, Chris",PGA TOUR,45,-2,39,-2,0.775
"Moore, Taylor",PGA TOUR,46,-1,49,-1,0.751
"Rodgers, Patrick",PGA TOUR,47,9,91,8,0.748
"Grillo, Emiliano",PGA TOUR,48,-1,43,-1,0.746
"Fox, Ryan",DP World Tour,49,11,42,-1,0.739
"Schenk, Adam",PGA TOUR,50,27,53,7,0.732
"Jaeger, Stephan",PGA TOUR,51,11,117,2,0.732
"Meronk, Adrian",DP World Tour,52,-4,48,-3,0.715
"Lee, Kyounghoon",PGA TOUR,53,-9,46,-2,0.689
"Hadwin, Adam",PGA TOUR,54,-5,75,-1,0.678
"Cole, Eric",PGA TOUR,55,15,89,13,0.677
"An, Byeong Hun",PGA TOUR,56,13,125,6,0.674
"Stricker, Steve",PGA TOUR Champions,57,-6,9999,0,0.665
"Bezuidenhout, Christiaan",PGA TOUR,58,7,78,0,0.664
"Taylor, Nick",PGA TOUR,59,-5,69,0,0.66
"Harman, Brian",PGA TOUR,60,-14,40,-4,0.635
"Grace, Branden",LIV Tour,61,0,338,-14,0.623
"Spaun, J.J.",PGA TOUR,62,13,76,1,0.612
"Poston, J.T.",PGA TOUR,63,10,58,-1,0.606
"Noren, Alex",PGA TOUR,64,0,64,-1,0.599
"Power, Seamus",PGA TOUR,65,7,45,-2,0.592
"Montgomery, Taylor",PGA TOUR,66,13,63,2,0.572
"Detry, Thomas",PGA TOUR,67,4,84,2,0.571
"English, Harris",PGA TOUR,68,-2,41,-2,0.57
"Bramlett, Joseph",PGA TOUR,69,27,152,6,0.564
"Hossler, Beau",PGA TOUR,70,20,119,4,0.561
"Todd, Brendon",PGA TOUR,71,-18,79,-3,0.56
"DeChambeau, Bryson",LIV Tour,72,-5,98,-5,0.545
"Hubbard, Mark",PGA TOUR,73,19,102,6,0.526
"Bjork, Alexander",DP World Tour,74,21,114,7,0.519
"Svensson, Adam",PGA TOUR,75,-12,65,-4,0.516
"Davis, Cameron",PGA TOUR,76,-21,52,-1,0.511
"Steele, Brendan",PGA TOUR,77,-3,145,2,0.506
"Burmester, Dean",LIV Tour,78,-2,85,0,0.501
"Kitayama, Kurt",PGA TOUR,79,-29,20,0,0.497
"Mitchell, Keith",PGA TOUR,80,8,57,-1,0.484
"Garcia, Sergio",LIV Tour,81,-1,228,-10,0.48
"Lee, Min Woo",PGA TOUR,82,-1,66,-2,0.478
"Straka, Sepp",PGA TOUR,83,24,33,1,0.475
"Kokrak, Jason",LIV Tour,84,-1,143,-5,0.461
"Tringale, Cameron",LIV Tour,85,-1,127,-10,0.451
"Casey, Paul",LIV Tour,86,-1,156,-5,0.446
"Lahiri, Anirban",LIV Tour,87,-1,107,-2,0.445
"Stevens, Samuel",PGA TOUR,88,13,126,-2,0.429
"Hodges, Lee",PGA TOUR,89,32,112,18,0.422
"Pieters, Thomas",DP World Tour,90,-1,59,-2,0.422
"Uihlein, Peter",LIV Tour,91,0,9999,0,0.412
"Aberg, Ludvig",Amateur Events,92,1,9999,0,0.408
"Rai, Aaron",PGA TOUR,93,-25,130,-3,0.408
"Oosthuizen, Louis",LIV Tour,94,0,253,-22,0.405
"Herbert, Lucas",PGA TOUR,95,-13,55,-5,0.404
"Buckley, Hayden",PGA TOUR,96,-37,74,-1,0.403
"Suh, Justin",PGA TOUR,97,7,70,1,0.403
"Hoge, Tom",PGA TOUR,98,-41,36,-3,0.39
"Perez, Victor",DP World Tour,99,0,62,0,0.378
"Smith, Jordan",DP World Tour,100,18,95,6,0.371
"Smalley, Alex",PGA TOUR,101,-23,94,-3,0.365
"Griffin, Ben",PGA TOUR,102,-2,96,-7,0.356
"Wu, Brandon",PGA TOUR,103,-16,83,0,0.352
"Hughes, Mackenzie",PGA TOUR,104,-2,67,-1,0.35
"NeSmith, Matthew",PGA TOUR,105,-7,100,-5,0.349
"Munoz, Sebastian",PGA TOUR,106,-3,123,-5,0.343
"Eckroat, Austin",PGA TOUR,107,17,110,1,0.332
"Hojgaard, Nicolai",DP World Tour,108,-11,120,-8,0.301
"Harrington, Padraig",PGA TOUR Champions,109,-3,218,-2,0.299
"Streelman, Kevin",PGA TOUR,110,-5,141,0,0.287
"Na, Kevin",LIV Tour,111,-2,149,-7,0.284
"McNealy, Maverick",PGA TOUR,112,-2,92,2,0.283
"Kim, Michael",PGA TOUR,113,-2,133,0,0.277
"Martin, Ben",PGA TOUR,114,-2,190,-3,0.257
"Lashley, Nate",PGA TOUR,115,-2,183,5,0.254
"Sargent, Gordon",Amateur Events,116,0,9999,0,0.241
"Vegas, Jhonattan",PGA TOUR,117,0,180,-4,0.236
"Hall, Harry",PGA TOUR,118,1,128,-3,0.223
"Ortiz, Carlos",LIV Tour,119,1,378,-10,0.22
"Ryder, Sam",PGA TOUR,120,3,116,-1,0.202
"Shelton, Robby",PGA TOUR,121,-6,121,-7,0.192
"Watson, Bubba",LIV Tour,122,3,304,-11,0.191
"Palmer, Ryan",PGA TOUR,123,3,172,0,0.19
"Kim, Seonghyeon",PGA TOUR,124,16,138,2,0.18
"Gordon, Will",PGA TOUR,125,-3,134,0,0.176
"Lipsky, David",PGA TOUR,126,32,137,23,0.174
"Wise, Aaron",PGA TOUR,127,0,60,-1,0.158
"Stenson, Henrik",LIV Tour,128,1,220,-5,0.147
"List, Luke",PGA TOUR,129,34,113,9,0.145
"Perez, Pat",LIV Tour,130,1,333,-7,0.14
"Hojgaard, Rasmus",DP World Tour,131,-17,111,-2,0.136
"Norrman, Vincent",PGA TOUR,132,0,299,-2,0.126
"Langasque, Romain",DP World Tour,133,22,148,6,0.126
"Riley, Davis",PGA TOUR,134,3,80,-1,0.122
"Willett, Danny",PGA TOUR,135,4,105,1,0.105
"Horschel, Billy",PGA TOUR,136,-28,38,-3,0.103
"Macintyre, Robert",DP World Tour,137,19,97,0,0.098
"Kohles, Ben",Korn Ferry Tour,138,13,195,3,0.089
"Leishman, Marc",LIV Tour,139,-3,147,-3,0.086
"Rozner, Antoine",DP World Tour,140,-12,135,2,0.08
"Pendrith, Taylor",PGA TOUR,141,-6,115,-2,0.07
"Ancer, Abraham",LIV Tour,142,2,54,-5,0.058
"Piercy, Scott",PGA TOUR,143,2,248,-4,0.058
"Wu, Dylan",PGA TOUR,144,3,302,-1,0.056
"Olesen, Thorbjorn",DP World Tour,145,-11,86,1,0.051
"Kanaya, Takumi",Other Tours,146,29,122,14,0.049
"Reavie, Chez",PGA TOUR,147,-1,109,1,0.049
"Hardy, Nick",PGA TOUR,148,-7,181,-1,0.049
"Bhatia, Akshay",PGA TOUR,149,-16,188,-9,0.047
"Stallings, Scott",PGA TOUR,150,-12,72,-2,0.035
"Dahmen, Joel",PGA TOUR,151,-1,124,-8,0.034
"Otaegui, Adrian",DP World Tour,152,-4,81,0,0.031
"Thompson, Michael",PGA TOUR,153,-4,241,2,0.028
"Kieffer, Maximilian",DP World Tour,154,37,163,48,0.014
"Baddeley, Aaron",PGA TOUR,155,-3,284,6,0.014
"Paul, Yannik",DP World Tour,156,-26,108,-1,0.014
"Walker, Jimmy",PGA TOUR,157,-3,232,-6,0.007
"Tosti, Alejandro",Korn Ferry Tour,158,-16,242,-4,-0.002
"Campillo, Jorge",DP World Tour,159,-16,129,-1,-0.005
"Wallace, Matt",PGA TOUR,160,12,118,2,-0.01
"Luiten, Joost",DP World Tour,161,3,238,7,-0.023
"Kizzire, Patton",PGA TOUR,162,-5,207,-5,-0.049
"Bland, Richard",LIV Tour,163,-4,146,-1,-0.057
"Yu, Kevin",PGA TOUR,164,-4,197,-5,-0.067
"Vincent, Scott",LIV Tour,165,-3,136,-4,-0.07
"James, Benjamin",Amateur Events,166,-1,9999,0,-0.088
"Poulter, Ian",LIV Tour,167,1,247,-10,-0.091
"Wolff, Matthew",LIV Tour,168,-1,280,-20,-0.091
"Cink, Stewart",PGA TOUR,169,-3,273,-2,-0.102
"Higgo, Garrick",PGA TOUR,170,28,182,21,-0.103
"Johnston, Andrew",DP World Tour,171,-1,9999,0,-0.105
"Ghim, Doug",PGA TOUR,172,1,262,-6,-0.11
"Thompson, Davis",PGA TOUR,173,9,88,0,-0.11
