playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8476234,2021,Keith Kinkaid,NYR,G,other,1,134.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8476234,2021,Keith Kinkaid,NYR,G,all,1,3600.0,2.24,2.0,51.0,2.08,3.0,7.03,6.0,29.68,31.0,0.91,1.0,17.43,12.0,12.27,19.0,2.15,33.0,8.0,1.0,0.94,1.09,0.21,1.0,1.0,0.0,9.0,0.0,0.0
8476234,2021,Keith Kinkaid,NYR,G,5on5,1,3133.0,1.71,1.0,46.0,1.77,1.0,6.31,6.0,26.52,27.0,0.75,0.0,16.14,12.0,11.25,18.0,1.7,32.0,6.0,0.0,0.91,0.8,0.0,0.0,1.0,0.0,8.0,0.0,0.0
8476234,2021,Keith Kinkaid,NYR,G,4on5,1,176.0,0.5,0.0,3.0,0.29,2.0,0.61,0.0,2.53,3.0,0.0,0.0,1.01,0.0,0.47,1.0,0.42,0.0,2.0,1.0,0.0,0.29,0.21,0.0,0.0,0.0,0.0,0.0,0.0
8476234,2021,Keith Kinkaid,NYR,G,5on4,1,157.0,0.03,1.0,1.0,0.02,0.0,0.11,0.0,0.63,1.0,0.12,1.0,0.27,0.0,0.56,0.0,0.03,1.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8477180,2021,Aaron Dell,BUF,G,other,12,673.0,1.53,2.0,22.0,1.05,2.0,2.49,4.0,13.01,14.0,0.19,1.0,8.22,7.0,4.27,1.0,1.3,13.0,3.0,2.0,0.52,0.39,0.62,0.0,1.0,1.0,4.0,0.0,0.0
8477180,2021,Aaron Dell,BUF,G,all,12,33923.0,33.64,38.0,594.0,23.71,29.0,72.18,76.0,335.68,355.0,7.68,9.0,188.08,147.0,135.75,163.0,32.06,329.0,102.0,33.0,10.33,12.2,11.11,11.0,14.0,13.0,130.0,2.0,1.0
8477180,2021,Aaron Dell,BUF,G,5on5,12,27487.0,22.68,23.0,485.0,18.4,21.0,60.38,64.0,267.45,284.0,6.04,6.0,150.63,119.0,110.43,135.0,21.71,278.0,75.0,18.0,8.58,8.95,5.15,10.0,12.0,1.0,114.0,2.0,1.0
8477180,2021,Aaron Dell,BUF,G,4on5,12,2532.0,8.65,12.0,72.0,3.8,6.0,7.92,6.0,44.92,44.0,0.25,0.0,25.93,17.0,13.28,20.0,8.27,28.0,21.0,12.0,1.04,2.51,5.1,1.0,1.0,10.0,11.0,0.0,0.0
8477180,2021,Aaron Dell,BUF,G,5on4,12,3231.0,0.78,1.0,15.0,0.46,0.0,1.4,2.0,10.3,13.0,1.2,2.0,3.3,4.0,7.77,7.0,0.78,10.0,3.0,1.0,0.19,0.36,0.23,0.0,0.0,1.0,1.0,0.0,0.0
8477992,2021,Jonas Johansson,FLA,G,other,10,773.0,0.47,1.0,10.0,0.31,0.0,1.12,0.0,6.31,7.0,0.21,0.0,2.59,1.0,3.35,6.0,0.47,6.0,2.0,0.0,0.17,0.3,0.0,1.0,0.0,0.0,2.0,0.0,0.0
8477992,2021,Jonas Johansson,FLA,G,all,10,25591.0,19.9,29.0,386.0,14.57,15.0,49.06,48.0,210.72,228.0,7.22,4.0,116.92,87.0,87.35,108.0,19.39,218.0,59.0,18.0,6.27,7.55,6.08,12.0,10.0,7.0,91.0,0.0,0.0
8477992,2021,Jonas Johansson,FLA,G,5on5,10,20652.0,15.06,24.0,320.0,12.13,15.0,43.12,38.0,176.09,190.0,5.56,3.0,99.09,75.0,71.39,88.0,14.6,188.0,45.0,14.0,5.27,5.9,3.89,8.0,10.0,6.0,73.0,0.0,0.0
8477992,2021,Jonas Johansson,FLA,G,4on5,10,1642.0,3.73,3.0,44.0,1.74,0.0,3.72,8.0,20.16,20.0,0.19,0.0,12.66,10.0,6.52,7.0,3.69,16.0,9.0,4.0,0.58,0.96,2.19,2.0,0.0,1.0,15.0,0.0,0.0
