"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"12","Si Woo Kim",23516805,8800,63.06,76.35,0,109.38,35,73.3,4.8,78.1,0.76,3.95,0.147,93,0.258,13,0.269,62,0.253,79,0.928,37,0.948,197,0.042,78,0.844,27,0.018,0.034,-0.015,0.048,0.181,-0.009,0.123,-0.047,0.068,1.177,0.7159,0.3484,0.2062,0.1153,0.0274,3.11,0.79,2.37,1.61,7.64,10,1,2022-08-07,"Wyndham Championshio"
"13","Kevin Kisner",23516806,8700,55.58,67.56,0,102.5,32.5,65.9,3.3,69.2,0.19,3.95,0.315,30,0.223,29,0,171,-0.208,263,0.329,99,-8.425,357,0.043,76,0.55,38,-0.019,-0.03,0.035,-0.207,0.217,0.083,0.125,-0.05,0.158,0.704,0.6283,0.2358,0.1252,0.0633,0.0126,1.45,-0.79,2.37,1.25,5.23,5,1,2022-08-07,"Wyndham Championshio"
"14","Joohyung Kim",23516807,8600,67.06,75.56,0,108.13,34.38,68.1,3.7,71.7,0.41,3.95,0.108,122,0.064,130,0.24,71,0.168,116,0.579,70,-3.678,279,0.096,9,0.599,20,0.041,0.047,-0.013,-0.095,-0.04,0.036,0.28,-0.025,0.291,0.83,0.6516,0.266,0.1441,0.0765,0.0156,1.81,-0.35,2.37,1.75,7.7,10,1,2022-08-07,"Wyndham Championshio"
"15","Taylor Pendrith",23516808,8500,68.89,78.41,0,110.63,35,67.1,3.5,70.6,0.37,3.95,0.108,123,0.058,134,0.286,58,0.688,8,1.14,25,18.316,9,-0.026,284,0.895,31,0.005,0.033,0.062,0.146,-0.04,-0.178,-0.079,-0.023,-0.281,0.819,0.6503,0.2611,0.1379,0.0712,0.0146,1.72,-0.36,2.37,0.42,1.71,5,1,2022-08-07,"Wyndham Championshio"
"16","Christiaan Bezuidenhout",23516809,8400,63.48,73.91,0,106.88,33.75,66.2,3.3,69.5,0.33,3.95,0.392,14,0.102,94,0.181,88,0.001,186,0.676,63,-7.14,343,0.039,83,0.684,28,0.015,0.053,-0.005,-0.071,-0.016,0.07,0.114,-0.054,0.131,0.791,0.6516,0.2545,0.1346,0.0688,0.0136,1.62,-0.39,2.37,1.11,4.8,5,1,2022-08-07,"Wyndham Championshio"
"17","Brian Harman",23516810,8300,59.98,74.98,0,107.5,34.38,73.5,4.9,78.4,0.98,3.95,0.213,60,0.187,44,0.175,89,0.286,71,0.862,44,-5.538,321,0.079,20,0.953,35,-0.009,-0.066,-0.005,-0.01,0.123,0.055,0.229,-0.044,0.24,1.225,0.7275,0.361,0.2155,0.1227,0.0303,3.65,1.7,2.37,1.82,9.04,10,1,2022-08-07,"Wyndham Championshio"
"18","J.T. Poston",23516811,8200,52.86,71.49,0,105,33.75,66.1,3.4,69.5,0.41,3.95,0.35,23,0.112,90,0.055,146,0.142,129,0.66,66,-1.004,235,0.017,139,0.747,29,0.011,0.007,0.021,-0.127,0.051,0.01,0.048,-0.044,0.014,0.724,0.6296,0.2415,0.1282,0.0668,0.0127,1.55,-0.33,2.37,0.81,3.48,5,1,2022-08-07,"Wyndham Championshio"
"19","Aaron Wise",23516812,8100,67.98,78.81,0,110,35,72.9,4.6,77.5,1,3.95,0.06,153,0.175,52,0.565,20,0.416,34,1.216,22,6.555,94,0.012,155,1.118,26,0.022,0.054,-0.008,0.03,-0.007,-0.063,0.034,-0.043,-0.073,1.137,0.7093,0.3436,0.2049,0.1149,0.0269,3.32,1.52,2.37,1.21,6.2,10,1,2022-08-07,"Wyndham Championshio"
"20","Justin Rose",23516813,8000,64.73,71.01,0,106.06,33.13,63.5,2.8,66.3,0.27,3.95,0.296,36,-0.001,179,0.127,106,0.086,152,0.508,80,0.473,210,0.011,157,0.753,42,-0.031,-0.034,0.011,-0.19,0.022,-0.004,0.03,-0.032,-0.006,0.524,0.5935,0.207,0.1066,0.0527,0.0099,1.24,-0.47,2.37,0.46,1.84,5,1,2022-08-07,"Wyndham Championshio"
"21","Davis Riley",23516814,8000,62.56,76.75,0,109.38,34.56,64.9,3,67.9,0.38,3.95,0.066,148,0.023,162,0.308,53,0.355,50,0.753,52,7.535,78,0.019,131,0.607,25,0.023,0.032,-0.007,0.099,-0.04,-0.073,0.055,-0.019,-0.038,0.675,0.6226,0.2336,0.1222,0.061,0.0109,1.36,-0.35,2.37,0.74,3.16,5,1,2022-08-07,"Wyndham Championshio"
"22","Keith Mitchell",23516815,7900,68.4,75.56,0,108.13,34.38,66.8,3.4,70.2,0.57,3.95,0.32,28,0.048,140,0.075,137,0.487,28,0.93,36,12.058,37,0.001,187,0.971,30,0.007,0.039,-0.014,-0.073,-0.003,-0.117,0,-0.034,-0.151,0.776,0.6416,0.2551,0.1357,0.0719,0.0142,1.8,0.19,2.37,0.7,3.24,5,1,2022-08-07,"Wyndham Championshio"
"23","Mark Hubbard",23516816,7900,73.21,76.09,0,108.75,34.38,67.2,3.6,70.8,0.62,3.95,0.243,47,0.07,121,0.306,54,-0.071,208,0.549,75,-9.615,368,0.044,74,0.759,33,-0.002,-0.027,-0.056,-0.126,0.103,0.094,0.126,-0.043,0.178,0.83,0.6599,0.2597,0.1403,0.0698,0.0136,1.72,0.11,2.37,1,4.56,5,1,2022-08-07,"Wyndham Championshio"
